Species	Subfamily	Family	MaleWg	FemaleWg	Source	Comment
Allochrocebus lhoesti	Cercopithecinae	Cercopithecidae	5972	3449	Plavcan et al	Allochrocebus; W Cercopithecus lhoesti lhoesti
Alouatta belzebul	Alouattinae	Atelidae	7178	5181	Plavcan et al	Closest w is belzebul nigerrima
Alouatta caraya	Alouattinae	Atelidae	6417	4332	Plavcan et al	
Alouatta guariba	Alouattinae	Atelidae	6730	4350	alltheworldsprimates	
Alouatta palliata	Alouattinae	Atelidae	6023	4855	alltheworldsprimates	
Alouatta pigra	Alouattinae	Atelidae	11404	6430	Plavcan et al	
Alouatta seniculus	Alouattinae	Atelidae	6498	4666	Plavcan et al	Average w between insulanis and seniculus
Aotus azarae	Aotidae	Aotidae	1150	1240	Plavcan et al	Check as "azarae"
Aotus lemurinus	Aotidae	Aotidae	918	874	Plavcan et al	
Aotus nigriceps	Aotidae	Aotidae	875	1040	alltheworldsprimates	
Aotus trivirgatus	Aotidae	Aotidae	813	736	alltheworldsprimates	
Aotus vociferans	Aotidae	Aotidae	708	698	Plavcan et al	
Ateles belzebuth	Atelinae	Atelidae	8290	7854	Plavcan et al	W Ateles belzebuth belzebuth
Ateles fusciceps	Atelinae	Atelidae	8890	8800	alltheworldsprimates	
Ateles geoffroyi	Atelinae	Atelidae	7783	7294	Plavcan et al	W Ateles geoffroyi vellerosus
Ateles paniscus	Atelinae	Atelidae	9107	8440	Plavcan et al	W Ateles paniscus chameck
Brachyteles arachnoides	Atelinae	Atelidae	9612	8381	Plavcan et al	
Callithrix aurita	Callitrichinae	Callitrichidae	453	432	alltheworldsprimates	
Callithrix geoffroyi	Callitrichinae	Callitrichidae	325	370	alltheworldsprimates	
Callithrix jacchus	Callitrichinae	Callitrichidae	362	381	Plavcan et al	W Callithrix jacchus jacchus
Callithrix penicillata	Callitrichinae	Callitrichidae	344	307	alltheworldsprimates	
Cebus albifrons	Cebinae	Cebidae	3180	2291	Plavcan et al	W Cebus albifrons cesarae
Cebus capucinus	Cebinae	Cebidae	3680	2540	Plavcan et al	W Cebus capucinus capucinus
Cebus olivaceus	Cebinae	Cebidae	3000	2500	alltheworldsprimates	
Cercocebus agilis	Cercopithecinae	Cercopithecidae	8807	5405	alltheworldsprimates	
Cercocebus torquatus	Cercopithecinae	Cercopithecidae	13480	6560	alltheworldsprimates	Maybe same species?
Cercopithecus ascanius	Cercopithecinae	Cercopithecidae	4528	2790	alltheworldsprimates	
Cercopithecus campbelli	Cercopithecinae	Cercopithecidae	4500	2700	alltheworldsprimates	
Cercopithecus cephus	Cercopithecinae	Cercopithecidae	4100	2800	alltheworldsprimates	
Cercopithecus diana	Cercopithecinae	Cercopithecidae	5200	2260	alltheworldsprimates	
Cercopithecus erythrotis	Cercopithecinae	Cercopithecidae	3700	3100	alltheworldsprimates	
Cercopithecus mitis	Cercopithecinae	Cercopithecidae	5849	3929	alltheworldsprimates	
Cercopithecus mona	Cercopithecinae	Cercopithecidae	4768	3700	alltheworldsprimates	
Cercopithecus neglectus	Cercopithecinae	Cercopithecidae	5533	3190	alltheworldsprimates	
Cercopithecus nictitans	Cercopithecinae	Cercopithecidae	6715	4092	alltheworldsprimates	
Cercopithecus petaurista	Cercopithecinae	Cercopithecidae	4400	2900	alltheworldsprimates	
Cercopithecus pogonias	Cercopithecinae	Cercopithecidae	4442	2940	alltheworldsprimates	
Cercopithecus wolfi	Cercopithecinae	Cercopithecidae	3804	2880	alltheworldsprimates	
Chlorocebus aethiops	Cercopithecinae	Cercopithecidae	5276	3530	Plavcan et al	W mean of Cercopithecus aethiops hilgerti and ngamiensis
Chlorocebus pygerythrus	Cercopithecinae	Cercopithecidae	4210	2740	alltheworldsprimates	
Chlorocebus sabaeus	Cercopithecinae	Cercopithecidae	5300	3300	alltheworldsprimates	
Colobus angolensis	Colobinae	Cercopithecidae	9800	7400	alltheworldsprimates	
Colobus guereza	Colobinae	Cercopithecidae	10066	8237	alltheworldsprimates	
Colobus polykomos	Colobinae	Cercopithecidae	9900	8300	alltheworldsprimates	
Colobus satanas	Colobinae	Cercopithecidae	11800	10400	alltheworldsprimates	
Colobus vellerosus	Colobinae	Cercopithecidae	8500	6900	alltheworldsprimates	
Erythrocebus patas	Cercopithecinae	Cercopithecidae	12400	6500	alltheworldsprimates	
Gorilla beringei	Homininae	Hominidae	162500	97500	alltheworldsprimates	
Gorilla gorilla	Homininae	Hominidae	170400	71500	alltheworldsprimates	
Hoolock hoolock	Hylobatidae	Hylobatidae	6900	6100	alltheworldsprimates	Change from bunopithecus
Hylobates agilis	Hylobatidae	Hylobatidae	6800	6400	alltheworldsprimates	
Hylobates lar	Hylobatidae	Hylobatidae	5700	5300	alltheworldsprimates	
Hylobates moloch	Hylobatidae	Hylobatidae	6580	6250	alltheworldsprimates	
Hylobates pileatus	Hylobatidae	Hylobatidae	7800	7680	alltheworldsprimates	
Lagothrix lagothricha	Atelinae	Atelidae	8434	6596	Plavcan et al	lagothricha TH; W mean of lugens and poeppigii
Leontocebus leucogenys	Callitrichinae	Callitrichidae	343	358	Plavcan et al	Leontocebus leucogenys; W Saguinus fuscicollis nigrifrons
Lophocebus aterrimus	Cercopithecinae	Cercopithecidae	7840	5760	alltheworldsprimates	
Macaca arctoides	Cercopithecinae	Cercopithecidae	12200	8400	alltheworldsprimates	
Macaca assamensis	Cercopithecinae	Cercopithecidae	11300	6700	alltheworldsprimates	
Macaca cyclopis	Cercopithecinae	Cercopithecidae	10120	6690	alltheworldsprimates	
Macaca fascicularis	Cercopithecinae	Cercopithecidae	5360	3590	alltheworldsprimates	
Macaca fuscata	Cercopithecinae	Cercopithecidae	11800	8800	alltheworldsprimates	
Macaca maura	Cercopithecinae	Cercopithecidae	7859	5565	alltheworldsprimates	
Macaca mulatta	Cercopithecinae	Cercopithecidae	7700	5340	alltheworldsprimates	
Macaca nemestrina	Cercopithecinae	Cercopithecidae	11300	6480	alltheworldsprimates	
Macaca nigra	Cercopithecinae	Cercopithecidae	9895	5468	Plavcan et al	
Macaca radiata	Cercopithecinae	Cercopithecidae	6670	3850	alltheworldsprimates	
Macaca silenus	Cercopithecinae	Cercopithecidae	8900	6100	alltheworldsprimates	
Macaca sinica	Cercopithecinae	Cercopithecidae	5235	3066	alltheworldsprimates	
Macaca thibetana	Cercopithecinae	Cercopithecidae	18300	12800	alltheworldsprimates	
Mandrillus leucophaeus	Cercopithecinae	Cercopithecidae	20000	8500	alltheworldsprimates	
Mandrillus sphinx	Cercopithecinae	Cercopithecidae	29108	8957	alltheworldsprimates	
Mico argentatus	Callitrichinae	Callitrichidae	330	360	Plavcan et al	Mico argentatus; W Callithrix argentata argentata
Nasalis larvatus	Colobinae	Cercopithecidae	20300	9900	alltheworldsprimates	
Nomascus concolor	Hylobatidae	Hylobatidae	7791	7622	Plavcan et al	Hylobates concolor
Nomascus leucogenys	Hylobatidae	Hylobatidae	6440	6600	alltheworldsprimates	
Pan troglodytes	Homininae	Hominidae	39000	31300	alltheworldsprimates	
Papio anubis	Cercopithecinae	Cercopithecidae	21100	12200	alltheworldsprimates	
Papio cynocephalus	Cercopithecinae	Cercopithecidae	25800	11900	alltheworldsprimates	
Papio hamadryas	Cercopithecinae	Cercopithecidae	16900	9900	alltheworldsprimates	
Papio papio	Cercopithecinae	Cercopithecidae	23000	12000	alltheworldsprimates	
Papio ursinus	Cercopithecinae	Cercopithecidae	29800	14800	alltheworldsprimates	
Piliocolobus badius	Colobinae	Cercopithecidae	8300	8200	alltheworldsprimates	
Piliocolobus kirkii	Colobinae	Cercopithecidae	7000	6800	alltheworldsprimates	
Piliocolobus tephrosceles	Colobinae	Cercopithecidae	11000	7500	alltheworldsprimates	
Pongo abelii	Ponginae	Hominidae	77900	35600	alltheworldsprimates	
Pongo pygmaeus	Ponginae	Hominidae	78500	35800	alltheworldsprimates	
Presbytis comata	Colobinae	Cercopithecidae	6679	6713	Plavcan et al	
Presbytis melalophos	Colobinae	Cercopithecidae	6482	6322	Plavcan et al	W chrysomelas
Procolobus verus	Colobinae	Cercopithecidae	4630	4200	alltheworldsprimates	
Rhinopithecus bieti	Colobinae	Cercopithecidae	15300	9100	alltheworldsprimates	
Rhinopithecus roxellana	Colobinae	Cercopithecidae	14908	8428	alltheworldsprimates	
Saguinus bicolor	Callitrichinae	Callitrichidae	428	430	Plavcan et al	W Saguinus bicolor ochraseus
Saguinus geoffroyi	Callitrichinae	Callitrichidae	486	507	alltheworldsprimates	
Saguinus imperator	Callitrichinae	Callitrichidae	417	446	alltheworldsprimates	
Saguinus leucopus	Callitrichinae	Callitrichidae	494	490	alltheworldsprimates	
Saguinus midas	Callitrichinae	Callitrichidae	515	575	Plavcan et al	W Saguinus midas niger
Saguinus mystax	Callitrichinae	Callitrichidae	556	579	alltheworldsprimates	W Saguinus mystax mystax
Saguinus niger	Callitrichinae	Callitrichidae	474	505	alltheworldsprimates	
Saguinus oedipus	Callitrichinae	Callitrichidae	427	430	alltheworldsprimates	
Saimiri boliviensis	Saimiriinae	Cebidae	992	751	alltheworldsprimates	
Saimiri oerstedii	Saimiriinae	Cebidae	750	600	alltheworldsprimates	
Saimiri sciureus	Saimiriinae	Cebidae	740	635	alltheworldsprimates	
Saimiri ustus	Saimiriinae	Cebidae	920	799	alltheworldsprimates	
Sapajus apella	Cebinae	Cebidae	3170	1940	Plavcan et al	Sapajus apella; W mean of libidinosus and paraguayanus
Semnopithecus entellus	Colobinae	Cercopithecidae	16900	11700	alltheworldsprimates	
Symphalangus syndactylus	Hylobatidae	Hylobatidae	10900	10700	alltheworldsprimates	
Theropithecus gelada	Cercopithecinae	Cercopithecidae	19000	11700	alltheworldsprimates	
Trachypithecus cristatus	Colobinae	Cercopithecidae	6600	5700	alltheworldsprimates	
Trachypithecus delacouri	Colobinae	Cercopithecidae	8600	7800	alltheworldsprimates	
Trachypithecus obscurus	Colobinae	Cercopithecidae	7900	6260	alltheworldsprimates	
Trachypithecus phayrei	Colobinae	Cercopithecidae	7870	6300	alltheworldsprimates	
Trachypithecus pileatus	Colobinae	Cercopithecidae	1275	1050	alltheworldsprimates	
