decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
29.174332	-2.464402	Rwanda	RW	HUMAN_OBSERVATION	2024
29.176711	-2.455267	Rwanda	RW	HUMAN_OBSERVATION	2024
29.239498	-2.428103	Rwanda	RW	HUMAN_OBSERVATION	2024
29.692109	-1.190275	Uganda	UG	HUMAN_OBSERVATION	2023
29.632719	-0.920744	Uganda	UG	HUMAN_OBSERVATION	2023
29.737914	-0.82048	Uganda	UG	HUMAN_OBSERVATION	2023
29.0471	-2.442997	Rwanda	RW	HUMAN_OBSERVATION	2023
29.157618	-2.43226	Rwanda	RW	HUMAN_OBSERVATION	2023
29.030795	-2.528255	Rwanda	RW	HUMAN_OBSERVATION	2023
30.383333	0.435	Uganda	UG	HUMAN_OBSERVATION	2023
29.057872	-2.548686	Rwanda	RW	HUMAN_OBSERVATION	2023
29.686008	-1.015321	Uganda	UG	HUMAN_OBSERVATION	2023
30.530917	0.484252	Uganda	UG	HUMAN_OBSERVATION	2023
29.294594	-2.558978	Rwanda	RW	HUMAN_OBSERVATION	2023
29.060591	-2.408096	Rwanda	RW	HUMAN_OBSERVATION	2023
29.172648	-2.424972	Rwanda	RW	HUMAN_OBSERVATION	2023
29.23279	-2.471965	Rwanda	RW	HUMAN_OBSERVATION	2023
29.387172	-2.580397	Rwanda	RW	HUMAN_OBSERVATION	2023
29.356833	-2.425917	Rwanda	RW	HUMAN_OBSERVATION	2023
29.137348	-2.58176	Rwanda	RW	HUMAN_OBSERVATION	2023
29.397361	-2.572771	Rwanda	RW	HUMAN_OBSERVATION	2023
29.287884	-2.576877	Rwanda	RW	HUMAN_OBSERVATION	2023
29.072515	-2.481345	Rwanda	RW	HUMAN_OBSERVATION	2023
29.222731	-2.555684	Rwanda	RW	HUMAN_OBSERVATION	2023
29.128065	-2.563797	Rwanda	RW	HUMAN_OBSERVATION	2023
29.23402	-1.897332	Rwanda	RW	HUMAN_OBSERVATION	2023
29.253686	-1.91704	Rwanda	RW	HUMAN_OBSERVATION	2023
29.705044	-1.127607	Uganda	UG	HUMAN_OBSERVATION	2023
29.10874	2.44034	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2023
29.12452	-2.474083	Rwanda	RW	HUMAN_OBSERVATION	2023
29.780887	-1.169905	Uganda	UG	HUMAN_OBSERVATION	2023
29.316376	-2.436986	Rwanda	RW	HUMAN_OBSERVATION	2023
29.069633	-2.547165	Rwanda	RW	HUMAN_OBSERVATION	2023
29.127926	-2.42071	Rwanda	RW	HUMAN_OBSERVATION	2023
29.166739	-2.436248	Rwanda	RW	HUMAN_OBSERVATION	2023
30.113583	0.326865	Uganda	UG	HUMAN_OBSERVATION	2022
29.222814	-2.591777	Rwanda	RW	HUMAN_OBSERVATION	2022
29.978503	-1.184933	Uganda	UG	HUMAN_OBSERVATION	2022
29.773785	-1.150092	Uganda	UG	HUMAN_OBSERVATION	2022
30.284095	0.569034	Uganda	UG	HUMAN_OBSERVATION	2022
29.706843	-0.843589	Uganda	UG	HUMAN_OBSERVATION	2022
29.661501	-0.839475	Uganda	UG	HUMAN_OBSERVATION	2022
