decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-47.583122	-3.694185	Brazil	BR	HUMAN_OBSERVATION	2024
-50.177592	-6.184845	Brazil	BR	HUMAN_OBSERVATION	2023
-50.077626	-6.057462	Brazil	BR	HUMAN_OBSERVATION	2023
-50.196242	-6.08958	Brazil	BR	HUMAN_OBSERVATION	2023
-50.101429	-6.100395	Brazil	BR	HUMAN_OBSERVATION	2023
-50.034626	-6.181209	Brazil	BR	HUMAN_OBSERVATION	2023
-50.118576	-6.137122	Brazil	BR	HUMAN_OBSERVATION	2023
-50.11266	-6.014189	Brazil	BR	HUMAN_OBSERVATION	2023
-50.032092	-6.125471	Brazil	BR	HUMAN_OBSERVATION	2023
-50.174138	-6.086754	Brazil	BR	HUMAN_OBSERVATION	2023
-50.020262	-6.100723	Brazil	BR	HUMAN_OBSERVATION	2023
-50.335714	-6.129716	Brazil	BR	HUMAN_OBSERVATION	2023
-50.335275	-6.064879	Brazil	BR	HUMAN_OBSERVATION	2023
-50.42285	-6.174047	Brazil	BR	HUMAN_OBSERVATION	2023
-45.705163	-1.340068	Brazil	BR	HUMAN_OBSERVATION	2023
-50.00886	-6.077655	Brazil	BR	HUMAN_OBSERVATION	2023
-50.038329	-6.17337	Brazil	BR	HUMAN_OBSERVATION	2023
-50.094927	-6.199042	Brazil	BR	HUMAN_OBSERVATION	2023
-49.39136	-7.204697	Brazil	BR	HUMAN_OBSERVATION	2023
-50.02715	-9.361648	Brazil	BR	HUMAN_OBSERVATION	2022
-49.508777	-5.898354	Brazil	BR	HUMAN_OBSERVATION	2022
-47.78617	-5.111066	Brazil	BR	HUMAN_OBSERVATION	2022
-47.521303	-4.930047	Brazil	BR	HUMAN_OBSERVATION	2022
-47.682999	-4.865552	Brazil	BR	HUMAN_OBSERVATION	2022
-50.089231	-6.070616	Brazil	BR	HUMAN_OBSERVATION	2022
-50.098996	-6.076533	Brazil	BR	HUMAN_OBSERVATION	2022
-47.796365	-3.081522	Brazil	BR	HUMAN_OBSERVATION	2022
-49.60453	-5.838685	Brazil	BR	HUMAN_OBSERVATION	2021
-46.887261	-3.667446	Brazil	BR	HUMAN_OBSERVATION	2021
-51.834518	-6.659685	Brazil	BR	HUMAN_OBSERVATION	2020
-49.652238	-3.795483	Brazil	BR	HUMAN_OBSERVATION	2019
-50.218292	-6.306589	Brazil	BR	HUMAN_OBSERVATION	2019
-50.737098	-3.818671	Brazil	BR	HUMAN_OBSERVATION	2018
-49.331682	-7.91322	Brazil	BR	HUMAN_OBSERVATION	2017
-50.160613	-6.195285	Brazil	BR	HUMAN_OBSERVATION	2017
-50.010785	-6.125845	Brazil	BR	HUMAN_OBSERVATION	2017
-50.045162	-6.085498	Brazil	BR	HUMAN_OBSERVATION	2017
-50.074415	-6.040487	Brazil	BR	HUMAN_OBSERVATION	2017
-49.939159	-6.050186	Brazil	BR	HUMAN_OBSERVATION	2017
-49.94806	-6.15562	Brazil	BR	HUMAN_OBSERVATION	2017
-49.837084	-6.149222	Brazil	BR	HUMAN_OBSERVATION	2017
-49.839525	-6.166422	Brazil	BR	HUMAN_OBSERVATION	2017
-50.245681	-6.036921	Brazil	BR	HUMAN_OBSERVATION	2017
-49.000531	-5.245206	Brazil	BR	HUMAN_OBSERVATION	2015
-48.889972	-5.756563	Brazil	BR	HUMAN_OBSERVATION	2015
-50.080675	-6.012042	Brazil	BR	HUMAN_OBSERVATION	2015
-50.566262	-6.229706	Brazil	BR	HUMAN_OBSERVATION	2013
-49.243184	-7.479883	Brazil	BR	HUMAN_OBSERVATION	2013
-49.688828	-3.889363	Brazil	BR	HUMAN_OBSERVATION	2007
-49.321586	-4.215314	Brazil	BR	HUMAN_OBSERVATION	2007
-50.104348	-6.183135	Brazil	BR	HUMAN_OBSERVATION	2006
-54.947222	-3.355	Brazil	BR	MACHINE_OBSERVATION	1999
-54.949444	-3.355833	Brazil	BR	MACHINE_OBSERVATION	1999
-54.933333	-3.350833	Brazil	BR	MACHINE_OBSERVATION	1999
-52.37	-3.67	Brazil	BR	PRESERVED_SPECIMEN	1986
-55.6	-4.92	Brazil	BR	PRESERVED_SPECIMEN	1976
-54.67	-4	Brazil	BR	PRESERVED_SPECIMEN	1973
-55.33	-4.42	Brazil	BR	PRESERVED_SPECIMEN	1971
-55.23333	-3.36667	Brazil	BR	PRESERVED_SPECIMEN	1959
-55.5	-3.666667	Brazil	BR	PRESERVED_SPECIMEN	1959
-55.083332	-2.9	Brazil	BR	PRESERVED_SPECIMEN	1959
-55.216667	-3.416667	Brazil	BR	PRESERVED_SPECIMEN	1958
-55.1216	-3.09216	Brazil	BR	PRESERVED_SPECIMEN	1933
-55.1262	-3.08828	Brazil	BR	PRESERVED_SPECIMEN	1933
-55.8	-1.7833	Brazil	BR	PRESERVED_SPECIMEN	1933
-55.24744	-3.12401	Brazil	BR	PRESERVED_SPECIMEN	1932
-49.5	-1	Brazil	BR	PRESERVED_SPECIMEN	1923
-55.13333	-2.83333	Brazil	BR	PRESERVED_SPECIMEN	NA
-55.33	-3.32	Brazil	BR	PRESERVED_SPECIMEN	NA
