decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-59.44896	-27.011897	Argentina	AR	HUMAN_OBSERVATION	2024
-59.448051	-27.080185	Argentina	AR	HUMAN_OBSERVATION	2024
-58.024517	-26.835838	Paraguay	PY	HUMAN_OBSERVATION	2024
-59.545983	-29.305904	Argentina	AR	HUMAN_OBSERVATION	2023
-56.855396	-27.871128	Argentina	AR	HUMAN_OBSERVATION	2023
-56.355161	-16.497128	Brazil	BR	HUMAN_OBSERVATION	2023
-56.344707	-16.495682	Brazil	BR	HUMAN_OBSERVATION	2023
-59.263632	-28.550788	Argentina	AR	HUMAN_OBSERVATION	2023
-59.301516	-28.467795	Argentina	AR	HUMAN_OBSERVATION	2023
-59.392268	-28.538858	Argentina	AR	HUMAN_OBSERVATION	2023
-59.270584	-28.439318	Argentina	AR	HUMAN_OBSERVATION	2023
-59.217766	-28.41995	Argentina	AR	HUMAN_OBSERVATION	2023
-59.251509	-28.520291	Argentina	AR	HUMAN_OBSERVATION	2023
-59.25495	-28.465874	Argentina	AR	HUMAN_OBSERVATION	2023
-59.209619	-28.401309	Argentina	AR	HUMAN_OBSERVATION	2023
-59.357309	-28.401345	Argentina	AR	HUMAN_OBSERVATION	2023
-59.436201	-29.33667	Argentina	AR	HUMAN_OBSERVATION	2023
-59.28822	-28.550558	Argentina	AR	HUMAN_OBSERVATION	2023
-59.332187	-28.454623	Argentina	AR	HUMAN_OBSERVATION	2023
-59.280742	-28.578427	Argentina	AR	HUMAN_OBSERVATION	2023
-59.382306	-28.467398	Argentina	AR	HUMAN_OBSERVATION	2023
-59.205536	-27.558945	Argentina	AR	HUMAN_OBSERVATION	2023
-59.338568	-28.463032	Argentina	AR	HUMAN_OBSERVATION	2023
-59.376325	-28.594798	Argentina	AR	HUMAN_OBSERVATION	2023
-58.813571	-27.593165	Argentina	AR	HUMAN_OBSERVATION	2023
-59.277574	-28.498079	Argentina	AR	HUMAN_OBSERVATION	2023
-57.190759	-28.403856	Argentina	AR	HUMAN_OBSERVATION	2023
-57.078799	-28.44082	Argentina	AR	HUMAN_OBSERVATION	2023
-56.000668	-28.094437	Argentina	AR	HUMAN_OBSERVATION	2023
-56.153197	-28.015978	Argentina	AR	HUMAN_OBSERVATION	2023
-56.111853	-28.18101	Argentina	AR	HUMAN_OBSERVATION	2023
-59.07869	-26.275131	Argentina	AR	HUMAN_OBSERVATION	2023
-59.288711	-28.568992	Argentina	AR	HUMAN_OBSERVATION	2023
-59.178276	-27.316091	Argentina	AR	HUMAN_OBSERVATION	2023
-57.057432	-28.538697	Argentina	AR	HUMAN_OBSERVATION	2023
-57.022556	-19.577308	Brazil	BR	HUMAN_OBSERVATION	2023
-56.836556	-27.814049	Argentina	AR	HUMAN_OBSERVATION	2023
-58.712711	-27.504737	Argentina	AR	HUMAN_OBSERVATION	2023
-57.547798	-25.44936	Paraguay	PY	HUMAN_OBSERVATION	2023
-57.587543	-25.596269	Paraguay	PY	HUMAN_OBSERVATION	2023
-56.678688	-16.454995	Brazil	BR	HUMAN_OBSERVATION	2023
-56.833248	-17.448858	Brazil	BR	HUMAN_OBSERVATION	2023
-56.389372	-21.295816	Brazil	BR	HUMAN_OBSERVATION	2023
-59.17577	-28.436301	Argentina	AR	HUMAN_OBSERVATION	2023
-58.775504	-25.506948	Argentina	AR	HUMAN_OBSERVATION	2023
-56.944486	-17.095138	Brazil	BR	HUMAN_OBSERVATION	2023
-58.794293	-27.544929	Argentina	AR	HUMAN_OBSERVATION	2023
-57.234655	-28.254528	Argentina	AR	HUMAN_OBSERVATION	2023
-56.77411	-17.364234	Brazil	BR	HUMAN_OBSERVATION	2023
-56.62143	-16.378801	Brazil	BR	HUMAN_OBSERVATION	2023
-53.817377	-26.502193	Argentina	AR	HUMAN_OBSERVATION	2023
-60.528176	-26.392141	Argentina	AR	HUMAN_OBSERVATION	2023
-57.087368	-28.411955	Argentina	AR	HUMAN_OBSERVATION	2023
-59.514367	-29.3615	Argentina	AR	HUMAN_OBSERVATION	2023
-58.14877	-28.006968	Argentina	AR	HUMAN_OBSERVATION	2023
-57.019176	-19.576881	Brazil	BR	HUMAN_OBSERVATION	2023
-56.717495	-17.256309	Brazil	BR	HUMAN_OBSERVATION	2023
-56.716221	-17.253269	Brazil	BR	HUMAN_OBSERVATION	2023
-58.241577	-25.124603	Argentina	AR	HUMAN_OBSERVATION	2023
-58.208368	-25.039435	Argentina	AR	HUMAN_OBSERVATION	2023
-58.040623	-25.113468	Argentina	AR	HUMAN_OBSERVATION	2023
-58.169427	-25.19276	Argentina	AR	HUMAN_OBSERVATION	2023
-58.173434	-25.09998	Argentina	AR	HUMAN_OBSERVATION	2023
-58.009566	-25.173358	Argentina	AR	HUMAN_OBSERVATION	2023
-58.128755	-25.118486	Argentina	AR	HUMAN_OBSERVATION	2023
-56.038289	-20.035933	Brazil	BR	HUMAN_OBSERVATION	2023
-57.080227	-28.539566	Argentina	AR	HUMAN_OBSERVATION	2023
-57.383488	-28.577522	Argentina	AR	HUMAN_OBSERVATION	2023
-59.553222	-29.201248	Argentina	AR	HUMAN_OBSERVATION	2023
-54.440816	-25.690864	Brazil	BR	HUMAN_OBSERVATION	2023
-56.437663	-16.577798	Brazil	BR	HUMAN_OBSERVATION	2023
-56.437989	-16.577744	Brazil	BR	HUMAN_OBSERVATION	2023
-56.459591	-16.638502	Brazil	BR	HUMAN_OBSERVATION	2023
-58.720707	-25.279991	Argentina	AR	HUMAN_OBSERVATION	2023
-56.384245	-16.569638	Brazil	BR	HUMAN_OBSERVATION	2023
-56.741232	-16.502008	Brazil	BR	HUMAN_OBSERVATION	2023
-59.290243	-28.773206	Argentina	AR	HUMAN_OBSERVATION	2023
-56.029733	-28.588659	Argentina	AR	HUMAN_OBSERVATION	2023
-56.009586	-28.483649	Argentina	AR	HUMAN_OBSERVATION	2023
-56.733969	-16.622103	Brazil	BR	HUMAN_OBSERVATION	2023
-56.628114	-16.264503	Brazil	BR	HUMAN_OBSERVATION	2023
-57.198653	-28.47674	Argentina	AR	HUMAN_OBSERVATION	2023
-57.140618	-28.515692	Argentina	AR	HUMAN_OBSERVATION	2023
-58.738876	-27.573414	Argentina	AR	HUMAN_OBSERVATION	2023
-56.706009	-17.322417	Brazil	BR	HUMAN_OBSERVATION	2023
-56.711559	-16.512083	Brazil	BR	HUMAN_OBSERVATION	2023
-59.113562	-28.124862	Argentina	AR	HUMAN_OBSERVATION	2023
-59.34149	-28.670562	Argentina	AR	HUMAN_OBSERVATION	2023
-57.258573	-28.465835	Argentina	AR	HUMAN_OBSERVATION	2023
-59.245761	-28.457728	Argentina	AR	HUMAN_OBSERVATION	2023
-56.847362	-16.739112	Brazil	BR	HUMAN_OBSERVATION	2023
-56.839763	-27.806492	Argentina	AR	HUMAN_OBSERVATION	2023
-61.017189	-24.903604	Argentina	AR	HUMAN_OBSERVATION	2023
-59.18463	-25.618738	Argentina	AR	HUMAN_OBSERVATION	2023
-56.731514	-17.323572	Brazil	BR	HUMAN_OBSERVATION	2023
-59.263067	-28.502595	Argentina	AR	HUMAN_OBSERVATION	2023
-59.198107	-25.767651	Argentina	AR	HUMAN_OBSERVATION	2023
-57.273992	-28.52905	Argentina	AR	HUMAN_OBSERVATION	2023
-59.46212	-29.007153	Argentina	AR	HUMAN_OBSERVATION	2023
-59.582558	-29.01243	Argentina	AR	HUMAN_OBSERVATION	2023
-56.701905	-16.533455	Brazil	BR	HUMAN_OBSERVATION	2023
-56.679439	-17.320615	Brazil	BR	HUMAN_OBSERVATION	2023
-56.77411	-17.364233	Brazil	BR	HUMAN_OBSERVATION	2023
-56.715126	-17.27441	Brazil	BR	HUMAN_OBSERVATION	2023
-56.281515	-19.853555	Brazil	BR	HUMAN_OBSERVATION	2023
-57.28124	-28.501022	Argentina	AR	HUMAN_OBSERVATION	2023
-57.207956	-28.482187	Argentina	AR	HUMAN_OBSERVATION	2023
-57.147995	-28.493195	Argentina	AR	HUMAN_OBSERVATION	2023
-56.7389	-16.6319	Brazil	BR	HUMAN_OBSERVATION	2023
-56.9721	-19.6191	Brazil	BR	HUMAN_OBSERVATION	2023
-57.0582	-19.3406	Brazil	BR	HUMAN_OBSERVATION	2023
-59.012453	-28.590943	Argentina	AR	HUMAN_OBSERVATION	2023
-56.61806	-16.381605	Brazil	BR	HUMAN_OBSERVATION	2023
-58.06696	-34.901186	Argentina	AR	HUMAN_OBSERVATION	2023
-59.390388	-28.540484	Argentina	AR	HUMAN_OBSERVATION	2023
-58.121936	-34.919169	Argentina	AR	HUMAN_OBSERVATION	2023
-59.408493	-28.824677	Argentina	AR	HUMAN_OBSERVATION	2023
-58.776511	-25.466506	Argentina	AR	HUMAN_OBSERVATION	2023
-58.737472	-25.574028	Argentina	AR	HUMAN_OBSERVATION	2023
-59.192756	-27.305339	Argentina	AR	HUMAN_OBSERVATION	2023
-56.714919	-17.296559	Brazil	BR	HUMAN_OBSERVATION	2023
-57.856426	-28.450196	Argentina	AR	HUMAN_OBSERVATION	2023
-60.992917	-25.041635	Argentina	AR	HUMAN_OBSERVATION	2023
-57.084745	-28.596012	Argentina	AR	HUMAN_OBSERVATION	2023
-59.282195	-28.5704	Argentina	AR	HUMAN_OBSERVATION	2023
-58.309917	-26.845438	Paraguay	PY	HUMAN_OBSERVATION	2023
-57.560124	-25.49072	Paraguay	PY	HUMAN_OBSERVATION	2023
-58.308217	-26.846795	Paraguay	PY	HUMAN_OBSERVATION	2023
-57.235178	-28.47703	Argentina	AR	HUMAN_OBSERVATION	2023
-58.309947	-26.845428	Paraguay	PY	HUMAN_OBSERVATION	2023
-59.321131	-28.565942	Argentina	AR	HUMAN_OBSERVATION	2023
-59.302616	-28.58947	Argentina	AR	HUMAN_OBSERVATION	2023
-59.096173	-28.541017	Argentina	AR	HUMAN_OBSERVATION	2023
-59.100736	-28.505448	Argentina	AR	HUMAN_OBSERVATION	2023
-59.332556	-28.500568	Argentina	AR	HUMAN_OBSERVATION	2023
