decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-47.993532	-24.056309	Brazil	BR	HUMAN_OBSERVATION	2024
-41.276222	-20.738942	Brazil	BR	HUMAN_OBSERVATION	2024
-46.641048	-23.057273	Brazil	BR	HUMAN_OBSERVATION	2024
-46.296734	-23.777138	Brazil	BR	HUMAN_OBSERVATION	2023
-46.296769	-23.77713	Brazil	BR	HUMAN_OBSERVATION	2023
-46.296797	-23.777139	Brazil	BR	HUMAN_OBSERVATION	2023
-46.296772	-23.777106	Brazil	BR	HUMAN_OBSERVATION	2023
-46.301222	-23.776912	Brazil	BR	HUMAN_OBSERVATION	2023
-46.296798	-23.777133	Brazil	BR	HUMAN_OBSERVATION	2023
-40.850645	-20.207653	Brazil	BR	HUMAN_OBSERVATION	2023
-46.296772	-23.777121	Brazil	BR	HUMAN_OBSERVATION	2023
-43.287369	-22.954555	Brazil	BR	HUMAN_OBSERVATION	2023
-46.296771	-23.77716	Brazil	BR	HUMAN_OBSERVATION	2023
-44.261539	-23.134817	Brazil	BR	HUMAN_OBSERVATION	2023
-41.817038	-19.731355	Brazil	BR	HUMAN_OBSERVATION	2023
-48.900892	-25.333855	Brazil	BR	HUMAN_OBSERVATION	2023
-46.533596	-23.396216	Brazil	BR	HUMAN_OBSERVATION	2023
-46.772921	-23.779002	Brazil	BR	HUMAN_OBSERVATION	2023
-41.267125	-20.747797	Brazil	BR	HUMAN_OBSERVATION	2023
-46.296839	-23.777113	Brazil	BR	HUMAN_OBSERVATION	2022
-46.301333	-23.776947	Brazil	BR	HUMAN_OBSERVATION	2022
-46.296713	-23.776996	Brazil	BR	HUMAN_OBSERVATION	2022
-46.296781	-23.777135	Brazil	BR	HUMAN_OBSERVATION	2022
-46.301333	-23.776798	Brazil	BR	HUMAN_OBSERVATION	2022
-46.301333	-23.776955	Brazil	BR	HUMAN_OBSERVATION	2022
-46.296691	-23.777143	Brazil	BR	HUMAN_OBSERVATION	2022
-46.296668	-23.77701	Brazil	BR	HUMAN_OBSERVATION	2022
-52.172516	-22.620684	Brazil	BR	HUMAN_OBSERVATION	2022
-41.082307	-21.39829	Brazil	BR	HUMAN_OBSERVATION	2022
-46.679197	-23.799426	Brazil	BR	HUMAN_OBSERVATION	2022
-47.993496	-24.056282	Brazil	BR	HUMAN_OBSERVATION	2022
-46.296757	-23.777167	Brazil	BR	HUMAN_OBSERVATION	2022
-47.549077	-23.550166	Brazil	BR	HUMAN_OBSERVATION	2022
-46.316144	-23.781457	Brazil	BR	HUMAN_OBSERVATION	2021
-46.296618	-23.777147	Brazil	BR	HUMAN_OBSERVATION	2021
-41.172484	-19.595891	Brazil	BR	HUMAN_OBSERVATION	2021
-46.299773	-23.777651	Brazil	BR	HUMAN_OBSERVATION	2021
-40.627271	-19.54819	Brazil	BR	HUMAN_OBSERVATION	2021
-46.725015	-22.935188	Brazil	BR	HUMAN_OBSERVATION	2021
-42.027842	-20.908068	Brazil	BR	HUMAN_OBSERVATION	2021
-52.301619	-22.559708	Brazil	BR	HUMAN_OBSERVATION	2019
-42.701123	-20.546782	Brazil	BR	HUMAN_OBSERVATION	2019
-45.280302	-22.508432	Brazil	BR	HUMAN_OBSERVATION	2019
-45.226913	-22.541323	Brazil	BR	HUMAN_OBSERVATION	2019
-52.172842	-22.615873	Brazil	BR	HUMAN_OBSERVATION	2019
-40.670556	-19.803611	Brazil	BR	PRESERVED_SPECIMEN	2019
-52.301499	-22.533913	Brazil	BR	HUMAN_OBSERVATION	2019
-40.784444	-20.119167	Brazil	BR	PRESERVED_SPECIMEN	2018
-42.634369	-19.757991	Brazil	BR	HUMAN_OBSERVATION	2018
-52.280386	-22.528974	Brazil	BR	HUMAN_OBSERVATION	2018
-47.105183	-22.823653	Brazil	BR	HUMAN_OBSERVATION	2018
-41.987824	-22.574129	Brazil	BR	HUMAN_OBSERVATION	2018
-47.105173	-22.823582	Brazil	BR	HUMAN_OBSERVATION	2018
-42.630071	-19.762964	Brazil	BR	HUMAN_OBSERVATION	2018
-42.631333	-19.763747	Brazil	BR	HUMAN_OBSERVATION	2018
-48.627953	-24.58705	Brazil	BR	HUMAN_OBSERVATION	2018
-41.019722	-20.451389	Brazil	BR	PRESERVED_SPECIMEN	2018
-48.423507	-24.293873	Brazil	BR	HUMAN_OBSERVATION	2018
-47.110622	-22.824579	Brazil	BR	HUMAN_OBSERVATION	2018
-40.969444	-19.851389	Brazil	BR	PRESERVED_SPECIMEN	2017
-41.036667	-20.209444	Brazil	BR	PRESERVED_SPECIMEN	2017
-40.485	-19.865	Brazil	BR	PRESERVED_SPECIMEN	2017
-40.685556	-19.917778	Brazil	BR	PRESERVED_SPECIMEN	2017
-40.798056	-19.856389	Brazil	BR	PRESERVED_SPECIMEN	2017
