decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-85.530471	10.591966	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.895959	9.772896	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.124069	10.416855	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.660125	9.918108	Costa Rica	CR	HUMAN_OBSERVATION	2024
-79.77738	9.117848	Panama	PA	HUMAN_OBSERVATION	2024
-85.592828	10.173125	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.524823	10.597161	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.734985	8.622219	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.734432	8.617346	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.754275	10.528992	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.657219	10.652521	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.142589	9.384211	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.142986	9.38435	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.99642	10.468465	Costa Rica	CR	HUMAN_OBSERVATION	2024
-79.016667	9.116667	Panama	PA	HUMAN_OBSERVATION	2024
-83.73749	9.151506	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.026772	10.716333	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.734985	11.03529	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.735671	11.034776	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.735071	11.035197	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.868745	10.207208	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.14453	9.390037	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.669254	9.990766	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.404156	9.861861	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.004423	10.432412	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.00501	10.431332	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.489658	10.483827	Costa Rica	CR	HUMAN_OBSERVATION	2024
-79.205501	9.299444	Panama	PA	HUMAN_OBSERVATION	2024
-83.5017	10.53777	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.04246	10.1406	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.054694	9.668937	Costa Rica	CR	HUMAN_OBSERVATION	2024
