decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-89.791128	17.243605	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.860699	18.317089	Mexico	MX	HUMAN_OBSERVATION	2024
-88.690398	17.766978	Belize	BZ	HUMAN_OBSERVATION	2024
-89.726818	17.288913	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.741458	18.080118	Mexico	MX	HUMAN_OBSERVATION	2024
-88.512252	17.48537	Belize	BZ	HUMAN_OBSERVATION	2024
-89.718448	16.962889	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.403676	17.097606	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.800788	18.114063	Mexico	MX	HUMAN_OBSERVATION	2024
-89.262908	16.466004	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.206447	16.462429	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.856436	18.315734	Mexico	MX	HUMAN_OBSERVATION	2024
-89.758051	17.278819	Guatemala	GT	HUMAN_OBSERVATION	2024
-88.462641	17.665545	Belize	BZ	HUMAN_OBSERVATION	2024
-92.011452	17.49991	Mexico	MX	HUMAN_OBSERVATION	2024
-90.359582	17.313203	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.670571	16.946968	Guatemala	GT	HUMAN_OBSERVATION	2024
-88.566869	17.518104	Belize	BZ	HUMAN_OBSERVATION	2024
-88.810872	18.110123	Mexico	MX	HUMAN_OBSERVATION	2024
-88.521403	17.435718	Belize	BZ	HUMAN_OBSERVATION	2024
-88.810047	18.110578	Mexico	MX	HUMAN_OBSERVATION	2023
-89.880409	16.871394	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.883032	17.241327	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.553055	17.504646	Belize	BZ	HUMAN_OBSERVATION	2023
-90.273945	17.274363	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.534597	17.569866	Belize	BZ	HUMAN_OBSERVATION	2023
-88.517469	17.561845	Belize	BZ	HUMAN_OBSERVATION	2023
-89.720438	17.376202	Guatemala	GT	HUMAN_OBSERVATION	2023
-91.530295	17.742428	Mexico	MX	HUMAN_OBSERVATION	2023
-89.045418	17.108827	Belize	BZ	HUMAN_OBSERVATION	2023
-88.467606	17.531817	Belize	BZ	HUMAN_OBSERVATION	2023
-88.742037	17.735486	Belize	BZ	HUMAN_OBSERVATION	2023
-89.185917	17.007889	Belize	BZ	HUMAN_OBSERVATION	2023
-88.651678	17.809998	Belize	BZ	HUMAN_OBSERVATION	2023
-88.640817	16.418472	Belize	BZ	HUMAN_OBSERVATION	2023
-89.805589	18.108859	Mexico	MX	HUMAN_OBSERVATION	2023
-92.647858	18.405563	Mexico	MX	HUMAN_OBSERVATION	2023
-89.616394	17.309821	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.807643	18.107953	Mexico	MX	HUMAN_OBSERVATION	2023
-89.044053	17.46429	Belize	BZ	HUMAN_OBSERVATION	2023
-89.870842	16.818424	Guatemala	GT	HUMAN_OBSERVATION	2023
-90.358132	17.273406	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.758269	17.375743	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.588896	16.270065	Belize	BZ	HUMAN_OBSERVATION	2023
-92.109278	18.126603	Mexico	MX	HUMAN_OBSERVATION	2023
-89.92667	16.869427	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.799985	17.729699	Belize	BZ	HUMAN_OBSERVATION	2023
-89.354449	17.03862	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.694635	17.246602	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.635762	17.188526	Belize	BZ	HUMAN_OBSERVATION	2023
-88.612546	17.6249	Belize	BZ	HUMAN_OBSERVATION	2023
-90.706873	18.653526	Mexico	MX	HUMAN_OBSERVATION	2023
-90.739025	18.610183	Mexico	MX	HUMAN_OBSERVATION	2023
-92.034748	17.52144	Mexico	MX	HUMAN_OBSERVATION	2023
-89.822916	17.081571	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.855084	17.159442	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.992539	17.204047	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.659351	17.745501	Belize	BZ	HUMAN_OBSERVATION	2023
-88.61243	17.648606	Belize	BZ	HUMAN_OBSERVATION	2023
-92.01612	17.488857	Mexico	MX	HUMAN_OBSERVATION	2023
-89.18921	16.796807	Belize	BZ	HUMAN_OBSERVATION	2023
-89.164878	16.6513	Belize	BZ	HUMAN_OBSERVATION	2023
-89.138384	16.64277	Belize	BZ	HUMAN_OBSERVATION	2023
-89.086428	16.645732	Belize	BZ	HUMAN_OBSERVATION	2023
-90.20987	17.292173	Guatemala	GT	HUMAN_OBSERVATION	2023
-91.744432	17.756595	Mexico	MX	HUMAN_OBSERVATION	2023
-89.4929	18.411003	Mexico	MX	HUMAN_OBSERVATION	2023
-91.795122	17.838889	Mexico	MX	HUMAN_OBSERVATION	2023
-92.017124	17.498121	Mexico	MX	HUMAN_OBSERVATION	2023
-90.936755	16.836526	Mexico	MX	HUMAN_OBSERVATION	2023
-89.99228	16.897364	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.949555	16.961314	Guatemala	GT	HUMAN_OBSERVATION	2023
-92.045895	17.48477	Mexico	MX	HUMAN_OBSERVATION	2023
-88.638289	17.693393	Belize	BZ	HUMAN_OBSERVATION	2023
-89.155132	17.437954	Belize	BZ	HUMAN_OBSERVATION	2023
-88.788461	17.754303	Belize	BZ	HUMAN_OBSERVATION	2023
-88.744929	17.798982	Belize	BZ	HUMAN_OBSERVATION	2023
-91.993047	17.510975	Mexico	MX	HUMAN_OBSERVATION	2023
-89.893429	18.488781	Mexico	MX	HUMAN_OBSERVATION	2023
-90.967001	16.899947	Mexico	MX	HUMAN_OBSERVATION	2023
-89.384506	17.056046	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.961235	15.533498	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.146258	17.194101	Belize	BZ	HUMAN_OBSERVATION	2023
-90.963468	16.899208	Mexico	MX	HUMAN_OBSERVATION	2023
-90.862755	16.25722	Mexico	MX	HUMAN_OBSERVATION	2023
-90.234087	17.381555	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.890112	16.155138	Belize	BZ	HUMAN_OBSERVATION	2023
-89.085705	17.113147	Belize	BZ	HUMAN_OBSERVATION	2023
-88.461087	17.490239	Belize	BZ	HUMAN_OBSERVATION	2023
-90.964472	16.898903	Mexico	MX	HUMAN_OBSERVATION	2023
-91.984513	17.588777	Mexico	MX	HUMAN_OBSERVATION	2023
-92.045895	17.484776	Mexico	MX	HUMAN_OBSERVATION	2023
-92.510645	18.343671	Mexico	MX	HUMAN_OBSERVATION	2023
-88.754909	17.514999	Belize	BZ	HUMAN_OBSERVATION	2023
-91.840061	17.75984	Mexico	MX	HUMAN_OBSERVATION	2023
-89.034138	17.343976	Belize	BZ	HUMAN_OBSERVATION	2023
-91.997741	17.430164	Mexico	MX	HUMAN_OBSERVATION	2023
-91.968215	17.509603	Mexico	MX	HUMAN_OBSERVATION	2023
-92.093357	18.112608	Mexico	MX	HUMAN_OBSERVATION	2023
-90.966751	16.899614	Mexico	MX	HUMAN_OBSERVATION	2023
-89.810002	18.105374	Mexico	MX	HUMAN_OBSERVATION	2023
-89.490715	18.408618	Mexico	MX	HUMAN_OBSERVATION	2023
-89.729961	17.378143	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.644695	17.610256	Belize	BZ	HUMAN_OBSERVATION	2023
-89.330963	18.387983	Mexico	MX	HUMAN_OBSERVATION	2023
-89.505735	18.295916	Mexico	MX	HUMAN_OBSERVATION	2023
-89.492811	18.410231	Mexico	MX	HUMAN_OBSERVATION	2023
-89.492923	18.40988	Mexico	MX	HUMAN_OBSERVATION	2023
-88.994464	16.026433	Belize	BZ	HUMAN_OBSERVATION	2023
-90.310007	17.380188	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.160088	18.356201	Mexico	MX	HUMAN_OBSERVATION	2023
-91.766052	17.740915	Mexico	MX	HUMAN_OBSERVATION	2023
-92.651926	18.47154	Mexico	MX	HUMAN_OBSERVATION	2023
-88.397436	17.513843	Belize	BZ	HUMAN_OBSERVATION	2023
-88.260672	17.509689	Belize	BZ	HUMAN_OBSERVATION	2023
-88.706431	17.708713	Belize	BZ	HUMAN_OBSERVATION	2023
-88.723541	17.65163	Belize	BZ	HUMAN_OBSERVATION	2023
-89.366884	17.161395	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.665752	17.684244	Belize	BZ	HUMAN_OBSERVATION	2023
-88.721943	17.730522	Belize	BZ	HUMAN_OBSERVATION	2023
-88.608567	17.677848	Belize	BZ	HUMAN_OBSERVATION	2023
-88.621464	17.611655	Belize	BZ	HUMAN_OBSERVATION	2023
-88.52673	17.487159	Belize	BZ	HUMAN_OBSERVATION	2023
-88.466741	17.555447	Belize	BZ	HUMAN_OBSERVATION	2023
-88.791124	17.357201	Belize	BZ	HUMAN_OBSERVATION	2023
-88.347534	17.594991	Belize	BZ	HUMAN_OBSERVATION	2023
-88.470462	17.599137	Belize	BZ	HUMAN_OBSERVATION	2023
-90.900617	16.805808	Mexico	MX	HUMAN_OBSERVATION	2023
