decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-75.8884	8.756165	Colombia	CO	HUMAN_OBSERVATION	2024
-76.16434	-0.034884	Ecuador	EC	HUMAN_OBSERVATION	2024
-75.579657	4.741045	Colombia	CO	HUMAN_OBSERVATION	2024
-75.684107	4.715288	Colombia	CO	HUMAN_OBSERVATION	2024
-76.607151	-0.394131	Ecuador	EC	HUMAN_OBSERVATION	2024
-75.060739	9.073743	Colombia	CO	HUMAN_OBSERVATION	2024
-73.325538	3.838477	Colombia	CO	HUMAN_OBSERVATION	2024
-75.889718	8.755169	Colombia	CO	HUMAN_OBSERVATION	2024
-75.889505	8.755155	Colombia	CO	HUMAN_OBSERVATION	2024
-76.149834	-0.638063	Ecuador	EC	HUMAN_OBSERVATION	2024
-74.073119	11.0919	Colombia	CO	HUMAN_OBSERVATION	2024
-75.818724	4.843859	Colombia	CO	HUMAN_OBSERVATION	2024
-73.913723	11.289402	Colombia	CO	HUMAN_OBSERVATION	2024
-72.880127	4.534272	Colombia	CO	HUMAN_OBSERVATION	2024
-75.564717	4.719335	Colombia	CO	HUMAN_OBSERVATION	2024
-75.683872	4.715193	Colombia	CO	HUMAN_OBSERVATION	2024
-75.96714	8.36548	Colombia	CO	HUMAN_OBSERVATION	2024
-75.578747	4.729544	Colombia	CO	HUMAN_OBSERVATION	2024
-73.309913	9.578942	Colombia	CO	HUMAN_OBSERVATION	2024
-76.423226	-0.526953	Ecuador	EC	HUMAN_OBSERVATION	2024
-73.59373	3.631172	Colombia	CO	HUMAN_OBSERVATION	2023
-75.647182	4.694938	Colombia	CO	HUMAN_OBSERVATION	2023
-73.911515	11.288163	Colombia	CO	HUMAN_OBSERVATION	2023
-73.914023	11.286229	Colombia	CO	HUMAN_OBSERVATION	2023
-73.913676	11.286611	Colombia	CO	HUMAN_OBSERVATION	2023
-73.45821	6.975458	Colombia	CO	HUMAN_OBSERVATION	2023
-74.782557	5.185707	Colombia	CO	HUMAN_OBSERVATION	2023
-74.668385	6.06584	Colombia	CO	HUMAN_OBSERVATION	2023
-72.291361	5.368204	Colombia	CO	HUMAN_OBSERVATION	2023
-74.073192	11.09201	Colombia	CO	HUMAN_OBSERVATION	2023
-71.699345	5.463362	Colombia	CO	HUMAN_OBSERVATION	2023
-71.36369	6.014026	Colombia	CO	HUMAN_OBSERVATION	2023
-73.730563	6.857252	Colombia	CO	HUMAN_OBSERVATION	2023
-75.653076	4.685531	Colombia	CO	HUMAN_OBSERVATION	2023
-73.856609	7.181757	Colombia	CO	HUMAN_OBSERVATION	2023
-77.525238	-1.170458	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.6195	-0.40676	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.618953	-0.623869	Ecuador	EC	HUMAN_OBSERVATION	2023
-72.920056	-1.183647	Colombia	CO	MACHINE_OBSERVATION	2023
-75.430197	10.354088	Colombia	CO	HUMAN_OBSERVATION	2023
-75.549682	4.709442	Colombia	CO	HUMAN_OBSERVATION	2023
-74.074532	11.255954	Colombia	CO	HUMAN_OBSERVATION	2023
-75.431038	10.35312	Colombia	CO	HUMAN_OBSERVATION	2023
-74.107075	11.138765	Colombia	CO	HUMAN_OBSERVATION	2023
-73.730041	6.84422	Colombia	CO	HUMAN_OBSERVATION	2023
-76.434297	3.870539	Colombia	CO	HUMAN_OBSERVATION	2023
