decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-58.187291	-25.962654	Argentina	AR	HUMAN_OBSERVATION	2023
-58.74211	-25.418709	Argentina	AR	HUMAN_OBSERVATION	2023
-58.663787	-25.517296	Argentina	AR	HUMAN_OBSERVATION	2023
-58.856917	-25.711191	Argentina	AR	HUMAN_OBSERVATION	2023
-58.817258	-25.691775	Argentina	AR	HUMAN_OBSERVATION	2023
-56.621429	-16.378801	Brazil	BR	HUMAN_OBSERVATION	2023
-58.519488	-23.927143	Paraguay	PY	HUMAN_OBSERVATION	2023
-49.313336	-4.896253	Brazil	BR	HUMAN_OBSERVATION	2023
-61.880043	-16.149961	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-67.572222	-14.600654	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-66.777378	-14.115993	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-64.948135	-14.732165	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-58.063746	-25.055047	Argentina	AR	HUMAN_OBSERVATION	2022
-58.043885	-25.895486	Argentina	AR	HUMAN_OBSERVATION	2022
-57.687636	-19.012133	Brazil	BR	HUMAN_OBSERVATION	2022
-57.687647	-19.012233	Brazil	BR	HUMAN_OBSERVATION	2022
-58.767582	-25.511456	Argentina	AR	HUMAN_OBSERVATION	2022
-60.050668	-22.200356	Paraguay	PY	HUMAN_OBSERVATION	2022
-60.050525	-22.19976	Paraguay	PY	HUMAN_OBSERVATION	2022
-60.050502	-22.199765	Paraguay	PY	HUMAN_OBSERVATION	2022
-60.050484	-22.199771	Paraguay	PY	HUMAN_OBSERVATION	2022
-55.928599	-9.587667	Brazil	BR	HUMAN_OBSERVATION	2022
-60.050759	-22.200279	Paraguay	PY	HUMAN_OBSERVATION	2022
-58.026946	-25.072961	Argentina	AR	HUMAN_OBSERVATION	2022
-55.932813	-9.598693	Brazil	BR	HUMAN_OBSERVATION	2021
-57.360514	-24.963787	Paraguay	PY	HUMAN_OBSERVATION	2021
-50.391702	-5.767459	Brazil	BR	HUMAN_OBSERVATION	2021
-55.971712	-9.506107	Brazil	BR	HUMAN_OBSERVATION	2021
-58.446343	-25.706444	Argentina	AR	HUMAN_OBSERVATION	2020
-55.921565	-9.555626	Brazil	BR	HUMAN_OBSERVATION	2019
-58.838184	-26.345996	Argentina	AR	HUMAN_OBSERVATION	2018
-58.842229	-26.29681	Argentina	AR	HUMAN_OBSERVATION	2018
-65.985267	-10.909912	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2017
