decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-75.713076	6.172055	Colombia	CO	HUMAN_OBSERVATION	2023
-75.517986	5.10657	Colombia	CO	HUMAN_OBSERVATION	2023
-76.4886	4.006317	Colombia	CO	HUMAN_OBSERVATION	2023
-75.425959	5.133627	Colombia	CO	HUMAN_OBSERVATION	2023
-75.586595	6.128051	Colombia	CO	MACHINE_OBSERVATION	2023
-75.558559	6.130349	Colombia	CO	MACHINE_OBSERVATION	2023
-75.548484	6.16345	Colombia	CO	MACHINE_OBSERVATION	2023
-76.600291	3.391475	Colombia	CO	HUMAN_OBSERVATION	2022
-75.797202	4.899819	Colombia	CO	HUMAN_OBSERVATION	2022
-76.536823	3.349677	Colombia	CO	HUMAN_OBSERVATION	2022
-75.769572	3.039814	Colombia	CO	HUMAN_OBSERVATION	2022
-75.20291	4.47545	Colombia	CO	HUMAN_OBSERVATION	2022
-75.359637	5.764468	Colombia	CO	HUMAN_OBSERVATION	2022
-75.416173	3.855822	Colombia	CO	HUMAN_OBSERVATION	2022
-75.539699	5.134819	Colombia	CO	HUMAN_OBSERVATION	2022
-75.980951	4.501601	Colombia	CO	HUMAN_OBSERVATION	2022
-74.754785	4.259771	Colombia	CO	HUMAN_OBSERVATION	2021
-75.70247	6.413696	Colombia	CO	HUMAN_OBSERVATION	2021
-75.80547	4.423372	Colombia	CO	HUMAN_OBSERVATION	2021
-76.131125	1.955338	Colombia	CO	HUMAN_OBSERVATION	2021
-74.833881	5.641493	Colombia	CO	HUMAN_OBSERVATION	2021
-75.666017	7.135448	Colombia	CO	HUMAN_OBSERVATION	2021
-75.665817	7.135872	Colombia	CO	HUMAN_OBSERVATION	2021
-75.977765	5.042328	Colombia	CO	HUMAN_OBSERVATION	2021
-76.56736	3.5378	Colombia	CO	HUMAN_OBSERVATION	2021
-76.58563	3.50291	Colombia	CO	HUMAN_OBSERVATION	2021
-76.311531	1.717674	Colombia	CO	HUMAN_OBSERVATION	2021
-76.38387	3.96898	Colombia	CO	HUMAN_OBSERVATION	2021
-76.38377	3.96892	Colombia	CO	HUMAN_OBSERVATION	2021
-75.667617	5.081783	Colombia	CO	PRESERVED_SPECIMEN	2021
-75.527778	5.072222	Colombia	CO	PRESERVED_SPECIMEN	2020
-75.56162	4.733208	Colombia	CO	HUMAN_OBSERVATION	2020
-75.458611	4.627045	Colombia	CO	HUMAN_OBSERVATION	2020
-75.395807	6.056117	Colombia	CO	HUMAN_OBSERVATION	2020
-75.20269	6.561771	Colombia	CO	HUMAN_OBSERVATION	2020
-74.789449	7.914161	Colombia	CO	HUMAN_OBSERVATION	2020
-74.755462	6.526758	Colombia	CO	HUMAN_OBSERVATION	2020
-74.789174	7.917769	Colombia	CO	HUMAN_OBSERVATION	2020
-75.762644	5.799429	Colombia	CO	HUMAN_OBSERVATION	2020
-75.732175	5.803621	Colombia	CO	HUMAN_OBSERVATION	2020
-75.882396	6.732475	Colombia	CO	HUMAN_OBSERVATION	2020
-75.697618	5.782426	Colombia	CO	HUMAN_OBSERVATION	2020
-75.705263	5.80866	Colombia	CO	HUMAN_OBSERVATION	2020
-75.498779	4.618865	Colombia	CO	HUMAN_OBSERVATION	2019
-75.673792	7.063489	Colombia	CO	HUMAN_OBSERVATION	2019
-75.587083	5.675102	Colombia	CO	HUMAN_OBSERVATION	2019
-75.654477	6.401369	Colombia	CO	HUMAN_OBSERVATION	2019
-75.699498	7.136914	Colombia	CO	HUMAN_OBSERVATION	2019
-75.111013	5.280122	Colombia	CO	HUMAN_OBSERVATION	2019
-75.70769	4.635182	Colombia	CO	HUMAN_OBSERVATION	2019
-75.763155	4.635838	Colombia	CO	HUMAN_OBSERVATION	2019
-75.982779	4.982564	Colombia	CO	HUMAN_OBSERVATION	2019
-76.37612	1.781691	Colombia	CO	HUMAN_OBSERVATION	2018
-75.703297	7.088915	Colombia	CO	HUMAN_OBSERVATION	2018
-75.689297	7.073958	Colombia	CO	HUMAN_OBSERVATION	2018
-75.689151	7.074428	Colombia	CO	HUMAN_OBSERVATION	2018
-75.676206	7.091013	Colombia	CO	HUMAN_OBSERVATION	2018
-75.627394	4.772415	Colombia	CO	HUMAN_OBSERVATION	2018
-75.677747	7.090349	Colombia	CO	HUMAN_OBSERVATION	2018
-75.679743	7.088728	Colombia	CO	HUMAN_OBSERVATION	2018
-75.687626	7.076159	Colombia	CO	HUMAN_OBSERVATION	2018
-75.686913	7.081572	Colombia	CO	HUMAN_OBSERVATION	2018
-75.689201	7.079065	Colombia	CO	HUMAN_OBSERVATION	2018
-75.689203	7.084507	Colombia	CO	HUMAN_OBSERVATION	2018
-75.840057	6.860463	Colombia	CO	HUMAN_OBSERVATION	2018
-75.862054	6.8237	Colombia	CO	HUMAN_OBSERVATION	2018
-75.738801	4.667033	Colombia	CO	HUMAN_OBSERVATION	2018
-75.689564	7.08468	Colombia	CO	HUMAN_OBSERVATION	2018
-75.691779	7.085347	Colombia	CO	HUMAN_OBSERVATION	2018
-75.692657	7.085313	Colombia	CO	HUMAN_OBSERVATION	2018
-75.692683	7.088784	Colombia	CO	HUMAN_OBSERVATION	2018
-75.69205	7.088457	Colombia	CO	HUMAN_OBSERVATION	2018
-75.685606	7.08879	Colombia	CO	HUMAN_OBSERVATION	2018
-75.703536	7.084704	Colombia	CO	HUMAN_OBSERVATION	2018
-75.703182	7.085109	Colombia	CO	HUMAN_OBSERVATION	2018
-75.70642	7.085453	Colombia	CO	HUMAN_OBSERVATION	2018
-75.704915	7.086561	Colombia	CO	HUMAN_OBSERVATION	2018
-75.674452	7.099722	Colombia	CO	HUMAN_OBSERVATION	2018
-75.672736	7.101398	Colombia	CO	HUMAN_OBSERVATION	2018
-75.647319	4.687749	Colombia	CO	HUMAN_OBSERVATION	2018
-75.675046	7.091642	Colombia	CO	HUMAN_OBSERVATION	2018
-75.812694	7.013176	Colombia	CO	HUMAN_OBSERVATION	2018
-75.728614	7.086929	Colombia	CO	HUMAN_OBSERVATION	2018
-75.692974	7.08808	Colombia	CO	HUMAN_OBSERVATION	2018
-75.692228	7.123714	Colombia	CO	HUMAN_OBSERVATION	2018
-75.677581	7.095764	Colombia	CO	HUMAN_OBSERVATION	2018
-75.666062	7.108908	Colombia	CO	HUMAN_OBSERVATION	2018
-75.661875	7.116805	Colombia	CO	HUMAN_OBSERVATION	2018
-75.682176	7.092116	Colombia	CO	HUMAN_OBSERVATION	2018
-75.064	5.44782	Colombia	CO	HUMAN_OBSERVATION	2018
-76.44225	3.8836	Colombia	CO	HUMAN_OBSERVATION	2018
-75.70772	5.796332	Colombia	CO	HUMAN_OBSERVATION	2018
-75.699535	5.806892	Colombia	CO	HUMAN_OBSERVATION	2018
-75.795333	7.018919	Colombia	CO	HUMAN_OBSERVATION	2018
-75.693575	7.071702	Colombia	CO	HUMAN_OBSERVATION	2018
-75.657608	4.689998	Colombia	CO	HUMAN_OBSERVATION	2017
-75.742167	4.717504	Colombia	CO	HUMAN_OBSERVATION	2017
-75.633939	4.608953	Colombia	CO	HUMAN_OBSERVATION	2017
-75.663768	7.119098	Colombia	CO	HUMAN_OBSERVATION	2017
-75.664762	7.113794	Colombia	CO	HUMAN_OBSERVATION	2017
-75.663412	7.120172	Colombia	CO	HUMAN_OBSERVATION	2017
-75.669535	7.109569	Colombia	CO	HUMAN_OBSERVATION	2017
-75.669515	7.110066	Colombia	CO	HUMAN_OBSERVATION	2017
-75.686262	7.087445	Colombia	CO	HUMAN_OBSERVATION	2017
-75.677691	7.093847	Colombia	CO	HUMAN_OBSERVATION	2017
-75.670267	7.10676	Colombia	CO	HUMAN_OBSERVATION	2017
-75.685714	7.089026	Colombia	CO	HUMAN_OBSERVATION	2017
