decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-71.403746	-12.895277	Peru	PE	HUMAN_OBSERVATION	2023
-75.385568	-11.046498	Peru	PE	HUMAN_OBSERVATION	2023
-69.298058	-12.805503	Peru	PE	HUMAN_OBSERVATION	2023
-69.609233	-13.13645	Peru	PE	HUMAN_OBSERVATION	2023
-69.49002	-12.861775	Peru	PE	HUMAN_OBSERVATION	2022
-70.098073	-12.567697	Peru	PE	HUMAN_OBSERVATION	2022
-69.489753	-12.861042	Peru	PE	HUMAN_OBSERVATION	2022
-69.489722	-12.861053	Peru	PE	HUMAN_OBSERVATION	2022
-71.403645	-12.895278	Peru	PE	HUMAN_OBSERVATION	2022
-72.543708	-7.722265	Brazil	BR	HUMAN_OBSERVATION	2021
-72.786123	-7.624813	Brazil	BR	HUMAN_OBSERVATION	2021
-71.815228	-7.83937	Brazil	BR	HUMAN_OBSERVATION	2021
-71.240673	-12.641846	Peru	PE	HUMAN_OBSERVATION	2021
-70.980606	-12.341176	Peru	PE	HUMAN_OBSERVATION	2020
-71.391913	-12.789778	Peru	PE	HUMAN_OBSERVATION	2020
-72.540395	-7.725058	Brazil	BR	HUMAN_OBSERVATION	2020
-72.966735	-7.570914	Brazil	BR	HUMAN_OBSERVATION	2019
-70.100211	-12.569686	Peru	PE	HUMAN_OBSERVATION	2019
-70.721839	-12.338839	Peru	PE	HUMAN_OBSERVATION	2019
-69.03115	-12.570699	Peru	PE	HUMAN_OBSERVATION	2019
-69.302155	-12.808742	Peru	PE	HUMAN_OBSERVATION	2019
-71.4057	-12.895622	Peru	PE	HUMAN_OBSERVATION	2019
-70.099293	-12.568598	Peru	PE	HUMAN_OBSERVATION	2019
-73.66711	-7.450495	Brazil	BR	HUMAN_OBSERVATION	2019
-71.403713	-12.894981	Peru	PE	HUMAN_OBSERVATION	2019
-70.102294	-12.560176	Peru	PE	HUMAN_OBSERVATION	2018
-72.714446	-7.636338	Brazil	BR	HUMAN_OBSERVATION	2018
-72.715234	-7.564558	Brazil	BR	HUMAN_OBSERVATION	2018
-69.328822	-12.788811	Peru	PE	HUMAN_OBSERVATION	2018
-70.098537	-12.55976	Peru	PE	HUMAN_OBSERVATION	2018
-68.438276	-10.61589	Brazil	BR	HUMAN_OBSERVATION	2017
-68.11544	-9.95651	Brazil	BR	HUMAN_OBSERVATION	2017
-71.382277	-12.75928	Peru	PE	HUMAN_OBSERVATION	2017
-71.403816	-12.894922	Peru	PE	HUMAN_OBSERVATION	2017
-71.723036	-12.040649	Peru	PE	HUMAN_OBSERVATION	2016
-70.72238	-12.33664	Peru	PE	HUMAN_OBSERVATION	2016
-67.874622	-9.957237	Brazil	BR	HUMAN_OBSERVATION	2016
-71.371865	-12.870673	Peru	PE	HUMAN_OBSERVATION	2015
-69.303946	-12.799799	Peru	PE	HUMAN_OBSERVATION	2014
-67.627678	-10.07254	Brazil	BR	HUMAN_OBSERVATION	2014
-76.392361	-7.069139	Peru	PE	HUMAN_OBSERVATION	2014
-71.40377	-12.894969	Peru	PE	HUMAN_OBSERVATION	2014
-73.231889	-4.310972	Peru	PE	HUMAN_OBSERVATION	2013
-70.60456	-12.50528	Peru	PE	HUMAN_OBSERVATION	2011
-68.93791	-12.530385	Peru	PE	HUMAN_OBSERVATION	2010
-72.943648	-11.960905	Peru	PE	HUMAN_OBSERVATION	2009
-68.35	-12.233333	Bolivia (Plurinational State of)	BO	PRESERVED_SPECIMEN	1986
-71.387626	-12.849127	Peru	PE	PRESERVED_SPECIMEN	1984
-71.133331	-12.2	Peru	PE	PRESERVED_SPECIMEN	1962
-70.333336	-12.65	Peru	PE	PRESERVED_SPECIMEN	1958
-71.25	-12.833333	Peru	PE	PRESERVED_SPECIMEN	1954
-70.583336	-13.25	Peru	PE	PRESERVED_SPECIMEN	1953
-70.716667	-13.4	Peru	PE	PRESERVED_SPECIMEN	1950
-70.633331	-13.266666	Peru	PE	PRESERVED_SPECIMEN	1950
-70.566666	-13.25	Peru	PE	PRESERVED_SPECIMEN	1949
-74.566666	-7.233333	Peru	PE	PRESERVED_SPECIMEN	1947
-74.599998	-8.3	Peru	PE	PRESERVED_SPECIMEN	1946
-74.683334	-8.833333	Peru	PE	PRESERVED_SPECIMEN	1946
-75.533333	-10.066666	Peru	PE	PRESERVED_SPECIMEN	1924
-74.966667	-9.9	Peru	PE	PRESERVED_SPECIMEN	1923
-75.533333	-10.066667	Peru	PE	PRESERVED_SPECIMEN	1923
-76.890278	-7.238889	Peru	PE	HUMAN_OBSERVATION	NA
-76.906667	-6.292778	Peru	PE	HUMAN_OBSERVATION	NA
-77.199722	-7.044167	Peru	PE	HUMAN_OBSERVATION	NA
