decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-76.754501	-0.710576	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.44022	-0.524482	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.169497	-0.064893	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.255124	-0.917921	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.185183	-0.011655	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.192393	-0.033284	Ecuador	EC	HUMAN_OBSERVATION	2023
-73.363953	-4.381329	Peru	PE	HUMAN_OBSERVATION	2023
-76.18494	-0.0573	Ecuador	EC	HUMAN_OBSERVATION	2023
-73.302574	-4.324279	Peru	PE	HUMAN_OBSERVATION	2023
-76.184227	-0.018814	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.45913	-0.472253	Ecuador	EC	HUMAN_OBSERVATION	2022
-75.92551	-0.20403	Ecuador	EC	HUMAN_OBSERVATION	2022
-73.225938	-4.315885	Peru	PE	HUMAN_OBSERVATION	2022
-76.147625	-0.637293	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.149859	-0.637118	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.149934	-0.637045	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.457102	-0.469389	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.647996	1.19719	Colombia	CO	HUMAN_OBSERVATION	2021
-76.462329	-0.466979	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.180763	-0.009455	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.318409	0.498268	Colombia	CO	HUMAN_OBSERVATION	2021
-76.459367	-0.470137	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.533482	0.557415	Colombia	CO	HUMAN_OBSERVATION	2021
-76.459732	-0.469459	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.49019	0.485121	Colombia	CO	HUMAN_OBSERVATION	2020
-76.534404	0.553547	Colombia	CO	HUMAN_OBSERVATION	2020
-76.459669	-0.469818	Ecuador	EC	HUMAN_OBSERVATION	2020
-76.279106	-0.438151	Ecuador	EC	HUMAN_OBSERVATION	2020
-76.433655	-0.531825	Ecuador	EC	HUMAN_OBSERVATION	2020
-73.64095	-4.560137	Peru	PE	HUMAN_OBSERVATION	2020
-75.583262	1.632452	Colombia	CO	HUMAN_OBSERVATION	2020
-75.7379	1.510442	Colombia	CO	HUMAN_OBSERVATION	2020
