decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-76.446628	-0.588443	Ecuador	EC	HUMAN_OBSERVATION	2024
-77.744148	-1.010582	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.567583	-1.121319	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.190723	-0.664975	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.675875	-1.068509	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.141094	-0.707611	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.715145	-1.017495	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.597243	-0.402041	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.90649	-0.78395	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.71955	-1.57786	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.080914	-0.70223	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.67733	-1.007196	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.12293	-0.357596	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.690363	-1.057991	Ecuador	EC	HUMAN_OBSERVATION	2022
-72.356291	5.590174	Colombia	CO	HUMAN_OBSERVATION	2022
-72.135563	2.92129	Colombia	CO	HUMAN_OBSERVATION	2022
-77.740513	-1.095414	Ecuador	EC	HUMAN_OBSERVATION	2022
-77.632897	-1.156891	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.065109	-0.748088	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.029212	-0.729272	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.023273	-0.661442	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.156361	-0.718876	Ecuador	EC	HUMAN_OBSERVATION	2022
-76.016024	-0.605775	Ecuador	EC	HUMAN_OBSERVATION	2022
-73.991943	2.804019	Colombia	CO	HUMAN_OBSERVATION	2022
-76.022882	-0.787038	Ecuador	EC	HUMAN_OBSERVATION	2022
-77.789358	-1.028042	Ecuador	EC	HUMAN_OBSERVATION	2022
-77.542043	-1.186183	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.610066	-0.618865	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.171992	-0.716807	Ecuador	EC	HUMAN_OBSERVATION	2021
-76.239288	-0.456974	Ecuador	EC	HUMAN_OBSERVATION	2020
-76.490148	-0.493177	Ecuador	EC	HUMAN_OBSERVATION	2020
-76.481137	-0.47097	Ecuador	EC	HUMAN_OBSERVATION	2019
-76.030095	-0.708364	Ecuador	EC	HUMAN_OBSERVATION	2019
-76.156399	-0.714739	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.565235	-1.126081	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.438291	-1.18705	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.404013	-1.140328	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.47339	-1.087622	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.514638	-1.060186	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.445245	-1.034769	Ecuador	EC	HUMAN_OBSERVATION	2019
-76.080959	-0.74102	Ecuador	EC	HUMAN_OBSERVATION	2019
-76.021195	-0.407533	Ecuador	EC	HUMAN_OBSERVATION	2019
-76.405332	-0.456217	Ecuador	EC	HUMAN_OBSERVATION	2019
-76.539227	-0.538742	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.722441	-1.094787	Ecuador	EC	HUMAN_OBSERVATION	2019
-75.89168	-0.895536	Ecuador	EC	HUMAN_OBSERVATION	2019
-72.36683	5.542524	Colombia	CO	HUMAN_OBSERVATION	2019
-72.206332	5.431103	Colombia	CO	HUMAN_OBSERVATION	2019
-72.299632	5.532673	Colombia	CO	HUMAN_OBSERVATION	2019
-72.272267	5.522582	Colombia	CO	HUMAN_OBSERVATION	2019
-76.159924	-0.409328	Ecuador	EC	HUMAN_OBSERVATION	2019
-74.59998	0.22626	Colombia	CO	MACHINE_OBSERVATION	2018
-76.736874	-1.081029	Ecuador	EC	HUMAN_OBSERVATION	2017
-76.040077	-0.729074	Ecuador	EC	HUMAN_OBSERVATION	2016
-77.450566	-1.132249	Ecuador	EC	HUMAN_OBSERVATION	2016
-73.625987	2.286142	Colombia	CO	HUMAN_OBSERVATION	2016
-76.233865	-0.718241	Ecuador	EC	HUMAN_OBSERVATION	2016
-72.452	5.503917	Colombia	CO	HUMAN_OBSERVATION	2016
-77.179579	-0.567684	Ecuador	EC	HUMAN_OBSERVATION	2016
-73.793	2.261	Colombia	CO	HUMAN_OBSERVATION	2016
-75.905265	-1.185275	Ecuador	EC	HUMAN_OBSERVATION	2015
-77.718046	-1.000776	Ecuador	EC	HUMAN_OBSERVATION	2015
-75.468972	-5.208333	Peru	PE	HUMAN_OBSERVATION	2015
-76.191459	-0.728333	Ecuador	EC	HUMAN_OBSERVATION	2014
-72.449583	5.500361	Colombia	CO	HUMAN_OBSERVATION	2014
-76.166041	-0.702151	Ecuador	EC	HUMAN_OBSERVATION	2014
-76.032651	-0.790821	Ecuador	EC	HUMAN_OBSERVATION	2014
-76.184966	-0.611154	Ecuador	EC	HUMAN_OBSERVATION	2014
-76.002716	-0.699388	Ecuador	EC	HUMAN_OBSERVATION	2014
-76.016302	-0.647106	Ecuador	EC	HUMAN_OBSERVATION	2014
-78.909246	-4.192473	Ecuador	EC	HUMAN_OBSERVATION	2014
-76.09006	-0.778873	Ecuador	EC	HUMAN_OBSERVATION	2013
-76.048594	-0.779443	Ecuador	EC	HUMAN_OBSERVATION	2013
-76.044231	-0.697999	Ecuador	EC	HUMAN_OBSERVATION	2013
-76.034955	-0.673782	Ecuador	EC	HUMAN_OBSERVATION	2013
-76.077061	-0.671581	Ecuador	EC	HUMAN_OBSERVATION	2013
-76.139588	-0.788097	Ecuador	EC	HUMAN_OBSERVATION	2013
-76.700159	-0.547094	Ecuador	EC	HUMAN_OBSERVATION	2012
-75.689323	-1.195736	Ecuador	EC	HUMAN_OBSERVATION	2012
-77.972384	-0.865962	Ecuador	EC	HUMAN_OBSERVATION	2011
-77.5412	-4.0431	Peru	PE	HUMAN_OBSERVATION	2011
-77.5835	-4.0204	Peru	PE	HUMAN_OBSERVATION	2011
-77.7762	-3.113	Peru	PE	HUMAN_OBSERVATION	2011
-77.5298	-4.2041	Peru	PE	HUMAN_OBSERVATION	2011
-77.5763	0.2372	Ecuador	EC	HUMAN_OBSERVATION	2008
-75.297463	-0.936093	Ecuador	EC	HUMAN_OBSERVATION	2008
-75.1494	-2.1369	Peru	PE	HUMAN_OBSERVATION	2006
-77.619101	-1.163195	Ecuador	EC	HUMAN_OBSERVATION	2006
-73.954286	2.445111	Colombia	CO	HUMAN_OBSERVATION	2006
-76.468056	0.788056	Colombia	CO	HUMAN_OBSERVATION	2005
-75.75188	-0.716244	Ecuador	EC	HUMAN_OBSERVATION	2004
-76.074283	-0.655663	Ecuador	EC	HUMAN_OBSERVATION	2003
-77.3847	0.2458	Ecuador	EC	HUMAN_OBSERVATION	2001
-77.4972	0.1804	Ecuador	EC	HUMAN_OBSERVATION	2001
-76.320631	-0.62082	Ecuador	EC	HUMAN_OBSERVATION	1998
-72.882594	5.19181	Colombia	CO	HUMAN_OBSERVATION	1997
-72.505995	5.133248	Colombia	CO	HUMAN_OBSERVATION	1997
-72.350635	5.310045	Colombia	CO	HUMAN_OBSERVATION	1997
-71.671169	6.154441	Colombia	CO	HUMAN_OBSERVATION	1997
