decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-78.465922	8.781431	Panama	PA	HUMAN_OBSERVATION	2023
-79.1727	0.61644	Ecuador	EC	HUMAN_OBSERVATION	2023
-79.182959	0.612327	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.75982	8.18765	Panama	PA	HUMAN_OBSERVATION	2023
-77.862024	8.488405	Panama	PA	HUMAN_OBSERVATION	2023
-76.202881	7.140888	Colombia	CO	HUMAN_OBSERVATION	2023
-76.159986	5.255781	Colombia	CO	HUMAN_OBSERVATION	2023
-79.16045	0.61569	Ecuador	EC	HUMAN_OBSERVATION	2023
-79.171131	0.646921	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.190236	0.629905	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.189291	0.62839	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.179165	0.6245	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.185635	0.61159	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.171945	0.610451	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.111858	0.496092	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.178255	0.628918	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.200786	0.646933	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.194792	0.665713	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.20124	0.646397	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.199137	0.639888	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.179452	0.630796	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.166172	0.618635	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.164333	0.617573	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.159129	0.628082	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.182726	0.6238	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.175837	0.608765	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.173157	0.616205	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.169865	0.612654	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.179414	0.614854	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.185055	0.611873	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.178995	0.615106	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.19921	0.638492	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.171609	0.616485	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.008212	0.509738	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.110371	0.455185	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.088917	0.411657	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.203688	0.617561	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.182289	0.623524	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.214411	0.514255	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.19172	0.632536	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.187956	0.627185	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.19791	0.650051	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.172017	0.60994	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.178782	0.618027	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.199101	0.637721	Ecuador	EC	HUMAN_OBSERVATION	2021
-78.447435	8.970599	Panama	PA	HUMAN_OBSERVATION	2021
-78.404426	8.699974	Panama	PA	HUMAN_OBSERVATION	2021
-79.202401	0.618626	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.178468	0.617677	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.171384	0.648584	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.178436	0.617764	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.175849	0.635025	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.19427	0.632367	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.195248	0.604735	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.075533	0.468584	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.179384	0.630667	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.171363	0.610288	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.179832	0.621508	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.179341	0.620282	Ecuador	EC	HUMAN_OBSERVATION	2021
-79.182417	0.607121	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.195537	0.617578	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.22002	0.533759	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.198223	0.618999	Ecuador	EC	HUMAN_OBSERVATION	2020
-78.744653	0.351451	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.199329	0.658978	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.163747	0.618252	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.182504	0.608794	Ecuador	EC	HUMAN_OBSERVATION	2020
-76.813211	7.603569	Colombia	CO	HUMAN_OBSERVATION	2020
-79.195943	0.618591	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.175899	0.615694	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.186342	0.611488	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.172054	0.60865	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.170131	0.616093	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.178493	0.617633	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.181556	0.609988	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.175566	0.640081	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.189526	0.62894	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.184143	0.669534	Ecuador	EC	HUMAN_OBSERVATION	2020
-79.169775	0.611473	Ecuador	EC	HUMAN_OBSERVATION	2020
-78.520129	8.657588	Panama	PA	HUMAN_OBSERVATION	2019
-79.175957	0.634915	Ecuador	EC	HUMAN_OBSERVATION	2019
-78.595182	8.992527	Panama	PA	HUMAN_OBSERVATION	2019
-78.594738	8.876793	Panama	PA	HUMAN_OBSERVATION	2019
-79.202144	0.451436	Ecuador	EC	HUMAN_OBSERVATION	2019
-76.282531	7.125959	Colombia	CO	HUMAN_OBSERVATION	2019
-79.191246	0.63322	Ecuador	EC	HUMAN_OBSERVATION	2019
-79.202687	0.618618	Ecuador	EC	HUMAN_OBSERVATION	2019
-79.168992	0.616211	Ecuador	EC	HUMAN_OBSERVATION	2019
-79.178071	0.616336	Ecuador	EC	HUMAN_OBSERVATION	2019
-77.720835	7.778005	Panama	PA	HUMAN_OBSERVATION	2019
-77.627216	7.805609	Panama	PA	HUMAN_OBSERVATION	2019
-77.787436	7.790847	Panama	PA	HUMAN_OBSERVATION	2019
-79.172097	0.650935	Ecuador	EC	HUMAN_OBSERVATION	2019
-79.172382	0.651248	Ecuador	EC	HUMAN_OBSERVATION	2019
-79.17353	0.615987	Ecuador	EC	HUMAN_OBSERVATION	2019
-79.100084	0.515565	Ecuador	EC	HUMAN_OBSERVATION	2018
-79.142839	0.535327	Ecuador	EC	HUMAN_OBSERVATION	2018
-79.101399	0.550351	Ecuador	EC	HUMAN_OBSERVATION	2018
