decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-87.630476	20.645055	Mexico	MX	HUMAN_OBSERVATION	2024
-87.630624	20.644984	Mexico	MX	HUMAN_OBSERVATION	2024
-87.630893	20.644945	Mexico	MX	HUMAN_OBSERVATION	2024
-87.630663	20.644947	Mexico	MX	HUMAN_OBSERVATION	2024
-83.615429	8.670518	Costa Rica	CR	HUMAN_OBSERVATION	2024
-93.042769	16.758046	Mexico	MX	HUMAN_OBSERVATION	2024
-83.642608	8.69104	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.805566	18.10894	Mexico	MX	HUMAN_OBSERVATION	2024
-89.804703	18.110065	Mexico	MX	HUMAN_OBSERVATION	2024
-89.861245	18.317127	Mexico	MX	HUMAN_OBSERVATION	2024
-83.512669	8.550551	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.147275	17.169121	Belize	BZ	HUMAN_OBSERVATION	2024
-84.235138	10.139428	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.606209	10.421112	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.932023	10.277796	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.137104	10.560185	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.193481	10.557975	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.642665	17.201346	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.621438	17.221809	Guatemala	GT	HUMAN_OBSERVATION	2024
-83.422033	8.471454	Costa Rica	CR	HUMAN_OBSERVATION	2024
-95.071661	18.437599	Mexico	MX	HUMAN_OBSERVATION	2024
-84.399529	14.130874	Nicaragua	NI	HUMAN_OBSERVATION	2024
-89.715734	17.212664	Guatemala	GT	HUMAN_OBSERVATION	2024
-83.48988	10.426282	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.603122	10.563675	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.441175	8.55389	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.812372	10.077818	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.637337	17.287836	Guatemala	GT	HUMAN_OBSERVATION	2024
-84.96268	10.315375	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.694974	17.286602	Guatemala	GT	HUMAN_OBSERVATION	2024
-94.765921	17.123519	Mexico	MX	HUMAN_OBSERVATION	2024
-84.702978	10.446977	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.800788	18.114063	Mexico	MX	HUMAN_OBSERVATION	2024
-87.357042	20.392217	Mexico	MX	HUMAN_OBSERVATION	2024
-89.70397	17.397338	Guatemala	GT	HUMAN_OBSERVATION	2024
-85.704466	10.809687	Costa Rica	CR	HUMAN_OBSERVATION	2024
-85.607613	10.853466	Costa Rica	CR	HUMAN_OBSERVATION	2024
-87.641365	20.645349	Mexico	MX	HUMAN_OBSERVATION	2024
-89.8024	18.111039	Mexico	MX	HUMAN_OBSERVATION	2024
-89.78431	17.288655	Guatemala	GT	HUMAN_OBSERVATION	2024
-87.096703	20.604257	Mexico	MX	HUMAN_OBSERVATION	2024
-89.735075	17.380774	Guatemala	GT	HUMAN_OBSERVATION	2024
-87.021342	20.681483	Mexico	MX	HUMAN_OBSERVATION	2024
-85.352015	10.609722	Costa Rica	CR	HUMAN_OBSERVATION	2024
-87.586137	21.171329	Mexico	MX	HUMAN_OBSERVATION	2024
-83.655564	9.619174	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.885763	10.575472	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.711044	10.409042	Costa Rica	CR	HUMAN_OBSERVATION	2024
-93.076431	16.841447	Mexico	MX	HUMAN_OBSERVATION	2024
-86.901956	20.844254	Mexico	MX	HUMAN_OBSERVATION	2024
-89.798969	17.215552	Guatemala	GT	HUMAN_OBSERVATION	2024
-90.353571	17.291038	Guatemala	GT	HUMAN_OBSERVATION	2024
-89.809446	18.106989	Mexico	MX	HUMAN_OBSERVATION	2024
-84.707745	10.803301	Costa Rica	CR	HUMAN_OBSERVATION	2024
-95.071891	18.437311	Mexico	MX	HUMAN_OBSERVATION	2024
-83.351411	10.285925	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.640524	10.339515	Costa Rica	CR	HUMAN_OBSERVATION	2024
-88.909394	17.98241	Belize	BZ	HUMAN_OBSERVATION	2024
-84.188237	10.409302	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.645109	8.633924	Costa Rica	CR	HUMAN_OBSERVATION	2024
-87.390302	20.452365	Mexico	MX	HUMAN_OBSERVATION	2024
-87.39044	20.452433	Mexico	MX	HUMAN_OBSERVATION	2024
-87.120756	20.584488	Mexico	MX	HUMAN_OBSERVATION	2024
-84.388825	10.064842	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.963869	10.205641	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.177908	16.814674	Belize	BZ	HUMAN_OBSERVATION	2024
-90.372693	17.256265	Guatemala	GT	HUMAN_OBSERVATION	2024
-83.427913	8.557873	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.609117	16.918228	Guatemala	GT	HUMAN_OBSERVATION	2024
-85.400104	10.897198	Costa Rica	CR	HUMAN_OBSERVATION	2024
-87.638136	20.055059	Mexico	MX	HUMAN_OBSERVATION	2024
-89.698017	17.350404	Guatemala	GT	HUMAN_OBSERVATION	2024
-83.96711	10.090333	Costa Rica	CR	HUMAN_OBSERVATION	2024
-89.803931	18.111932	Mexico	MX	HUMAN_OBSERVATION	2024
-89.803933	18.111943	Mexico	MX	HUMAN_OBSERVATION	2024
-85.549676	10.953205	Costa Rica	CR	HUMAN_OBSERVATION	2023
-90.965906	16.899201	Mexico	MX	HUMAN_OBSERVATION	2023
-84.699194	10.514355	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.747353	10.425714	Costa Rica	CR	HUMAN_OBSERVATION	2023
-93.063582	16.80046	Mexico	MX	HUMAN_OBSERVATION	2023
-89.991017	17.387527	Guatemala	GT	HUMAN_OBSERVATION	2023
-87.730163	20.490903	Mexico	MX	HUMAN_OBSERVATION	2023
-87.032272	20.668105	Mexico	MX	HUMAN_OBSERVATION	2023
-84.600841	9.680835	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.189168	10.571013	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.883974	10.440695	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.012297	10.568338	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.739134	17.211243	Guatemala	GT	HUMAN_OBSERVATION	2023
-90.965368	16.898701	Mexico	MX	HUMAN_OBSERVATION	2023
-90.963558	16.898855	Mexico	MX	HUMAN_OBSERVATION	2023
-90.963578	16.898823	Mexico	MX	HUMAN_OBSERVATION	2023
-94.777302	17.155985	Mexico	MX	HUMAN_OBSERVATION	2023
-85.941507	11.997769	Nicaragua	NI	HUMAN_OBSERVATION	2023
-84.089688	10.562159	Costa Rica	CR	HUMAN_OBSERVATION	2023
-87.093353	20.60298	Mexico	MX	HUMAN_OBSERVATION	2023
-89.119653	17.067354	Belize	BZ	HUMAN_OBSERVATION	2023
-88.208344	19.183224	Mexico	MX	HUMAN_OBSERVATION	2023
-85.750795	11.185599	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.151883	10.590631	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.033068	10.414237	Costa Rica	CR	HUMAN_OBSERVATION	2023
-85.64018	11.073893	Costa Rica	CR	HUMAN_OBSERVATION	2023
-85.262577	10.602922	Costa Rica	CR	HUMAN_OBSERVATION	2023
-85.381111	10.697895	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.538717	10.53005	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.556093	8.512061	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.655245	10.461163	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.400731	17.059789	Guatemala	GT	HUMAN_OBSERVATION	2023
-87.736111	20.494722	Mexico	MX	HUMAN_OBSERVATION	2023
-83.47556	8.536797	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.186103	10.478089	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.535757	10.454382	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.486561	10.478373	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.518223	10.440758	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.35159	8.441688	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.616945	8.642304	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.605723	8.745018	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.161894	10.522108	Costa Rica	CR	HUMAN_OBSERVATION	2023
-88.597857	17.165802	Belize	BZ	HUMAN_OBSERVATION	2023
-88.545989	17.189078	Belize	BZ	HUMAN_OBSERVATION	2023
-88.573489	17.103373	Belize	BZ	HUMAN_OBSERVATION	2023
-88.423713	17.174928	Belize	BZ	HUMAN_OBSERVATION	2023
-83.541617	8.479737	Costa Rica	CR	HUMAN_OBSERVATION	2023
-78.484524	8.756374	Panama	PA	HUMAN_OBSERVATION	2023
-89.72887	17.298685	Guatemala	GT	HUMAN_OBSERVATION	2023
-83.40205	8.494936	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.724079	17.277348	Guatemala	GT	HUMAN_OBSERVATION	2023
-83.565496	8.461283	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.675568	8.617335	Costa Rica	CR	HUMAN_OBSERVATION	2023
-85.381311	10.686453	Costa Rica	CR	HUMAN_OBSERVATION	2023
-85.309483	10.638469	Costa Rica	CR	HUMAN_OBSERVATION	2023
-85.247716	10.647794	Costa Rica	CR	HUMAN_OBSERVATION	2023
-79.233205	9.339413	Panama	PA	HUMAN_OBSERVATION	2023
-79.271882	9.290793	Panama	PA	HUMAN_OBSERVATION	2023
-84.537616	9.779033	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.414028	9.635737	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.735233	17.27312	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.793893	18.133721	Mexico	MX	HUMAN_OBSERVATION	2023
-83.655384	8.682178	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.807643	18.107953	Mexico	MX	HUMAN_OBSERVATION	2023
-83.44737	8.541551	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.752655	10.95063	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.787262	10.896896	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.369318	17.102015	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.065541	17.408963	Belize	BZ	HUMAN_OBSERVATION	2023
-84.12023	10.487493	Costa Rica	CR	HUMAN_OBSERVATION	2023
-87.725782	21.482816	Mexico	MX	HUMAN_OBSERVATION	2023
-87.750162	21.343003	Mexico	MX	HUMAN_OBSERVATION	2023
-87.7532	21.347329	Mexico	MX	HUMAN_OBSERVATION	2023
-87.75938	21.348216	Mexico	MX	HUMAN_OBSERVATION	2023
-83.415728	8.445679	Costa Rica	CR	HUMAN_OBSERVATION	2023
-90.224327	17.325599	Guatemala	GT	HUMAN_OBSERVATION	2023
-87.293655	20.430288	Mexico	MX	HUMAN_OBSERVATION	2023
-90.966217	16.900548	Mexico	MX	HUMAN_OBSERVATION	2023
-90.965837	16.900797	Mexico	MX	HUMAN_OBSERVATION	2023
-84.703498	10.823284	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.534987	8.540129	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.671457	17.23712	Guatemala	GT	HUMAN_OBSERVATION	2023
-88.231317	19.001317	Mexico	MX	HUMAN_OBSERVATION	2023
-87.610662	20.077097	Mexico	MX	HUMAN_OBSERVATION	2023
-90.294755	17.22286	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.634814	17.376645	Guatemala	GT	HUMAN_OBSERVATION	2023
-86.900413	20.845667	Mexico	MX	HUMAN_OBSERVATION	2023
-89.756604	17.379427	Guatemala	GT	HUMAN_OBSERVATION	2023
-83.661037	8.623287	Costa Rica	CR	HUMAN_OBSERVATION	2023
-87.293333	20.43	Mexico	MX	HUMAN_OBSERVATION	2023
-84.747944	10.975671	Costa Rica	CR	HUMAN_OBSERVATION	2023
-87.387125	20.377037	Mexico	MX	HUMAN_OBSERVATION	2023
-87.315901	20.395973	Mexico	MX	HUMAN_OBSERVATION	2023
-83.704953	8.606104	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.63331	17.255633	Guatemala	GT	HUMAN_OBSERVATION	2023
-84.711781	10.991223	Costa Rica	CR	HUMAN_OBSERVATION	2023
-86.902414	20.844055	Mexico	MX	HUMAN_OBSERVATION	2023
-86.902608	20.843917	Mexico	MX	HUMAN_OBSERVATION	2023
-86.90249	20.844173	Mexico	MX	HUMAN_OBSERVATION	2023
-89.644635	17.204425	Guatemala	GT	HUMAN_OBSERVATION	2023
-82.649899	8.891489	Panama	PA	HUMAN_OBSERVATION	2023
-83.40109	10.207204	Costa Rica	CR	HUMAN_OBSERVATION	2023
-89.951186	17.10997	Guatemala	GT	HUMAN_OBSERVATION	2023
-87.451176	20.239705	Mexico	MX	HUMAN_OBSERVATION	2023
-89.858407	17.14088	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.838594	17.182874	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.999142	17.136734	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.782862	17.001731	Guatemala	GT	HUMAN_OBSERVATION	2023
-89.999257	17.086024	Guatemala	GT	HUMAN_OBSERVATION	2023
-82.682255	8.849917	Panama	PA	HUMAN_OBSERVATION	2023
-89.259073	18.690967	Mexico	MX	HUMAN_OBSERVATION	2023
-79.375481	9.341359	Panama	PA	HUMAN_OBSERVATION	2023
