decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-46.73344	-23.154316	Brazil	BR	HUMAN_OBSERVATION	2024
-46.655056	-23.084593	Brazil	BR	HUMAN_OBSERVATION	2024
-46.784547	-23.039916	Brazil	BR	HUMAN_OBSERVATION	2024
-46.682905	-23.177827	Brazil	BR	HUMAN_OBSERVATION	2024
-46.721722	-23.161412	Brazil	BR	HUMAN_OBSERVATION	2024
-46.797439	-23.072634	Brazil	BR	HUMAN_OBSERVATION	2024
-46.72322	-23.058965	Brazil	BR	HUMAN_OBSERVATION	2024
-46.795215	-23.03905	Brazil	BR	HUMAN_OBSERVATION	2024
-45.010675	-22.162979	Brazil	BR	HUMAN_OBSERVATION	2024
-46.728859	-23.081639	Brazil	BR	HUMAN_OBSERVATION	2024
-45.010999	-22.000367	Brazil	BR	HUMAN_OBSERVATION	2023
-42.916459	-22.434154	Brazil	BR	HUMAN_OBSERVATION	2023
-44.65334	-22.655251	Brazil	BR	HUMAN_OBSERVATION	2023
-45.732409	-22.432238	Brazil	BR	HUMAN_OBSERVATION	2023
-46.25495	-23.233514	Brazil	BR	HUMAN_OBSERVATION	2023
-46.249628	-23.245227	Brazil	BR	HUMAN_OBSERVATION	2023
-42.118645	-20.8425	Brazil	BR	HUMAN_OBSERVATION	2023
-42.508573	-22.235261	Brazil	BR	HUMAN_OBSERVATION	2023
-44.829782	-22.886318	Brazil	BR	HUMAN_OBSERVATION	2023
-45.188415	-22.08435	Brazil	BR	HUMAN_OBSERVATION	2023
-45.116432	-22.178612	Brazil	BR	HUMAN_OBSERVATION	2023
-44.660829	-23.004435	Brazil	BR	HUMAN_OBSERVATION	2023
-44.73694	-23.080909	Brazil	BR	HUMAN_OBSERVATION	2023
-46.610524	-23.265852	Brazil	BR	HUMAN_OBSERVATION	2023
-46.172766	-23.427461	Brazil	BR	HUMAN_OBSERVATION	2023
-45.239002	-23.145769	Brazil	BR	HUMAN_OBSERVATION	2023
-45.995524	-23.203491	Brazil	BR	HUMAN_OBSERVATION	2023
-42.7744	-21.038303	Brazil	BR	HUMAN_OBSERVATION	2023
-44.891769	-23.03918	Brazil	BR	HUMAN_OBSERVATION	2023
-46.450629	-23.244241	Brazil	BR	HUMAN_OBSERVATION	2022
-46.583012	-23.325778	Brazil	BR	HUMAN_OBSERVATION	2022
-45.266089	-23.136653	Brazil	BR	HUMAN_OBSERVATION	2022
-42.000208	-20.824989	Brazil	BR	HUMAN_OBSERVATION	2022
-46.296447	-22.983255	Brazil	BR	HUMAN_OBSERVATION	2022
-44.844893	-23.128514	Brazil	BR	HUMAN_OBSERVATION	2022
-46.644413	-23.04306	Brazil	BR	HUMAN_OBSERVATION	2022
-46.059254	-23.12441	Brazil	BR	HUMAN_OBSERVATION	2022
-45.13201	-22.18034	Brazil	BR	HUMAN_OBSERVATION	2022
-46.288522	-21.830819	Brazil	BR	HUMAN_OBSERVATION	2022
-45.270831	-23.289205	Brazil	BR	HUMAN_OBSERVATION	2022
-42.118168	-20.980887	Brazil	BR	HUMAN_OBSERVATION	2022
-45.200721	-23.264759	Brazil	BR	HUMAN_OBSERVATION	2022
-44.974673	-23.16574	Brazil	BR	HUMAN_OBSERVATION	2021
-43.185843	-22.348261	Brazil	BR	HUMAN_OBSERVATION	2021
-45.233491	-23.112895	Brazil	BR	HUMAN_OBSERVATION	2021
-46.305766	-22.892804	Brazil	BR	HUMAN_OBSERVATION	2021
-43.135067	-22.335695	Brazil	BR	HUMAN_OBSERVATION	2021
-46.647056	-23.266834	Brazil	BR	HUMAN_OBSERVATION	2021
-45.970999	-22.15226	Brazil	BR	HUMAN_OBSERVATION	2021
-43.042205	-22.34896	Brazil	BR	HUMAN_OBSERVATION	2021
-47.882854	-22.991854	Brazil	BR	HUMAN_OBSERVATION	2021
-47.887896	-22.803281	Brazil	BR	HUMAN_OBSERVATION	2021
-46.215885	-22.839517	Brazil	BR	HUMAN_OBSERVATION	2021
-45.828653	-23.589668	Brazil	BR	HUMAN_OBSERVATION	2021
-45.838566	-23.48752	Brazil	BR	HUMAN_OBSERVATION	2021
-47.188233	-23.360783	Brazil	BR	HUMAN_OBSERVATION	2020
-42.621576	-21.082804	Brazil	BR	HUMAN_OBSERVATION	2020
-42.637026	-21.016592	Brazil	BR	HUMAN_OBSERVATION	2020
-42.679964	-21.146853	Brazil	BR	HUMAN_OBSERVATION	2020
-42.780322	-21.055525	Brazil	BR	HUMAN_OBSERVATION	2020
-42.778794	-21.064278	Brazil	BR	HUMAN_OBSERVATION	2020
-42.164884	-20.808419	Brazil	BR	HUMAN_OBSERVATION	2020
-50.201129	-21.351173	Brazil	BR	HUMAN_OBSERVATION	2020
-46.200851	-22.10608	Brazil	BR	HUMAN_OBSERVATION	2020
-45.940105	-21.782618	Brazil	BR	HUMAN_OBSERVATION	2020
-45.888816	-23.485492	Brazil	BR	HUMAN_OBSERVATION	2020
-43.357146	-22.293229	Brazil	BR	HUMAN_OBSERVATION	2020
-43.383741	-22.254175	Brazil	BR	HUMAN_OBSERVATION	2020
-42.72372	-21.144396	Brazil	BR	HUMAN_OBSERVATION	2019
-42.733961	-21.138471	Brazil	BR	HUMAN_OBSERVATION	2019
-42.773894	-21.168665	Brazil	BR	HUMAN_OBSERVATION	2019
-42.704733	-21.159648	Brazil	BR	HUMAN_OBSERVATION	2019
-42.650352	-21.021661	Brazil	BR	HUMAN_OBSERVATION	2019
-42.645606	-21.048139	Brazil	BR	HUMAN_OBSERVATION	2019
-42.815292	-20.713136	Brazil	BR	HUMAN_OBSERVATION	2019
-42.679127	-21.023925	Brazil	BR	HUMAN_OBSERVATION	2019
-42.656534	-21.080525	Brazil	BR	HUMAN_OBSERVATION	2019
-42.99746	-20.648703	Brazil	BR	HUMAN_OBSERVATION	2019
-42.705137	-21.14414	Brazil	BR	HUMAN_OBSERVATION	2019
-45.746488	-22.922368	Brazil	BR	HUMAN_OBSERVATION	2019
-42.657055	-21.117336	Brazil	BR	HUMAN_OBSERVATION	2019
-43.028071	-22.470564	Brazil	BR	HUMAN_OBSERVATION	2019
-42.814514	-20.616254	Brazil	BR	HUMAN_OBSERVATION	2019
-42.665942	-21.162087	Brazil	BR	HUMAN_OBSERVATION	2019
-42.727807	-21.156455	Brazil	BR	HUMAN_OBSERVATION	2019
-42.672964	-21.144481	Brazil	BR	HUMAN_OBSERVATION	2019
