decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-40.050881	-19.152554	Brazil	BR	HUMAN_OBSERVATION	2024
-40.534263	-20.734103	Brazil	BR	HUMAN_OBSERVATION	2024
-40.426015	-20.603062	Brazil	BR	HUMAN_OBSERVATION	2023
-40.303828	-20.280841	Brazil	BR	HUMAN_OBSERVATION	2023
-40.140282	-19.970838	Brazil	BR	HUMAN_OBSERVATION	2023
-40.469803	-20.657653	Brazil	BR	HUMAN_OBSERVATION	2023
-40.306393	-20.272427	Brazil	BR	HUMAN_OBSERVATION	2023
-40.298175	-20.289625	Brazil	BR	HUMAN_OBSERVATION	2023
-40.471498	-20.65715	Brazil	BR	HUMAN_OBSERVATION	2023
-40.303283	-20.27329	Brazil	BR	HUMAN_OBSERVATION	2023
-39.819723	-18.23678	Brazil	BR	HUMAN_OBSERVATION	2023
-40.067913	-19.151447	Brazil	BR	HUMAN_OBSERVATION	2023
-40.629243	-19.567277	Brazil	BR	HUMAN_OBSERVATION	2023
-40.063022	-19.137538	Brazil	BR	HUMAN_OBSERVATION	2023
-40.307525	-20.276515	Brazil	BR	HUMAN_OBSERVATION	2023
-41.090569	-18.682342	Brazil	BR	HUMAN_OBSERVATION	2023
-41.082089	-20.406695	Brazil	BR	HUMAN_OBSERVATION	2023
-40.00944	-19.745465	Brazil	BR	HUMAN_OBSERVATION	2023
-40.30006	-19.404855	Brazil	BR	HUMAN_OBSERVATION	2023
-40.307573	-20.277192	Brazil	BR	HUMAN_OBSERVATION	2023
-40.260251	-20.199937	Brazil	BR	HUMAN_OBSERVATION	2023
-40.260228	-20.199897	Brazil	BR	HUMAN_OBSERVATION	2023
-40.069857	-19.148469	Brazil	BR	HUMAN_OBSERVATION	2023
-40.069651	-19.149797	Brazil	BR	HUMAN_OBSERVATION	2023
-40.14133	-19.970072	Brazil	BR	HUMAN_OBSERVATION	2023
-40.063393	-19.138825	Brazil	BR	HUMAN_OBSERVATION	2023
-40.068169	-19.150487	Brazil	BR	HUMAN_OBSERVATION	2023
-40.130526	-19.073881	Brazil	BR	HUMAN_OBSERVATION	2023
-40.130383	-19.073511	Brazil	BR	HUMAN_OBSERVATION	2023
-41.114503	-19.393812	Brazil	BR	HUMAN_OBSERVATION	2023
-40.39766	-20.556574	Brazil	BR	HUMAN_OBSERVATION	2023
-40.893095	-18.75442	Brazil	BR	HUMAN_OBSERVATION	2023
-40.147548	-19.055797	Brazil	BR	HUMAN_OBSERVATION	2023
-40.072377	-19.152306	Brazil	BR	HUMAN_OBSERVATION	2023
-40.692918	-18.831757	Brazil	BR	HUMAN_OBSERVATION	2023
-40.650529	-18.85755	Brazil	BR	HUMAN_OBSERVATION	2023
-40.768728	-18.879284	Brazil	BR	HUMAN_OBSERVATION	2023
-39.291158	-16.648244	Brazil	BR	HUMAN_OBSERVATION	2022
-40.515674	-20.572079	Brazil	BR	HUMAN_OBSERVATION	2022
-40.304677	-20.276955	Brazil	BR	HUMAN_OBSERVATION	2022
-40.599069	-19.937463	Brazil	BR	HUMAN_OBSERVATION	2022
-40.266857	-19.793919	Brazil	BR	HUMAN_OBSERVATION	2022
-40.600039	-19.937182	Brazil	BR	HUMAN_OBSERVATION	2022
-40.599858	-19.936942	Brazil	BR	HUMAN_OBSERVATION	2022
-40.600475	-19.936947	Brazil	BR	HUMAN_OBSERVATION	2022
-40.645208	-20.22357	Brazil	BR	HUMAN_OBSERVATION	2022
-40.658208	-20.36257	Brazil	BR	HUMAN_OBSERVATION	2022
-40.060253	-19.133171	Brazil	BR	HUMAN_OBSERVATION	2022
-40.477865	-20.273007	Brazil	BR	HUMAN_OBSERVATION	2022
-41.248818	-18.896095	Brazil	BR	HUMAN_OBSERVATION	2022
-40.676034	-20.411351	Brazil	BR	HUMAN_OBSERVATION	2022
-40.067345	-19.152062	Brazil	BR	HUMAN_OBSERVATION	2022
-40.065759	-19.151402	Brazil	BR	HUMAN_OBSERVATION	2022
-40.482949	-19.245638	Brazil	BR	HUMAN_OBSERVATION	2022
-39.549973	-18.08331	Brazil	BR	HUMAN_OBSERVATION	2021
-40.653145	-20.368928	Brazil	BR	HUMAN_OBSERVATION	2021
-40.070989	-19.205775	Brazil	BR	HUMAN_OBSERVATION	2021
-40.139992	-19.971068	Brazil	BR	HUMAN_OBSERVATION	2021
-40.424756	-20.603849	Brazil	BR	HUMAN_OBSERVATION	2021
-40.482671	-19.245079	Brazil	BR	HUMAN_OBSERVATION	2021
-39.821719	-19.578174	Brazil	BR	HUMAN_OBSERVATION	2020
-40.578675	-19.526427	Brazil	BR	HUMAN_OBSERVATION	2020
-39.847755	-18.392647	Brazil	BR	HUMAN_OBSERVATION	2020
-40.426347	-20.603047	Brazil	BR	HUMAN_OBSERVATION	2020
-40.008699	-19.071822	Brazil	BR	HUMAN_OBSERVATION	2020
-40.217971	-19.459195	Brazil	BR	HUMAN_OBSERVATION	2019
-40.240484	-20.170368	Brazil	BR	HUMAN_OBSERVATION	2019
-40.341475	-20.457661	Brazil	BR	HUMAN_OBSERVATION	2018
-40.594167	-19.347222	Brazil	BR	HUMAN_OBSERVATION	2018
-39.816667	-19.6	Brazil	BR	HUMAN_OBSERVATION	2018
-40.467308	-20.374008	Brazil	BR	HUMAN_OBSERVATION	2017
-39.980458	-19.062209	Brazil	BR	HUMAN_OBSERVATION	2017
-40.267049	-19.82443	Brazil	BR	HUMAN_OBSERVATION	2017
-41.124418	-18.886713	Brazil	BR	HUMAN_OBSERVATION	2016
-40.084786	-19.877025	Brazil	BR	PRESERVED_SPECIMEN	2016
-40.062611	-19.136409	Brazil	BR	HUMAN_OBSERVATION	2016
-40.282226	-19.852041	Brazil	BR	HUMAN_OBSERVATION	2015
-40.018438	-19.080653	Brazil	BR	HUMAN_OBSERVATION	2015
-40.420302	-20.26431	Brazil	BR	HUMAN_OBSERVATION	2014
-40.328004	-20.272615	Brazil	BR	HUMAN_OBSERVATION	2014
-39.980664	-19.060211	Brazil	BR	HUMAN_OBSERVATION	2013
-40.626853	-20.412503	Brazil	BR	HUMAN_OBSERVATION	2013
-40.297604	-19.406577	Brazil	BR	HUMAN_OBSERVATION	2013
-40.125495	-19.014155	Brazil	BR	HUMAN_OBSERVATION	2012
