decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-42.770833	-22.450556	Brazil	BR	HUMAN_OBSERVATION	2024
-36.583926	-10.288963	Brazil	BR	HUMAN_OBSERVATION	2024
-46.901884	-22.754304	Brazil	BR	HUMAN_OBSERVATION	2024
-36.030744	-9.153737	Brazil	BR	HUMAN_OBSERVATION	2024
-43.276901	-22.974513	Brazil	BR	HUMAN_OBSERVATION	2024
-35.195239	-8.10392	Brazil	BR	HUMAN_OBSERVATION	2024
-42.771938	-22.452257	Brazil	BR	HUMAN_OBSERVATION	2024
-44.715225	-23.217443	Brazil	BR	HUMAN_OBSERVATION	2024
-37.321278	-5.205138	Brazil	BR	HUMAN_OBSERVATION	2024
-42.773187	-22.453317	Brazil	BR	HUMAN_OBSERVATION	2024
-42.773247	-22.453285	Brazil	BR	HUMAN_OBSERVATION	2024
-44.721552	-23.206062	Brazil	BR	HUMAN_OBSERVATION	2024
-35.116325	-7.397627	Brazil	BR	HUMAN_OBSERVATION	2024
-37.326814	-5.202756	Brazil	BR	HUMAN_OBSERVATION	2024
-37.151299	-7.646549	Brazil	BR	HUMAN_OBSERVATION	2024
-35.005399	-8.509927	Brazil	BR	HUMAN_OBSERVATION	2024
-42.773059	-22.449238	Brazil	BR	HUMAN_OBSERVATION	2024
-37.38659	-7.261442	Brazil	BR	HUMAN_OBSERVATION	2024
-35.11621	-7.398385	Brazil	BR	HUMAN_OBSERVATION	2024
-35.116424	-7.398122	Brazil	BR	HUMAN_OBSERVATION	2024
-44.212871	-23.121091	Brazil	BR	HUMAN_OBSERVATION	2024
-42.770326	-22.453452	Brazil	BR	HUMAN_OBSERVATION	2024
-43.276895	-22.974449	Brazil	BR	HUMAN_OBSERVATION	2024
-38.521772	-12.987939	Brazil	BR	HUMAN_OBSERVATION	2024
-43.227017	-22.967045	Brazil	BR	HUMAN_OBSERVATION	2024
-37.327572	-5.203675	Brazil	BR	HUMAN_OBSERVATION	2024
-35.065592	-6.226338	Brazil	BR	HUMAN_OBSERVATION	2024
-44.138917	-23.165739	Brazil	BR	HUMAN_OBSERVATION	2024
-40.709247	-4.322019	Brazil	BR	HUMAN_OBSERVATION	2023
-43.215088	-22.955391	Brazil	BR	HUMAN_OBSERVATION	2023
-35.585379	-7.799338	Brazil	BR	HUMAN_OBSERVATION	2023
-36.56629	-10.286752	Brazil	BR	HUMAN_OBSERVATION	2023
-37.358295	-5.160882	Brazil	BR	HUMAN_OBSERVATION	2023
-35.174582	-8.957161	Brazil	BR	HUMAN_OBSERVATION	2023
-42.609242	-22.41696	Brazil	BR	HUMAN_OBSERVATION	2023
-37.317944	-5.208387	Brazil	BR	HUMAN_OBSERVATION	2023
-37.325145	-5.203658	Brazil	BR	HUMAN_OBSERVATION	2023
-38.015448	-5.135573	Brazil	BR	HUMAN_OBSERVATION	2023
-35.085839	-8.699127	Brazil	BR	HUMAN_OBSERVATION	2023
-35.085493	-8.700053	Brazil	BR	HUMAN_OBSERVATION	2023
-38.633333	-3.983333	Brazil	BR	HUMAN_OBSERVATION	2023
-46.898451	-22.74259	Brazil	BR	HUMAN_OBSERVATION	2023
-37.312738	-5.870414	Brazil	BR	HUMAN_OBSERVATION	2023
-37.326576	-5.203297	Brazil	BR	HUMAN_OBSERVATION	2023
-39.345103	-6.417802	Brazil	BR	HUMAN_OBSERVATION	2023
-42.343724	-2.996083	Brazil	BR	HUMAN_OBSERVATION	2023
-35.170688	-5.885537	Brazil	BR	HUMAN_OBSERVATION	2023
-38.642881	-3.711164	Brazil	BR	HUMAN_OBSERVATION	2023
-38.571949	-10.0249	Brazil	BR	HUMAN_OBSERVATION	2023
-37.245331	-8.587138	Brazil	BR	HUMAN_OBSERVATION	2023
-37.249273	-8.558512	Brazil	BR	HUMAN_OBSERVATION	2023
-37.243479	-8.587257	Brazil	BR	HUMAN_OBSERVATION	2023
-37.329098	-5.203862	Brazil	BR	HUMAN_OBSERVATION	2023
-35.76134	-9.612595	Brazil	BR	HUMAN_OBSERVATION	2023
-35.630761	-9.548782	Brazil	BR	HUMAN_OBSERVATION	2023
-40.027307	-7.090772	Brazil	BR	HUMAN_OBSERVATION	2023
-42.770326	-22.453453	Brazil	BR	HUMAN_OBSERVATION	2023
-35.20185	-5.803319	Brazil	BR	HUMAN_OBSERVATION	2023
-38.539246	-10.83955	Brazil	BR	HUMAN_OBSERVATION	2023
-43.242753	-22.991247	Brazil	BR	HUMAN_OBSERVATION	2023
-38.138241	-12.49161	Brazil	BR	HUMAN_OBSERVATION	2023
-46.3479	-23.688375	Brazil	BR	HUMAN_OBSERVATION	2023
-35.086222	-8.715208	Brazil	BR	HUMAN_OBSERVATION	2023
-46.499398	-23.731929	Brazil	BR	HUMAN_OBSERVATION	2023
-43.421123	-22.628998	Brazil	BR	HUMAN_OBSERVATION	2023
-46.900225	-22.788014	Brazil	BR	HUMAN_OBSERVATION	2023
