decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-46.967069	-23.622786	Brazil	BR	HUMAN_OBSERVATION	2024
-47.968855	-15.901872	Brazil	BR	HUMAN_OBSERVATION	2024
-47.871237	-21.972294	Brazil	BR	HUMAN_OBSERVATION	2024
-47.585562	-22.497325	Brazil	BR	HUMAN_OBSERVATION	2024
-43.049238	-22.555675	Brazil	BR	HUMAN_OBSERVATION	2024
-46.852815	-23.649708	Brazil	BR	HUMAN_OBSERVATION	2024
-50.978858	-20.215843	Brazil	BR	HUMAN_OBSERVATION	2024
-50.97887	-20.215828	Brazil	BR	HUMAN_OBSERVATION	2024
-46.898451	-22.742586	Brazil	BR	HUMAN_OBSERVATION	2024
-43.276866	-22.974492	Brazil	BR	HUMAN_OBSERVATION	2024
-45.043669	-12.275536	Brazil	BR	HUMAN_OBSERVATION	2024
-47.961383	-19.710538	Brazil	BR	HUMAN_OBSERVATION	2024
-48.28643	-18.872767	Brazil	BR	HUMAN_OBSERVATION	2024
-48.510354	-27.597099	Brazil	BR	HUMAN_OBSERVATION	2024
-48.431267	-27.574089	Brazil	BR	HUMAN_OBSERVATION	2024
-48.556929	-27.59444	Brazil	BR	HUMAN_OBSERVATION	2024
-48.350892	-18.884811	Brazil	BR	HUMAN_OBSERVATION	2024
-48.470749	-27.652414	Brazil	BR	HUMAN_OBSERVATION	2023
-42.882948	-20.779514	Brazil	BR	HUMAN_OBSERVATION	2023
-48.493387	-27.659922	Brazil	BR	HUMAN_OBSERVATION	2023
-46.745527	-23.044896	Brazil	BR	HUMAN_OBSERVATION	2023
-46.744821	-23.044237	Brazil	BR	HUMAN_OBSERVATION	2023
-46.744618	-23.044533	Brazil	BR	HUMAN_OBSERVATION	2023
-43.217095	-22.977634	Brazil	BR	HUMAN_OBSERVATION	2023
-46.55632	-23.107697	Brazil	BR	HUMAN_OBSERVATION	2023
-47.190239	-23.545102	Brazil	BR	HUMAN_OBSERVATION	2023
-41.490468	-12.627524	Brazil	BR	HUMAN_OBSERVATION	2023
-48.432176	-27.599001	Brazil	BR	HUMAN_OBSERVATION	2023
-48.560608	-27.592421	Brazil	BR	HUMAN_OBSERVATION	2023
-48.095097	-16.008056	Brazil	BR	HUMAN_OBSERVATION	2023
-48.475039	-27.5885	Brazil	BR	HUMAN_OBSERVATION	2023
-43.049696	-22.557622	Brazil	BR	HUMAN_OBSERVATION	2023
-43.959664	-19.562475	Brazil	BR	HUMAN_OBSERVATION	2023
-46.391765	-23.984005	Brazil	BR	HUMAN_OBSERVATION	2023
-46.799005	-23.014433	Brazil	BR	HUMAN_OBSERVATION	2023
-44.422776	-19.883534	Brazil	BR	HUMAN_OBSERVATION	2023
-44.716745	-23.21971	Brazil	BR	HUMAN_OBSERVATION	2023
-46.392308	-23.983903	Brazil	BR	HUMAN_OBSERVATION	2023
-48.05666	-20.736059	Brazil	BR	HUMAN_OBSERVATION	2023
-47.057784	-23.460748	Brazil	BR	HUMAN_OBSERVATION	2023
-49.004742	-15.708135	Brazil	BR	HUMAN_OBSERVATION	2023
-48.50777	-27.435732	Brazil	BR	HUMAN_OBSERVATION	2023
-47.486538	-14.143947	Brazil	BR	HUMAN_OBSERVATION	2023
-42.207333	-22.386733	Brazil	BR	HUMAN_OBSERVATION	2023
-48.94495	-15.85073	Brazil	BR	HUMAN_OBSERVATION	2023
-47.832689	-15.862391	Brazil	BR	HUMAN_OBSERVATION	2023
-46.963344	-23.727967	Brazil	BR	HUMAN_OBSERVATION	2023
-46.960198	-23.678467	Brazil	BR	HUMAN_OBSERVATION	2023
-46.496486	-23.72714	Brazil	BR	HUMAN_OBSERVATION	2023
-48.536092	-27.451522	Brazil	BR	HUMAN_OBSERVATION	2023
-43.905466	-19.951501	Brazil	BR	HUMAN_OBSERVATION	2023
-44.913826	-16.858852	Brazil	BR	HUMAN_OBSERVATION	2023
-46.882169	-23.584924	Brazil	BR	HUMAN_OBSERVATION	2023
-47.80978	-15.797788	Brazil	BR	HUMAN_OBSERVATION	2023
-48.467537	-27.42812	Brazil	BR	HUMAN_OBSERVATION	2023
-45.397986	-18.487385	Brazil	BR	HUMAN_OBSERVATION	2023
-48.888042	-15.843278	Brazil	BR	HUMAN_OBSERVATION	2023
