decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-72.940075	-1.155053	Colombia	CO	HUMAN_OBSERVATION	2023
-76.788294	0.871601	Colombia	CO	HUMAN_OBSERVATION	2023
-73.816586	7.418606	Colombia	CO	MACHINE_OBSERVATION	2022
-68.1	5.95	Colombia	CO	HUMAN_OBSERVATION	2022
-77.122185	0.672579	Colombia	CO	HUMAN_OBSERVATION	2022
-74.536916	6.18941	Colombia	CO	HUMAN_OBSERVATION	2021
-76.324954	0.503088	Colombia	CO	HUMAN_OBSERVATION	2021
-76.320686	0.476715	Colombia	CO	HUMAN_OBSERVATION	2021
-74.576498	6.09635	Colombia	CO	HUMAN_OBSERVATION	2021
-74.575139	6.089514	Colombia	CO	HUMAN_OBSERVATION	2021
-74.575025	6.109872	Colombia	CO	HUMAN_OBSERVATION	2021
-74.573599	6.13868	Colombia	CO	HUMAN_OBSERVATION	2021
-74.538838	6.201881	Colombia	CO	HUMAN_OBSERVATION	2021
-74.534105	6.196103	Colombia	CO	HUMAN_OBSERVATION	2021
-74.544685	6.172086	Colombia	CO	HUMAN_OBSERVATION	2021
-74.540164	6.21356	Colombia	CO	HUMAN_OBSERVATION	2021
-74.536271	6.179698	Colombia	CO	HUMAN_OBSERVATION	2021
-74.555683	6.176425	Colombia	CO	HUMAN_OBSERVATION	2021
-76.318792	0.502645	Colombia	CO	HUMAN_OBSERVATION	2021
-76.320751	0.477682	Colombia	CO	HUMAN_OBSERVATION	2021
-76.377825	0.506269	Colombia	CO	HUMAN_OBSERVATION	2021
-76.405071	0.468433	Colombia	CO	HUMAN_OBSERVATION	2021
-76.389666	0.499434	Colombia	CO	HUMAN_OBSERVATION	2021
-76.396982	0.487175	Colombia	CO	HUMAN_OBSERVATION	2021
-73.84993	7.26797	Colombia	CO	MACHINE_OBSERVATION	2021
-73.80833	7.394138	Colombia	CO	MACHINE_OBSERVATION	2021
-73.70116	7.29815	Colombia	CO	MACHINE_OBSERVATION	2021
-73.80833	7.394139	Colombia	CO	MACHINE_OBSERVATION	2021
-73.8217	7.34723	Colombia	CO	MACHINE_OBSERVATION	2021
-73.8262	7.35166	Colombia	CO	MACHINE_OBSERVATION	2021
-73.7011	7.29859	Colombia	CO	MACHINE_OBSERVATION	2021
-74.536907	6.189419	Colombia	CO	HUMAN_OBSERVATION	2021
-68.13585	5.83324	Colombia	CO	MACHINE_OBSERVATION	2020
-68.15111	5.80686	Colombia	CO	HUMAN_OBSERVATION	2020
-68.18174	5.79131	Colombia	CO	MACHINE_OBSERVATION	2020
-68.45229	5.6608	Colombia	CO	MACHINE_OBSERVATION	2020
-68.42817	5.80146	Colombia	CO	MACHINE_OBSERVATION	2020
-68.43938	5.65107	Colombia	CO	MACHINE_OBSERVATION	2020
-68.1703	5.899	Colombia	CO	HUMAN_OBSERVATION	2020
-74.805563	7.90388	Colombia	CO	HUMAN_OBSERVATION	2020
-73.578126	7.743645	Colombia	CO	HUMAN_OBSERVATION	2020
-73.531324	7.567093	Colombia	CO	HUMAN_OBSERVATION	2020
-73.442761	7.543608	Colombia	CO	HUMAN_OBSERVATION	2020
-74.789757	7.912647	Colombia	CO	HUMAN_OBSERVATION	2020
-72.585035	11.112884	Colombia	CO	MACHINE_OBSERVATION	2020
-72.61362	11.149289	Colombia	CO	MACHINE_OBSERVATION	2020
-72.56605	11.105779	Colombia	CO	HUMAN_OBSERVATION	2020
-75.774052	7.064386	Colombia	CO	HUMAN_OBSERVATION	2019
-76.324319	0.496725	Colombia	CO	HUMAN_OBSERVATION	2019
-73.75146	7.07699	Colombia	CO	MACHINE_OBSERVATION	2019
-73.74837	7.08129	Colombia	CO	MACHINE_OBSERVATION	2019
-73.74327	7.08398	Colombia	CO	MACHINE_OBSERVATION	2019
-73.74691	7.0771	Colombia	CO	MACHINE_OBSERVATION	2019
-73.75099	7.08541	Colombia	CO	MACHINE_OBSERVATION	2019
-72.554197	11.167018	Colombia	CO	MACHINE_OBSERVATION	2019
-73.74744	7.08498	Colombia	CO	MACHINE_OBSERVATION	2019
-73.791471	7.221615	Colombia	CO	HUMAN_OBSERVATION	2019
-73.847875	7.123479	Colombia	CO	HUMAN_OBSERVATION	2019
-72.54136	11.16667	Colombia	CO	HUMAN_OBSERVATION	2019
-72.617519	11.151276	Colombia	CO	HUMAN_OBSERVATION	2019
-72.620378	11.126088	Colombia	CO	MACHINE_OBSERVATION	2019
-72.642707	11.14056	Colombia	CO	HUMAN_OBSERVATION	2019
-70.94075	0.141	Colombia	CO	HUMAN_OBSERVATION	2018
-75.674452	7.099722	Colombia	CO	HUMAN_OBSERVATION	2018
-75.203641	9.948281	Colombia	CO	HUMAN_OBSERVATION	2018
-75.115722	10.016279	Colombia	CO	HUMAN_OBSERVATION	2018
-75.07705	9.88946	Colombia	CO	HUMAN_OBSERVATION	2018
-75.33245	9.57601	Colombia	CO	HUMAN_OBSERVATION	2018
-75.32956	9.58916	Colombia	CO	HUMAN_OBSERVATION	2018
-75.34011	9.59181	Colombia	CO	HUMAN_OBSERVATION	2018
-75.34495	9.61553	Colombia	CO	HUMAN_OBSERVATION	2018
-75.34538	9.62155	Colombia	CO	HUMAN_OBSERVATION	2018
-75.33486	9.62732	Colombia	CO	HUMAN_OBSERVATION	2018
-75.33395	9.63216	Colombia	CO	HUMAN_OBSERVATION	2018
-73.385333	7.092861	Colombia	CO	HUMAN_OBSERVATION	2018
-73.409917	7.0965	Colombia	CO	MACHINE_OBSERVATION	2018
-73.409972	7.0965	Colombia	CO	MACHINE_OBSERVATION	2018
-73.409361	7.096778	Colombia	CO	MACHINE_OBSERVATION	2018
-73.409472	7.096611	Colombia	CO	MACHINE_OBSERVATION	2018
-75.784838	7.051226	Colombia	CO	HUMAN_OBSERVATION	2018
-75.781362	7.048631	Colombia	CO	HUMAN_OBSERVATION	2018
-75.757277	7.066535	Colombia	CO	HUMAN_OBSERVATION	2018
-75.677581	7.095764	Colombia	CO	HUMAN_OBSERVATION	2018
-75.677581	7.095763	Colombia	CO	HUMAN_OBSERVATION	2018
