decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-75.818724	4.843859	Colombia	CO	HUMAN_OBSERVATION	2024
-79.778188	9.115572	Panama	PA	HUMAN_OBSERVATION	2023
-77.878852	8.383957	Panama	PA	HUMAN_OBSERVATION	2023
-76.889167	3.834444	Colombia	CO	HUMAN_OBSERVATION	2023
-77.873339	8.386978	Panama	PA	HUMAN_OBSERVATION	2023
-79.714635	9.124898	Panama	PA	HUMAN_OBSERVATION	2023
-79.8389	9.16166	Panama	PA	HUMAN_OBSERVATION	2023
-79.837	9.16568	Panama	PA	HUMAN_OBSERVATION	2023
-79.779062	9.119542	Panama	PA	HUMAN_OBSERVATION	2023
-75.043743	9.11385	Colombia	CO	HUMAN_OBSERVATION	2023
-79.715742	9.130058	Panama	PA	HUMAN_OBSERVATION	2023
-77.865856	8.372831	Panama	PA	HUMAN_OBSERVATION	2023
-76.403145	7.203398	Colombia	CO	HUMAN_OBSERVATION	2023
-77.873383	8.387238	Panama	PA	HUMAN_OBSERVATION	2023
-79.8562	9.173387	Panama	PA	HUMAN_OBSERVATION	2023
-79.694306	9.111247	Panama	PA	HUMAN_OBSERVATION	2023
-79.210239	0.528144	Ecuador	EC	HUMAN_OBSERVATION	2023
-79.18148	0.61237	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.037365	5.992196	Colombia	CO	HUMAN_OBSERVATION	2023
-77.8733	8.387222	Panama	PA	HUMAN_OBSERVATION	2023
-79.844603	9.161684	Panama	PA	HUMAN_OBSERVATION	2023
-77.349133	8.634128	Colombia	CO	HUMAN_OBSERVATION	2022
-79.837107	9.165715	Panama	PA	HUMAN_OBSERVATION	2022
-79.828331	9.210173	Panama	PA	HUMAN_OBSERVATION	2022
-79.82621	9.159881	Panama	PA	HUMAN_OBSERVATION	2022
-79.172315	0.609493	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.1982	0.619011	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.196	0.618449	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.194707	0.634579	Ecuador	EC	HUMAN_OBSERVATION	2022
-77.097519	7.431845	Colombia	CO	HUMAN_OBSERVATION	2022
-79.623885	0.39087	Ecuador	EC	HUMAN_OBSERVATION	2022
-77.71419	7.998077	Panama	PA	HUMAN_OBSERVATION	2022
-79.839485	9.159604	Panama	PA	HUMAN_OBSERVATION	2022
-79.695473	9.120452	Panama	PA	HUMAN_OBSERVATION	2022
-79.713982	9.121155	Panama	PA	HUMAN_OBSERVATION	2022
-75.245795	10.435712	Colombia	CO	HUMAN_OBSERVATION	2022
-76.663576	7.77413	Colombia	CO	HUMAN_OBSERVATION	2022
-76.671191	7.775218	Colombia	CO	HUMAN_OBSERVATION	2022
-79.714558	9.126138	Panama	PA	HUMAN_OBSERVATION	2022
-79.725683	9.131192	Panama	PA	HUMAN_OBSERVATION	2022
-79.728477	9.131591	Panama	PA	HUMAN_OBSERVATION	2022
-79.175305	0.615799	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.20156	0.618867	Ecuador	EC	HUMAN_OBSERVATION	2022
-77.134547	8.357078	Colombia	CO	HUMAN_OBSERVATION	2022
-79.65683	9.07541	Panama	PA	HUMAN_OBSERVATION	2022
-79.779779	9.123224	Panama	PA	HUMAN_OBSERVATION	2022
-79.721356	9.136	Panama	PA	HUMAN_OBSERVATION	2022
-79.779433	9.125261	Panama	PA	HUMAN_OBSERVATION	2022
-77.793569	8.311342	Panama	PA	HUMAN_OBSERVATION	2022
-75.934987	5.430018	Colombia	CO	HUMAN_OBSERVATION	2022
-79.172791	0.644286	Ecuador	EC	HUMAN_OBSERVATION	2022
-79.187367	0.626481	Ecuador	EC	HUMAN_OBSERVATION	2022
-78.064873	1.331259	Colombia	CO	HUMAN_OBSERVATION	2022
-76.664295	7.773749	Colombia	CO	HUMAN_OBSERVATION	2022
-79.746475	9.118606	Panama	PA	HUMAN_OBSERVATION	2022
-79.419495	9.228147	Panama	PA	HUMAN_OBSERVATION	2022
-79.419622	9.227765	Panama	PA	HUMAN_OBSERVATION	2022
-77.968752	8.466957	Panama	PA	HUMAN_OBSERVATION	2022
-79.810219	9.137122	Panama	PA	HUMAN_OBSERVATION	2022
-79.695062	9.116222	Panama	PA	HUMAN_OBSERVATION	2022
-79.71732	9.124027	Panama	PA	HUMAN_OBSERVATION	2022
