decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
33.089869	0.543279	Uganda	UG	HUMAN_OBSERVATION	2024
33.02555	0.373962	Uganda	UG	HUMAN_OBSERVATION	2024
32.953231	0.439112	Uganda	UG	HUMAN_OBSERVATION	2024
30.36722	0.471075	Uganda	UG	HUMAN_OBSERVATION	2024
30.38312	0.403095	Uganda	UG	HUMAN_OBSERVATION	2024
30.409922	0.404993	Uganda	UG	HUMAN_OBSERVATION	2024
34.886191	0.227146	Kenya	KE	HUMAN_OBSERVATION	2023
34.881565	0.228927	Kenya	KE	HUMAN_OBSERVATION	2023
34.932044	0.272487	Kenya	KE	HUMAN_OBSERVATION	2023
34.932224	0.272454	Kenya	KE	HUMAN_OBSERVATION	2023
34.881367	0.228421	Kenya	KE	HUMAN_OBSERVATION	2023
34.892052	0.223696	Kenya	KE	HUMAN_OBSERVATION	2023
34.886158	0.226974	Kenya	KE	HUMAN_OBSERVATION	2023
33.16346	0.483948	Uganda	UG	HUMAN_OBSERVATION	2023
30.387078	0.450756	Uganda	UG	HUMAN_OBSERVATION	2023
30.407126	0.407483	Uganda	UG	HUMAN_OBSERVATION	2023
29.884588	-0.333352	Uganda	UG	HUMAN_OBSERVATION	2023
34.923903	0.211185	Kenya	KE	HUMAN_OBSERVATION	2023
30.413446	0.399191	Uganda	UG	HUMAN_OBSERVATION	2023
30.38899	0.437058	Uganda	UG	HUMAN_OBSERVATION	2023
32.478515	0.063684	Uganda	UG	HUMAN_OBSERVATION	2023
32.305478	0.207269	Uganda	UG	HUMAN_OBSERVATION	2023
30.356161	0.483983	Uganda	UG	HUMAN_OBSERVATION	2023
30.405769	0.389778	Uganda	UG	HUMAN_OBSERVATION	2023
30.406341	0.407196	Uganda	UG	HUMAN_OBSERVATION	2023
34.92406	0.212003	Kenya	KE	HUMAN_OBSERVATION	2023
34.856283	0.29238	Kenya	KE	HUMAN_OBSERVATION	2023
30.165331	0.835888	Uganda	UG	HUMAN_OBSERVATION	2023
34.863131	0.333888	Kenya	KE	HUMAN_OBSERVATION	2023
29.86886	-0.323402	Uganda	UG	HUMAN_OBSERVATION	2023
29.963899	-0.28191	Uganda	UG	HUMAN_OBSERVATION	2023
32.353825	0.088242	Uganda	UG	HUMAN_OBSERVATION	2023
32.35474	0.08606	Uganda	UG	HUMAN_OBSERVATION	2023
33.00473	0.389869	Uganda	UG	HUMAN_OBSERVATION	2023
33.124947	0.510883	Uganda	UG	HUMAN_OBSERVATION	2023
32.479789	0.061056	Uganda	UG	HUMAN_OBSERVATION	2023
29.963898	-0.2819	Uganda	UG	HUMAN_OBSERVATION	2023
32.477388	0.060677	Uganda	UG	HUMAN_OBSERVATION	2023
34.879325	0.210134	Kenya	KE	HUMAN_OBSERVATION	2023
33.203163	0.414802	Uganda	UG	HUMAN_OBSERVATION	2023
32.478461	0.061761	Uganda	UG	HUMAN_OBSERVATION	2023
30.142717	0.84271	Uganda	UG	HUMAN_OBSERVATION	2023
30.459402	0.680883	Uganda	UG	HUMAN_OBSERVATION	2023
30.383333	0.435	Uganda	UG	HUMAN_OBSERVATION	2023
32.344868	0.139818	Uganda	UG	HUMAN_OBSERVATION	2023
33.007423	0.390593	Uganda	UG	HUMAN_OBSERVATION	2023
33.178147	0.458265	Uganda	UG	HUMAN_OBSERVATION	2023
30.280495	0.49113	Uganda	UG	HUMAN_OBSERVATION	2023
30.404575	0.39003	Uganda	UG	HUMAN_OBSERVATION	2023
30.407441	0.401238	Uganda	UG	HUMAN_OBSERVATION	2023
30.401874	0.403744	Uganda	UG	HUMAN_OBSERVATION	2022
34.882771	0.234027	Kenya	KE	HUMAN_OBSERVATION	2022
34.774079	0.307894	Kenya	KE	HUMAN_OBSERVATION	2022
30.401528	0.397469	Uganda	UG	HUMAN_OBSERVATION	2022
30.401514	0.397619	Uganda	UG	HUMAN_OBSERVATION	2022
34.899589	0.204737	Kenya	KE	HUMAN_OBSERVATION	2022
30.393905	0.437819	Uganda	UG	HUMAN_OBSERVATION	2022
30.393905	0.43759	Uganda	UG	HUMAN_OBSERVATION	2022
32.476447	0.051536	Uganda	UG	HUMAN_OBSERVATION	2022
30.148597	0.809937	Uganda	UG	HUMAN_OBSERVATION	2022
30.382257	0.451811	Uganda	UG	HUMAN_OBSERVATION	2022
34.923996	0.211448	Kenya	KE	HUMAN_OBSERVATION	2022
30.359825	0.481658	Uganda	UG	HUMAN_OBSERVATION	2022
30.411125	0.394626	Uganda	UG	HUMAN_OBSERVATION	2022
33.124863	0.510736	Uganda	UG	HUMAN_OBSERVATION	2022
30.383322	0.402911	Uganda	UG	HUMAN_OBSERVATION	2022
30.405912	0.406195	Uganda	UG	HUMAN_OBSERVATION	2022
32.354282	0.088821	Uganda	UG	HUMAN_OBSERVATION	2022
32.353715	0.088135	Uganda	UG	HUMAN_OBSERVATION	2022
34.86599	0.239362	Kenya	KE	HUMAN_OBSERVATION	2022
34.864731	0.237675	Kenya	KE	HUMAN_OBSERVATION	2022
32.35406	0.088341	Uganda	UG	HUMAN_OBSERVATION	2022
30.089235	-0.147639	Uganda	UG	HUMAN_OBSERVATION	2022
32.35429	0.086588	Uganda	UG	HUMAN_OBSERVATION	2022
30.35065	0.485482	Uganda	UG	HUMAN_OBSERVATION	2021
32.954597	0.08864	Uganda	UG	HUMAN_OBSERVATION	2021
30.382646	0.455919	Uganda	UG	HUMAN_OBSERVATION	2021
34.890287	0.225755	Kenya	KE	HUMAN_OBSERVATION	2021
34.901689	0.219706	Kenya	KE	HUMAN_OBSERVATION	2021
30.395613	0.438496	Uganda	UG	HUMAN_OBSERVATION	2021
30.099009	0.823742	Uganda	UG	HUMAN_OBSERVATION	2021
30.155878	0.814828	Uganda	UG	HUMAN_OBSERVATION	2021
30.366706	0.436396	Uganda	UG	HUMAN_OBSERVATION	2021
30.403894	0.398278	Uganda	UG	HUMAN_OBSERVATION	2021
32.353925	0.088317	Uganda	UG	HUMAN_OBSERVATION	2021
34.856283	0.292384	Kenya	KE	HUMAN_OBSERVATION	2021
30.412727	0.394678	Uganda	UG	HUMAN_OBSERVATION	2021
30.412477	0.394913	Uganda	UG	HUMAN_OBSERVATION	2021
34.865546	0.236898	Kenya	KE	HUMAN_OBSERVATION	2021
34.872436	0.231444	Kenya	KE	HUMAN_OBSERVATION	2021
30.405101	0.404601	Uganda	UG	HUMAN_OBSERVATION	2021
33.01581	0.383532	Uganda	UG	HUMAN_OBSERVATION	2021
34.864195	0.346248	Kenya	KE	HUMAN_OBSERVATION	2021
34.868318	0.351722	Kenya	KE	HUMAN_OBSERVATION	2021
32.478693	0.063453	Uganda	UG	HUMAN_OBSERVATION	2021
33.089243	0.54374	Uganda	UG	HUMAN_OBSERVATION	2020
33.154968	0.476838	Uganda	UG	HUMAN_OBSERVATION	2020
30.406605	0.406564	Uganda	UG	HUMAN_OBSERVATION	2020
30.377613	0.436185	Uganda	UG	HUMAN_OBSERVATION	2020
33.163587	0.483482	Uganda	UG	HUMAN_OBSERVATION	2020
32.479019	0.062994	Uganda	UG	HUMAN_OBSERVATION	2020
33.202612	0.447857	Uganda	UG	HUMAN_OBSERVATION	2020
30.402025	0.422285	Uganda	UG	HUMAN_OBSERVATION	2020
30.396767	0.439632	Uganda	UG	HUMAN_OBSERVATION	2020
32.480629	0.062528	Uganda	UG	HUMAN_OBSERVATION	2020
30.078807	0.156426	Uganda	UG	HUMAN_OBSERVATION	2020
30.401403	0.397717	Uganda	UG	HUMAN_OBSERVATION	2019
32.476157	0.062848	Uganda	UG	HUMAN_OBSERVATION	2019
34.875	0.375	Kenya	KE	HUMAN_OBSERVATION	2019
30.405048	0.40784	Uganda	UG	HUMAN_OBSERVATION	2019
33.164928	0.481634	Uganda	UG	HUMAN_OBSERVATION	2019
32.479189	0.063427	Uganda	UG	HUMAN_OBSERVATION	2019
30.399654	0.406795	Uganda	UG	HUMAN_OBSERVATION	2019
33.01325	0.400758	Uganda	UG	HUMAN_OBSERVATION	2019
30.366262	0.473697	Uganda	UG	HUMAN_OBSERVATION	2019
30.404032	0.399297	Uganda	UG	HUMAN_OBSERVATION	2019
30.366263	0.4737	Uganda	UG	HUMAN_OBSERVATION	2019
32.47891	0.063298	Uganda	UG	HUMAN_OBSERVATION	2019
33.044716	0.416675	Uganda	UG	HUMAN_OBSERVATION	2019
33.04858	0.411942	Uganda	UG	HUMAN_OBSERVATION	2019
32.351243	0.085398	Uganda	UG	HUMAN_OBSERVATION	2019
30.286162	0.476131	Uganda	UG	HUMAN_OBSERVATION	2019
30.40516	0.385664	Uganda	UG	HUMAN_OBSERVATION	2019
33.011465	0.398371	Uganda	UG	HUMAN_OBSERVATION	2019
30.251778	0.209075	Uganda	UG	HUMAN_OBSERVATION	2019
30.299435	0.216351	Uganda	UG	HUMAN_OBSERVATION	2019
30.389666	0.486176	Uganda	UG	HUMAN_OBSERVATION	2019
30.409947	0.405759	Uganda	UG	HUMAN_OBSERVATION	2019
33.162953	0.484058	Uganda	UG	HUMAN_OBSERVATION	2019
30.356663	0.562716	Uganda	UG	HUMAN_OBSERVATION	2019
30.358563	0.565433	Uganda	UG	HUMAN_OBSERVATION	2019
31.871291	-0.345982	Uganda	UG	HUMAN_OBSERVATION	2019
33.016574	0.39838	Uganda	UG	HUMAN_OBSERVATION	2019
34.868013	0.2332	Kenya	KE	HUMAN_OBSERVATION	2019
30.401566	0.397915	Uganda	UG	HUMAN_OBSERVATION	2019
30.405334	0.40404	Uganda	UG	HUMAN_OBSERVATION	2019
33.163364	0.483888	Uganda	UG	HUMAN_OBSERVATION	2018
30.041006	-0.28471	Uganda	UG	HUMAN_OBSERVATION	2018
33.050613	0.411731	Uganda	UG	HUMAN_OBSERVATION	2018
32.290908	0.207598	Uganda	UG	HUMAN_OBSERVATION	2018
33.005726	0.389448	Uganda	UG	HUMAN_OBSERVATION	2018
34.86318	0.235654	Kenya	KE	HUMAN_OBSERVATION	2018
30.398824	0.438227	Uganda	UG	HUMAN_OBSERVATION	2018
30.39025	0.485921	Uganda	UG	HUMAN_OBSERVATION	2018
32.301395	0.20716	Uganda	UG	HUMAN_OBSERVATION	2018
30.303017	0.51753	Uganda	UG	HUMAN_OBSERVATION	2018
33.046132	0.41533	Uganda	UG	HUMAN_OBSERVATION	2018
30.432601	0.487491	Uganda	UG	HUMAN_OBSERVATION	2018
30.400385	0.399153	Uganda	UG	HUMAN_OBSERVATION	2018
30.40554	0.390643	Uganda	UG	HUMAN_OBSERVATION	2018
30.086313	-0.14436	Uganda	UG	HUMAN_OBSERVATION	2018
34.885072	0.268311	Kenya	KE	HUMAN_OBSERVATION	2018
34.923958	0.211488	Kenya	KE	HUMAN_OBSERVATION	2018
34.882816	0.22745	Kenya	KE	HUMAN_OBSERVATION	2018
30.379902	0.458326	Uganda	UG	HUMAN_OBSERVATION	2018
30.396423	0.453352	Uganda	UG	HUMAN_OBSERVATION	2017
33.176377	0.461299	Uganda	UG	HUMAN_OBSERVATION	2017
30.090466	-0.165054	Uganda	UG	HUMAN_OBSERVATION	2017
30.40289	0.40134	Uganda	UG	HUMAN_OBSERVATION	2017
30.303251	0.517473	Uganda	UG	HUMAN_OBSERVATION	2017
30.573958	0.290312	Uganda	UG	HUMAN_OBSERVATION	2017
30.396596	0.437011	Uganda	UG	HUMAN_OBSERVATION	2017
33.054754	0.599476	Uganda	UG	HUMAN_OBSERVATION	2017
30.398483	0.476526	Uganda	UG	HUMAN_OBSERVATION	2017
30.390128	0.468351	Uganda	UG	HUMAN_OBSERVATION	2017
30.405043	0.389752	Uganda	UG	HUMAN_OBSERVATION	2017
34.89624	0.23291	Kenya	KE	HUMAN_OBSERVATION	2017
33.163787	0.48343	Uganda	UG	HUMAN_OBSERVATION	2017
34.898186	0.256232	Kenya	KE	HUMAN_OBSERVATION	2017
34.891893	0.21733	Kenya	KE	HUMAN_OBSERVATION	2017
33.859177	0.285364	Uganda	UG	HUMAN_OBSERVATION	2016
30.156441	0.109037	Uganda	UG	HUMAN_OBSERVATION	2016
30.402252	0.404102	Uganda	UG	HUMAN_OBSERVATION	2016
30.093023	-0.172893	Uganda	UG	HUMAN_OBSERVATION	2016
30.051323	-0.285168	Uganda	UG	HUMAN_OBSERVATION	2016
34.870016	0.231871	Kenya	KE	HUMAN_OBSERVATION	2016
30.026671	-0.138333	Uganda	UG	HUMAN_OBSERVATION	2016
33.196241	0.433291	Uganda	UG	HUMAN_OBSERVATION	2016
30.389643	0.486182	Uganda	UG	HUMAN_OBSERVATION	2016
30.302212	0.519077	Uganda	UG	HUMAN_OBSERVATION	2016
30.280117	0.654625	Uganda	UG	HUMAN_OBSERVATION	2016
30.155625	0.815492	Uganda	UG	HUMAN_OBSERVATION	2016
29.870109	-0.354821	Uganda	UG	HUMAN_OBSERVATION	2016
