decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-15.055356	11.244324	Guinea-Bissau	GW	HUMAN_OBSERVATION	2024
-12.19325	9.661524	Sierra Leone	SL	HUMAN_OBSERVATION	2023
-11.996166	10.062915	Guinea	GN	HUMAN_OBSERVATION	2023
-11.213374	7.899078	Sierra Leone	SL	HUMAN_OBSERVATION	2023
-10.357616	6.105438	Liberia	LR	HUMAN_OBSERVATION	2023
-11.586392	10.232237	Guinea	GN	HUMAN_OBSERVATION	2023
-15.086492	11.158923	Guinea-Bissau	GW	HUMAN_OBSERVATION	2023
-8.782482	5.341745	Liberia	LR	HUMAN_OBSERVATION	2022
-8.800027	5.330899	Liberia	LR	HUMAN_OBSERVATION	2022
-15.098658	11.217644	Guinea-Bissau	GW	HUMAN_OBSERVATION	2019
-12.126075	9.775792	Sierra Leone	SL	HUMAN_OBSERVATION	2019
-12.330522	7.745831	Sierra Leone	SL	HUMAN_OBSERVATION	2019
-12.33058	7.746403	Sierra Leone	SL	HUMAN_OBSERVATION	2019
-8.331069	5.504076	Liberia	LR	HUMAN_OBSERVATION	2017
-8.305558	5.440807	Liberia	LR	HUMAN_OBSERVATION	2017
-8.342248	5.476842	Liberia	LR	HUMAN_OBSERVATION	2017
-8.342889	5.477259	Liberia	LR	HUMAN_OBSERVATION	2016
-8.441165	5.537795	Liberia	LR	HUMAN_OBSERVATION	2016
-8.506858	5.490425	Liberia	LR	HUMAN_OBSERVATION	2016
-8.509519	5.492507	Liberia	LR	HUMAN_OBSERVATION	2016
-8.567618	5.508917	Liberia	LR	HUMAN_OBSERVATION	2016
-8.534191	5.515921	Liberia	LR	HUMAN_OBSERVATION	2016
-8.714307	5.351318	Liberia	LR	HUMAN_OBSERVATION	2016
-8.681782	5.396244	Liberia	LR	HUMAN_OBSERVATION	2016
-8.308155	5.443063	Liberia	LR	HUMAN_OBSERVATION	2016
-8.251148	5.462027	Liberia	LR	HUMAN_OBSERVATION	2016
-8.742623	5.302525	Liberia	LR	HUMAN_OBSERVATION	2016
-8.221112	5.472391	Liberia	LR	HUMAN_OBSERVATION	2016
-8.202514	5.528712	Liberia	LR	HUMAN_OBSERVATION	2016
-8.2621	5.547866	Liberia	LR	HUMAN_OBSERVATION	2016
-8.515883	5.459187	Liberia	LR	HUMAN_OBSERVATION	2016
-8.337063	5.472114	Liberia	LR	HUMAN_OBSERVATION	2016
-8.31484	5.526111	Liberia	LR	HUMAN_OBSERVATION	2016
-8.397191	7.699061	Guinea	GN	HUMAN_OBSERVATION	2016
-14.17554	10.83369	Guinea	GN	HUMAN_OBSERVATION	2016
-11.348779	7.544135	Sierra Leone	SL	HUMAN_OBSERVATION	2016
-8.328914	5.502364	Liberia	LR	HUMAN_OBSERVATION	2015
-8.377674	5.508333	Liberia	LR	HUMAN_OBSERVATION	2015
-8.534651	5.516482	Liberia	LR	HUMAN_OBSERVATION	2015
-8.533086	5.391905	Liberia	LR	HUMAN_OBSERVATION	2015
-8.431695	5.490394	Liberia	LR	HUMAN_OBSERVATION	2015
-11.195717	7.863215	Sierra Leone	SL	HUMAN_OBSERVATION	2015
-8.730543	5.291347	Liberia	LR	HUMAN_OBSERVATION	2015
-8.745321	5.347849	Liberia	LR	HUMAN_OBSERVATION	2015
-8.522192	5.275291	Liberia	LR	HUMAN_OBSERVATION	2015
-8.472843	5.300897	Liberia	LR	HUMAN_OBSERVATION	2014
-8.37559	5.357489	Liberia	LR	HUMAN_OBSERVATION	2014
-8.482099	5.422513	Liberia	LR	HUMAN_OBSERVATION	2014
-8.363915	5.42344	Liberia	LR	HUMAN_OBSERVATION	2014
-8.297484	5.468017	Liberia	LR	HUMAN_OBSERVATION	2014
-14.985618	11.275033	Guinea-Bissau	GW	HUMAN_OBSERVATION	2013
-16.274743	11.57494	Guinea-Bissau	GW	HUMAN_OBSERVATION	2011
-14.45	10.754	Guinea	GN	HUMAN_OBSERVATION	2005
-14.568	10.622	Guinea	GN	HUMAN_OBSERVATION	2005
-14.559	10.735	Guinea	GN	HUMAN_OBSERVATION	2005
-14.378	10.874	Guinea	GN	HUMAN_OBSERVATION	2005
-13.957	11.109	Guinea	GN	HUMAN_OBSERVATION	2005
-9.736	8.032	Liberia	LR	HUMAN_OBSERVATION	2005
-10.693	7.453	Liberia	LR	HUMAN_OBSERVATION	2005
-7.732	5.403	Liberia	LR	HUMAN_OBSERVATION	2005
-8.834	7.496	Guinea	GN	HUMAN_OBSERVATION	2003
-8.212	7.604	Guinea	GN	HUMAN_OBSERVATION	2003
-8.872	7.596	Guinea	GN	HUMAN_OBSERVATION	2003
-8.573	8.146	Guinea	GN	HUMAN_OBSERVATION	2003
-8.589	8.186	Guinea	GN	HUMAN_OBSERVATION	2003
-8.906	8.531	Guinea	GN	HUMAN_OBSERVATION	2002
-8.937	8.525	Guinea	GN	HUMAN_OBSERVATION	2002
-12.37	9.1	Sierra Leone	SL	PRESERVED_SPECIMEN	1979
-8.13	6.22	Liberia	LR	PRESERVED_SPECIMEN	1971
-12	8	Sierra Leone	SL	PRESERVED_SPECIMEN	1955
-11.65	9.8167	Sierra Leone	SL	PRESERVED_SPECIMEN	1953
-12.9333	8.2667	Sierra Leone	SL	PRESERVED_SPECIMEN	1952
-11.4667	7.5167	Sierra Leone	SL	PRESERVED_SPECIMEN	1952
-12.3333	7.5667	Sierra Leone	SL	PRESERVED_SPECIMEN	1948
-11.6667	8.6167	Sierra Leone	SL	PRESERVED_SPECIMEN	1946
-13.0667	8.55	Sierra Leone	SL	PRESERVED_SPECIMEN	1920
-10.7	6.3667	Liberia	LR	PRESERVED_SPECIMEN	NA
-8.783333	6.783333	Liberia	LR	PRESERVED_SPECIMEN	NA
-16.16514	12.26893	Guinea-Bissau	GW	PRESERVED_SPECIMEN	NA
