decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
12.960668	-1.738457	Gabon	GA	HUMAN_OBSERVATION	2023
11.524806	-0.44116	Gabon	GA	HUMAN_OBSERVATION	2023
10.076866	-0.894866	Gabon	GA	HUMAN_OBSERVATION	2023
12.529803	-4.858637	Angola	AO	HUMAN_OBSERVATION	2023
12.950798	-1.700708	Gabon	GA	HUMAN_OBSERVATION	2023
15.093278	0.810379	Congo	CG	HUMAN_OBSERVATION	2023
14.701135	0.436272	Congo	CG	HUMAN_OBSERVATION	2023
15.258665	0.760012	Congo	CG	HUMAN_OBSERVATION	2023
15.258627	0.760061	Congo	CG	HUMAN_OBSERVATION	2023
9.369777	-1.938025	Gabon	GA	HUMAN_OBSERVATION	2023
13.0053	-1.775604	Gabon	GA	HUMAN_OBSERVATION	2023
15.260805	0.762467	Congo	CG	HUMAN_OBSERVATION	2022
13.011509	-1.789671	Gabon	GA	HUMAN_OBSERVATION	2022
13.00902	-1.791413	Gabon	GA	HUMAN_OBSERVATION	2022
12.959057	-1.757984	Gabon	GA	HUMAN_OBSERVATION	2022
12.907	-1.733	Gabon	GA	HUMAN_OBSERVATION	2022
12.936862	-1.748762	Gabon	GA	HUMAN_OBSERVATION	2022
12.96068	-1.794903	Gabon	GA	HUMAN_OBSERVATION	2022
13.008442	-1.776409	Gabon	GA	HUMAN_OBSERVATION	2022
12.933917	-1.689314	Gabon	GA	HUMAN_OBSERVATION	2022
12.92339	-1.673974	Gabon	GA	HUMAN_OBSERVATION	2022
9.60655	-2.310162	Gabon	GA	HUMAN_OBSERVATION	2022
12.949947	-1.716709	Gabon	GA	HUMAN_OBSERVATION	2022
12.939166	-1.732867	Gabon	GA	HUMAN_OBSERVATION	2022
9.629932	-2.148419	Gabon	GA	HUMAN_OBSERVATION	2022
9.589604	-2.153834	Gabon	GA	HUMAN_OBSERVATION	2022
12.982577	-1.746538	Gabon	GA	HUMAN_OBSERVATION	2022
12.993023	-1.765626	Gabon	GA	HUMAN_OBSERVATION	2022
12.938709	-1.733351	Gabon	GA	HUMAN_OBSERVATION	2022
14.007235	-2.15761	Gabon	GA	HUMAN_OBSERVATION	2022
12.960189	-1.728318	Gabon	GA	HUMAN_OBSERVATION	2022
12.930581	-1.724059	Gabon	GA	HUMAN_OBSERVATION	2022
12.943111	-1.725929	Gabon	GA	HUMAN_OBSERVATION	2022
14.069659	-2.114651	Gabon	GA	HUMAN_OBSERVATION	2022
12.944687	-1.689532	Gabon	GA	HUMAN_OBSERVATION	2022
12.957786	-1.7405	Gabon	GA	HUMAN_OBSERVATION	2022
11.993439	-0.200309	Gabon	GA	HUMAN_OBSERVATION	2021
13.016014	-1.792593	Gabon	GA	HUMAN_OBSERVATION	2021
13.005816	-1.794828	Gabon	GA	HUMAN_OBSERVATION	2021
