decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-8.305558	5.440807	Liberia	LR	HUMAN_OBSERVATION	2017
-8.366858	5.500768	Liberia	LR	HUMAN_OBSERVATION	2017
-8.384184	5.480677	Liberia	LR	HUMAN_OBSERVATION	2017
-8.354629	5.547875	Liberia	LR	HUMAN_OBSERVATION	2017
-8.434113	5.567469	Liberia	LR	HUMAN_OBSERVATION	2016
-8.379466	5.477551	Liberia	LR	HUMAN_OBSERVATION	2016
-8.34407	5.478346	Liberia	LR	HUMAN_OBSERVATION	2016
-8.318803	5.493885	Liberia	LR	HUMAN_OBSERVATION	2016
-8.369468	5.508396	Liberia	LR	HUMAN_OBSERVATION	2016
-8.455398	5.513447	Liberia	LR	HUMAN_OBSERVATION	2016
-8.46633	5.523887	Liberia	LR	HUMAN_OBSERVATION	2016
-8.400153	5.535168	Liberia	LR	HUMAN_OBSERVATION	2016
-8.441165	5.537795	Liberia	LR	HUMAN_OBSERVATION	2016
-8.50821	5.568584	Liberia	LR	HUMAN_OBSERVATION	2016
-8.223925	5.474747	Liberia	LR	HUMAN_OBSERVATION	2016
-8.228127	5.478144	Liberia	LR	HUMAN_OBSERVATION	2016
-8.232709	5.481153	Liberia	LR	HUMAN_OBSERVATION	2016
-8.541193	5.485992	Liberia	LR	HUMAN_OBSERVATION	2016
-8.548095	5.491145	Liberia	LR	HUMAN_OBSERVATION	2016
-8.510529	5.493304	Liberia	LR	HUMAN_OBSERVATION	2016
-8.515681	5.497253	Liberia	LR	HUMAN_OBSERVATION	2016
-8.258648	5.506369	Liberia	LR	HUMAN_OBSERVATION	2016
-8.565037	5.507151	Liberia	LR	HUMAN_OBSERVATION	2016
-8.569495	5.510311	Liberia	LR	HUMAN_OBSERVATION	2016
-8.534254	5.515966	Liberia	LR	HUMAN_OBSERVATION	2016
-8.53706	5.518781	Liberia	LR	HUMAN_OBSERVATION	2016
-8.229538	5.518589	Liberia	LR	HUMAN_OBSERVATION	2016
-8.546316	5.527898	Liberia	LR	HUMAN_OBSERVATION	2016
-8.712944	5.351046	Liberia	LR	HUMAN_OBSERVATION	2016
-8.650191	5.362873	Liberia	LR	HUMAN_OBSERVATION	2016
-8.661604	5.371184	Liberia	LR	HUMAN_OBSERVATION	2016
-8.692446	5.405821	Liberia	LR	HUMAN_OBSERVATION	2016
-8.682186	5.4347	Liberia	LR	HUMAN_OBSERVATION	2016
-8.650426	5.440735	Liberia	LR	HUMAN_OBSERVATION	2016
-8.310647	5.443147	Liberia	LR	HUMAN_OBSERVATION	2016
-8.432264	5.565911	Liberia	LR	HUMAN_OBSERVATION	2016
-8.768475	5.290467	Liberia	LR	HUMAN_OBSERVATION	2016
-8.734972	5.29571	Liberia	LR	HUMAN_OBSERVATION	2016
-8.710517	5.310336	Liberia	LR	HUMAN_OBSERVATION	2016
-8.787488	5.322697	Liberia	LR	HUMAN_OBSERVATION	2016
-8.744835	5.343398	Liberia	LR	HUMAN_OBSERVATION	2016
-8.252137	5.501359	Liberia	LR	HUMAN_OBSERVATION	2016
-8.257656	5.505599	Liberia	LR	HUMAN_OBSERVATION	2016
-8.402308	5.537314	Liberia	LR	HUMAN_OBSERVATION	2016
-8.408189	5.542793	Liberia	LR	HUMAN_OBSERVATION	2016
-8.597051	5.42507	Liberia	LR	HUMAN_OBSERVATION	2016
-8.605901	5.432258	Liberia	LR	HUMAN_OBSERVATION	2016
-8.58202	5.440673	Liberia	LR	HUMAN_OBSERVATION	2016
-8.597819	5.463924	Liberia	LR	HUMAN_OBSERVATION	2016
-8.573663	5.476228	Liberia	LR	HUMAN_OBSERVATION	2016
-8.200747	5.527072	Liberia	LR	HUMAN_OBSERVATION	2016
-8.262064	5.547875	Liberia	LR	HUMAN_OBSERVATION	2016
-8.515883	5.459187	Liberia	LR	HUMAN_OBSERVATION	2016
-8.332618	5.46736	Liberia	LR	HUMAN_OBSERVATION	2016
-8.343366	5.477956	Liberia	LR	HUMAN_OBSERVATION	2016
-8.824686	5.274627	Liberia	LR	HUMAN_OBSERVATION	2016
-8.33253	5.505335	Liberia	LR	HUMAN_OBSERVATION	2016
-8.314921	5.526048	Liberia	LR	HUMAN_OBSERVATION	2016
-8.47288	5.457224	Liberia	LR	HUMAN_OBSERVATION	2015
-8.480711	5.462694	Liberia	LR	HUMAN_OBSERVATION	2015
-8.337126	5.472114	Liberia	LR	HUMAN_OBSERVATION	2015
-8.501842	5.486341	Liberia	LR	HUMAN_OBSERVATION	2015
-8.367868	5.501475	Liberia	LR	HUMAN_OBSERVATION	2015
-8.328914	5.502364	Liberia	LR	HUMAN_OBSERVATION	2015
-8.377674	5.508333	Liberia	LR	HUMAN_OBSERVATION	2015
-8.736185	5.373509	Liberia	LR	HUMAN_OBSERVATION	2015
-8.538617	5.395673	Liberia	LR	HUMAN_OBSERVATION	2015
-8.598206	5.426075	Liberia	LR	HUMAN_OBSERVATION	2015
-8.602157	5.429334	Liberia	LR	HUMAN_OBSERVATION	2015
-8.431695	5.490394	Liberia	LR	HUMAN_OBSERVATION	2015
-8.575802	5.515065	Liberia	LR	HUMAN_OBSERVATION	2015
-8.468125	5.526196	Liberia	LR	HUMAN_OBSERVATION	2015
-8.442022	5.538221	Liberia	LR	HUMAN_OBSERVATION	2015
-8.40745	5.541707	Liberia	LR	HUMAN_OBSERVATION	2015
-8.438498	5.570413	Liberia	LR	HUMAN_OBSERVATION	2015
-8.739519	5.300153	Liberia	LR	HUMAN_OBSERVATION	2015
-8.708451	5.308616	Liberia	LR	HUMAN_OBSERVATION	2015
-8.743314	5.334215	Liberia	LR	HUMAN_OBSERVATION	2015
-8.251902	5.501141	Liberia	LR	HUMAN_OBSERVATION	2015
-8.264823	5.550122	Liberia	LR	HUMAN_OBSERVATION	2015
-8.340224	5.362563	Liberia	LR	HUMAN_OBSERVATION	2015
-8.661441	5.371021	Liberia	LR	HUMAN_OBSERVATION	2015
-8.629603	5.377941	Liberia	LR	HUMAN_OBSERVATION	2015
-8.376336	5.396315	Liberia	LR	HUMAN_OBSERVATION	2015
-8.366874	5.425632	Liberia	LR	HUMAN_OBSERVATION	2015
-8.359165	5.451468	Liberia	LR	HUMAN_OBSERVATION	2015
-8.399529	5.455237	Liberia	LR	HUMAN_OBSERVATION	2015
-8.584689	5.297653	Liberia	LR	HUMAN_OBSERVATION	2015
-8.702091	5.303321	Liberia	LR	HUMAN_OBSERVATION	2015
-8.783848	5.305273	Liberia	LR	HUMAN_OBSERVATION	2015
-8.550905	5.266692	Liberia	LR	HUMAN_OBSERVATION	2015
-8.757176	5.31259	Liberia	LR	HUMAN_OBSERVATION	2015
-8.75939	5.329327	Liberia	LR	HUMAN_OBSERVATION	2015
-8.606053	5.280516	Liberia	LR	HUMAN_OBSERVATION	2015
-8.578798	5.254797	Liberia	LR	HUMAN_OBSERVATION	2014
-8.58043	5.256074	Liberia	LR	HUMAN_OBSERVATION	2014
-8.558616	5.272839	Liberia	LR	HUMAN_OBSERVATION	2014
-8.533979	5.285079	Liberia	LR	HUMAN_OBSERVATION	2014
-8.584139	5.297038	Liberia	LR	HUMAN_OBSERVATION	2014
-8.477008	5.30593	Liberia	LR	HUMAN_OBSERVATION	2014
-8.678796	5.393673	Liberia	LR	HUMAN_OBSERVATION	2014
-8.40953	5.352991	Liberia	LR	HUMAN_OBSERVATION	2014
-8.387042	5.368157	Liberia	LR	HUMAN_OBSERVATION	2014
-8.74693	5.383736	Liberia	LR	HUMAN_OBSERVATION	2014
-8.515992	5.459114	Liberia	LR	HUMAN_OBSERVATION	2014
-8.418977	5.515928	Liberia	LR	HUMAN_OBSERVATION	2014
-8.445992	5.541283	Liberia	LR	HUMAN_OBSERVATION	2014
-8.311297	5.410673	Liberia	LR	HUMAN_OBSERVATION	2014
-8.305973	5.441206	Liberia	LR	HUMAN_OBSERVATION	2014
-8.351977	5.445771	Liberia	LR	HUMAN_OBSERVATION	2014
-8.287843	5.460597	Liberia	LR	HUMAN_OBSERVATION	2014
-8.539415	5.484742	Liberia	LR	HUMAN_OBSERVATION	2014
-8.561419	5.504371	Liberia	LR	HUMAN_OBSERVATION	2014
