decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
39.530724	-6.181318	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
29.612398	-1.308709	Uganda	UG	HUMAN_OBSERVATION	2024
39.41395	-6.241557	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.410799	-6.252714	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.38697	-4.647728	Kenya	KE	HUMAN_OBSERVATION	2024
36.59473	-0.946813	Kenya	KE	HUMAN_OBSERVATION	2024
38.865484	-6.403156	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
29.943269	0.251469	Uganda	UG	HUMAN_OBSERVATION	2024
29.940639	0.27666	Uganda	UG	HUMAN_OBSERVATION	2024
29.755515	-1.362538	Uganda	UG	HUMAN_OBSERVATION	2024
29.780122	-1.38893	Uganda	UG	HUMAN_OBSERVATION	2024
34.886404	0.250513	Kenya	KE	HUMAN_OBSERVATION	2024
39.386574	-4.648284	Kenya	KE	HUMAN_OBSERVATION	2023
39.386008	-4.64786	Kenya	KE	HUMAN_OBSERVATION	2023
40.109368	-1.817506	Kenya	KE	HUMAN_OBSERVATION	2023
36.17867	-8.374102	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.990219	-3.295736	Kenya	KE	HUMAN_OBSERVATION	2023
36.082471	-8.374083	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.068521	-8.248309	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
38.631805	-5.098577	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
38.628166	-5.1026	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.734268	-0.39103	Kenya	KE	HUMAN_OBSERVATION	2023
30.138702	0.832245	Uganda	UG	HUMAN_OBSERVATION	2023
35.78782	-3.52731	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.654915	-15.970116	Malawi	MW	HUMAN_OBSERVATION	2023
39.416952	-6.262447	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
40.018215	-3.307133	Kenya	KE	HUMAN_OBSERVATION	2023
29.652464	-1.232285	Uganda	UG	HUMAN_OBSERVATION	2023
39.557865	-4.356309	Kenya	KE	HUMAN_OBSERVATION	2023
39.557901	-4.356206	Kenya	KE	HUMAN_OBSERVATION	2023
39.568989	-4.328054	Kenya	KE	HUMAN_OBSERVATION	2023
39.557472	-4.356102	Kenya	KE	HUMAN_OBSERVATION	2023
37.311302	-0.407616	Kenya	KE	HUMAN_OBSERVATION	2023
37.311289	-0.408046	Kenya	KE	HUMAN_OBSERVATION	2023
37.307668	-0.401242	Kenya	KE	HUMAN_OBSERVATION	2023
36.760593	-0.385542	Kenya	KE	HUMAN_OBSERVATION	2023
36.76601	-0.384189	Kenya	KE	HUMAN_OBSERVATION	2023
36.767998	-0.383553	Kenya	KE	HUMAN_OBSERVATION	2023
37.307587	-0.401094	Kenya	KE	HUMAN_OBSERVATION	2023
36.771008	-0.382195	Kenya	KE	HUMAN_OBSERVATION	2023
36.766061	-0.384252	Kenya	KE	HUMAN_OBSERVATION	2023
36.801651	-0.378412	Kenya	KE	HUMAN_OBSERVATION	2023
39.995537	-3.300749	Kenya	KE	HUMAN_OBSERVATION	2023
40.014111	-3.356271	Kenya	KE	HUMAN_OBSERVATION	2023
34.883793	0.227665	Kenya	KE	HUMAN_OBSERVATION	2023
34.883733	0.227814	Kenya	KE	HUMAN_OBSERVATION	2023
34.888276	0.227499	Kenya	KE	HUMAN_OBSERVATION	2023
34.923625	0.210598	Kenya	KE	HUMAN_OBSERVATION	2023
34.88866	0.224303	Kenya	KE	HUMAN_OBSERVATION	2023
34.924313	0.268924	Kenya	KE	HUMAN_OBSERVATION	2023
34.932099	0.273421	Kenya	KE	HUMAN_OBSERVATION	2023
34.916889	0.247677	Kenya	KE	HUMAN_OBSERVATION	2023
34.862835	0.228282	Kenya	KE	HUMAN_OBSERVATION	2023
34.885326	0.22318	Kenya	KE	HUMAN_OBSERVATION	2023
34.862732	0.228341	Kenya	KE	HUMAN_OBSERVATION	2023
34.924393	0.26894	Kenya	KE	HUMAN_OBSERVATION	2023
34.88522	0.227077	Kenya	KE	HUMAN_OBSERVATION	2023
34.890556	0.223875	Kenya	KE	HUMAN_OBSERVATION	2023
34.923912	0.212158	Kenya	KE	HUMAN_OBSERVATION	2023
34.888554	0.227329	Kenya	KE	HUMAN_OBSERVATION	2023
34.88382	0.227748	Kenya	KE	HUMAN_OBSERVATION	2023
34.885395	0.223308	Kenya	KE	HUMAN_OBSERVATION	2023
40.014347	-3.355975	Kenya	KE	HUMAN_OBSERVATION	2023
34.885277	0.226526	Kenya	KE	HUMAN_OBSERVATION	2023
34.881565	0.228927	Kenya	KE	HUMAN_OBSERVATION	2023
40.016817	-3.309233	Kenya	KE	HUMAN_OBSERVATION	2023
39.387121	-4.649335	Kenya	KE	HUMAN_OBSERVATION	2023
39.494953	-6.279437	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.864016	-3.373512	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.834695	-3.459766	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.966952	-3.417978	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.971337	-3.45187	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.75	-3.25	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.386044	-4.648188	Kenya	KE	HUMAN_OBSERVATION	2023
39.437252	-4.217612	Kenya	KE	HUMAN_OBSERVATION	2023
35.305284	-15.357513	Malawi	MW	HUMAN_OBSERVATION	2023
33.655947	-10.58679	Zambia	ZM	HUMAN_OBSERVATION	2023
39.426399	-6.243486	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.035518	-0.102959	Kenya	KE	HUMAN_OBSERVATION	2023
35.620418	-3.501966	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.843856	-3.258612	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
29.86285	-0.390993	Uganda	UG	HUMAN_OBSERVATION	2023
39.425597	-4.192471	Kenya	KE	HUMAN_OBSERVATION	2023
36.852037	-3.275181	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.83194	-3.249806	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.375749	-4.658274	Kenya	KE	HUMAN_OBSERVATION	2023
36.428472	-0.631537	Kenya	KE	HUMAN_OBSERVATION	2023
29.63541	-1.204957	Uganda	UG	HUMAN_OBSERVATION	2023
29.798885	-1.253892	Uganda	UG	HUMAN_OBSERVATION	2023
29.794039	-1.06912	Uganda	UG	HUMAN_OBSERVATION	2023
29.197592	-2.473858	Rwanda	RW	HUMAN_OBSERVATION	2023
35.652099	-15.960169	Malawi	MW	HUMAN_OBSERVATION	2023
