decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
0.386239	6.903561	Ghana	GH	HUMAN_OBSERVATION	2024
0.386269	6.903577	Ghana	GH	HUMAN_OBSERVATION	2024
0.385781	6.903478	Ghana	GH	HUMAN_OBSERVATION	2024
0.386445	6.903833	Ghana	GH	HUMAN_OBSERVATION	2024
0.38585	6.90348	Ghana	GH	HUMAN_OBSERVATION	2024
0.385782	6.903513	Ghana	GH	HUMAN_OBSERVATION	2024
0.385785	6.903482	Ghana	GH	HUMAN_OBSERVATION	2024
5.294425	6.300562	Nigeria	NG	HUMAN_OBSERVATION	2023
0.387014	6.905194	Ghana	GH	HUMAN_OBSERVATION	2023
0.38699	6.904969	Ghana	GH	HUMAN_OBSERVATION	2023
0.386345	6.9036	Ghana	GH	HUMAN_OBSERVATION	2023
-1.38288	5.353547	Ghana	GH	HUMAN_OBSERVATION	2023
-1.693196	7.70653	Ghana	GH	HUMAN_OBSERVATION	2023
0.386065	6.903773	Ghana	GH	HUMAN_OBSERVATION	2023
0.384757	6.902544	Ghana	GH	HUMAN_OBSERVATION	2022
0.645478	7.008389	Togo	TG	HUMAN_OBSERVATION	2022
0.408754	7.050114	Ghana	GH	HUMAN_OBSERVATION	2022
0.386362	6.903613	Ghana	GH	HUMAN_OBSERVATION	2022
-0.594392	6.165321	Ghana	GH	HUMAN_OBSERVATION	2021
-2.685304	5.416204	Ghana	GH	HUMAN_OBSERVATION	2021
-3.036595	6.113671	Ghana	GH	HUMAN_OBSERVATION	2021
-3.029595	6.123671	Ghana	GH	HUMAN_OBSERVATION	2021
2.259078	7.061161	Benin	BJ	HUMAN_OBSERVATION	2021
-0.633478	6.139112	Ghana	GH	HUMAN_OBSERVATION	2021
-0.632105	6.142526	Ghana	GH	HUMAN_OBSERVATION	2021
-0.630045	6.143208	Ghana	GH	HUMAN_OBSERVATION	2021
-0.630045	6.144574	Ghana	GH	HUMAN_OBSERVATION	2021
-0.629358	6.149353	Ghana	GH	HUMAN_OBSERVATION	2021
-0.629358	6.150035	Ghana	GH	HUMAN_OBSERVATION	2021
-0.629358	6.150718	Ghana	GH	HUMAN_OBSERVATION	2021
-0.629358	6.154131	Ghana	GH	HUMAN_OBSERVATION	2021
-0.628671	6.156179	Ghana	GH	HUMAN_OBSERVATION	2021
-0.627298	6.156862	Ghana	GH	HUMAN_OBSERVATION	2021
-0.627298	6.158228	Ghana	GH	HUMAN_OBSERVATION	2021
-0.627298	6.159593	Ghana	GH	HUMAN_OBSERVATION	2021
-0.627298	6.162324	Ghana	GH	HUMAN_OBSERVATION	2021
-0.627985	6.165737	Ghana	GH	HUMAN_OBSERVATION	2021
-0.619745	6.182121	Ghana	GH	HUMAN_OBSERVATION	2021
-0.618372	6.184169	Ghana	GH	HUMAN_OBSERVATION	2021
0.38812	6.906417	Ghana	GH	HUMAN_OBSERVATION	2021
6.59603	5.2499	Nigeria	NG	HUMAN_OBSERVATION	2020
1.999688	7.038812	Benin	BJ	HUMAN_OBSERVATION	2020
2.097323	6.956431	Benin	BJ	HUMAN_OBSERVATION	2019
3.948594	6.591946	Nigeria	NG	HUMAN_OBSERVATION	2019
0.384307	6.904094	Ghana	GH	HUMAN_OBSERVATION	2018
1.897865	6.407399	Benin	BJ	HUMAN_OBSERVATION	2018
2.40178	6.91266	Benin	BJ	HUMAN_OBSERVATION	2017
4.278592	6.957531	Nigeria	NG	HUMAN_OBSERVATION	2017
2.116667	6.966667	Benin	BJ	HUMAN_OBSERVATION	2015
2.433333	6.666667	Benin	BJ	HUMAN_OBSERVATION	2014
2.449175	6.675341	Benin	BJ	HUMAN_OBSERVATION	2014
2.11667	6.966665	Benin	BJ	HUMAN_OBSERVATION	2014
2.116656	6.966665	Benin	BJ	HUMAN_OBSERVATION	2014
2.116671	6.966653	Benin	BJ	HUMAN_OBSERVATION	2014
2.116697	6.96667	Benin	BJ	HUMAN_OBSERVATION	2014
2.116692	6.966642	Benin	BJ	HUMAN_OBSERVATION	2014
2.1666	6.9166	Benin	BJ	OCCURRENCE	2014
2.1	7.0833	Benin	BJ	OCCURRENCE	2014
-0.677359	5.999024	Ghana	GH	HUMAN_OBSERVATION	2013
2.38987	6.952706	Benin	BJ	HUMAN_OBSERVATION	2013
2.440245	6.678752	Benin	BJ	HUMAN_OBSERVATION	2013
1.6895	6.9217	Benin	BJ	HUMAN_OBSERVATION	2013
1.6549	7.1166	Benin	BJ	HUMAN_OBSERVATION	2013
2.3856	7.203	Benin	BJ	HUMAN_OBSERVATION	2013
2.1347	7.1063	Benin	BJ	HUMAN_OBSERVATION	2013
2.010111	6.443757	Benin	BJ	OCCURRENCE	2013
1.788402	7.108036	Benin	BJ	OCCURRENCE	2013
2.512721	6.904417	Benin	BJ	OCCURRENCE	2013
1.91693	6.474586	Benin	BJ	HUMAN_OBSERVATION	2012
2.7048	6.5262	Benin	BJ	HUMAN_OBSERVATION	2012
2.7018	6.6863	Benin	BJ	HUMAN_OBSERVATION	2012
2.559	7.4431	Benin	BJ	HUMAN_OBSERVATION	2012
2.4744	6.8067	Benin	BJ	HUMAN_OBSERVATION	2012
2.4559	6.8533	Benin	BJ	HUMAN_OBSERVATION	2012
2.4072	6.9211	Benin	BJ	HUMAN_OBSERVATION	2012
2.4048	7.2068	Benin	BJ	HUMAN_OBSERVATION	2012
1.738	6.8008	Benin	BJ	HUMAN_OBSERVATION	2012
0.384273	6.901926	Ghana	GH	HUMAN_OBSERVATION	2010
3.468511	6.623837	Nigeria	NG	HUMAN_OBSERVATION	2010
0.442736	7.166953	Ghana	GH	HUMAN_OBSERVATION	2009
0.385036	6.905401	Ghana	GH	HUMAN_OBSERVATION	2009
-1.702759	6.747355	Ghana	GH	HUMAN_OBSERVATION	2008
-1.696292	7.706497	Ghana	GH	HUMAN_OBSERVATION	2008
-1.696353	7.715378	Ghana	GH	HUMAN_OBSERVATION	2007
-1.696083	7.716472	Ghana	GH	HUMAN_OBSERVATION	2007
2.130028	7.065248	Benin	BJ	HUMAN_OBSERVATION	2006
2.166667	6.916667	Benin	BJ	HUMAN_OBSERVATION	2004
1.758022	6.303553	Benin	BJ	HUMAN_OBSERVATION	2003
