decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
15.526531	-3.132032	Congo	CG	HUMAN_OBSERVATION	2024
24.338946	5.655888	Central African Republic	CF	HUMAN_OBSERVATION	2024
16.192842	2.211307	Congo	CG	HUMAN_OBSERVATION	2023
35.005198	1.010724	Kenya	KE	HUMAN_OBSERVATION	2023
16.232541	2.985421	Central African Republic	CF	HUMAN_OBSERVATION	2023
28.572202	1.404138	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2023
30.16414	0.830953	Uganda	UG	HUMAN_OBSERVATION	2023
16.186766	2.203574	Congo	CG	HUMAN_OBSERVATION	2023
15.523255	-3.098178	Congo	CG	HUMAN_OBSERVATION	2023
30.142717	0.84271	Uganda	UG	HUMAN_OBSERVATION	2023
35.122291	1.097641	Kenya	KE	HUMAN_OBSERVATION	2023
24.135016	6.350324	Central African Republic	CF	HUMAN_OBSERVATION	2022
24.002508	7.980358	Central African Republic	CF	HUMAN_OBSERVATION	2022
16.192658	2.208587	Congo	CG	HUMAN_OBSERVATION	2022
20.678573	-1.746746	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2022
24.001872	7.981463	Central African Republic	CF	HUMAN_OBSERVATION	2022
28.572965	1.403717	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2021
30.164163	0.831417	Uganda	UG	HUMAN_OBSERVATION	2021
30.146102	0.817175	Uganda	UG	HUMAN_OBSERVATION	2021
30.143394	0.807125	Uganda	UG	HUMAN_OBSERVATION	2021
35.125708	1.104462	Kenya	KE	HUMAN_OBSERVATION	2021
24.396164	6.961553	Central African Republic	CF	HUMAN_OBSERVATION	2020
29.517017	3.753081	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2020
37.28418	1.25973	Kenya	KE	HUMAN_OBSERVATION	2020
29.516571	3.752587	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2019
34.722741	1.793561	Uganda	UG	HUMAN_OBSERVATION	2019
28.570115	1.401109	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2019
14.942322	0.612145	Congo	CG	HUMAN_OBSERVATION	2019
35.007726	1.008903	Kenya	KE	HUMAN_OBSERVATION	2019
30.166185	0.832494	Uganda	UG	HUMAN_OBSERVATION	2019
29.521537	3.751598	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2018
29.518548	3.752453	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2018
29.495544	3.793003	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2018
29.512789	3.748045	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2018
29.518633	3.750052	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2018
29.520266	3.753175	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2018
35.3247	6.802348	Ethiopia	ET	HUMAN_OBSERVATION	2018
30.16433	0.831123	Uganda	UG	HUMAN_OBSERVATION	2018
30.164366	0.831403	Uganda	UG	HUMAN_OBSERVATION	2018
35.325076	6.798637	Ethiopia	ET	HUMAN_OBSERVATION	2018
35.3073	6.7997	Ethiopia	ET	HUMAN_OBSERVATION	2018
35.331109	6.792379	Ethiopia	ET	HUMAN_OBSERVATION	2018
35.326681	6.799185	Ethiopia	ET	HUMAN_OBSERVATION	2018
35.295395	6.791053	Ethiopia	ET	HUMAN_OBSERVATION	2018
