decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-1.380961	5.356181	Ghana	GH	HUMAN_OBSERVATION	2024
-11.35	7.54	Sierra Leone	SL	HUMAN_OBSERVATION	2023
-12.19325	9.661524	Sierra Leone	SL	HUMAN_OBSERVATION	2023
-11.364677	7.558249	Sierra Leone	SL	HUMAN_OBSERVATION	2023
-1.38377	5.354163	Ghana	GH	HUMAN_OBSERVATION	2023
-0.18375	5.658692	Ghana	GH	HUMAN_OBSERVATION	2023
-11.744692	10.1794	Guinea	GN	HUMAN_OBSERVATION	2023
0.042308	5.88728	Ghana	GH	HUMAN_OBSERVATION	2023
-1.38288	5.353547	Ghana	GH	HUMAN_OBSERVATION	2023
-1.382777	5.353485	Ghana	GH	HUMAN_OBSERVATION	2023
0.044183	5.891748	Ghana	GH	HUMAN_OBSERVATION	2023
-1.383837	5.35342	Ghana	GH	HUMAN_OBSERVATION	2022
0.038479	5.883984	Ghana	GH	HUMAN_OBSERVATION	2022
-8.799863	5.33055	Liberia	LR	HUMAN_OBSERVATION	2022
-8.800027	5.330899	Liberia	LR	HUMAN_OBSERVATION	2022
-11.350021	7.54053	Sierra Leone	SL	HUMAN_OBSERVATION	2022
-11.345043	7.54461	Sierra Leone	SL	HUMAN_OBSERVATION	2022
-11.345501	7.541171	Sierra Leone	SL	HUMAN_OBSERVATION	2022
-1.382848	5.353423	Ghana	GH	HUMAN_OBSERVATION	2021
0.043465	5.889904	Ghana	GH	HUMAN_OBSERVATION	2021
-1.383046	5.353892	Ghana	GH	HUMAN_OBSERVATION	2021
0.044186	5.891705	Ghana	GH	HUMAN_OBSERVATION	2020
-1.383923	5.3532	Ghana	GH	HUMAN_OBSERVATION	2020
-1.382772	5.353512	Ghana	GH	HUMAN_OBSERVATION	2019
-3.116667	8.5	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2019
-2	9.5	Ghana	GH	HUMAN_OBSERVATION	2019
-1.38195	5.35006	Ghana	GH	HUMAN_OBSERVATION	2019
-12.330056	7.746323	Sierra Leone	SL	HUMAN_OBSERVATION	2019
-1.379986	5.359777	Ghana	GH	HUMAN_OBSERVATION	2018
-3.668333	5.807778	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2018
-3.680556	5.627778	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2018
-11.263286	7.375199	Sierra Leone	SL	HUMAN_OBSERVATION	2018
-7.05	4.6	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2018
-1.382829	5.353581	Ghana	GH	HUMAN_OBSERVATION	2018
-1.38717	5.336514	Ghana	GH	HUMAN_OBSERVATION	2017
-7.057008	4.549867	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2017
-6.066667	7.533333	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2017
-6.15	7.65	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2017
-11.348779	7.544135	Sierra Leone	SL	HUMAN_OBSERVATION	2016
-6.716667	7.983056	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2015
-5.75	6.916667	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2014
-8.387123	5.368112	Liberia	LR	HUMAN_OBSERVATION	2014
-8.414872	5.513373	Liberia	LR	HUMAN_OBSERVATION	2014
-8.305973	5.441206	Liberia	LR	HUMAN_OBSERVATION	2014
-8.391111	7.603056	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2014
-2.744327	5.770745	Ghana	GH	HUMAN_OBSERVATION	2013
-7.083333	4.666667	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2013
-7.138864	4.672056	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2013
-4.052228	5.393284	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2013
-6.6	5.783333	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2013
-2.743056	7.991111	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2013
-2.579298	5.263187	Ghana	GH	HUMAN_OBSERVATION	2013
-8.418079	7.638103	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2013
0.026554	5.830945	Ghana	GH	HUMAN_OBSERVATION	2013
-0.532477	6.25641	Ghana	GH	HUMAN_OBSERVATION	2012
-1.258278	5.123772	Ghana	GH	HUMAN_OBSERVATION	2011
