decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
40.084227	9.135531	Ethiopia	ET	HUMAN_OBSERVATION	2024
40.08421	9.135647	Ethiopia	ET	HUMAN_OBSERVATION	2024
36.855973	7.682005	Ethiopia	ET	HUMAN_OBSERVATION	2024
39.270844	8.487762	Ethiopia	ET	HUMAN_OBSERVATION	2023
39.270729	8.48785	Ethiopia	ET	HUMAN_OBSERVATION	2023
38.72776	7.919003	Ethiopia	ET	HUMAN_OBSERVATION	2023
37.361353	11.574209	Ethiopia	ET	HUMAN_OBSERVATION	2023
40.006082	8.846803	Ethiopia	ET	HUMAN_OBSERVATION	2023
38.458419	7.04467	Ethiopia	ET	HUMAN_OBSERVATION	2023
37.688779	12.810906	Ethiopia	ET	HUMAN_OBSERVATION	2023
38.459075	7.044175	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.460715	7.049517	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.457352	7.043448	Ethiopia	ET	HUMAN_OBSERVATION	2022
37.567188	6.026431	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.443845	6.750208	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.442789	6.749425	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.728313	7.918802	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.982964	8.746734	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.805513	7.534042	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.459347	7.049408	Ethiopia	ET	HUMAN_OBSERVATION	2021
38.470824	7.059884	Ethiopia	ET	HUMAN_OBSERVATION	2020
37.589757	11.489607	Ethiopia	ET	HUMAN_OBSERVATION	2020
39.398781	8.391416	Ethiopia	ET	HUMAN_OBSERVATION	2020
36.038531	7.278282	Ethiopia	ET	HUMAN_OBSERVATION	2020
40.011822	8.846098	Ethiopia	ET	HUMAN_OBSERVATION	2020
38.459776	7.041528	Ethiopia	ET	HUMAN_OBSERVATION	2020
40.007816	8.851872	Ethiopia	ET	HUMAN_OBSERVATION	2020
40.012369	8.842453	Ethiopia	ET	HUMAN_OBSERVATION	2019
40.012078	8.842273	Ethiopia	ET	HUMAN_OBSERVATION	2019
37.973162	8.538323	Ethiopia	ET	HUMAN_OBSERVATION	2019
38.833089	9.722889	Ethiopia	ET	HUMAN_OBSERVATION	2019
39.734338	6.885819	Ethiopia	ET	HUMAN_OBSERVATION	2019
38.906939	9.839212	Ethiopia	ET	HUMAN_OBSERVATION	2019
40.010772	8.843649	Ethiopia	ET	HUMAN_OBSERVATION	2019
37.981843	8.533194	Ethiopia	ET	HUMAN_OBSERVATION	2019
40.163188	8.991737	Ethiopia	ET	HUMAN_OBSERVATION	2019
39.05087	12.031906	Ethiopia	ET	HUMAN_OBSERVATION	2019
38.456917	7.043517	Ethiopia	ET	HUMAN_OBSERVATION	2019
40.005688	8.847168	Ethiopia	ET	HUMAN_OBSERVATION	2019
40.007778	8.846198	Ethiopia	ET	HUMAN_OBSERVATION	2019
40.01219	8.843503	Ethiopia	ET	HUMAN_OBSERVATION	2019
38.151014	10.852758	Ethiopia	ET	HUMAN_OBSERVATION	2019
38.908077	9.840578	Ethiopia	ET	HUMAN_OBSERVATION	2018
40.009612	8.845282	Ethiopia	ET	HUMAN_OBSERVATION	2018
39.819517	9.573352	Ethiopia	ET	HUMAN_OBSERVATION	2018
39.819125	9.573777	Ethiopia	ET	HUMAN_OBSERVATION	2018
40.00939	8.845301	Ethiopia	ET	HUMAN_OBSERVATION	2018
39.819433	9.573569	Ethiopia	ET	HUMAN_OBSERVATION	2018
39.817297	9.573734	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.806458	7.536485	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.469825	7.05719	Ethiopia	ET	HUMAN_OBSERVATION	2018
40.006639	8.846153	Ethiopia	ET	HUMAN_OBSERVATION	2018
39.816938	9.574394	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.908238	9.841105	Ethiopia	ET	HUMAN_OBSERVATION	2018
39.8174	9.5736	Ethiopia	ET	HUMAN_OBSERVATION	2018
40.0077	8.8462	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.4575	7.0438	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.6378	7.0844	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.637	7.0834	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.8062	7.5361	Ethiopia	ET	HUMAN_OBSERVATION	2018
37.349449	11.700574	Ethiopia	ET	HUMAN_OBSERVATION	2018
37.396372	11.605823	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.463084	7.040156	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.443543	6.749603	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.637461	7.082261	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.45999	7.043095	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.627492	7.101137	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.624196	7.10231	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.618896	7.084168	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.440229	7.028565	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.421885	7.031297	Ethiopia	ET	HUMAN_OBSERVATION	2018
39.393652	8.399858	Ethiopia	ET	HUMAN_OBSERVATION	2018
40.001229	8.853653	Ethiopia	ET	HUMAN_OBSERVATION	2018
38.778423	7.523317	Ethiopia	ET	HUMAN_OBSERVATION	2017
38.456851	7.045523	Ethiopia	ET	HUMAN_OBSERVATION	2017
38.926114	9.911634	Ethiopia	ET	HUMAN_OBSERVATION	2017
40.012415	8.842516	Ethiopia	ET	HUMAN_OBSERVATION	2017
37.593498	5.939119	Ethiopia	ET	HUMAN_OBSERVATION	2017
37.733917	10.316271	Ethiopia	ET	HUMAN_OBSERVATION	2017
40.010214	8.844629	Ethiopia	ET	HUMAN_OBSERVATION	2017
40.000909	9.080616	Ethiopia	ET	HUMAN_OBSERVATION	2017
38.466707	7.052938	Ethiopia	ET	HUMAN_OBSERVATION	2017
39.04763	12.030899	Ethiopia	ET	HUMAN_OBSERVATION	2016
38.469788	7.05741	Ethiopia	ET	HUMAN_OBSERVATION	2016
35.422314	7.412694	Ethiopia	ET	HUMAN_OBSERVATION	2016
40.021056	9.110608	Ethiopia	ET	HUMAN_OBSERVATION	2016
37.981646	8.53373	Ethiopia	ET	HUMAN_OBSERVATION	2016
39.0411	12.031703	Ethiopia	ET	HUMAN_OBSERVATION	2016
40.042664	8.920232	Ethiopia	ET	HUMAN_OBSERVATION	2016
38.495504	7.050374	Ethiopia	ET	HUMAN_OBSERVATION	2016
38.469866	7.057013	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.91116	9.849431	Ethiopia	ET	HUMAN_OBSERVATION	2015
39.818048	9.572339	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.011112	8.845575	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.679019	7.548363	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.85095	6.905419	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.852957	6.90096	Ethiopia	ET	HUMAN_OBSERVATION	2015
37.686846	5.9016	Ethiopia	ET	HUMAN_OBSERVATION	2015
37.687018	5.901692	Ethiopia	ET	HUMAN_OBSERVATION	2015
37.688627	5.902034	Ethiopia	ET	HUMAN_OBSERVATION	2015
37.353826	11.691023	Ethiopia	ET	HUMAN_OBSERVATION	2015
39.736228	9.738159	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.61763	7.085902	Ethiopia	ET	HUMAN_OBSERVATION	2015
39.394184	8.40218	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.011433	8.842881	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.612394	7.520384	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.618498	7.091037	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.4687	7.051894	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.456608	7.045092	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.462545	7.036063	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.457298	7.044335	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.760378	9.185278	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.626385	7.099797	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.927408	9.912672	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.0086	8.8457	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.848241	6.90518	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.810054	7.537805	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.884411	9.834589	Ethiopia	ET	HUMAN_OBSERVATION	2015
39.836238	9.567467	Ethiopia	ET	HUMAN_OBSERVATION	2015
39.043235	12.032876	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.01255	8.842298	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.006127	8.846311	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.012479	8.842353	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.112686	8.900991	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.926894	9.913008	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.928383	9.913777	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.095495	8.880174	Ethiopia	ET	HUMAN_OBSERVATION	2015
40.122862	9.117355	Ethiopia	ET	HUMAN_OBSERVATION	2015
38.640613	7.077951	Ethiopia	ET	HUMAN_OBSERVATION	2014
34.876377	9.225691	Ethiopia	ET	HUMAN_OBSERVATION	2014
39.83358	9.567627	Ethiopia	ET	HUMAN_OBSERVATION	2014
40.015884	8.848489	Ethiopia	ET	HUMAN_OBSERVATION	2014
39.262901	6.967765	Ethiopia	ET	HUMAN_OBSERVATION	2014
38.458394	7.043505	Ethiopia	ET	HUMAN_OBSERVATION	2014
37.285164	11.903894	Ethiopia	ET	HUMAN_OBSERVATION	2013
37.592249	11.486835	Ethiopia	ET	HUMAN_OBSERVATION	2013
37.380638	11.623401	Ethiopia	ET	HUMAN_OBSERVATION	2013
35.381187	9.012761	Ethiopia	ET	HUMAN_OBSERVATION	2013
38.441791	7.079769	Ethiopia	ET	HUMAN_OBSERVATION	2013
38.472956	7.061633	Ethiopia	ET	HUMAN_OBSERVATION	2013
39.766667	9.3	Ethiopia	ET	HUMAN_OBSERVATION	2013
37.811017	11.73655	Ethiopia	ET	HUMAN_OBSERVATION	2012
39.827757	9.569431	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.929195	9.893437	Ethiopia	ET	HUMAN_OBSERVATION	2012
37.316894	11.683797	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.395386	6.734076	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.485565	7.05383	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.46631	7.023123	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.190817	10.080581	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.508453	7.047061	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.474808	7.062052	Ethiopia	ET	HUMAN_OBSERVATION	2012
40	9.083333	Ethiopia	ET	HUMAN_OBSERVATION	2012
39.987488	8.950193	Ethiopia	ET	HUMAN_OBSERVATION	2012
40.848447	6.906033	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.468942	7.057303	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.633422	7.078565	Ethiopia	ET	HUMAN_OBSERVATION	2012
38.469133	7.11346	Ethiopia	ET	HUMAN_OBSERVATION	2011
38.469948	7.058326	Ethiopia	ET	HUMAN_OBSERVATION	2011
38.458672	7.04856	Ethiopia	ET	HUMAN_OBSERVATION	2011
37.422763	9.042887	Ethiopia	ET	HUMAN_OBSERVATION	2011
37.422625	9.042775	Ethiopia	ET	HUMAN_OBSERVATION	2011
37.422536	9.042711	Ethiopia	ET	HUMAN_OBSERVATION	2011
37.42234	9.042748	Ethiopia	ET	HUMAN_OBSERVATION	2011
37.887211	13.202847	Ethiopia	ET	HUMAN_OBSERVATION	2011
