decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
23.587159	-32.956232	South Africa	ZA	HUMAN_OBSERVATION	2024
34.800092	-2.426947	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
24.48883	-32.20159	South Africa	ZA	HUMAN_OBSERVATION	2024
24.52586	-32.18703	South Africa	ZA	HUMAN_OBSERVATION	2024
36.424435	-0.649743	Kenya	KE	HUMAN_OBSERVATION	2024
26.545299	-33.708368	South Africa	ZA	HUMAN_OBSERVATION	2024
30.677627	-30.382161	South Africa	ZA	HUMAN_OBSERVATION	2024
31.777845	-24.392377	South Africa	ZA	HUMAN_OBSERVATION	2024
36.335382	-0.827519	Kenya	KE	HUMAN_OBSERVATION	2024
38.995538	-5.110167	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
28.198456	-25.156115	South Africa	ZA	HUMAN_OBSERVATION	2024
31.74948	-24.968547	South Africa	ZA	HUMAN_OBSERVATION	2024
37.383759	-3.350151	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
27.930678	-25.909245	South Africa	ZA	HUMAN_OBSERVATION	2024
23.048303	-34.028934	South Africa	ZA	HUMAN_OBSERVATION	2024
23.561463	-33.978388	South Africa	ZA	HUMAN_OBSERVATION	2024
36.334908	-0.825496	Kenya	KE	HUMAN_OBSERVATION	2024
39.581087	-4.307305	Kenya	KE	HUMAN_OBSERVATION	2024
34.331036	-8.351908	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.690304	-5.355055	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
27.054654	-25.345535	South Africa	ZA	HUMAN_OBSERVATION	2024
27.055063	-25.345328	South Africa	ZA	HUMAN_OBSERVATION	2024
25.341909	-24.972722	Botswana	BW	HUMAN_OBSERVATION	2024
36.398883	-0.80277	Kenya	KE	HUMAN_OBSERVATION	2024
36.410108	-0.754635	Kenya	KE	HUMAN_OBSERVATION	2024
36.417589	-0.690713	Kenya	KE	HUMAN_OBSERVATION	2024
37.36715	-3.353851	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
26.447001	-33.482409	South Africa	ZA	HUMAN_OBSERVATION	2024
36.484417	-3.410608	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
31.858817	-24.785787	South Africa	ZA	HUMAN_OBSERVATION	2024
31.531975	-25.286733	South Africa	ZA	HUMAN_OBSERVATION	2024
23.886172	-34.022119	South Africa	ZA	HUMAN_OBSERVATION	2024
31.430177	-23.105773	South Africa	ZA	HUMAN_OBSERVATION	2024
27.48773	-25.757819	South Africa	ZA	HUMAN_OBSERVATION	2024
37.708795	0.664696	Kenya	KE	HUMAN_OBSERVATION	2024
36.792267	-3.381138	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
36.319304	-0.898077	Kenya	KE	HUMAN_OBSERVATION	2024
35.388443	-1.607063	Kenya	KE	HUMAN_OBSERVATION	2024
37.004038	0.210989	Kenya	KE	HUMAN_OBSERVATION	2024
31.017647	-22.693264	South Africa	ZA	HUMAN_OBSERVATION	2024
27.855879	-25.95676	South Africa	ZA	HUMAN_OBSERVATION	2024
38.827302	-3.624241	Kenya	KE	HUMAN_OBSERVATION	2024
22.058671	-33.942932	South Africa	ZA	HUMAN_OBSERVATION	2024
30.778913	-29.7808	South Africa	ZA	HUMAN_OBSERVATION	2024
34.744478	-0.115983	Kenya	KE	HUMAN_OBSERVATION	2024
34.744815	-0.117064	Kenya	KE	HUMAN_OBSERVATION	2024
30.622807	-12.291097	Zambia	ZM	HUMAN_OBSERVATION	2024
30.31061	-29.836427	South Africa	ZA	HUMAN_OBSERVATION	2024
32.275879	-26.881465	South Africa	ZA	HUMAN_OBSERVATION	2024
32.313879	-26.909176	South Africa	ZA	HUMAN_OBSERVATION	2024
37.584977	0.585973	Kenya	KE	HUMAN_OBSERVATION	2024
31.108107	-29.680214	South Africa	ZA	HUMAN_OBSERVATION	2023
34.985026	-15.718659	Malawi	MW	HUMAN_OBSERVATION	2023
36.838933	-3.369617	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
32.28313	-27.883333	South Africa	ZA	HUMAN_OBSERVATION	2023
22.453054	-33.953588	South Africa	ZA	HUMAN_OBSERVATION	2023
35.144648	-1.493712	Kenya	KE	HUMAN_OBSERVATION	2023
30.034602	-31.26582	South Africa	ZA	HUMAN_OBSERVATION	2023
28.616383	-20.196383	Zimbabwe	ZW	HUMAN_OBSERVATION	2023
36.061011	-3.832112	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
38.960672	-3.379188	Kenya	KE	HUMAN_OBSERVATION	2023
36.900961	-1.411209	Kenya	KE	HUMAN_OBSERVATION	2023
31.430514	-25.011327	South Africa	ZA	HUMAN_OBSERVATION	2023
30.488491	-30.688077	South Africa	ZA	HUMAN_OBSERVATION	2023
