decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-13.29362	13.026306	Senegal	SN	HUMAN_OBSERVATION	2024
-13.310368	13.115633	Senegal	SN	HUMAN_OBSERVATION	2024
-13.377966	13.349133	Senegal	SN	HUMAN_OBSERVATION	2024
-13.37797	13.349129	Senegal	SN	HUMAN_OBSERVATION	2024
-13.377972	13.349116	Senegal	SN	HUMAN_OBSERVATION	2024
-16.503675	13.757229	Senegal	SN	HUMAN_OBSERVATION	2024
-16.21045	13.249192	Gambia	GM	HUMAN_OBSERVATION	2024
-14.770182	13.525995	Gambia	GM	HUMAN_OBSERVATION	2024
-13.378579	13.350031	Senegal	SN	HUMAN_OBSERVATION	2023
-13.37845	13.350021	Senegal	SN	HUMAN_OBSERVATION	2023
-16.623021	13.671368	Senegal	SN	HUMAN_OBSERVATION	2023
-13.374583	13.340556	Senegal	SN	HUMAN_OBSERVATION	2023
-16.6475	13.39285	Gambia	GM	HUMAN_OBSERVATION	2023
-16.64903	13.39173	Gambia	GM	HUMAN_OBSERVATION	2023
-13.378337	13.34942	Senegal	SN	HUMAN_OBSERVATION	2023
-16.21065	13.24871	Gambia	GM	HUMAN_OBSERVATION	2023
-16.21081	13.24864	Gambia	GM	HUMAN_OBSERVATION	2023
-16.21511	13.26001	Gambia	GM	HUMAN_OBSERVATION	2023
-13.81946	13.548765	Senegal	SN	HUMAN_OBSERVATION	2023
-16.646352	13.39576	Gambia	GM	HUMAN_OBSERVATION	2023
-16.646519	13.394649	Gambia	GM	HUMAN_OBSERVATION	2023
-16.6471	13.3933	Gambia	GM	HUMAN_OBSERVATION	2023
-14.771112	13.546184	Gambia	GM	HUMAN_OBSERVATION	2023
-14.894459	13.666784	Gambia	GM	HUMAN_OBSERVATION	2023
-16.2227	13.2285	Gambia	GM	HUMAN_OBSERVATION	2023
-14.7725	13.5683	Gambia	GM	HUMAN_OBSERVATION	2023
-16.652827	13.389352	Gambia	GM	HUMAN_OBSERVATION	2023
-14.710615	13.534303	Gambia	GM	HUMAN_OBSERVATION	2023
-13.380972	13.333625	Senegal	SN	HUMAN_OBSERVATION	2023
-14.78591	13.550396	Gambia	GM	HUMAN_OBSERVATION	2023
-16.649532	13.392699	Gambia	GM	HUMAN_OBSERVATION	2023
-13.237707	13.025979	Senegal	SN	HUMAN_OBSERVATION	2023
-16.516226	13.762356	Senegal	SN	HUMAN_OBSERVATION	2023
-16.222705	13.228309	Gambia	GM	HUMAN_OBSERVATION	2023
-16.224471	13.226379	Gambia	GM	HUMAN_OBSERVATION	2023
-16.222584	13.228322	Gambia	GM	HUMAN_OBSERVATION	2023
-14.868295	13.664743	Gambia	GM	HUMAN_OBSERVATION	2023
-14.75934	13.545061	Gambia	GM	HUMAN_OBSERVATION	2023
-14.813332	13.561565	Gambia	GM	HUMAN_OBSERVATION	2023
-14.758904	13.544924	Gambia	GM	HUMAN_OBSERVATION	2023
-16.223595	13.227768	Gambia	GM	HUMAN_OBSERVATION	2023
-16.21953	13.225644	Gambia	GM	HUMAN_OBSERVATION	2023
-13.37801	13.348343	Senegal	SN	HUMAN_OBSERVATION	2023
-16.760519	13.125323	Gambia	GM	HUMAN_OBSERVATION	2023
-14.948	13.64	Gambia	GM	HUMAN_OBSERVATION	2023
-14.8984	13.6567	Gambia	GM	HUMAN_OBSERVATION	2023
-16.253586	13.279378	Gambia	GM	HUMAN_OBSERVATION	2023
-13.377899	13.348598	Senegal	SN	HUMAN_OBSERVATION	2023
-16.6479	13.392836	Gambia	GM	HUMAN_OBSERVATION	2023
-14.892456	13.665338	Gambia	GM	HUMAN_OBSERVATION	2023
-14.899806	13.656367	Gambia	GM	HUMAN_OBSERVATION	2023
-16.649094	13.393126	Gambia	GM	HUMAN_OBSERVATION	2023
-16.549206	13.2822	Gambia	GM	HUMAN_OBSERVATION	2023
-14.742857	13.536089	Gambia	GM	HUMAN_OBSERVATION	2023
-16.647167	13.393142	Gambia	GM	HUMAN_OBSERVATION	2023
-13.293898	13.026729	Senegal	SN	HUMAN_OBSERVATION	2023
-13.384208	13.337243	Senegal	SN	HUMAN_OBSERVATION	2023
-14.950676	13.642651	Gambia	GM	HUMAN_OBSERVATION	2023
-15.452841	13.49583	Gambia	GM	HUMAN_OBSERVATION	2023
-16.771933	13.140807	Gambia	GM	HUMAN_OBSERVATION	2023
-14.936417	13.64187	Gambia	GM	HUMAN_OBSERVATION	2023
-16.222652	13.228306	Gambia	GM	HUMAN_OBSERVATION	2023
-16.222501	13.228647	Gambia	GM	HUMAN_OBSERVATION	2023
-16.222532	13.228153	Gambia	GM	HUMAN_OBSERVATION	2023
-14.892665	13.665498	Gambia	GM	HUMAN_OBSERVATION	2023
-14.758334	13.541294	Gambia	GM	HUMAN_OBSERVATION	2023
-14.766025	13.526771	Gambia	GM	HUMAN_OBSERVATION	2023
-16.446347	13.447173	Gambia	GM	HUMAN_OBSERVATION	2023
-16.789243	13.364541	Gambia	GM	HUMAN_OBSERVATION	2023
-16.648142	13.392015	Gambia	GM	HUMAN_OBSERVATION	2022
-16.649235	13.394179	Gambia	GM	HUMAN_OBSERVATION	2022
-14.780035	13.544371	Gambia	GM	HUMAN_OBSERVATION	2022
-16.653677	13.389062	Gambia	GM	HUMAN_OBSERVATION	2022
-16.644823	13.394671	Gambia	GM	HUMAN_OBSERVATION	2022
-14.780223	13.545128	Gambia	GM	HUMAN_OBSERVATION	2022
-13.377779	13.34831	Senegal	SN	HUMAN_OBSERVATION	2022
-13.293328	13.033513	Senegal	SN	HUMAN_OBSERVATION	2022
-13.377826	13.348233	Senegal	SN	HUMAN_OBSERVATION	2022
-13.379463	13.344818	Senegal	SN	HUMAN_OBSERVATION	2022
-14.745564	13.505595	Gambia	GM	HUMAN_OBSERVATION	2022
-14.772298	13.546199	Gambia	GM	HUMAN_OBSERVATION	2022
-16.650453	13.392297	Gambia	GM	HUMAN_OBSERVATION	2022
-16.608896	13.310965	Gambia	GM	HUMAN_OBSERVATION	2022
-13.377642	13.348606	Senegal	SN	HUMAN_OBSERVATION	2022
-16.222083	13.228279	Gambia	GM	HUMAN_OBSERVATION	2022
-13.377828	13.348297	Senegal	SN	HUMAN_OBSERVATION	2022
-16.222906	13.228781	Gambia	GM	HUMAN_OBSERVATION	2022
-16.732662	13.052041	Senegal	SN	HUMAN_OBSERVATION	2022
-16.737745	12.985293	Senegal	SN	HUMAN_OBSERVATION	2022
-16.651365	13.393401	Gambia	GM	HUMAN_OBSERVATION	2022
