decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
38.232283	-7.771813	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.57528	-4.315846	Kenya	KE	HUMAN_OBSERVATION	2024
39.580075	-4.306872	Kenya	KE	HUMAN_OBSERVATION	2024
38.857578	-6.378119	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
36.879636	-7.842924	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.386422	-4.648721	Kenya	KE	HUMAN_OBSERVATION	2023
39.42555	-4.192514	Kenya	KE	HUMAN_OBSERVATION	2023
39.375749	-4.658274	Kenya	KE	HUMAN_OBSERVATION	2023
39.385589	-4.257222	Kenya	KE	HUMAN_OBSERVATION	2023
36.056251	-8.204828	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.579433	-4.30838	Kenya	KE	HUMAN_OBSERVATION	2023
37.990244	-6.583751	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.989521	-6.583627	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.989683	-6.583518	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.990182	-6.583843	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.989888	-6.583569	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.990022	-6.583601	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.987284	-6.583875	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.989698	-6.583455	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.989683	-6.583534	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.98976	-6.583435	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.569176	-4.335228	Kenya	KE	HUMAN_OBSERVATION	2023
39.569237	-4.334816	Kenya	KE	HUMAN_OBSERVATION	2023
39.56903	-4.336547	Kenya	KE	HUMAN_OBSERVATION	2023
39.563053	-4.350687	Kenya	KE	HUMAN_OBSERVATION	2023
39.563222	-4.340633	Kenya	KE	HUMAN_OBSERVATION	2023
38.285788	-4.516701	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
38.386861	-7.843107	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.568164	-4.337203	Kenya	KE	HUMAN_OBSERVATION	2023
38.287056	-4.762154	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.571665	-4.327905	Kenya	KE	HUMAN_OBSERVATION	2022
39.386207	-4.279225	Kenya	KE	HUMAN_OBSERVATION	2022
39.569001	-4.336368	Kenya	KE	HUMAN_OBSERVATION	2022
39.568542	-4.335631	Kenya	KE	HUMAN_OBSERVATION	2022
39.239108	-7.853286	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
39.558394	-4.36727	Kenya	KE	HUMAN_OBSERVATION	2022
39.576217	-4.318445	Kenya	KE	HUMAN_OBSERVATION	2022
38.262677	-4.73228	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
38.331681	-4.756316	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
38.18788	-7.715309	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
39.428901	-4.09882	Kenya	KE	HUMAN_OBSERVATION	2021
39.608984	-4.221704	Kenya	KE	HUMAN_OBSERVATION	2021
39.569317	-4.335577	Kenya	KE	HUMAN_OBSERVATION	2021
39.538168	-4.286542	Kenya	KE	HUMAN_OBSERVATION	2021
39.582698	-4.299019	Kenya	KE	HUMAN_OBSERVATION	2021
39.424801	-4.192339	Kenya	KE	HUMAN_OBSERVATION	2021
39.582797	-4.299072	Kenya	KE	HUMAN_OBSERVATION	2021
38.634494	-5.153424	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2021
38.333965	-4.761387	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2021
39.377924	-4.641987	Kenya	KE	HUMAN_OBSERVATION	2020
39.561278	-4.356687	Kenya	KE	HUMAN_OBSERVATION	2020
38.75776	-6.000191	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2020
39.582786	-4.298878	Kenya	KE	HUMAN_OBSERVATION	2020
39.582774	-4.298906	Kenya	KE	HUMAN_OBSERVATION	2020
39.562119	-4.353811	Kenya	KE	HUMAN_OBSERVATION	2020
38.249717	-4.726177	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2020
38.616084	-5.115477	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2019
36.908226	-7.767281	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2019
39.350515	-4.272463	Kenya	KE	HUMAN_OBSERVATION	2019
39.387778	-4.257222	Kenya	KE	HUMAN_OBSERVATION	2019
39.583321	-4.299098	Kenya	KE	HUMAN_OBSERVATION	2019
39.5833	-4.299039	Kenya	KE	HUMAN_OBSERVATION	2019
39.582727	-4.29903	Kenya	KE	HUMAN_OBSERVATION	2019
38.504524	-4.822975	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2019
39.582756	-4.299035	Kenya	KE	HUMAN_OBSERVATION	2019
39.576302	-4.315173	Kenya	KE	HUMAN_OBSERVATION	2018
38.195	-7.747734	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2018
39.580741	-4.298888	Kenya	KE	HUMAN_OBSERVATION	2018
38.327131	-4.761534	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2018
38.285217	-4.764045	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2018
38.609416	-5.112829	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2018
39.054896	-4.563998	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2018
39.576023	-4.3176	Kenya	KE	HUMAN_OBSERVATION	2018
39.574869	-4.318621	Kenya	KE	HUMAN_OBSERVATION	2018
39.574238	-4.318794	Kenya	KE	HUMAN_OBSERVATION	2018
38.524929	-5.445467	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
38.610767	-5.112727	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
38.629609	-5.101118	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
38.232793	-7.765697	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
37.813648	-7.01184	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
37.81386	-7.01193	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
39.582777	-4.299012	Kenya	KE	HUMAN_OBSERVATION	2017
38.1418	-7.676	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
38.648116	-5.102502	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
38.211868	-7.767978	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
37.811097	-7.023363	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
37.641254	-7.509705	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
38.085823	-7.672205	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
36.850891	-7.743651	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
38.226303	-7.761341	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2017
39.425485	-4.192497	Kenya	KE	HUMAN_OBSERVATION	2016
39.47751	-4.40787	Kenya	KE	HUMAN_OBSERVATION	2016
36.348267	-0.753915	Kenya	KE	HUMAN_OBSERVATION	2016
38.499814	-4.806918	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2016
38.232533	-7.765922	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2016
38.232547	-7.765897	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2016
38.232725	-7.765469	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2016
38.232814	-7.765506	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2016
38.0826	-7.6363	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2016
36.902951	-7.84057	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2016
39.548341	-4.254242	Kenya	KE	HUMAN_OBSERVATION	2015
39.555137	-4.302602	Kenya	KE	HUMAN_OBSERVATION	2015
39.422552	-4.237365	Kenya	KE	HUMAN_OBSERVATION	2015
37.813311	-7.012737	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2015
38.35917	-4.763611	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2015
36.490854	-7.772296	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2015
38.231964	-7.760878	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2014
36.725296	-7.796305	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2014
38.251412	-4.727567	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2014
36.908253	-7.770907	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2014
38.189507	-7.720942	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2014
38.633333	-5.1	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2013
38.601837	-5.161557	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2013
38.628765	-5.101566	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2013
38.372154	-7.840119	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2013
39.425639	-4.192477	Kenya	KE	HUMAN_OBSERVATION	2013
38.229311	-7.760074	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2013
38.29289	-7.792696	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2013
38.299655	-4.760961	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2012
36.819824	-7.69732	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2012
38.285954	-4.764217	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2012
38.7224	-5.991702	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2012
39.04786	-7.88748	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2012
39.426544	-4.221061	Kenya	KE	HUMAN_OBSERVATION	2012
39.705719	-4.048943	Kenya	KE	HUMAN_OBSERVATION	2011
39.734116	-3.993041	Kenya	KE	HUMAN_OBSERVATION	2011
38.456268	-4.853438	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2010
38.638307	-5.095101	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2010
38.312647	-4.859222	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2010
36.55426	-7.758257	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2010
38.26827	-4.732643	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2010
37.641197	-7.506257	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2010
36.852951	-3.264262	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2009
38.609804	-5.000936	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2009
39.263107	-4.485225	Kenya	KE	HUMAN_OBSERVATION	2009
35.91206	-8.103056	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2008
39.583311	-4.30105	Kenya	KE	HUMAN_OBSERVATION	2008
35.923261	-8.099699	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2008
35.926265	-8.09766	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2008
38.325724	-4.760082	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2008
37.57988	1.13517	Kenya	KE	HUMAN_OBSERVATION	2008
37.75962	1.67864	Kenya	KE	HUMAN_OBSERVATION	2008
38.63915	1.97779	Kenya	KE	HUMAN_OBSERVATION	2008
37.40009	1.84461	Kenya	KE	HUMAN_OBSERVATION	2008
36.96158	0.4546	Kenya	KE	HUMAN_OBSERVATION	2008
36.64682	0.384	Kenya	KE	HUMAN_OBSERVATION	2008
36.52937	0.61381	Kenya	KE	HUMAN_OBSERVATION	2008
37.49071	1.88013	Kenya	KE	HUMAN_OBSERVATION	2008
37.41518	0.58474	Kenya	KE	HUMAN_OBSERVATION	2008
36.98942	1.07552	Kenya	KE	HUMAN_OBSERVATION	2008
37.8488	1.93837	Kenya	KE	HUMAN_OBSERVATION	2008
37.79579	1.65595	Kenya	KE	HUMAN_OBSERVATION	2008
38.35629	0.66275	Kenya	KE	HUMAN_OBSERVATION	2008
37.49982	1.64962	Kenya	KE	HUMAN_OBSERVATION	2008
38.85604	2.7606	Kenya	KE	HUMAN_OBSERVATION	2008
38.11939	2.33238	Kenya	KE	HUMAN_OBSERVATION	2008
37.62479	1.41336	Kenya	KE	HUMAN_OBSERVATION	2008
38.23717	2.16102	Kenya	KE	HUMAN_OBSERVATION	2008
38.83796	2.20928	Kenya	KE	HUMAN_OBSERVATION	2008
38.65923	2.02254	Kenya	KE	HUMAN_OBSERVATION	2008
37.31181	0.56335	Kenya	KE	HUMAN_OBSERVATION	2008
36.49381	0.60209	Kenya	KE	HUMAN_OBSERVATION	2008
38.23545	0.53518	Kenya	KE	HUMAN_OBSERVATION	2008
37.75977	1.65131	Kenya	KE	HUMAN_OBSERVATION	2008
36.72691	0.46913	Kenya	KE	HUMAN_OBSERVATION	2008
38.79372	2.03876	Kenya	KE	HUMAN_OBSERVATION	2008
38.38868	0.65658	Kenya	KE	HUMAN_OBSERVATION	2008
37.16783	0.6788	Kenya	KE	HUMAN_OBSERVATION	2008
38.12258	0.56955	Kenya	KE	HUMAN_OBSERVATION	2008
37.41571	0.59773	Kenya	KE	HUMAN_OBSERVATION	2008
38.33823	0.59376	Kenya	KE	HUMAN_OBSERVATION	2008
38.83827	2.19278	Kenya	KE	HUMAN_OBSERVATION	2008
37.46353	1.68216	Kenya	KE	HUMAN_OBSERVATION	2008
38.3161	0.67018	Kenya	KE	HUMAN_OBSERVATION	2008
37.07236	1.14924	Kenya	KE	HUMAN_OBSERVATION	2008
38.35534	0.69624	Kenya	KE	HUMAN_OBSERVATION	2008
37.90012	1.97318	Kenya	KE	HUMAN_OBSERVATION	2008
37.03476	0.74242	Kenya	KE	HUMAN_OBSERVATION	2008
37.34959	0.78367	Kenya	KE	HUMAN_OBSERVATION	2008
37.3474	0.60943	Kenya	KE	HUMAN_OBSERVATION	2008
37.36397	1.82499	Kenya	KE	HUMAN_OBSERVATION	2008
37.29546	0.63654	Kenya	KE	HUMAN_OBSERVATION	2008
38.80183	2.33123	Kenya	KE	HUMAN_OBSERVATION	2008
38.66772	2.74492	Kenya	KE	HUMAN_OBSERVATION	2008
37.09756	1.49819	Kenya	KE	HUMAN_OBSERVATION	2008
37.92227	2.04467	Kenya	KE	HUMAN_OBSERVATION	2008
37.51719	1.72659	Kenya	KE	HUMAN_OBSERVATION	2008
37.14716	0.37928	Kenya	KE	HUMAN_OBSERVATION	2008
37.3235	1.72044	Kenya	KE	HUMAN_OBSERVATION	2008
38.26436	0.6087	Kenya	KE	HUMAN_OBSERVATION	2008
38.27305	2.20065	Kenya	KE	HUMAN_OBSERVATION	2008
37.18364	0.94247	Kenya	KE	HUMAN_OBSERVATION	2008
38.63168	2.09301	Kenya	KE	HUMAN_OBSERVATION	2008
38.83799	2.16196	Kenya	KE	HUMAN_OBSERVATION	2008
37.06904	0.88386	Kenya	KE	HUMAN_OBSERVATION	2008
37.18687	2.01039	Kenya	KE	HUMAN_OBSERVATION	2008
37.34302	0.80983	Kenya	KE	HUMAN_OBSERVATION	2008
36.93611	1.1485	Kenya	KE	HUMAN_OBSERVATION	2008
37.26882	1.56798	Kenya	KE	HUMAN_OBSERVATION	2008
37.50827	1.87673	Kenya	KE	HUMAN_OBSERVATION	2008
36.69924	1.86045	Kenya	KE	HUMAN_OBSERVATION	2008
37.46342	1.69657	Kenya	KE	HUMAN_OBSERVATION	2008
37.10611	1.3165	Kenya	KE	HUMAN_OBSERVATION	2008
37.92044	1.94391	Kenya	KE	HUMAN_OBSERVATION	2008
37.64309	1.38284	Kenya	KE	HUMAN_OBSERVATION	2008
37.45648	0.32347	Kenya	KE	HUMAN_OBSERVATION	2008
37.70429	1.80692	Kenya	KE	HUMAN_OBSERVATION	2008
38.61136	2.04976	Kenya	KE	HUMAN_OBSERVATION	2008
37.31578	1.72761	Kenya	KE	HUMAN_OBSERVATION	2008
38.81074	2.21047	Kenya	KE	HUMAN_OBSERVATION	2008
37.04134	0.16607	Kenya	KE	HUMAN_OBSERVATION	2008
37.63357	0.75384	Kenya	KE	HUMAN_OBSERVATION	2008
38.73942	2.20052	Kenya	KE	HUMAN_OBSERVATION	2008
36.74491	0.40526	Kenya	KE	HUMAN_OBSERVATION	2008
