decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
31.630637	2.191608	Uganda	UG	HUMAN_OBSERVATION	2024
36.425448	-0.628552	Kenya	KE	HUMAN_OBSERVATION	2024
36.855973	7.682005	Ethiopia	ET	HUMAN_OBSERVATION	2024
36.459112	-0.658121	Kenya	KE	HUMAN_OBSERVATION	2024
31.720008	1.952795	Uganda	UG	HUMAN_OBSERVATION	2024
31.619371	2.277845	Uganda	UG	HUMAN_OBSERVATION	2024
39.790552	7.098606	Ethiopia	ET	HUMAN_OBSERVATION	2024
31.265236	1.366001	Uganda	UG	HUMAN_OBSERVATION	2024
39.743585	7.128657	Ethiopia	ET	HUMAN_OBSERVATION	2024
30.295791	0.698873	Uganda	UG	HUMAN_OBSERVATION	2024
34.881488	0.255766	Kenya	KE	HUMAN_OBSERVATION	2024
37.357287	-0.149712	Kenya	KE	HUMAN_OBSERVATION	2023
36.666665	-0.416597	Kenya	KE	HUMAN_OBSERVATION	2023
36.401415	-0.783182	Kenya	KE	HUMAN_OBSERVATION	2023
34.865128	0.235862	Kenya	KE	HUMAN_OBSERVATION	2023
37.323757	-0.369405	Kenya	KE	HUMAN_OBSERVATION	2023
34.885101	0.226513	Kenya	KE	HUMAN_OBSERVATION	2023
34.888963	0.224006	Kenya	KE	HUMAN_OBSERVATION	2023
34.889415	0.223888	Kenya	KE	HUMAN_OBSERVATION	2023
34.861997	0.229656	Kenya	KE	HUMAN_OBSERVATION	2023
34.861855	0.229712	Kenya	KE	HUMAN_OBSERVATION	2023
34.890583	0.223883	Kenya	KE	HUMAN_OBSERVATION	2023
34.889145	0.224036	Kenya	KE	HUMAN_OBSERVATION	2023
34.88509	0.226589	Kenya	KE	HUMAN_OBSERVATION	2023
34.863469	0.229662	Kenya	KE	HUMAN_OBSERVATION	2023
38.457601	7.044127	Ethiopia	ET	HUMAN_OBSERVATION	2023
37.203891	6.433226	Ethiopia	ET	HUMAN_OBSERVATION	2023
37.204073	6.433283	Ethiopia	ET	HUMAN_OBSERVATION	2023
37.035518	-0.102959	Kenya	KE	HUMAN_OBSERVATION	2023
32.479274	0.062011	Uganda	UG	HUMAN_OBSERVATION	2023
30.404575	0.39003	Uganda	UG	HUMAN_OBSERVATION	2023
36.121154	-0.366122	Kenya	KE	HUMAN_OBSERVATION	2023
34.923903	0.211185	Kenya	KE	HUMAN_OBSERVATION	2023
30.997404	1.295408	Uganda	UG	HUMAN_OBSERVATION	2023
30.418503	0.416778	Uganda	UG	HUMAN_OBSERVATION	2023
29.862516	-0.425983	Uganda	UG	HUMAN_OBSERVATION	2023
30.413446	0.399191	Uganda	UG	HUMAN_OBSERVATION	2023
29.725018	-1.120612	Uganda	UG	HUMAN_OBSERVATION	2023
30.38899	0.437058	Uganda	UG	HUMAN_OBSERVATION	2023
32.478515	0.063684	Uganda	UG	HUMAN_OBSERVATION	2023
29.620101	-1.052149	Uganda	UG	HUMAN_OBSERVATION	2023
36.592428	-0.943778	Kenya	KE	HUMAN_OBSERVATION	2023
30.401474	0.409467	Uganda	UG	HUMAN_OBSERVATION	2023
37.868918	0.232709	Kenya	KE	HUMAN_OBSERVATION	2023
35.005198	1.010724	Kenya	KE	HUMAN_OBSERVATION	2023
24.224439	5.836555	Central African Republic	CF	HUMAN_OBSERVATION	2023
32.478652	0.062367	Uganda	UG	HUMAN_OBSERVATION	2023
30.405761	0.390375	Uganda	UG	HUMAN_OBSERVATION	2023
30.405847	0.390372	Uganda	UG	HUMAN_OBSERVATION	2023
30.405047	0.390333	Uganda	UG	HUMAN_OBSERVATION	2023
35.247811	-1.076429	Kenya	KE	HUMAN_OBSERVATION	2023
23.461643	5.810778	Central African Republic	CF	HUMAN_OBSERVATION	2023
36.11618	-0.313967	Kenya	KE	HUMAN_OBSERVATION	2023
36.701666	-0.914039	Kenya	KE	HUMAN_OBSERVATION	2023
29.810724	-1.092708	Uganda	UG	HUMAN_OBSERVATION	2023
28.572202	1.404138	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2023
37.130921	-0.035782	Kenya	KE	HUMAN_OBSERVATION	2023
32.479222	0.055222	Uganda	UG	HUMAN_OBSERVATION	2023
39.789509	7.097958	Ethiopia	ET	HUMAN_OBSERVATION	2023
36.875	-1.375	Kenya	KE	HUMAN_OBSERVATION	2023
30.35582	0.907079	Uganda	UG	HUMAN_OBSERVATION	2023
30.401697	0.408641	Uganda	UG	HUMAN_OBSERVATION	2023
34.88288	0.324276	Kenya	KE	HUMAN_OBSERVATION	2023
30.416666	0.4	Uganda	UG	HUMAN_OBSERVATION	2023
29.742604	-0.819525	Uganda	UG	HUMAN_OBSERVATION	2023
32.476183	0.061433	Uganda	UG	HUMAN_OBSERVATION	2023
36.595628	-0.941153	Kenya	KE	HUMAN_OBSERVATION	2023
36.676278	-1.120418	Kenya	KE	HUMAN_OBSERVATION	2023
32.477529	0.066931	Uganda	UG	HUMAN_OBSERVATION	2023
36.22925	-0.650596	Kenya	KE	HUMAN_OBSERVATION	2023
36.686874	-0.976305	Kenya	KE	HUMAN_OBSERVATION	2023
32.477256	0.064615	Uganda	UG	HUMAN_OBSERVATION	2023
29.778344	-1.052731	Uganda	UG	HUMAN_OBSERVATION	2023
23.407831	5.871822	Central African Republic	CF	HUMAN_OBSERVATION	2023
30.404909	0.392016	Uganda	UG	HUMAN_OBSERVATION	2023
