decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-7.130447	5.205715	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-7.023105	5.572103	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2022
-7.292359	5.888766	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2022
-7.05	4.6	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2018
-7.061171	4.556879	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2018
-8.434113	5.567469	Liberia	LR	HUMAN_OBSERVATION	2016
-8.227117	5.477564	Liberia	LR	HUMAN_OBSERVATION	2016
-8.506858	5.490425	Liberia	LR	HUMAN_OBSERVATION	2016
-8.505835	5.525514	Liberia	LR	HUMAN_OBSERVATION	2016
-8.654494	5.366087	Liberia	LR	HUMAN_OBSERVATION	2016
-8.65702	5.367888	Liberia	LR	HUMAN_OBSERVATION	2016
-8.682186	5.4347	Liberia	LR	HUMAN_OBSERVATION	2016
-8.308832	5.44366	Liberia	LR	HUMAN_OBSERVATION	2016
-8.520424	5.40124	Liberia	LR	HUMAN_OBSERVATION	2016
-8.702001	5.303339	Liberia	LR	HUMAN_OBSERVATION	2016
-8.251848	5.501232	Liberia	LR	HUMAN_OBSERVATION	2016
-8.574888	5.403343	Liberia	LR	HUMAN_OBSERVATION	2016
-8.597051	5.42507	Liberia	LR	HUMAN_OBSERVATION	2016
-8.579051	5.438401	Liberia	LR	HUMAN_OBSERVATION	2016
-8.58202	5.440673	Liberia	LR	HUMAN_OBSERVATION	2016
-8.338776	5.473672	Liberia	LR	HUMAN_OBSERVATION	2016
-8.343339	5.477938	Liberia	LR	HUMAN_OBSERVATION	2016
-8.322107	5.494667	Liberia	LR	HUMAN_OBSERVATION	2015
-8.367868	5.501475	Liberia	LR	HUMAN_OBSERVATION	2015
-8.328724	5.502246	Liberia	LR	HUMAN_OBSERVATION	2015
-8.377674	5.508333	Liberia	LR	HUMAN_OBSERVATION	2015
-8.536717	5.518419	Liberia	LR	HUMAN_OBSERVATION	2015
-6.199444	5.441389	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2015
-8.468125	5.526196	Liberia	LR	HUMAN_OBSERVATION	2015
-8.398971	5.534154	Liberia	LR	HUMAN_OBSERVATION	2015
-8.40745	5.541707	Liberia	LR	HUMAN_OBSERVATION	2015
-8.6502	5.363009	Liberia	LR	HUMAN_OBSERVATION	2015
-8.661441	5.371021	Liberia	LR	HUMAN_OBSERVATION	2015
-8.376336	5.396315	Liberia	LR	HUMAN_OBSERVATION	2015
-8.369399	5.42767	Liberia	LR	HUMAN_OBSERVATION	2015
-8.60691	5.281158	Liberia	LR	HUMAN_OBSERVATION	2015
-8.706412	5.30695	Liberia	LR	HUMAN_OBSERVATION	2015
-8.757563	5.315006	Liberia	LR	HUMAN_OBSERVATION	2015
-8.743602	5.336205	Liberia	LR	HUMAN_OBSERVATION	2015
-8.585186	5.297735	Liberia	LR	HUMAN_OBSERVATION	2014
-8.419747	5.36239	Liberia	LR	HUMAN_OBSERVATION	2014
-8.449835	5.544561	Liberia	LR	HUMAN_OBSERVATION	2014
-8.3167	5.414216	Liberia	LR	HUMAN_OBSERVATION	2014
-8.305973	5.441206	Liberia	LR	HUMAN_OBSERVATION	2014
-8.351977	5.445771	Liberia	LR	HUMAN_OBSERVATION	2014
-8.291333	5.463297	Liberia	LR	HUMAN_OBSERVATION	2014
-8.539415	5.484742	Liberia	LR	HUMAN_OBSERVATION	2014
-8.391111	7.603056	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2014
-8.418079	7.638103	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2013
-7.357852	5.916977	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2012
-6.025556	7.096944	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2008
-7.116667	5.75	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2008
-7.25	7.983333	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2008
-9.736	8.032	Liberia	LR	HUMAN_OBSERVATION	2005
-7.732	5.403	Liberia	LR	HUMAN_OBSERVATION	2005
-6.716667	7.983056	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2004
-7.788	6.174	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2002
-8.937	8.525	Guinea	GN	HUMAN_OBSERVATION	2002
-8.906	8.531	Guinea	GN	HUMAN_OBSERVATION	2002
-8.411944	7.616667	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2000
-6.077222	4.959722	Côte d’Ivoire	CI	HUMAN_OBSERVATION	1995
-6.833333	5.166667	Côte d’Ivoire	CI	HUMAN_OBSERVATION	1993
-7.3429	5.853841	Côte d’Ivoire	CI	HUMAN_OBSERVATION	1982
-7.39287	5.843796	Côte d’Ivoire	CI	HUMAN_OBSERVATION	1982
-7.256965	5.950685	Côte d’Ivoire	CI	HUMAN_OBSERVATION	1980
-7.208277	5.980835	Côte d’Ivoire	CI	HUMAN_OBSERVATION	1979
-6.938789	5.690256	Côte d’Ivoire	CI	HUMAN_OBSERVATION	1977
-8.13	6.22	Liberia	LR	PRESERVED_SPECIMEN	1971
-7.37	5.35	Côte d’Ivoire	CI	PRESERVED_SPECIMEN	1969
-7.62	6.92	Côte d’Ivoire	CI	PRESERVED_SPECIMEN	1969
-8.783333	6.783333	Liberia	LR	PRESERVED_SPECIMEN	1965
-9.533	8.517	Guinea	GN	PRESERVED_SPECIMEN	1959
