decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
1.408029	9.27126	Benin	BJ	HUMAN_OBSERVATION	2024
1.476276	9.366875	Benin	BJ	HUMAN_OBSERVATION	2024
1.540645	9.387207	Benin	BJ	HUMAN_OBSERVATION	2024
1.405268	9.249481	Benin	BJ	HUMAN_OBSERVATION	2024
1.483088	9.363007	Benin	BJ	HUMAN_OBSERVATION	2024
1.533109	9.325191	Benin	BJ	HUMAN_OBSERVATION	2024
1.484406	9.313968	Benin	BJ	HUMAN_OBSERVATION	2024
1.492686	9.329799	Benin	BJ	HUMAN_OBSERVATION	2023
1.536288	9.346171	Benin	BJ	HUMAN_OBSERVATION	2023
1.989639	7.753313	Benin	BJ	HUMAN_OBSERVATION	2023
1.872698	7.684972	Benin	BJ	HUMAN_OBSERVATION	2023
1.50324	9.871354	Benin	BJ	HUMAN_OBSERVATION	2023
1.304133	10.700879	Benin	BJ	HUMAN_OBSERVATION	2023
1.473555	9.364891	Benin	BJ	HUMAN_OBSERVATION	2023
1.368218	10.729905	Benin	BJ	HUMAN_OBSERVATION	2023
1.483092	9.353849	Benin	BJ	HUMAN_OBSERVATION	2023
1.421185	9.831002	Benin	BJ	HUMAN_OBSERVATION	2023
1.534165	9.893258	Benin	BJ	HUMAN_OBSERVATION	2023
1.543422	9.388312	Benin	BJ	HUMAN_OBSERVATION	2023
1.597212	9.269908	Benin	BJ	HUMAN_OBSERVATION	2023
1.618135	9.311556	Benin	BJ	HUMAN_OBSERVATION	2023
2.925597	11.469239	Benin	BJ	HUMAN_OBSERVATION	2022
2.9439	11.712697	Benin	BJ	HUMAN_OBSERVATION	2022
2.87073	11.607015	Benin	BJ	HUMAN_OBSERVATION	2022
2.899128	11.676101	Benin	BJ	HUMAN_OBSERVATION	2022
2.983048	11.642211	Benin	BJ	HUMAN_OBSERVATION	2022
2.624228	11.920083	Benin	BJ	HUMAN_OBSERVATION	2022
2.856213	11.533352	Benin	BJ	HUMAN_OBSERVATION	2022
2.965609	11.559172	Benin	BJ	HUMAN_OBSERVATION	2022
2.897547	11.666817	Benin	BJ	HUMAN_OBSERVATION	2022
2.82554	11.655589	Benin	BJ	HUMAN_OBSERVATION	2022
2.924089	11.605792	Benin	BJ	HUMAN_OBSERVATION	2022
2.91321	11.737655	Benin	BJ	HUMAN_OBSERVATION	2022
2.928284	11.781681	Benin	BJ	HUMAN_OBSERVATION	2022
2.975134	11.715719	Benin	BJ	HUMAN_OBSERVATION	2022
3.087393	11.910392	Benin	BJ	HUMAN_OBSERVATION	2022
2.997755	11.639853	Benin	BJ	HUMAN_OBSERVATION	2022
2.991378	11.617836	Benin	BJ	HUMAN_OBSERVATION	2022
2.866892	11.868556	Benin	BJ	HUMAN_OBSERVATION	2022
2.946048	11.905041	Benin	BJ	HUMAN_OBSERVATION	2022
2.962573	11.870362	Benin	BJ	HUMAN_OBSERVATION	2022
2.902041	11.846497	Benin	BJ	HUMAN_OBSERVATION	2022
2.971755	11.827161	Benin	BJ	HUMAN_OBSERVATION	2022
1.261153	10.630151	Benin	BJ	HUMAN_OBSERVATION	2022
1.276776	10.786572	Benin	BJ	HUMAN_OBSERVATION	2022
2.51874	12.389259	Niger	NE	HUMAN_OBSERVATION	2022
2.697148	9.312464	Benin	BJ	HUMAN_OBSERVATION	2021
1.502147	11.30303	Benin	BJ	HUMAN_OBSERVATION	2021
2.355076	11.518105	Benin	BJ	HUMAN_OBSERVATION	2021
2.205945	11.558254	Benin	BJ	HUMAN_OBSERVATION	2021
2.625153	11.673757	Benin	BJ	HUMAN_OBSERVATION	2021
2.307484	12.04949	Benin	BJ	HUMAN_OBSERVATION	2021
2.863248	11.876007	Benin	BJ	HUMAN_OBSERVATION	2021
2.468116	11.914205	Benin	BJ	HUMAN_OBSERVATION	2021
2.3562	11.483847	Benin	BJ	HUMAN_OBSERVATION	2021
2.974645	11.81375	Benin	BJ	HUMAN_OBSERVATION	2021
2.798162	11.621396	Benin	BJ	HUMAN_OBSERVATION	2021
2.750432	11.792164	Benin	BJ	HUMAN_OBSERVATION	2021
2.432246	11.901057	Benin	BJ	HUMAN_OBSERVATION	2021
2.566884	11.863271	Benin	BJ	HUMAN_OBSERVATION	2021
2.897652	11.854149	Benin	BJ	HUMAN_OBSERVATION	2021
2.837095	11.859817	Benin	BJ	HUMAN_OBSERVATION	2021
2.894748	11.945228	Benin	BJ	HUMAN_OBSERVATION	2021
2.960176	11.817341	Benin	BJ	HUMAN_OBSERVATION	2021
2.886951	11.94369	Benin	BJ	HUMAN_OBSERVATION	2021
2.500598	12.077631	Benin	BJ	HUMAN_OBSERVATION	2021
2.984173	11.852264	Benin	BJ	HUMAN_OBSERVATION	2021
2.836998	11.871802	Benin	BJ	HUMAN_OBSERVATION	2021
2.815947	11.935303	Benin	BJ	HUMAN_OBSERVATION	2021
2.544185	11.915791	Benin	BJ	HUMAN_OBSERVATION	2021
2.577025	11.951036	Benin	BJ	HUMAN_OBSERVATION	2021
2.387889	11.500956	Benin	BJ	HUMAN_OBSERVATION	2021
2.537691	11.837207	Benin	BJ	HUMAN_OBSERVATION	2021
2.530228	11.984942	Benin	BJ	HUMAN_OBSERVATION	2021
2.508265	11.969803	Benin	BJ	HUMAN_OBSERVATION	2021
2.325586	11.828791	Benin	BJ	HUMAN_OBSERVATION	2021
