decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
29.795585	-0.947826	Uganda	UG	HUMAN_OBSERVATION	2024
29.578401	-1.458492	Rwanda	RW	HUMAN_OBSERVATION	2024
29.917097	-1.169111	Uganda	UG	HUMAN_OBSERVATION	2024
29.605779	-1.070887	Uganda	UG	HUMAN_OBSERVATION	2024
29.671028	-1.009696	Uganda	UG	HUMAN_OBSERVATION	2024
29.680554	-1.034554	Uganda	UG	HUMAN_OBSERVATION	2023
29.722398	-1.196639	Uganda	UG	HUMAN_OBSERVATION	2023
29.763421	-1.028663	Uganda	UG	HUMAN_OBSERVATION	2023
29.599721	-1.45094	Rwanda	RW	HUMAN_OBSERVATION	2023
29.677428	-1.010905	Uganda	UG	HUMAN_OBSERVATION	2023
29.726757	-1.069661	Uganda	UG	HUMAN_OBSERVATION	2023
29.432205	-1.55598	Rwanda	RW	HUMAN_OBSERVATION	2023
29.786123	-1.052137	Uganda	UG	HUMAN_OBSERVATION	2023
29.779997	-0.824698	Uganda	UG	HUMAN_OBSERVATION	2023
29.725018	-1.120612	Uganda	UG	HUMAN_OBSERVATION	2023
29.684518	-1.114659	Uganda	UG	HUMAN_OBSERVATION	2023
29.727747	-1.161927	Uganda	UG	HUMAN_OBSERVATION	2023
29.714223	-1.196429	Uganda	UG	HUMAN_OBSERVATION	2023
29.684974	-1.196206	Uganda	UG	HUMAN_OBSERVATION	2023
29.624148	-1.384295	Uganda	UG	HUMAN_OBSERVATION	2023
29.723256	-1.078866	Uganda	UG	HUMAN_OBSERVATION	2023
29.660518	-1.358412	Uganda	UG	HUMAN_OBSERVATION	2023
29.648185	-1.080037	Uganda	UG	HUMAN_OBSERVATION	2023
29.663748	-1.095629	Uganda	UG	HUMAN_OBSERVATION	2023
29.70544	-1.028559	Uganda	UG	HUMAN_OBSERVATION	2023
29.674215	-1.189256	Uganda	UG	HUMAN_OBSERVATION	2023
29.603777	-1.196356	Uganda	UG	HUMAN_OBSERVATION	2023
29.67692	-0.834173	Uganda	UG	HUMAN_OBSERVATION	2023
29.733918	-1.172364	Uganda	UG	HUMAN_OBSERVATION	2023
29.622143	-1.170717	Uganda	UG	HUMAN_OBSERVATION	2023
29.45873	-1.401163	Rwanda	RW	HUMAN_OBSERVATION	2023
29.592228	-1.539514	Rwanda	RW	HUMAN_OBSERVATION	2023
29.455666	-1.473925	Rwanda	RW	HUMAN_OBSERVATION	2023
29.50577	-1.575684	Rwanda	RW	HUMAN_OBSERVATION	2023
29.739393	-1.109169	Uganda	UG	HUMAN_OBSERVATION	2023
29.737669	-1.020956	Uganda	UG	HUMAN_OBSERVATION	2023
29.621262	-1.173271	Uganda	UG	HUMAN_OBSERVATION	2023
29.44964	-1.575336	Rwanda	RW	HUMAN_OBSERVATION	2023
29.479728	-1.495335	Rwanda	RW	HUMAN_OBSERVATION	2023
29.475916	-1.541819	Rwanda	RW	HUMAN_OBSERVATION	2023
29.654371	-1.194852	Uganda	UG	HUMAN_OBSERVATION	2023
29.657709	-1.185487	Uganda	UG	HUMAN_OBSERVATION	2023
29.673853	-1.121807	Uganda	UG	HUMAN_OBSERVATION	2023
29.610439	-1.194783	Uganda	UG	HUMAN_OBSERVATION	2023
29.776208	-1.02307	Uganda	UG	HUMAN_OBSERVATION	2023
29.646118	-1.010893	Uganda	UG	HUMAN_OBSERVATION	2023
29.769261	-1.126113	Uganda	UG	HUMAN_OBSERVATION	2023
29.655493	-1.105533	Uganda	UG	HUMAN_OBSERVATION	2023
29.450203	-1.50518	Rwanda	RW	HUMAN_OBSERVATION	2023
29.425269	-1.431707	Rwanda	RW	HUMAN_OBSERVATION	2023
29.403418	-1.42132	Rwanda	RW	HUMAN_OBSERVATION	2023
29.777928	-1.081831	Uganda	UG	HUMAN_OBSERVATION	2023
29.733795	-1.156837	Uganda	UG	HUMAN_OBSERVATION	2023
29.798748	-1.144426	Uganda	UG	HUMAN_OBSERVATION	2023
29.608437	-1.126947	Uganda	UG	HUMAN_OBSERVATION	2023
29.632504	-1.049062	Uganda	UG	HUMAN_OBSERVATION	2023
29.64107	-1.12538	Uganda	UG	HUMAN_OBSERVATION	2023
29.763073	-1.02824	Uganda	UG	HUMAN_OBSERVATION	2023
29.791134	-1.128476	Uganda	UG	HUMAN_OBSERVATION	2023
29.754303	-1.026376	Uganda	UG	HUMAN_OBSERVATION	2023
29.405615	-1.480033	Rwanda	RW	HUMAN_OBSERVATION	2023
29.531904	-1.41996	Rwanda	RW	HUMAN_OBSERVATION	2023
29.562887	-1.565358	Rwanda	RW	HUMAN_OBSERVATION	2023
29.477281	-1.547526	Rwanda	RW	HUMAN_OBSERVATION	2023
29.400929	-1.571452	Rwanda	RW	HUMAN_OBSERVATION	2023
29.573682	-1.503969	Rwanda	RW	HUMAN_OBSERVATION	2023
29.453129	-1.579698	Rwanda	RW	HUMAN_OBSERVATION	2023
29.401454	-1.451368	Rwanda	RW	HUMAN_OBSERVATION	2023
29.558693	-1.401781	Rwanda	RW	HUMAN_OBSERVATION	2023
29.486763	-1.412676	Rwanda	RW	HUMAN_OBSERVATION	2023
29.4641	-1.436707	Rwanda	RW	HUMAN_OBSERVATION	2023
29.589171	-1.466758	Rwanda	RW	HUMAN_OBSERVATION	2023
29.417489	-1.517396	Rwanda	RW	HUMAN_OBSERVATION	2023
29.460543	-1.424872	Rwanda	RW	HUMAN_OBSERVATION	2023
29.710144	-1.14898	Uganda	UG	HUMAN_OBSERVATION	2023
29.632343	-1.177002	Uganda	UG	HUMAN_OBSERVATION	2023
29.650566	-1.113175	Uganda	UG	HUMAN_OBSERVATION	2023
29.74307	-1.087096	Uganda	UG	HUMAN_OBSERVATION	2023
29.687706	-1.128106	Uganda	UG	HUMAN_OBSERVATION	2023
29.772461	-1.033912	Uganda	UG	HUMAN_OBSERVATION	2023
29.554723	-1.498272	Rwanda	RW	HUMAN_OBSERVATION	2023
29.531288	-1.474745	Rwanda	RW	HUMAN_OBSERVATION	2023
29.672295	-1.029378	Uganda	UG	HUMAN_OBSERVATION	2023
29.741404	-1.082472	Uganda	UG	HUMAN_OBSERVATION	2023
29.611874	-1.043244	Uganda	UG	HUMAN_OBSERVATION	2023
29.639688	-1.189451	Uganda	UG	HUMAN_OBSERVATION	2023
29.667004	-1.110228	Uganda	UG	HUMAN_OBSERVATION	2022
29.645328	-1.039373	Uganda	UG	HUMAN_OBSERVATION	2022
29.632534	-0.857144	Uganda	UG	HUMAN_OBSERVATION	2022
29.502781	-1.167453	Uganda	UG	HUMAN_OBSERVATION	2022
29.605445	-1.033366	Uganda	UG	HUMAN_OBSERVATION	2022
29.567736	-1.504676	Rwanda	RW	HUMAN_OBSERVATION	2022
29.426709	-1.541187	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2022
29.698792	-1.049822	Uganda	UG	HUMAN_OBSERVATION	2022
29.772362	-1.052619	Uganda	UG	HUMAN_OBSERVATION	2022
29.65279	-0.858724	Uganda	UG	HUMAN_OBSERVATION	2022
29.682356	-0.957072	Uganda	UG	HUMAN_OBSERVATION	2022
29.691465	-0.842679	Uganda	UG	HUMAN_OBSERVATION	2022
29.739262	-0.898056	Uganda	UG	HUMAN_OBSERVATION	2022
29.634541	-0.820137	Uganda	UG	HUMAN_OBSERVATION	2022
29.644362	-0.996082	Uganda	UG	HUMAN_OBSERVATION	2022
29.62217	-0.946232	Uganda	UG	HUMAN_OBSERVATION	2022
29.749145	-0.961501	Uganda	UG	HUMAN_OBSERVATION	2022
29.600588	-0.99358	Uganda	UG	HUMAN_OBSERVATION	2022
29.72256	-0.886107	Uganda	UG	HUMAN_OBSERVATION	2022
29.694287	-0.817844	Uganda	UG	HUMAN_OBSERVATION	2022
29.654965	-0.969801	Uganda	UG	HUMAN_OBSERVATION	2022
29.75798	-0.979465	Uganda	UG	HUMAN_OBSERVATION	2022
29.614473	-0.876445	Uganda	UG	HUMAN_OBSERVATION	2022
29.759931	-0.862097	Uganda	UG	HUMAN_OBSERVATION	2022
29.747541	-0.987342	Uganda	UG	HUMAN_OBSERVATION	2022
29.616071	-0.879621	Uganda	UG	HUMAN_OBSERVATION	2022
29.795246	-1.437719	Rwanda	RW	HUMAN_OBSERVATION	2022
29.697968	-1.217396	Uganda	UG	HUMAN_OBSERVATION	2022
29.633121	-1.373517	Uganda	UG	HUMAN_OBSERVATION	2021
29.698192	-1.068371	Uganda	UG	HUMAN_OBSERVATION	2021
29.520369	-1.558483	Rwanda	RW	HUMAN_OBSERVATION	2021
29.697721	-1.02337	Uganda	UG	HUMAN_OBSERVATION	2021
29.680175	-1.077667	Uganda	UG	HUMAN_OBSERVATION	2021
29.686078	-1.024043	Uganda	UG	HUMAN_OBSERVATION	2021
29.786248	-1.196707	Uganda	UG	HUMAN_OBSERVATION	2021
29.52625	-1.420996	Rwanda	RW	HUMAN_OBSERVATION	2021
29.483663	-1.42083	Rwanda	RW	HUMAN_OBSERVATION	2021
29.340167	-1.549992	Congo, Democratic Republic of the	CD	HUMAN_OBSERVATION	2021
29.612753	-1.166297	Uganda	UG	HUMAN_OBSERVATION	2021
29.707923	-1.118965	Uganda	UG	HUMAN_OBSERVATION	2021
29.712991	-0.860159	Uganda	UG	HUMAN_OBSERVATION	2021
29.728382	-0.920806	Uganda	UG	HUMAN_OBSERVATION	2021
29.676541	-0.922922	Uganda	UG	HUMAN_OBSERVATION	2021
29.730451	-0.889372	Uganda	UG	HUMAN_OBSERVATION	2021
29.751352	-0.960235	Uganda	UG	HUMAN_OBSERVATION	2021
29.61125	-0.957236	Uganda	UG	HUMAN_OBSERVATION	2021
29.633592	-1.18885	Uganda	UG	HUMAN_OBSERVATION	2020
29.710072	-0.995061	Uganda	UG	HUMAN_OBSERVATION	2020
29.703911	-1.152981	Uganda	UG	HUMAN_OBSERVATION	2020
29.743423	-1.050084	Uganda	UG	HUMAN_OBSERVATION	2020
29.721982	-1.002546	Uganda	UG	HUMAN_OBSERVATION	2020
29.672943	-1.151218	Uganda	UG	HUMAN_OBSERVATION	2020
29.65427	-1.120551	Uganda	UG	HUMAN_OBSERVATION	2020
29.632588	-1.076115	Uganda	UG	HUMAN_OBSERVATION	2020
29.746855	-1.173367	Uganda	UG	HUMAN_OBSERVATION	2020
29.677287	-1.044997	Uganda	UG	HUMAN_OBSERVATION	2020
29.604192	-1.05649	Uganda	UG	HUMAN_OBSERVATION	2020
29.707374	-1.114725	Uganda	UG	HUMAN_OBSERVATION	2020
29.784497	-1.007478	Uganda	UG	HUMAN_OBSERVATION	2020
29.629388	-1.148464	Uganda	UG	HUMAN_OBSERVATION	2020
29.783949	-0.958716	Uganda	UG	HUMAN_OBSERVATION	2019
29.761703	-0.948749	Uganda	UG	HUMAN_OBSERVATION	2019
