decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
15.459615	-3.111416	Congo	CG	HUMAN_OBSERVATION	2024
15.54262	-3.027542	Congo	CG	HUMAN_OBSERVATION	2024
15.45787	-3.074134	Congo	CG	HUMAN_OBSERVATION	2024
15.423584	-3.098089	Congo	CG	HUMAN_OBSERVATION	2024
15.224815	0.798301	Congo	CG	HUMAN_OBSERVATION	2024
15.359527	0.768072	Congo	CG	HUMAN_OBSERVATION	2024
15.358208	0.613424	Congo	CG	HUMAN_OBSERVATION	2024
15.363912	0.730593	Congo	CG	HUMAN_OBSERVATION	2024
15.376808	0.600144	Congo	CG	HUMAN_OBSERVATION	2023
15.355545	0.622332	Congo	CG	HUMAN_OBSERVATION	2023
12.800012	-1.656524	Gabon	GA	HUMAN_OBSERVATION	2023
16.458266	2.818331	Central African Republic	CF	HUMAN_OBSERVATION	2023
12.846239	-1.705788	Gabon	GA	HUMAN_OBSERVATION	2023
12.795389	0.394979	Gabon	GA	HUMAN_OBSERVATION	2023
12.652322	0.314778	Gabon	GA	HUMAN_OBSERVATION	2023
12.651707	0.242196	Gabon	GA	HUMAN_OBSERVATION	2023
9.413609	-2.031408	Gabon	GA	HUMAN_OBSERVATION	2023
12.887519	-1.689872	Gabon	GA	HUMAN_OBSERVATION	2023
12.995377	-1.608364	Gabon	GA	HUMAN_OBSERVATION	2023
16.716737	2.415209	Congo	CG	HUMAN_OBSERVATION	2023
15.285716	0.7782	Congo	CG	HUMAN_OBSERVATION	2023
15.240191	0.740689	Congo	CG	HUMAN_OBSERVATION	2023
15.20842	0.706263	Congo	CG	HUMAN_OBSERVATION	2023
15.269875	0.72147	Congo	CG	HUMAN_OBSERVATION	2023
15.396074	0.680417	Congo	CG	HUMAN_OBSERVATION	2023
15.304898	0.702255	Congo	CG	HUMAN_OBSERVATION	2023
15.247635	0.771741	Congo	CG	HUMAN_OBSERVATION	2023
15.35977	0.693019	Congo	CG	HUMAN_OBSERVATION	2023
15.339339	0.606128	Congo	CG	HUMAN_OBSERVATION	2023
15.36108	0.68606	Congo	CG	HUMAN_OBSERVATION	2023
15.289713	0.751692	Congo	CG	HUMAN_OBSERVATION	2023
12.814809	-1.764531	Gabon	GA	HUMAN_OBSERVATION	2023
15.596804	-3.096392	Congo	CG	HUMAN_OBSERVATION	2023
15.496031	-3.142377	Congo	CG	HUMAN_OBSERVATION	2023
15.348779	0.734966	Congo	CG	HUMAN_OBSERVATION	2023
15.323206	0.637809	Congo	CG	HUMAN_OBSERVATION	2023
15.221969	0.648203	Congo	CG	HUMAN_OBSERVATION	2023
12.972422	-1.600545	Gabon	GA	HUMAN_OBSERVATION	2022
11.667805	-0.317679	Gabon	GA	HUMAN_OBSERVATION	2022
11.496289	-0.123452	Gabon	GA	HUMAN_OBSERVATION	2022
12.940318	-1.683118	Gabon	GA	HUMAN_OBSERVATION	2022
16.205437	2.228226	Congo	CG	HUMAN_OBSERVATION	2022
16.532457	2.24851	Congo	CG	HUMAN_OBSERVATION	2022
12.713788	0.340586	Gabon	GA	HUMAN_OBSERVATION	2022
9.419846	-2.003389	Gabon	GA	HUMAN_OBSERVATION	2022
9.402447	-2.021617	Gabon	GA	HUMAN_OBSERVATION	2022
12.622296	0.23938	Gabon	GA	HUMAN_OBSERVATION	2022
12.824125	-1.651879	Gabon	GA	HUMAN_OBSERVATION	2022
12.931238	-1.67229	Gabon	GA	HUMAN_OBSERVATION	2022
12.949914	-1.77403	Gabon	GA	HUMAN_OBSERVATION	2022
12.802327	-1.797182	Gabon	GA	HUMAN_OBSERVATION	2022
9.586963	-2.125023	Gabon	GA	HUMAN_OBSERVATION	2022
12.933951	-1.661012	Gabon	GA	HUMAN_OBSERVATION	2022
12.877684	-1.630508	Gabon	GA	HUMAN_OBSERVATION	2022
14.63152	2.625225	Cameroon	CM	HUMAN_OBSERVATION	2022
14.70904	2.613522	Cameroon	CM	HUMAN_OBSERVATION	2022
14.780995	2.703864	Cameroon	CM	HUMAN_OBSERVATION	2022
14.711529	2.757531	Cameroon	CM	HUMAN_OBSERVATION	2022
14.605634	2.78556	Cameroon	CM	HUMAN_OBSERVATION	2022
12.941836	-1.692604	Gabon	GA	HUMAN_OBSERVATION	2022
12.819171	-1.685092	Gabon	GA	HUMAN_OBSERVATION	2022
9.35058	6.285688	Nigeria	NG	HUMAN_OBSERVATION	2022
9.478299	-2.067885	Gabon	GA	HUMAN_OBSERVATION	2022
12.985294	-1.612365	Gabon	GA	HUMAN_OBSERVATION	2022
