decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
93.469542	26.436965	India	IN	HUMAN_OBSERVATION	2023
94.392717	26.768681	India	IN	HUMAN_OBSERVATION	2023
94.374277	26.677274	India	IN	HUMAN_OBSERVATION	2023
94.370822	26.675459	India	IN	HUMAN_OBSERVATION	2023
94.350246	26.780455	India	IN	HUMAN_OBSERVATION	2023
96.422407	27.411542	India	IN	HUMAN_OBSERVATION	2023
96.464311	27.575605	India	IN	HUMAN_OBSERVATION	2023
95.290228	27.402527	India	IN	HUMAN_OBSERVATION	2023
95.278048	27.402107	India	IN	HUMAN_OBSERVATION	2023
92.848126	26.473782	India	IN	HUMAN_OBSERVATION	2023
93.11261	26.407109	India	IN	HUMAN_OBSERVATION	2023
92.989734	26.855579	India	IN	HUMAN_OBSERVATION	2023
95.803284	28.372295	India	IN	HUMAN_OBSERVATION	2023
95.892352	28.333991	India	IN	HUMAN_OBSERVATION	2023
95.459835	27.28866	India	IN	HUMAN_OBSERVATION	2023
95.432951	27.280822	India	IN	HUMAN_OBSERVATION	2023
95.40003	27.241063	India	IN	HUMAN_OBSERVATION	2023
95.52841	27.357932	India	IN	HUMAN_OBSERVATION	2023
95.549973	27.345287	India	IN	HUMAN_OBSERVATION	2023
94.370939	26.622694	India	IN	HUMAN_OBSERVATION	2023
95.521079	27.295992	India	IN	HUMAN_OBSERVATION	2023
96.207315	27.57038	India	IN	HUMAN_OBSERVATION	2023
96.305241	27.577415	India	IN	HUMAN_OBSERVATION	2023
94.35361	26.662599	India	IN	HUMAN_OBSERVATION	2022
96.259017	27.423052	India	IN	HUMAN_OBSERVATION	2022
95.550117	27.298962	India	IN	HUMAN_OBSERVATION	2022
96.539751	27.407801	India	IN	HUMAN_OBSERVATION	2022
95.417766	27.303013	India	IN	HUMAN_OBSERVATION	2022
95.861681	28.162451	India	IN	HUMAN_OBSERVATION	2022
95.631505	27.446863	India	IN	HUMAN_OBSERVATION	2022
95.692308	27.418254	India	IN	HUMAN_OBSERVATION	2022
95.617719	27.532724	India	IN	HUMAN_OBSERVATION	2022
95.631947	27.430316	India	IN	HUMAN_OBSERVATION	2022
96.419242	27.583567	India	IN	HUMAN_OBSERVATION	2022
95.553199	27.311457	India	IN	HUMAN_OBSERVATION	2022
95.402867	27.236301	India	IN	HUMAN_OBSERVATION	2022
95.414446	27.25326	India	IN	HUMAN_OBSERVATION	2022
95.487732	27.352756	India	IN	HUMAN_OBSERVATION	2022
95.579468	27.324264	India	IN	HUMAN_OBSERVATION	2022
95.563607	27.329331	India	IN	HUMAN_OBSERVATION	2022
95.519392	27.241583	India	IN	HUMAN_OBSERVATION	2022
95.528792	27.336424	India	IN	HUMAN_OBSERVATION	2022
95.474578	27.784635	India	IN	HUMAN_OBSERVATION	2021
95.567741	27.312567	India	IN	HUMAN_OBSERVATION	2021
95.842974	27.948428	India	IN	HUMAN_OBSERVATION	2021
95.55286	27.281891	India	IN	HUMAN_OBSERVATION	2021
95.422918	27.36042	India	IN	HUMAN_OBSERVATION	2021
95.546795	27.386388	India	IN	HUMAN_OBSERVATION	2021
95.24906	27.509862	India	IN	HUMAN_OBSERVATION	2020
95.763435	27.546799	India	IN	HUMAN_OBSERVATION	2020
95.925255	28.395464	India	IN	HUMAN_OBSERVATION	2020
94.3536	26.6626	India	IN	HUMAN_OBSERVATION	2020
94.7278	28.218	India	IN	HUMAN_OBSERVATION	2020
95.438892	27.549147	India	IN	HUMAN_OBSERVATION	2020
95.319143	27.587207	India	IN	HUMAN_OBSERVATION	2020
95.568302	27.459643	India	IN	HUMAN_OBSERVATION	2020
95.599842	27.421765	India	IN	HUMAN_OBSERVATION	2020
95.534108	27.454304	India	IN	HUMAN_OBSERVATION	2020
95.484133	27.485667	India	IN	HUMAN_OBSERVATION	2020
95.560233	27.525792	India	IN	HUMAN_OBSERVATION	2020
95.578921	27.502246	India	IN	HUMAN_OBSERVATION	2020
95.546206	27.595031	India	IN	HUMAN_OBSERVATION	2020
95.567537	27.432209	India	IN	HUMAN_OBSERVATION	2020
95.590569	27.555788	India	IN	HUMAN_OBSERVATION	2020
95.473192	27.489953	India	IN	HUMAN_OBSERVATION	2020
95.46898	27.435345	India	IN	HUMAN_OBSERVATION	2020
95.429731	27.576568	India	IN	HUMAN_OBSERVATION	2020
95.484605	27.431251	India	IN	HUMAN_OBSERVATION	2020
95.414902	27.513631	India	IN	HUMAN_OBSERVATION	2020
93.152528	26.586273	India	IN	HUMAN_OBSERVATION	2019
94.314274	26.601512	India	IN	HUMAN_OBSERVATION	2019
95.799127	27.394993	India	IN	HUMAN_OBSERVATION	2018
95.574518	27.22689	India	IN	HUMAN_OBSERVATION	2018
95.58433	27.250448	India	IN	HUMAN_OBSERVATION	2018
95.578009	27.313685	India	IN	HUMAN_OBSERVATION	2018
93.033718	26.47003	India	IN	HUMAN_OBSERVATION	2018
96.435161	27.552651	India	IN	HUMAN_OBSERVATION	2018
95.429714	27.54559	India	IN	HUMAN_OBSERVATION	2018
94.300254	26.63355	India	IN	HUMAN_OBSERVATION	2018
94.287074	26.692183	India	IN	HUMAN_OBSERVATION	2018
94.302257	26.602662	India	IN	HUMAN_OBSERVATION	2017
94.341103	26.689423	India	IN	HUMAN_OBSERVATION	2017
94.3411	26.689423	India	IN	HUMAN_OBSERVATION	2017
94.32826	26.651571	India	IN	HUMAN_OBSERVATION	2017
96.476047	27.433139	India	IN	HUMAN_OBSERVATION	2017
96.564627	27.587509	India	IN	HUMAN_OBSERVATION	2017
96.489346	27.472311	India	IN	HUMAN_OBSERVATION	2017
93.507822	26.387359	India	IN	HUMAN_OBSERVATION	2017
94.202586	26.74652	India	IN	HUMAN_OBSERVATION	2017
95.553355	27.309797	India	IN	HUMAN_OBSERVATION	2016
96.504254	27.540196	India	IN	HUMAN_OBSERVATION	2016
96.378558	27.433377	India	IN	HUMAN_OBSERVATION	2016
96.299425	27.488078	India	IN	HUMAN_OBSERVATION	2016
95.891303	28.298267	India	IN	HUMAN_OBSERVATION	2016
94.335136	26.683048	India	IN	HUMAN_OBSERVATION	2016
96.38	27.48	India	IN	MACHINE_OBSERVATION	2015
93.294525	26.608788	India	IN	HUMAN_OBSERVATION	2015
94.298421	26.611876	India	IN	HUMAN_OBSERVATION	2015
94.217535	26.663997	India	IN	HUMAN_OBSERVATION	2015
94.28474	26.656347	India	IN	HUMAN_OBSERVATION	2015
94.358686	26.719245	India	IN	HUMAN_OBSERVATION	2015
94.309342	26.617221	India	IN	HUMAN_OBSERVATION	2015
94.229605	26.785005	India	IN	HUMAN_OBSERVATION	2015
94.374034	26.775922	India	IN	HUMAN_OBSERVATION	2015
94.281232	26.750637	India	IN	HUMAN_OBSERVATION	2015
94.367763	26.70142	India	IN	HUMAN_OBSERVATION	2015
94.319291	26.637105	India	IN	HUMAN_OBSERVATION	2014
94.315757	26.6011	India	IN	HUMAN_OBSERVATION	2014
94.343857	26.616977	India	IN	HUMAN_OBSERVATION	2014
94.281311	26.768276	India	IN	HUMAN_OBSERVATION	2014
94.288172	26.654163	India	IN	HUMAN_OBSERVATION	2014
94.396315	26.784958	India	IN	HUMAN_OBSERVATION	2014
95.400435	27.35981	India	IN	HUMAN_OBSERVATION	2014
95.579253	27.257439	India	IN	HUMAN_OBSERVATION	2014
95.409323	27.288794	India	IN	HUMAN_OBSERVATION	2014
95.360305	27.388078	India	IN	HUMAN_OBSERVATION	2014
94.214636	26.690552	India	IN	HUMAN_OBSERVATION	2014
93.274002	26.714131	India	IN	HUMAN_OBSERVATION	2013
93.735608	26.431733	India	IN	HUMAN_OBSERVATION	2013
94.342522	26.686884	India	IN	HUMAN_OBSERVATION	2013
94.354379	26.682623	India	IN	HUMAN_OBSERVATION	2012
93.070126	26.593799	India	IN	HUMAN_OBSERVATION	2011
95.587014	27.321869	India	IN	HUMAN_OBSERVATION	2011
95.464976	27.319374	India	IN	HUMAN_OBSERVATION	2011
95.669694	27.358369	India	IN	HUMAN_OBSERVATION	2011
95.5055	27.3404	India	IN	HUMAN_OBSERVATION	2011
96.48039	27.454033	India	IN	HUMAN_OBSERVATION	2011
96.440137	27.555509	India	IN	HUMAN_OBSERVATION	2011
93.08621	26.449815	India	IN	HUMAN_OBSERVATION	2011
96.590576	27.426907	India	IN	HUMAN_OBSERVATION	2010
96.553378	27.561894	India	IN	HUMAN_OBSERVATION	2010
94.292445	26.724391	India	IN	HUMAN_OBSERVATION	2010
94.365235	26.600091	India	IN	HUMAN_OBSERVATION	2010
95.635507	27.369064	India	IN	HUMAN_OBSERVATION	2010
95.722939	27.379486	India	IN	HUMAN_OBSERVATION	2010
96.41245	27.444305	India	IN	HUMAN_OBSERVATION	2010
96.437191	27.598332	India	IN	HUMAN_OBSERVATION	2009
96.431584	27.58591	India	IN	HUMAN_OBSERVATION	2009
96.46608	27.483078	India	IN	HUMAN_OBSERVATION	2009
96.513852	27.439087	India	IN	HUMAN_OBSERVATION	2009
96.506501	27.484028	India	IN	HUMAN_OBSERVATION	2009
93.433959	27.139905	India	IN	HUMAN_OBSERVATION	2009
96.593115	27.406136	India	IN	HUMAN_OBSERVATION	2009
96.54478	27.516922	India	IN	HUMAN_OBSERVATION	2009
96.412791	27.592616	India	IN	HUMAN_OBSERVATION	2007
96.517681	27.402383	India	IN	HUMAN_OBSERVATION	2007
93.594911	26.748427	India	IN	HUMAN_OBSERVATION	2006
96.416258	27.461048	India	IN	HUMAN_OBSERVATION	2006
97.0002	25.38333	Myanmar	MM	PRESERVED_SPECIMEN	1945
94.05	25.6833	India	IN	PRESERVED_SPECIMEN	1940
97.5667	26.55	Myanmar	MM	PRESERVED_SPECIMEN	1938
94.5333	26.3333	India	IN	PRESERVED_SPECIMEN	1920
93.1	25.65	India	IN	PRESERVED_SPECIMEN	1920
95.6833	27.2833	India	IN	PRESERVED_SPECIMEN	1919
95.5	27.5333	India	IN	PRESERVED_SPECIMEN	1919
95.7	26	Myanmar	MM	PRESERVED_SPECIMEN	1914
95.6667	27.8333	India	IN	PRESERVED_SPECIMEN	NA
