decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
101.315843	14.224989	Thailand	TH	HUMAN_OBSERVATION	2024
99.547294	12.972318	Thailand	TH	HUMAN_OBSERVATION	2024
99.472507	12.661889	Thailand	TH	HUMAN_OBSERVATION	2024
99.436875	12.627315	Thailand	TH	HUMAN_OBSERVATION	2024
101.549237	14.203232	Thailand	TH	HUMAN_OBSERVATION	2024
99.534605	12.83887	Thailand	TH	HUMAN_OBSERVATION	2024
101.227488	14.513141	Thailand	TH	HUMAN_OBSERVATION	2024
99.461886	12.774759	Thailand	TH	HUMAN_OBSERVATION	2024
101.298488	14.550583	Thailand	TH	HUMAN_OBSERVATION	2024
98.562176	9.277249	Thailand	TH	HUMAN_OBSERVATION	2024
101.4809	14.249244	Thailand	TH	HUMAN_OBSERVATION	2024
101.593667	14.377198	Thailand	TH	HUMAN_OBSERVATION	2024
101.513848	14.350772	Thailand	TH	HUMAN_OBSERVATION	2024
101.296419	14.437678	Thailand	TH	HUMAN_OBSERVATION	2024
101.375661	14.516818	Thailand	TH	HUMAN_OBSERVATION	2024
99.395701	12.963605	Thailand	TH	HUMAN_OBSERVATION	2024
101.375933	14.537348	Thailand	TH	HUMAN_OBSERVATION	2024
99.507198	12.63574	Thailand	TH	HUMAN_OBSERVATION	2024
99.457121	12.759579	Thailand	TH	HUMAN_OBSERVATION	2024
99.544115	12.664153	Thailand	TH	HUMAN_OBSERVATION	2024
98.670579	9.101682	Thailand	TH	HUMAN_OBSERVATION	2024
99.543172	12.663859	Thailand	TH	HUMAN_OBSERVATION	2024
102.238868	2.423629	Malaysia	MY	HUMAN_OBSERVATION	2024
101.341517	14.584091	Thailand	TH	HUMAN_OBSERVATION	2023
101.214574	14.442715	Thailand	TH	HUMAN_OBSERVATION	2023
101.241772	14.422941	Thailand	TH	HUMAN_OBSERVATION	2023
101.283078	14.496691	Thailand	TH	HUMAN_OBSERVATION	2023
101.550919	14.230466	Thailand	TH	HUMAN_OBSERVATION	2023
101.442541	14.427287	Thailand	TH	HUMAN_OBSERVATION	2023
101.352348	14.530801	Thailand	TH	HUMAN_OBSERVATION	2023
