decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
101.255174	14.27416	Thailand	TH	HUMAN_OBSERVATION	2024
101.209936	14.526644	Thailand	TH	HUMAN_OBSERVATION	2023
101.4318	14.431651	Thailand	TH	HUMAN_OBSERVATION	2023
101.514222	14.559721	Thailand	TH	HUMAN_OBSERVATION	2023
101.238229	14.484059	Thailand	TH	HUMAN_OBSERVATION	2023
101.227729	14.460226	Thailand	TH	HUMAN_OBSERVATION	2023
101.543146	14.213022	Thailand	TH	HUMAN_OBSERVATION	2023
101.4077	14.445512	Thailand	TH	HUMAN_OBSERVATION	2023
101.312638	14.234965	Thailand	TH	HUMAN_OBSERVATION	2022
101.317276	14.499772	Thailand	TH	HUMAN_OBSERVATION	2019
101.284842	14.291107	Thailand	TH	HUMAN_OBSERVATION	2019
101.289936	14.4112	Thailand	TH	HUMAN_OBSERVATION	2019
101.464708	14.488537	Thailand	TH	HUMAN_OBSERVATION	2017
101.295625	14.512897	Thailand	TH	HUMAN_OBSERVATION	2016
101.596628	14.344519	Thailand	TH	HUMAN_OBSERVATION	2015
101.538822	14.440267	Thailand	TH	HUMAN_OBSERVATION	2012
101.420833	14.415006	Thailand	TH	HUMAN_OBSERVATION	2011
101.346118	14.564997	Thailand	TH	HUMAN_OBSERVATION	2009
101.568636	14.556277	Thailand	TH	HUMAN_OBSERVATION	2009
101.43406	14.499418	Thailand	TH	HUMAN_OBSERVATION	2009
101.259136	14.482094	Thailand	TH	HUMAN_OBSERVATION	2009
101.261418	14.474769	Thailand	TH	HUMAN_OBSERVATION	2009
101.390921	14.521688	Thailand	TH	HUMAN_OBSERVATION	2005
101.333166	14.454008	Thailand	TH	HUMAN_OBSERVATION	2005
101.372223	14.409078	Thailand	TH	HUMAN_OBSERVATION	2002
101.3662	14.4213	Thailand	TH	MACHINE_OBSERVATION	1989
101.4957	14.4158	Thailand	TH	MACHINE_OBSERVATION	1989
101.4518	14.4112	Thailand	TH	MACHINE_OBSERVATION	1986
101.4452	14.4205	Thailand	TH	MACHINE_OBSERVATION	1986
101.4657	14.414	Thailand	TH	MACHINE_OBSERVATION	1986
101.4592	14.4148	Thailand	TH	MACHINE_OBSERVATION	1986
101.408333	14.433333	Thailand	TH	MACHINE_OBSERVATION	1985
101.416667	14.433333	Thailand	TH	MACHINE_OBSERVATION	1985
101.441667	14.425	Thailand	TH	MACHINE_OBSERVATION	1985
101.366667	14.45	Thailand	TH	MACHINE_OBSERVATION	1984
101.45	14.425	Thailand	TH	MACHINE_OBSERVATION	1984
101.433333	14.425	Thailand	TH	MACHINE_OBSERVATION	1984
101.433333	14.433333	Thailand	TH	MACHINE_OBSERVATION	1984
101.416667	14.416667	Thailand	TH	MACHINE_OBSERVATION	1984
101.4	14.433333	Thailand	TH	MACHINE_OBSERVATION	1983
101.4	14.458333	Thailand	TH	MACHINE_OBSERVATION	1983
101.433333	14.416667	Thailand	TH	MACHINE_OBSERVATION	1983
101.383333	14.416667	Thailand	TH	MACHINE_OBSERVATION	1982
101.4	14.4	Thailand	TH	MACHINE_OBSERVATION	1982
101.366667	14.433333	Thailand	TH	MACHINE_OBSERVATION	1982
101.45	14.416667	Thailand	TH	MACHINE_OBSERVATION	1982
101.5	14.433333	Thailand	TH	MACHINE_OBSERVATION	1982
101.416667	14.45	Thailand	TH	MACHINE_OBSERVATION	1982
101.391667	14.458333	Thailand	TH	MACHINE_OBSERVATION	1982
101.383333	14.45	Thailand	TH	MACHINE_OBSERVATION	1982
101.4	14.45	Thailand	TH	MACHINE_OBSERVATION	1980
101.4	14.483333	Thailand	TH	MACHINE_OBSERVATION	1980
101.483333	14.45	Thailand	TH	MACHINE_OBSERVATION	1980
101.483333	14.433333	Thailand	TH	MACHINE_OBSERVATION	1980
101.383333	14.433333	Thailand	TH	MACHINE_OBSERVATION	1978
101.385833	14.441833	Thailand	TH	MACHINE_OBSERVATION	1978
101.35	14.45	Thailand	TH	MACHINE_OBSERVATION	1978
101.45	14.433333	Thailand	TH	MACHINE_OBSERVATION	1978
101.416667	14.4	Thailand	TH	MACHINE_OBSERVATION	1978
101.3836	14.4167	Thailand	TH	MACHINE_OBSERVATION	1974
101.3722	14.4373	Thailand	TH	MACHINE_OBSERVATION	1974
