decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-76.039278	-0.651186	Ecuador	EC	HUMAN_OBSERVATION	2024
-76.835752	-0.66811	Ecuador	EC	HUMAN_OBSERVATION	2024
-77.576712	-1.109708	Ecuador	EC	HUMAN_OBSERVATION	2024
-76.388129	-0.497232	Ecuador	EC	HUMAN_OBSERVATION	2024
-76.254824	-0.527996	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.129191	-0.68515	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.3816	-0.5317	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.6992	-1.6085	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.906	-0.7692	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.6932	-1.6118	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.6784	-1.5807	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.697	-0.7637	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.3906	-0.6753	Ecuador	EC	HUMAN_OBSERVATION	2023
-72.940075	-1.155053	Colombia	CO	HUMAN_OBSERVATION	2023
-77.965312	-0.798937	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.767544	-0.496302	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.102904	-0.640089	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.114069	-0.662964	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.649535	-0.486397	Ecuador	EC	HUMAN_OBSERVATION	2023
-70.249313	-3.899792	Colombia	CO	HUMAN_OBSERVATION	2023
-76.881042	-0.430688	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.483281	-0.695741	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.063526	-0.734132	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.745469	-0.687354	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.071006	-0.682312	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.3924	-0.677	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.840095	-0.637404	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.4076	-0.6823	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.6765	-1.5813	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.5283	-0.7909	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.4715	-0.6951	Ecuador	EC	HUMAN_OBSERVATION	2023
-72.937033	-1.08525	Colombia	CO	HUMAN_OBSERVATION	2023
-76.685209	-0.704089	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.579674	-0.491688	Ecuador	EC	HUMAN_OBSERVATION	2023
-77.624698	-0.611326	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.895839	-0.476327	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.17589	-0.094111	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.195935	-0.039303	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.4368	-0.5098	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.8209	-1.1589	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.3923	-0.677	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.3345	-0.7206	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.4057	-0.6799	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.9248	-0.8492	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.8321	-1.146	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.9044	-0.8073	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.6611	-1.2254	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.9168	-1.6614	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.213511	-0.468941	Ecuador	EC	HUMAN_OBSERVATION	2023
-76.194537	-0.478014	Ecuador	EC	HUMAN_OBSERVATION	2023
-75.4252	-1.0407	Ecuador	EC	HUMAN_OBSERVATION	2023
