decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
99.403915	12.879229	Thailand	TH	HUMAN_OBSERVATION	2024
99.481955	12.8212	Thailand	TH	HUMAN_OBSERVATION	2024
99.560329	12.922669	Thailand	TH	HUMAN_OBSERVATION	2023
99.554348	12.649143	Thailand	TH	HUMAN_OBSERVATION	2023
99.405961	12.995012	Thailand	TH	HUMAN_OBSERVATION	2023
99.436103	12.631313	Thailand	TH	HUMAN_OBSERVATION	2023
99.710982	12.952527	Thailand	TH	HUMAN_OBSERVATION	2023
99.721459	12.811671	Thailand	TH	HUMAN_OBSERVATION	2023
99.487145	12.895978	Thailand	TH	HUMAN_OBSERVATION	2023
99.587537	12.875506	Thailand	TH	HUMAN_OBSERVATION	2023
99.43581	12.867725	Thailand	TH	HUMAN_OBSERVATION	2023
99.535315	12.941829	Thailand	TH	HUMAN_OBSERVATION	2023
99.500484	12.853298	Thailand	TH	HUMAN_OBSERVATION	2023
99.578109	12.99714	Thailand	TH	HUMAN_OBSERVATION	2023
99.741832	12.74255	Thailand	TH	HUMAN_OBSERVATION	2023
99.758633	12.625134	Thailand	TH	HUMAN_OBSERVATION	2023
99.443813	12.834137	Thailand	TH	HUMAN_OBSERVATION	2023
99.689941	12.985574	Thailand	TH	HUMAN_OBSERVATION	2023
99.502563	12.804465	Thailand	TH	HUMAN_OBSERVATION	2023
99.539184	12.86376	Thailand	TH	HUMAN_OBSERVATION	2023
99.549981	12.892788	Thailand	TH	HUMAN_OBSERVATION	2023
99.770107	12.971837	Thailand	TH	HUMAN_OBSERVATION	2023
99.724109	12.862095	Thailand	TH	HUMAN_OBSERVATION	2023
99.587654	12.967431	Thailand	TH	HUMAN_OBSERVATION	2023
99.517048	12.979688	Thailand	TH	HUMAN_OBSERVATION	2023
99.492605	12.878684	Thailand	TH	HUMAN_OBSERVATION	2023
99.545816	12.437263	Thailand	TH	HUMAN_OBSERVATION	2022
99.412627	12.951224	Thailand	TH	HUMAN_OBSERVATION	2022
99.497905	12.755821	Thailand	TH	HUMAN_OBSERVATION	2022
99.401976	12.844053	Thailand	TH	HUMAN_OBSERVATION	2022
99.555975	12.855863	Thailand	TH	HUMAN_OBSERVATION	2022
99.570746	12.760145	Thailand	TH	HUMAN_OBSERVATION	2022
99.529598	12.97753	Thailand	TH	HUMAN_OBSERVATION	2022
99.407389	12.851938	Thailand	TH	HUMAN_OBSERVATION	2022
99.682646	12.945033	Thailand	TH	HUMAN_OBSERVATION	2022
99.413565	12.905009	Thailand	TH	HUMAN_OBSERVATION	2022
99.447594	12.866721	Thailand	TH	HUMAN_OBSERVATION	2022
99.488492	12.850506	Thailand	TH	HUMAN_OBSERVATION	2022
99.436832	12.829255	Thailand	TH	HUMAN_OBSERVATION	2022
99.634935	12.805343	Thailand	TH	HUMAN_OBSERVATION	2022
99.635966	12.931761	Thailand	TH	HUMAN_OBSERVATION	2021
99.718402	12.975782	Thailand	TH	HUMAN_OBSERVATION	2021
99.492008	12.850899	Thailand	TH	HUMAN_OBSERVATION	2021
99.680952	12.681099	Thailand	TH	HUMAN_OBSERVATION	2021
99.746301	12.853504	Thailand	TH	HUMAN_OBSERVATION	2021
99.460025	12.699037	Thailand	TH	HUMAN_OBSERVATION	2021
99.604979	12.825183	Thailand	TH	HUMAN_OBSERVATION	2021
99.745141	12.960484	Thailand	TH	HUMAN_OBSERVATION	2021
99.597725	12.94727	Thailand	TH	HUMAN_OBSERVATION	2021
99.495338	12.911989	Thailand	TH	HUMAN_OBSERVATION	2020
99.435847	12.902902	Thailand	TH	HUMAN_OBSERVATION	2020
106.95747	12.14603	Cambodia	KH	HUMAN_OBSERVATION	2020
106.95037	12.15271	Cambodia	KH	HUMAN_OBSERVATION	2020
99.428051	12.79424	Thailand	TH	HUMAN_OBSERVATION	2020
99.523418	12.971696	Thailand	TH	HUMAN_OBSERVATION	2020
99.440828	12.943537	Thailand	TH	HUMAN_OBSERVATION	2019
99.487518	12.879007	Thailand	TH	HUMAN_OBSERVATION	2019
99.479419	12.987282	Thailand	TH	HUMAN_OBSERVATION	2019
99.548441	12.933326	Thailand	TH	HUMAN_OBSERVATION	2019
99.403772	12.829882	Thailand	TH	HUMAN_OBSERVATION	2019
99.478117	12.902545	Thailand	TH	HUMAN_OBSERVATION	2019
99.510163	12.779984	Thailand	TH	HUMAN_OBSERVATION	2019
101.368174	14.439673	Thailand	TH	MATERIAL_CITATION	2019
99.712951	12.924133	Thailand	TH	HUMAN_OBSERVATION	2019
99.554401	12.852474	Thailand	TH	HUMAN_OBSERVATION	2019
107.08	12.22	Cambodia	KH	MACHINE_OBSERVATION	2018
106.96	12.09	Cambodia	KH	MACHINE_OBSERVATION	2018
99.503949	12.71057	Thailand	TH	HUMAN_OBSERVATION	2018
99.53875	12.896047	Thailand	TH	HUMAN_OBSERVATION	2018
99.639161	12.892914	Thailand	TH	HUMAN_OBSERVATION	2018
99.492758	12.945129	Thailand	TH	HUMAN_OBSERVATION	2018
99.488169	12.831402	Thailand	TH	HUMAN_OBSERVATION	2018
99.501439	12.833788	Thailand	TH	HUMAN_OBSERVATION	2018
99.588436	12.825577	Thailand	TH	HUMAN_OBSERVATION	2018
99.466656	12.819301	Thailand	TH	HUMAN_OBSERVATION	2018
99.620678	12.946395	Thailand	TH	HUMAN_OBSERVATION	2017
99.544075	12.818451	Thailand	TH	HUMAN_OBSERVATION	2017
99.654796	12.973845	Thailand	TH	HUMAN_OBSERVATION	2016
99.450493	12.992497	Thailand	TH	HUMAN_OBSERVATION	2016
99.533018	12.729363	Thailand	TH	HUMAN_OBSERVATION	2016
99.636182	12.405785	Thailand	TH	HUMAN_OBSERVATION	2016
99.46542	12.83176	Thailand	TH	HUMAN_OBSERVATION	2016
99.512951	12.996714	Thailand	TH	HUMAN_OBSERVATION	2015
99.568471	12.742881	Thailand	TH	HUMAN_OBSERVATION	2015
107.13914	12.27743	Cambodia	KH	HUMAN_OBSERVATION	2015
107.07664	12.26889	Cambodia	KH	HUMAN_OBSERVATION	2015
107.02196	12.1499	Cambodia	KH	HUMAN_OBSERVATION	2015
107.08504	12.26895	Cambodia	KH	HUMAN_OBSERVATION	2015
107.08568	12.27789	Cambodia	KH	HUMAN_OBSERVATION	2015
107.08486	12.26885	Cambodia	KH	HUMAN_OBSERVATION	2015
107.14506	12.27735	Cambodia	KH	HUMAN_OBSERVATION	2015
107.01398	12.27268	Cambodia	KH	HUMAN_OBSERVATION	2014
106.95224	12.14663	Cambodia	KH	HUMAN_OBSERVATION	2014
107.14811	12.26815	Cambodia	KH	HUMAN_OBSERVATION	2014
107.07604	12.21124	Cambodia	KH	HUMAN_OBSERVATION	2014
107.07971	12.27778	Cambodia	KH	HUMAN_OBSERVATION	2014
107.01336	12.154	Cambodia	KH	HUMAN_OBSERVATION	2014
99.593455	12.804138	Thailand	TH	HUMAN_OBSERVATION	2013
107.08426	12.21546	Cambodia	KH	HUMAN_OBSERVATION	2013
99.503211	12.873	Thailand	TH	HUMAN_OBSERVATION	2013
107.01335	12.21721	Cambodia	KH	HUMAN_OBSERVATION	2011
107.08447	12.20731	Cambodia	KH	HUMAN_OBSERVATION	2011
99.431351	12.821278	Thailand	TH	HUMAN_OBSERVATION	2011
107.01301	12.15339	Cambodia	KH	HUMAN_OBSERVATION	2011
107.01296	12.1534	Cambodia	KH	HUMAN_OBSERVATION	2011
107.01772	12.15568	Cambodia	KH	HUMAN_OBSERVATION	2011
99.540819	12.959824	Thailand	TH	HUMAN_OBSERVATION	2011
107.08526	12.26965	Cambodia	KH	HUMAN_OBSERVATION	2011
106.8887	12.33418	Cambodia	KH	HUMAN_OBSERVATION	2011
107.08337	12.27762	Cambodia	KH	HUMAN_OBSERVATION	2011
106.95728	12.27887	Cambodia	KH	HUMAN_OBSERVATION	2011
99.667724	12.832699	Thailand	TH	HUMAN_OBSERVATION	2011
106.8289	12.34148	Cambodia	KH	HUMAN_OBSERVATION	2011
106.83127	12.34187	Cambodia	KH	HUMAN_OBSERVATION	2011
106.9508	12.15201	Cambodia	KH	HUMAN_OBSERVATION	2010
107.0169	12.3922	Cambodia	KH	HUMAN_OBSERVATION	2010
107.08533	12.39212	Cambodia	KH	HUMAN_OBSERVATION	2010
106.95049	12.15395	Cambodia	KH	HUMAN_OBSERVATION	2010
106.94992	12.14857	Cambodia	KH	HUMAN_OBSERVATION	2010
106.8975	12.21572	Cambodia	KH	HUMAN_OBSERVATION	2010
107.08484	12.26863	Cambodia	KH	HUMAN_OBSERVATION	2010
99.455948	12.505684	Thailand	TH	HUMAN_OBSERVATION	2008
107.09	12.21	Cambodia	KH	MACHINE_OBSERVATION	2001
107.1	12.24	Cambodia	KH	MACHINE_OBSERVATION	2001
106.99	12.15	Cambodia	KH	MACHINE_OBSERVATION	2001
101.147656	13.385791	Thailand	TH	HUMAN_OBSERVATION	1979
98.2	14.0333	Myanmar	MM	PRESERVED_SPECIMEN	1924
99.423701	11.701082	Myanmar	MM	MATERIAL_CITATION	NA
