decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
88.431193	27.153932	India	IN	HUMAN_OBSERVATION	2023
96.406631	27.429588	India	IN	HUMAN_OBSERVATION	2023
90.571204	27.400176	Bhutan	BT	HUMAN_OBSERVATION	2023
90.533067	27.406236	Bhutan	BT	HUMAN_OBSERVATION	2023
90.424511	27.479252	Bhutan	BT	HUMAN_OBSERVATION	2023
90.407094	27.495705	Bhutan	BT	HUMAN_OBSERVATION	2023
92.059862	26.816748	India	IN	HUMAN_OBSERVATION	2023
89.450685	26.871056	Bhutan	BT	HUMAN_OBSERVATION	2023
94.830294	27.25495	India	IN	HUMAN_OBSERVATION	2023
88.49911	27.024738	India	IN	HUMAN_OBSERVATION	2023
90.477765	27.596853	Bhutan	BT	HUMAN_OBSERVATION	2023
90.641699	27.761845	Bhutan	BT	HUMAN_OBSERVATION	2023
90.507195	27.561217	Bhutan	BT	HUMAN_OBSERVATION	2023
90.488398	27.401866	Bhutan	BT	HUMAN_OBSERVATION	2023
88.570781	26.913947	India	IN	HUMAN_OBSERVATION	2023
84.12125	28.4075	Nepal	NP	MATERIAL_CITATION	2022
88.483416	26.877379	India	IN	HUMAN_OBSERVATION	2022
90.507628	27.370574	Bhutan	BT	HUMAN_OBSERVATION	2022
88.033738	27.024349	India	IN	HUMAN_OBSERVATION	2022
95.295049	27.57648	India	IN	HUMAN_OBSERVATION	2022
88.394974	27.246951	India	IN	HUMAN_OBSERVATION	2022
95.836519	28.130704	India	IN	HUMAN_OBSERVATION	2022
88.590875	27.058294	India	IN	HUMAN_OBSERVATION	2021
88.288228	27.141567	India	IN	HUMAN_OBSERVATION	2021
88.663872	27.272	India	IN	HUMAN_OBSERVATION	2021
95.330791	27.486842	India	IN	HUMAN_OBSERVATION	2021
95.379278	27.535719	India	IN	HUMAN_OBSERVATION	2021
85.549218	28.036173	Nepal	NP	HUMAN_OBSERVATION	2020
90.125103	27.015326	Bhutan	BT	HUMAN_OBSERVATION	2020
98.918184	25.302526	China	CN	HUMAN_OBSERVATION	2020
89.800222	27.601939	Bhutan	BT	HUMAN_OBSERVATION	2020
89.849111	27.589963	Bhutan	BT	HUMAN_OBSERVATION	2020
93.294525	26.608788	India	IN	HUMAN_OBSERVATION	2019
94.185059	26.959831	India	IN	HUMAN_OBSERVATION	2019
91.858618	27.590036	India	IN	HUMAN_OBSERVATION	2019
90.508499	27.488029	Bhutan	BT	HUMAN_OBSERVATION	2019
90.575918	27.593726	Bhutan	BT	HUMAN_OBSERVATION	2019
90.503941	27.524199	Bhutan	BT	HUMAN_OBSERVATION	2019
90.470247	27.509587	Bhutan	BT	HUMAN_OBSERVATION	2019
91.47099	26.895823	Bhutan	BT	HUMAN_OBSERVATION	2019
90.707489	27.086982	Bhutan	BT	HUMAN_OBSERVATION	2019
91.197711	27.286143	Bhutan	BT	HUMAN_OBSERVATION	2019
90.682575	27.081744	Bhutan	BT	HUMAN_OBSERVATION	2019
90.613081	27.049588	Bhutan	BT	HUMAN_OBSERVATION	2019
90.743119	27.033178	Bhutan	BT	HUMAN_OBSERVATION	2019
88.590703	27.118169	India	IN	HUMAN_OBSERVATION	2019
88.563412	27.090158	India	IN	HUMAN_OBSERVATION	2019
88.418135	27.11346	India	IN	HUMAN_OBSERVATION	2019
88.547144	27.152021	India	IN	HUMAN_OBSERVATION	2019
90.649106	26.057961	India	IN	HUMAN_OBSERVATION	2019
85.522577	28.163705	Nepal	NP	HUMAN_OBSERVATION	2019
90.88757	26.971057	Bhutan	BT	HUMAN_OBSERVATION	2019
85.339775	28.000984	Nepal	NP	HUMAN_OBSERVATION	2019
85.244602	28.069432	Nepal	NP	HUMAN_OBSERVATION	2019
90.412521	27.219973	Bhutan	BT	HUMAN_OBSERVATION	2019
101.316722	21.844406	China	CN	HUMAN_OBSERVATION	2019
101.216251	21.857949	China	CN	HUMAN_OBSERVATION	2019
85.447105	28.064038	Nepal	NP	HUMAN_OBSERVATION	2019
99	23.25	China	CN	MATERIAL_CITATION	2019
96.366977	27.647873	India	IN	HUMAN_OBSERVATION	2019
85.357159	28.15406	Nepal	NP	HUMAN_OBSERVATION	2019
93.20208	26.422046	India	IN	HUMAN_OBSERVATION	2019
91.023102	26.852135	Bhutan	BT	HUMAN_OBSERVATION	2019
91.175652	27.260679	Bhutan	BT	HUMAN_OBSERVATION	2018
91.462245	27.132203	Bhutan	BT	HUMAN_OBSERVATION	2018
90.578747	27.238615	Bhutan	BT	HUMAN_OBSERVATION	2018
96.433192	27.420356	India	IN	HUMAN_OBSERVATION	2018
90.071762	27.020245	Bhutan	BT	HUMAN_OBSERVATION	2018
91.570526	27.43762	Bhutan	BT	HUMAN_OBSERVATION	2018
90.591743	27.332928	Bhutan	BT	HUMAN_OBSERVATION	2018
90.232071	26.869635	Bhutan	BT	HUMAN_OBSERVATION	2018
90.453916	27.52894	Bhutan	BT	HUMAN_OBSERVATION	2018
90.121826	27.017702	Bhutan	BT	HUMAN_OBSERVATION	2018
90.580806	27.221534	Bhutan	BT	HUMAN_OBSERVATION	2018
89.47422	27.07843	Bhutan	BT	HUMAN_OBSERVATION	2018
89.523811	26.922625	Bhutan	BT	HUMAN_OBSERVATION	2018
86.455107	27.671268	Nepal	NP	HUMAN_OBSERVATION	2018
96.359013	27.521356	India	IN	HUMAN_OBSERVATION	2018
96.603173	27.243092	India	IN	HUMAN_OBSERVATION	2018
88	27.166667	India	IN	MATERIAL_CITATION	2018
98.133333	24.933333	China	CN	MATERIAL_CITATION	2017
83.903798	28.225221	Nepal	NP	HUMAN_OBSERVATION	2017
90.74478	27.089241	Bhutan	BT	HUMAN_OBSERVATION	2017
85.43012	28.162008	Nepal	NP	HUMAN_OBSERVATION	2017
91.346924	27.002382	Bhutan	BT	HUMAN_OBSERVATION	2017
89.393791	27.192833	Bhutan	BT	HUMAN_OBSERVATION	2017
95.833007	28.361498	India	IN	HUMAN_OBSERVATION	2017
85.220392	27.603847	Nepal	NP	HUMAN_OBSERVATION	2017
96.309858	27.764162	India	IN	HUMAN_OBSERVATION	2017
95.412908	27.203917	India	IN	HUMAN_OBSERVATION	2017
91.07445	27.297478	Bhutan	BT	HUMAN_OBSERVATION	2016
88.557929	26.837101	India	IN	HUMAN_OBSERVATION	2016
95.500969	27.377188	India	IN	HUMAN_OBSERVATION	2016
90.443862	27.443446	Bhutan	BT	HUMAN_OBSERVATION	2016
96.407336	27.584063	India	IN	HUMAN_OBSERVATION	2016
92.871088	26.938335	India	IN	HUMAN_OBSERVATION	2015
90.377193	27.528246	Bhutan	BT	HUMAN_OBSERVATION	2015
