decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
121.570245	24.17273	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.656298	23.598808	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.064942	22.886916	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.673214	24.895794	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.499127	23.261278	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.689735	24.976059	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.54122	23.236706	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.868436	23.48229	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.623688	23.591017	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.260253	22.652258	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.975116	24.244563	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.271298	22.652348	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.571982	25.184298	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.788349	23.665411	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.788491	23.666014	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.791082	23.672517	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.791315	23.672588	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.933277	24.246698	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.268597	22.639594	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.268292	22.639447	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.268567	22.639583	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.259808	22.652819	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.270447	22.654011	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.03351	23.444389	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.807497	21.953197	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.27424	22.636784	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.303117	24.381967	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.672	24.773769	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.988641	24.474374	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.989276	24.47493	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.9932	24.475404	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.582305	24.761721	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.77963	24.856687	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.553008	23.20887	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.267975	22.652167	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.577944	23.203464	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.266112	22.654115	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.267254	22.641379	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.799575	24.87015	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.27087	22.652365	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.823814	23.510632	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.823756	23.510417	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.015818	24.191457	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.270541	22.63973	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.754912	24.62095	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.544547	25.152172	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
120.267829	22.627183	Chinese Taipei	TW	HUMAN_OBSERVATION	2024
121.444594	24.830711	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.784932	23.090337	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.262652	22.65097	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.627561	23.696671	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.789108	23.669601	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.007793	24.203194	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.597062	22.93128	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.798409	23.66098	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.579678	23.816006	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.7172	24.256107	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.265347	22.641233	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.885733	23.482722	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.30574	22.976242	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.663162	22.887442	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.798741	22.217331	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.766758	24.33199	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.760265	24.631383	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.036065	22.80586	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.262659	22.651015	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.713715	22.176317	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.312284	24.357204	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.810707	23.508999	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.50743	24.54597	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.22965	23.327028	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.355797	22.851333	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.281109	22.634197	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.809878	23.516456	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.270462	22.639862	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.810119	23.515156	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.112537	24.500943	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.580872	24.760555	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
121.580965	24.760456	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
120.49906	23.261954	Chinese Taipei	TW	HUMAN_OBSERVATION	2023
