decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
100.072449	9.694368	Thailand	TH	HUMAN_OBSERVATION	2024
98.706111	9.087222	Thailand	TH	HUMAN_OBSERVATION	2024
115.08535	-8.829462	Indonesia	ID	HUMAN_OBSERVATION	2024
106.79963	10.486493	Viet Nam	VN	HUMAN_OBSERVATION	2024
106.799027	10.487078	Viet Nam	VN	HUMAN_OBSERVATION	2024
106.798848	10.487182	Viet Nam	VN	HUMAN_OBSERVATION	2024
106.789632	10.492938	Viet Nam	VN	HUMAN_OBSERVATION	2024
101.645594	2.919953	Malaysia	MY	HUMAN_OBSERVATION	2024
106.909891	10.420309	Viet Nam	VN	HUMAN_OBSERVATION	2024
99.339617	9.06985	Thailand	TH	HUMAN_OBSERVATION	2024
99.954954	12.128616	Thailand	TH	HUMAN_OBSERVATION	2024
99.630451	15.374288	Thailand	TH	HUMAN_OBSERVATION	2024
117.94678	5.863919	Malaysia	MY	HUMAN_OBSERVATION	2024
98.842403	8.014835	Thailand	TH	HUMAN_OBSERVATION	2024
115.257255	-8.52023	Indonesia	ID	HUMAN_OBSERVATION	2024
116.534394	-8.758691	Indonesia	ID	HUMAN_OBSERVATION	2024
98.513711	8.912066	Thailand	TH	HUMAN_OBSERVATION	2024
99.035278	7.644736	Thailand	TH	HUMAN_OBSERVATION	2024
100.974134	13.451234	Thailand	TH	HUMAN_OBSERVATION	2024
103.825789	1.372014	Singapore	SG	HUMAN_OBSERVATION	2024
115.260219	-8.518696	Indonesia	ID	HUMAN_OBSERVATION	2024
98.638188	8.977713	Thailand	TH	HUMAN_OBSERVATION	2024
99.77269	13.571733	Thailand	TH	HUMAN_OBSERVATION	2024
99.772272	13.57158	Thailand	TH	HUMAN_OBSERVATION	2024
99.771894	13.570941	Thailand	TH	HUMAN_OBSERVATION	2024
99.77256	13.571188	Thailand	TH	HUMAN_OBSERVATION	2024
99.771203	13.571531	Thailand	TH	HUMAN_OBSERVATION	2024
99.770602	13.571764	Thailand	TH	HUMAN_OBSERVATION	2024
99.770319	13.572004	Thailand	TH	HUMAN_OBSERVATION	2024
99.769846	13.573285	Thailand	TH	HUMAN_OBSERVATION	2024
99.773827	13.384964	Thailand	TH	HUMAN_OBSERVATION	2024
99.773525	13.384804	Thailand	TH	HUMAN_OBSERVATION	2024
100.276857	5.429865	Malaysia	MY	HUMAN_OBSERVATION	2024
102.403942	4.386901	Malaysia	MY	HUMAN_OBSERVATION	2024
102.403975	4.38689	Malaysia	MY	HUMAN_OBSERVATION	2024
100.286077	5.439531	Malaysia	MY	HUMAN_OBSERVATION	2024
103.100041	13.026534	Cambodia	KH	HUMAN_OBSERVATION	2024
107.6319	-6.856837	Indonesia	ID	HUMAN_OBSERVATION	2024
99.400552	7.309105	Thailand	TH	HUMAN_OBSERVATION	2024
103.781836	1.345484	Singapore	SG	HUMAN_OBSERVATION	2024
