decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
138.463343	36.733031	Japan	JP	HUMAN_OBSERVATION	2024
138.463303	36.732967	Japan	JP	HUMAN_OBSERVATION	2024
138.46347	36.733038	Japan	JP	HUMAN_OBSERVATION	2024
138.463395	36.733088	Japan	JP	HUMAN_OBSERVATION	2024
138.462136	36.732686	Japan	JP	HUMAN_OBSERVATION	2024
138.463398	36.73307	Japan	JP	HUMAN_OBSERVATION	2024
138.461879	36.732849	Japan	JP	HUMAN_OBSERVATION	2024
138.463425	36.733028	Japan	JP	HUMAN_OBSERVATION	2024
135.811862	35.056728	Japan	JP	HUMAN_OBSERVATION	2024
139.255048	35.539422	Japan	JP	HUMAN_OBSERVATION	2023
135.661118	34.986449	Japan	JP	HUMAN_OBSERVATION	2023
138.46347	36.733063	Japan	JP	HUMAN_OBSERVATION	2023
138.462012	36.732893	Japan	JP	HUMAN_OBSERVATION	2023
138.438148	36.725061	Japan	JP	HUMAN_OBSERVATION	2023
138.457097	36.733303	Japan	JP	HUMAN_OBSERVATION	2023
138.463317	36.733055	Japan	JP	HUMAN_OBSERVATION	2023
138.379097	36.806049	Japan	JP	HUMAN_OBSERVATION	2023
138.462563	36.733075	Japan	JP	HUMAN_OBSERVATION	2023
138.462982	36.733002	Japan	JP	HUMAN_OBSERVATION	2023
138.463089	36.732971	Japan	JP	HUMAN_OBSERVATION	2023
138.463425	36.733002	Japan	JP	HUMAN_OBSERVATION	2023
137.72035	36.559081	Japan	JP	HUMAN_OBSERVATION	2023
134.149837	34.231067	Japan	JP	HUMAN_OBSERVATION	2023
139.614845	36.826637	Japan	JP	HUMAN_OBSERVATION	2023
138.462405	36.733639	Japan	JP	HUMAN_OBSERVATION	2023
139.22549	35.520546	Japan	JP	HUMAN_OBSERVATION	2023
138.463425	36.733185	Japan	JP	HUMAN_OBSERVATION	2023
138.463133	36.733095	Japan	JP	HUMAN_OBSERVATION	2023
139.136319	35.980242	Japan	JP	HUMAN_OBSERVATION	2023
135.751471	35.118581	Japan	JP	HUMAN_OBSERVATION	2023
135.749786	35.084569	Japan	JP	HUMAN_OBSERVATION	2023
137.664026	36.253972	Japan	JP	HUMAN_OBSERVATION	2023
137.641659	36.255116	Japan	JP	HUMAN_OBSERVATION	2023
139.055939	35.987871	Japan	JP	HUMAN_OBSERVATION	2023
139.480819	36.712407	Japan	JP	HUMAN_OBSERVATION	2023
139.468089	36.747325	Japan	JP	HUMAN_OBSERVATION	2023
138.94018	35.759925	Japan	JP	HUMAN_OBSERVATION	2023
137.64592	36.251072	Japan	JP	HUMAN_OBSERVATION	2023
138.462678	36.73302	Japan	JP	HUMAN_OBSERVATION	2023
137.646562	36.250888	Japan	JP	HUMAN_OBSERVATION	2023
137.631584	36.116612	Japan	JP	HUMAN_OBSERVATION	2023
137.651532	36.251581	Japan	JP	HUMAN_OBSERVATION	2023
136.104458	35.458439	Japan	JP	HUMAN_OBSERVATION	2023
139.453224	36.752842	Japan	JP	HUMAN_OBSERVATION	2023
140.007564	35.179324	Japan	JP	HUMAN_OBSERVATION	2023
137.700697	36.363119	Japan	JP	HUMAN_OBSERVATION	2023
137.63452	36.246367	Japan	JP	HUMAN_OBSERVATION	2023
133.59906	33.971892	Japan	JP	HUMAN_OBSERVATION	2023
135.521166	34.941877	Japan	JP	HUMAN_OBSERVATION	2023
139.489639	36.75063	Japan	JP	HUMAN_OBSERVATION	2023
139.610822	38.616554	Japan	JP	HUMAN_OBSERVATION	2023
138.134945	36.425908	Japan	JP	HUMAN_OBSERVATION	2023
133.81821	33.92087	Japan	JP	HUMAN_OBSERVATION	2023
132.659317	33.203938	Japan	JP	HUMAN_OBSERVATION	2023
137.688259	36.279055	Japan	JP	HUMAN_OBSERVATION	2023
137.627618	36.247069	Japan	JP	HUMAN_OBSERVATION	2023
137.695983	36.294605	Japan	JP	HUMAN_OBSERVATION	2023
139.501708	36.739639	Japan	JP	HUMAN_OBSERVATION	2023
137.654128	36.251528	Japan	JP	HUMAN_OBSERVATION	2023
139.063244	35.794235	Japan	JP	HUMAN_OBSERVATION	2023
138.139756	36.853553	Japan	JP	HUMAN_OBSERVATION	2023
135.764267	35.120711	Japan	JP	HUMAN_OBSERVATION	2023
138.914317	34.64827	Japan	JP	HUMAN_OBSERVATION	2023
139.38785	37.00522	Japan	JP	HUMAN_OBSERVATION	2023
133.308407	33.710008	Japan	JP	HUMAN_OBSERVATION	2023
138.454855	36.728607	Japan	JP	HUMAN_OBSERVATION	2023
138.462136	36.732691	Japan	JP	HUMAN_OBSERVATION	2022
135.660147	34.986994	Japan	JP	HUMAN_OBSERVATION	2022
139.276943	35.646256	Japan	JP	HUMAN_OBSERVATION	2022
138.463444	36.733065	Japan	JP	HUMAN_OBSERVATION	2022
136.544079	35.091079	Japan	JP	HUMAN_OBSERVATION	2022
139.526012	36.739632	Japan	JP	HUMAN_OBSERVATION	2022
137.6232	36.236003	Japan	JP	HUMAN_OBSERVATION	2022
138.722491	36.351549	Japan	JP	HUMAN_OBSERVATION	2022
132.110044	34.173583	Japan	JP	HUMAN_OBSERVATION	2022
139.451856	38.063083	Japan	JP	HUMAN_OBSERVATION	2022
139.548386	36.620645	Japan	JP	HUMAN_OBSERVATION	2022
133.499226	33.90421	Japan	JP	HUMAN_OBSERVATION	2022
133.497835	33.900571	Japan	JP	HUMAN_OBSERVATION	2022
138.758301	34.697041	Japan	JP	HUMAN_OBSERVATION	2022
132.043864	34.410098	Japan	JP	HUMAN_OBSERVATION	2022
133.828507	33.877126	Japan	JP	HUMAN_OBSERVATION	2022
138.462917	36.733183	Japan	JP	HUMAN_OBSERVATION	2022
138.462417	36.732925	Japan	JP	HUMAN_OBSERVATION	2022
138.461542	36.736168	Japan	JP	HUMAN_OBSERVATION	2021
137.177322	35.017399	Japan	JP	HUMAN_OBSERVATION	2021
137.177432	35.01747	Japan	JP	HUMAN_OBSERVATION	2021
137.177498	35.017456	Japan	JP	HUMAN_OBSERVATION	2021
137.17776	35.017369	Japan	JP	HUMAN_OBSERVATION	2021
139.051444	35.877115	Japan	JP	HUMAN_OBSERVATION	2021
139.517209	37.558584	Japan	JP	HUMAN_OBSERVATION	2021
139.205687	35.675361	Japan	JP	HUMAN_OBSERVATION	2021
139.03472	35.793163	Japan	JP	HUMAN_OBSERVATION	2021
138.821309	35.958893	Japan	JP	HUMAN_OBSERVATION	2021
139.249893	35.707687	Japan	JP	HUMAN_OBSERVATION	2021
139.057918	35.79315	Japan	JP	HUMAN_OBSERVATION	2021
139.055085	35.81744	Japan	JP	HUMAN_OBSERVATION	2021
139.05899	35.792711	Japan	JP	HUMAN_OBSERVATION	2021
139.490137	36.740686	Japan	JP	HUMAN_OBSERVATION	2021
138.956616	35.657383	Japan	JP	HUMAN_OBSERVATION	2021
138.463287	36.733128	Japan	JP	HUMAN_OBSERVATION	2020
138.462617	36.733167	Japan	JP	HUMAN_OBSERVATION	2020
138.46347	36.733055	Japan	JP	HUMAN_OBSERVATION	2020
138.463347	36.733038	Japan	JP	HUMAN_OBSERVATION	2020
138.463358	36.732922	Japan	JP	HUMAN_OBSERVATION	2020
138.461155	36.732952	Japan	JP	HUMAN_OBSERVATION	2020
138.46526	36.733182	Japan	JP	HUMAN_OBSERVATION	2020
139.064666	35.794178	Japan	JP	HUMAN_OBSERVATION	2020
135.588998	35.294391	Japan	JP	HUMAN_OBSERVATION	2020
138.544504	36.797385	Japan	JP	HUMAN_OBSERVATION	2020
138.873817	36.729955	Japan	JP	HUMAN_OBSERVATION	2020
138.814888	36.770219	Japan	JP	HUMAN_OBSERVATION	2020
137.228089	36.50737	Japan	JP	HUMAN_OBSERVATION	2020
137.637712	36.248705	Japan	JP	HUMAN_OBSERVATION	2020
136.083333	35.454444	Japan	JP	HUMAN_OBSERVATION	2020
137.44841	36.580571	Japan	JP	HUMAN_OBSERVATION	2020
139.051429	35.785462	Japan	JP	HUMAN_OBSERVATION	2020
