decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
108.280273	16.098892	Viet Nam	VN	HUMAN_OBSERVATION	2024
76.375348	27.392198	India	IN	HUMAN_OBSERVATION	2024
79.913848	23.135403	India	IN	HUMAN_OBSERVATION	2024
78.758181	16.376331	India	IN	HUMAN_OBSERVATION	2024
77.260148	28.492972	India	IN	HUMAN_OBSERVATION	2024
77.864646	22.275798	India	IN	HUMAN_OBSERVATION	2024
78.353349	30.126473	India	IN	HUMAN_OBSERVATION	2024
80.608297	27.399427	India	IN	HUMAN_OBSERVATION	2024
89.614678	22.297847	Bangladesh	BD	HUMAN_OBSERVATION	2024
77.716745	30.548649	India	IN	HUMAN_OBSERVATION	2024
81.382746	16.83598	India	IN	HUMAN_OBSERVATION	2024
75.850355	26.986875	India	IN	HUMAN_OBSERVATION	2024
82.917226	25.372033	India	IN	HUMAN_OBSERVATION	2024
80.994797	23.710448	India	IN	HUMAN_OBSERVATION	2024
108.277227	16.101668	Viet Nam	VN	HUMAN_OBSERVATION	2024
108.276983	16.101508	Viet Nam	VN	HUMAN_OBSERVATION	2024
108.277077	16.101479	Viet Nam	VN	HUMAN_OBSERVATION	2024
108.276938	16.101525	Viet Nam	VN	HUMAN_OBSERVATION	2024
108.276769	16.101126	Viet Nam	VN	HUMAN_OBSERVATION	2024
74.575117	26.483361	India	IN	HUMAN_OBSERVATION	2024
72.928639	19.166517	India	IN	HUMAN_OBSERVATION	2024
106.925397	22.496647	China	CN	HUMAN_OBSERVATION	2024
109.526046	18.258796	China	CN	HUMAN_OBSERVATION	2024
76.000228	27.416537	India	IN	HUMAN_OBSERVATION	2024
79.053393	29.502877	India	IN	HUMAN_OBSERVATION	2023
80.238052	30.079727	India	IN	HUMAN_OBSERVATION	2023
79.541713	29.265972	India	IN	HUMAN_OBSERVATION	2023
79.541735	29.265968	India	IN	HUMAN_OBSERVATION	2023
77.280002	28.482282	India	IN	HUMAN_OBSERVATION	2023
79.542563	29.265053	India	IN	HUMAN_OBSERVATION	2023
90.498728	26.439395	India	IN	HUMAN_OBSERVATION	2023
77.288764	28.443642	India	IN	HUMAN_OBSERVATION	2023
77.288804	28.443891	India	IN	HUMAN_OBSERVATION	2023
90.498605	26.439519	India	IN	HUMAN_OBSERVATION	2023
76.770548	30.763224	India	IN	HUMAN_OBSERVATION	2023
76.770464	30.763303	India	IN	HUMAN_OBSERVATION	2023
89.56768	22.297085	Bangladesh	BD	HUMAN_OBSERVATION	2023
79.541562	29.266237	India	IN	HUMAN_OBSERVATION	2023
82.131286	27.396514	India	IN	HUMAN_OBSERVATION	2023
