decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
118.421759	5.162412	Malaysia	MY	HUMAN_OBSERVATION	2024
117.948501	5.925474	Malaysia	MY	HUMAN_OBSERVATION	2024
100.462126	6.485809	Thailand	TH	HUMAN_OBSERVATION	2024
100.638107	4.922183	Malaysia	MY	HUMAN_OBSERVATION	2024
117.898779	5.808361	Malaysia	MY	HUMAN_OBSERVATION	2024
100.660848	4.869987	Malaysia	MY	HUMAN_OBSERVATION	2024
100.610946	4.961084	Malaysia	MY	HUMAN_OBSERVATION	2024
100.704412	4.973343	Malaysia	MY	HUMAN_OBSERVATION	2024
100.767062	4.838586	Malaysia	MY	HUMAN_OBSERVATION	2024
116.520563	5.508093	Malaysia	MY	HUMAN_OBSERVATION	2024
111.671787	2.34108	Malaysia	MY	HUMAN_OBSERVATION	2024
101.644414	3.653714	Malaysia	MY	HUMAN_OBSERVATION	2023
100.221001	6.795169	Thailand	TH	HUMAN_OBSERVATION	2023
117.94122	5.942974	Malaysia	MY	HUMAN_OBSERVATION	2023
99.676406	8.719878	Thailand	TH	HUMAN_OBSERVATION	2023
118.031033	5.44585	Malaysia	MY	HUMAN_OBSERVATION	2023
118.03127	5.457461	Malaysia	MY	HUMAN_OBSERVATION	2023
117.966166	5.835996	Malaysia	MY	HUMAN_OBSERVATION	2023
117.835912	5.919358	Malaysia	MY	HUMAN_OBSERVATION	2023
117.904315	5.885993	Malaysia	MY	HUMAN_OBSERVATION	2023
118.334178	5.434817	Malaysia	MY	HUMAN_OBSERVATION	2023
101.616289	3.757628	Malaysia	MY	HUMAN_OBSERVATION	2023
118.33836	5.59931	Malaysia	MY	HUMAN_OBSERVATION	2023
118.350247	5.492196	Malaysia	MY	HUMAN_OBSERVATION	2023
117.971321	5.870866	Malaysia	MY	HUMAN_OBSERVATION	2023
117.870248	5.917614	Malaysia	MY	HUMAN_OBSERVATION	2023
98.129691	3.580801	Indonesia	ID	HUMAN_OBSERVATION	2023
117.905156	5.951471	Malaysia	MY	HUMAN_OBSERVATION	2023
118.602779	5.309452	Malaysia	MY	HUMAN_OBSERVATION	2023
118.513578	5.033942	Malaysia	MY	HUMAN_OBSERVATION	2023
118.669332	5.347643	Malaysia	MY	HUMAN_OBSERVATION	2023
100.169179	7.190237	Thailand	TH	HUMAN_OBSERVATION	2023
101.962686	0.593155	Indonesia	ID	HUMAN_OBSERVATION	2023
117.875752	5.914236	Malaysia	MY	HUMAN_OBSERVATION	2023
101.905915	0.498157	Indonesia	ID	HUMAN_OBSERVATION	2023
117.869514	5.875548	Malaysia	MY	HUMAN_OBSERVATION	2023
101.904214	3.448325	Malaysia	MY	HUMAN_OBSERVATION	2023
117.902814	5.939509	Malaysia	MY	HUMAN_OBSERVATION	2023
118.382015	5.522976	Malaysia	MY	HUMAN_OBSERVATION	2023
118.256693	5.533402	Malaysia	MY	HUMAN_OBSERVATION	2023
118.086116	5.589937	Malaysia	MY	HUMAN_OBSERVATION	2023
117.917778	5.951964	Malaysia	MY	HUMAN_OBSERVATION	2023
101.659032	3.038213	Malaysia	MY	HUMAN_OBSERVATION	2023
117.819172	5.524947	Malaysia	MY	HUMAN_OBSERVATION	2023
117.969773	5.964859	Malaysia	MY	HUMAN_OBSERVATION	2023
117.935498	5.979198	Malaysia	MY	HUMAN_OBSERVATION	2023
101.930005	5.872841	Thailand	TH	HUMAN_OBSERVATION	2023
101.798172	5.860687	Thailand	TH	HUMAN_OBSERVATION	2023
103.988385	1.888453	Malaysia	MY	HUMAN_OBSERVATION	2023
117.86326	5.865443	Malaysia	MY	HUMAN_OBSERVATION	2023
117.917134	5.874614	Malaysia	MY	HUMAN_OBSERVATION	2023
117.94814	5.861838	Malaysia	MY	HUMAN_OBSERVATION	2023
117.823733	5.861621	Malaysia	MY	HUMAN_OBSERVATION	2023
117.805587	5.860707	Malaysia	MY	HUMAN_OBSERVATION	2023
116.449131	5.400909	Malaysia	MY	HUMAN_OBSERVATION	2023
98.546374	3.271843	Indonesia	ID	HUMAN_OBSERVATION	2023
97.877289	3.640544	Indonesia	ID	HUMAN_OBSERVATION	2023
97.911631	3.572384	Indonesia	ID	HUMAN_OBSERVATION	2023
102.155653	2.467722	Malaysia	MY	HUMAN_OBSERVATION	2023
118.209677	5.577935	Malaysia	MY	HUMAN_OBSERVATION	2023
116.549728	5.590449	Malaysia	MY	HUMAN_OBSERVATION	2023
118.312078	5.541303	Malaysia	MY	HUMAN_OBSERVATION	2023
118.2623	5.470386	Malaysia	MY	HUMAN_OBSERVATION	2023
118.262424	5.590384	Malaysia	MY	HUMAN_OBSERVATION	2023
98.117065	3.522247	Indonesia	ID	HUMAN_OBSERVATION	2023
118.332633	5.424744	Malaysia	MY	HUMAN_OBSERVATION	2023
117.866934	5.805651	Malaysia	MY	HUMAN_OBSERVATION	2023
117.81388	5.915864	Malaysia	MY	HUMAN_OBSERVATION	2023
118.384146	5.5332	Malaysia	MY	HUMAN_OBSERVATION	2023
118.559279	5.044275	Malaysia	MY	HUMAN_OBSERVATION	2023
117.921218	5.851957	Malaysia	MY	HUMAN_OBSERVATION	2023
117.863114	5.936178	Malaysia	MY	HUMAN_OBSERVATION	2023
118.247783	5.462923	Malaysia	MY	HUMAN_OBSERVATION	2023
118.298932	5.53637	Malaysia	MY	HUMAN_OBSERVATION	2023
118.726179	5.226035	Malaysia	MY	HUMAN_OBSERVATION	2023
117.819295	5.811986	Malaysia	MY	HUMAN_OBSERVATION	2023
117.244825	5.67115	Malaysia	MY	HUMAN_OBSERVATION	2023
98.065298	3.540619	Indonesia	ID	HUMAN_OBSERVATION	2023
103.824292	1.970086	Malaysia	MY	HUMAN_OBSERVATION	2023
103.808788	1.986197	Malaysia	MY	HUMAN_OBSERVATION	2023
118.296485	5.554295	Malaysia	MY	HUMAN_OBSERVATION	2023
117.840177	5.885716	Malaysia	MY	HUMAN_OBSERVATION	2023
118.356528	5.575636	Malaysia	MY	HUMAN_OBSERVATION	2023
117.909529	5.883524	Malaysia	MY	HUMAN_OBSERVATION	2023
117.84763	4.833288	Malaysia	MY	HUMAN_OBSERVATION	2023
118.526322	5.195451	Malaysia	MY	HUMAN_OBSERVATION	2023
118.404814	5.061603	Malaysia	MY	HUMAN_OBSERVATION	2023
118.592417	5.026307	Malaysia	MY	HUMAN_OBSERVATION	2023
117.947436	5.820473	Malaysia	MY	HUMAN_OBSERVATION	2023
113.951216	-0.622495	Indonesia	ID	HUMAN_OBSERVATION	2023
101.680247	3.623825	Malaysia	MY	HUMAN_OBSERVATION	2023
111.971888	2.308141	Malaysia	MY	HUMAN_OBSERVATION	2023
118.270073	5.561721	Malaysia	MY	HUMAN_OBSERVATION	2023
118.322925	5.445866	Malaysia	MY	HUMAN_OBSERVATION	2023
101.780572	3.604858	Malaysia	MY	HUMAN_OBSERVATION	2023
117.857029	5.816602	Malaysia	MY	HUMAN_OBSERVATION	2023
98.170271	3.463977	Indonesia	ID	HUMAN_OBSERVATION	2023
101.958666	3.570329	Malaysia	MY	HUMAN_OBSERVATION	2023
118.316477	5.592386	Malaysia	MY	HUMAN_OBSERVATION	2023
101.862563	0.524758	Indonesia	ID	HUMAN_OBSERVATION	2023
97.486117	3.509662	Indonesia	ID	HUMAN_OBSERVATION	2023
118.250734	5.434612	Malaysia	MY	HUMAN_OBSERVATION	2023
100.704239	4.950828	Malaysia	MY	HUMAN_OBSERVATION	2023
118.204482	5.447806	Malaysia	MY	HUMAN_OBSERVATION	2023
118.303506	5.40483	Malaysia	MY	HUMAN_OBSERVATION	2023
118.265948	5.551838	Malaysia	MY	HUMAN_OBSERVATION	2023
101.778476	3.738721	Malaysia	MY	HUMAN_OBSERVATION	2023
101.753296	3.672286	Malaysia	MY	HUMAN_OBSERVATION	2023
112.164798	2.391171	Malaysia	MY	HUMAN_OBSERVATION	2023
118.111141	5.541891	Malaysia	MY	HUMAN_OBSERVATION	2023
117.941825	5.872758	Malaysia	MY	HUMAN_OBSERVATION	2023
98.07261	3.53109	Indonesia	ID	HUMAN_OBSERVATION	2023
101.97002	3.486157	Malaysia	MY	HUMAN_OBSERVATION	2023
116.719059	5.427841	Malaysia	MY	HUMAN_OBSERVATION	2023
116.670978	5.522178	Malaysia	MY	HUMAN_OBSERVATION	2023
116.746816	5.543484	Malaysia	MY	HUMAN_OBSERVATION	2023
111.964232	2.301481	Malaysia	MY	HUMAN_OBSERVATION	2023
103.49727	1.680003	Malaysia	MY	HUMAN_OBSERVATION	2023
118.061617	5.87379	Malaysia	MY	HUMAN_OBSERVATION	2023
101.862336	5.97226	Thailand	TH	HUMAN_OBSERVATION	2023
117.989994	5.866536	Malaysia	MY	HUMAN_OBSERVATION	2023
118.383975	5.567449	Malaysia	MY	HUMAN_OBSERVATION	2023
117.805767	5.865309	Malaysia	MY	HUMAN_OBSERVATION	2023
98.000612	3.590583	Indonesia	ID	HUMAN_OBSERVATION	2023
117.805316	5.835641	Malaysia	MY	HUMAN_OBSERVATION	2023
118.243608	5.478362	Malaysia	MY	HUMAN_OBSERVATION	2023
118.293997	5.42515	Malaysia	MY	HUMAN_OBSERVATION	2023
118.455062	5.363153	Malaysia	MY	HUMAN_OBSERVATION	2023
117.913287	5.870784	Malaysia	MY	HUMAN_OBSERVATION	2023
97.453426	3.519387	Indonesia	ID	HUMAN_OBSERVATION	2023
101.852337	3.469377	Malaysia	MY	HUMAN_OBSERVATION	2023
