decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
125.052669	1.468093	Indonesia	ID	HUMAN_OBSERVATION	2024
125.005155	1.529424	Indonesia	ID	HUMAN_OBSERVATION	2024
125.045161	1.552742	Indonesia	ID	HUMAN_OBSERVATION	2024
125.125416	1.523394	Indonesia	ID	HUMAN_OBSERVATION	2023
125.058864	1.540292	Indonesia	ID	HUMAN_OBSERVATION	2023
125.060349	1.540221	Indonesia	ID	HUMAN_OBSERVATION	2023
125.14833	1.465048	Indonesia	ID	HUMAN_OBSERVATION	2023
125.099647	1.462565	Indonesia	ID	HUMAN_OBSERVATION	2023
125.044529	1.481842	Indonesia	ID	HUMAN_OBSERVATION	2023
125.063308	1.480081	Indonesia	ID	HUMAN_OBSERVATION	2023
125.104288	1.479865	Indonesia	ID	HUMAN_OBSERVATION	2023
125.190173	1.517101	Indonesia	ID	HUMAN_OBSERVATION	2023
125.137271	1.466339	Indonesia	ID	HUMAN_OBSERVATION	2023
125.198923	1.497491	Indonesia	ID	HUMAN_OBSERVATION	2023
125.124375	1.48235	Indonesia	ID	HUMAN_OBSERVATION	2023
125.022349	1.558879	Indonesia	ID	HUMAN_OBSERVATION	2023
125.133748	1.523635	Indonesia	ID	HUMAN_OBSERVATION	2023
125.033051	1.576318	Indonesia	ID	HUMAN_OBSERVATION	2023
125.197784	1.497183	Indonesia	ID	HUMAN_OBSERVATION	2023
125.050969	1.442719	Indonesia	ID	HUMAN_OBSERVATION	2023
125.189009	1.497997	Indonesia	ID	HUMAN_OBSERVATION	2023
125.030479	1.580372	Indonesia	ID	HUMAN_OBSERVATION	2023
125.003131	1.510498	Indonesia	ID	HUMAN_OBSERVATION	2023
125.151282	1.543988	Indonesia	ID	HUMAN_OBSERVATION	2023
125.033849	1.590718	Indonesia	ID	HUMAN_OBSERVATION	2023
125.045748	1.494668	Indonesia	ID	HUMAN_OBSERVATION	2023
125.094945	1.458974	Indonesia	ID	HUMAN_OBSERVATION	2023
125.006864	1.461988	Indonesia	ID	HUMAN_OBSERVATION	2023
125.0593	1.533365	Indonesia	ID	HUMAN_OBSERVATION	2023
125.02631	1.510892	Indonesia	ID	HUMAN_OBSERVATION	2023
125.131798	1.579191	Indonesia	ID	HUMAN_OBSERVATION	2023
125.126025	1.566556	Indonesia	ID	HUMAN_OBSERVATION	2023
125.095933	1.573609	Indonesia	ID	HUMAN_OBSERVATION	2023
125.04986	1.471827	Indonesia	ID	HUMAN_OBSERVATION	2023
125.122272	1.441263	Indonesia	ID	HUMAN_OBSERVATION	2023
125.147851	1.466254	Indonesia	ID	HUMAN_OBSERVATION	2023
125.115471	1.404101	Indonesia	ID	HUMAN_OBSERVATION	2023
125.171732	1.47517	Indonesia	ID	HUMAN_OBSERVATION	2023
125.076987	1.522564	Indonesia	ID	HUMAN_OBSERVATION	2023
125.078781	1.562408	Indonesia	ID	HUMAN_OBSERVATION	2022
125.057821	1.502747	Indonesia	ID	HUMAN_OBSERVATION	2022
125.11364	1.411091	Indonesia	ID	HUMAN_OBSERVATION	2022
125.088669	1.569435	Indonesia	ID	HUMAN_OBSERVATION	2022
125.002827	1.405688	Indonesia	ID	HUMAN_OBSERVATION	2022
125.132085	1.524964	Indonesia	ID	HUMAN_OBSERVATION	2022
125.032508	1.533761	Indonesia	ID	HUMAN_OBSERVATION	2022
125.111459	1.442701	Indonesia	ID	HUMAN_OBSERVATION	2022
125.010554	1.574123	Indonesia	ID	HUMAN_OBSERVATION	2022
125.020311	1.48377	Indonesia	ID	HUMAN_OBSERVATION	2022
125.146032	1.462406	Indonesia	ID	HUMAN_OBSERVATION	2022
125.112715	1.504334	Indonesia	ID	HUMAN_OBSERVATION	2020
125.188671	1.474841	Indonesia	ID	HUMAN_OBSERVATION	2020
125.11592	1.566192	Indonesia	ID	HUMAN_OBSERVATION	2020
125.058523	1.597982	Indonesia	ID	HUMAN_OBSERVATION	2020
125.037841	1.543013	Indonesia	ID	HUMAN_OBSERVATION	2020
125.116591	1.576808	Indonesia	ID	HUMAN_OBSERVATION	2019
125.074365	1.438235	Indonesia	ID	HUMAN_OBSERVATION	2019
125.000649	1.579181	Indonesia	ID	HUMAN_OBSERVATION	2019
125.049329	1.459866	Indonesia	ID	HUMAN_OBSERVATION	2019
125.148873	1.571594	Indonesia	ID	HUMAN_OBSERVATION	2019
125.122459	1.522147	Indonesia	ID	HUMAN_OBSERVATION	2019
125.09105	1.547113	Indonesia	ID	HUMAN_OBSERVATION	2018
125.091571	1.484245	Indonesia	ID	HUMAN_OBSERVATION	2018
125.129765	1.582582	Indonesia	ID	HUMAN_OBSERVATION	2018
125.11171	1.572941	Indonesia	ID	HUMAN_OBSERVATION	2018
125.112255	1.483109	Indonesia	ID	HUMAN_OBSERVATION	2018
125.162201	1.5626	Indonesia	ID	HUMAN_OBSERVATION	2018
125.059604	1.5208	Indonesia	ID	HUMAN_OBSERVATION	2018
125.102039	1.560734	Indonesia	ID	HUMAN_OBSERVATION	2018
125.032663	1.438255	Indonesia	ID	HUMAN_OBSERVATION	2018
125.10192	1.508923	Indonesia	ID	HUMAN_OBSERVATION	2018
125.128421	1.465556	Indonesia	ID	HUMAN_OBSERVATION	2017
125.11946	1.566901	Indonesia	ID	HUMAN_OBSERVATION	2017
125.07042	1.478642	Indonesia	ID	HUMAN_OBSERVATION	2017
125.18277	1.496696	Indonesia	ID	HUMAN_OBSERVATION	2017
125.00265	1.514766	Indonesia	ID	HUMAN_OBSERVATION	2017
125.176183	1.528614	Indonesia	ID	HUMAN_OBSERVATION	2017
125.064325	1.573676	Indonesia	ID	HUMAN_OBSERVATION	2017
125.189321	1.466917	Indonesia	ID	HUMAN_OBSERVATION	2017
125.082153	1.47168	Indonesia	ID	HUMAN_OBSERVATION	2016
125.121776	1.557128	Indonesia	ID	HUMAN_OBSERVATION	2016
125.043585	1.519078	Indonesia	ID	HUMAN_OBSERVATION	2016
125.011919	1.449737	Indonesia	ID	HUMAN_OBSERVATION	2016
125.062053	1.46562	Indonesia	ID	HUMAN_OBSERVATION	2016
125.103608	1.410469	Indonesia	ID	HUMAN_OBSERVATION	2016
125.099311	1.556496	Indonesia	ID	HUMAN_OBSERVATION	2016
125.029403	1.500338	Indonesia	ID	HUMAN_OBSERVATION	2016
125.013671	1.571594	Indonesia	ID	HUMAN_OBSERVATION	2016
125.173061	1.495556	Indonesia	ID	HUMAN_OBSERVATION	2015
125.025191	1.559076	Indonesia	ID	HUMAN_OBSERVATION	2015
125.042734	1.564529	Indonesia	ID	HUMAN_OBSERVATION	2015
125.186957	1.478344	Indonesia	ID	HUMAN_OBSERVATION	2015
125.154984	1.493333	Indonesia	ID	HUMAN_OBSERVATION	2015
125.013534	1.411243	Indonesia	ID	HUMAN_OBSERVATION	2015
125.176335	1.46616	Indonesia	ID	HUMAN_OBSERVATION	2015
125.022069	1.470804	Indonesia	ID	HUMAN_OBSERVATION	2015
125.041485	1.586564	Indonesia	ID	HUMAN_OBSERVATION	2014
125.113541	1.542349	Indonesia	ID	HUMAN_OBSERVATION	2014
125.129906	1.542043	Indonesia	ID	HUMAN_OBSERVATION	2014
125.094826	1.43568	Indonesia	ID	HUMAN_OBSERVATION	2014
125.148908	1.582759	Indonesia	ID	HUMAN_OBSERVATION	2014
125.113752	1.469364	Indonesia	ID	HUMAN_OBSERVATION	2014
124.93931	1.600905	Indonesia	ID	HUMAN_OBSERVATION	2013
125.041969	1.478234	Indonesia	ID	HUMAN_OBSERVATION	2013
125.115696	1.495141	Indonesia	ID	HUMAN_OBSERVATION	2013
125.044401	1.598758	Indonesia	ID	HUMAN_OBSERVATION	2012
125.148005	1.505412	Indonesia	ID	HUMAN_OBSERVATION	2012
