decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
77.911739	12.677323	India	IN	HUMAN_OBSERVATION	2024
77.910366	12.677323	India	IN	HUMAN_OBSERVATION	2024
76.269564	11.937989	India	IN	HUMAN_OBSERVATION	2024
77.132217	8.708363	India	IN	HUMAN_OBSERVATION	2024
76.700461	10.10398	India	IN	HUMAN_OBSERVATION	2024
77.683455	13.370154	India	IN	HUMAN_OBSERVATION	2024
75.282212	12.572586	India	IN	HUMAN_OBSERVATION	2024
76.181301	12.021059	India	IN	HUMAN_OBSERVATION	2024
76.719065	11.408858	India	IN	HUMAN_OBSERVATION	2024
77.049681	10.141167	India	IN	HUMAN_OBSERVATION	2024
76.569764	10.285107	India	IN	HUMAN_OBSERVATION	2024
77.167132	9.601607	India	IN	HUMAN_OBSERVATION	2024
77.111391	9.527539	India	IN	HUMAN_OBSERVATION	2024
77.172805	9.604767	India	IN	HUMAN_OBSERVATION	2024
76.086364	11.641005	India	IN	HUMAN_OBSERVATION	2023
76.66114	10.138373	India	IN	HUMAN_OBSERVATION	2023
77.924778	12.680428	India	IN	HUMAN_OBSERVATION	2023
76.813679	10.443783	India	IN	HUMAN_OBSERVATION	2023
76.15314	12.048533	India	IN	HUMAN_OBSERVATION	2023
75.738814	15.903051	India	IN	HUMAN_OBSERVATION	2023
76.570252	10.286301	India	IN	HUMAN_OBSERVATION	2023
76.567088	10.28825	India	IN	HUMAN_OBSERVATION	2023
77.547598	10.386224	India	IN	HUMAN_OBSERVATION	2023
78.578	10.882258	India	IN	HUMAN_OBSERVATION	2023
78.580067	10.888234	India	IN	HUMAN_OBSERVATION	2023
77.029327	10.037427	India	IN	HUMAN_OBSERVATION	2023
76.105725	11.551695	India	IN	HUMAN_OBSERVATION	2023
76.08348	11.55509	India	IN	HUMAN_OBSERVATION	2023
77.720619	13.227977	India	IN	HUMAN_OBSERVATION	2023
76.464681	11.778761	India	IN	HUMAN_OBSERVATION	2023
78.853916	12.530459	India	IN	HUMAN_OBSERVATION	2023
76.45876	15.335087	India	IN	HUMAN_OBSERVATION	2023
76.469063	15.335638	India	IN	HUMAN_OBSERVATION	2023
77.065081	8.963245	India	IN	HUMAN_OBSERVATION	2023
76.894758	11.396125	India	IN	HUMAN_OBSERVATION	2023
76.302739	11.361516	India	IN	HUMAN_OBSERVATION	2023
76.621394	10.534766	India	IN	HUMAN_OBSERVATION	2023
77.577016	13.112371	India	IN	HUMAN_OBSERVATION	2023
76.801126	11.348941	India	IN	HUMAN_OBSERVATION	2023
76.831928	11.351687	India	IN	HUMAN_OBSERVATION	2023
77.22051	10.353229	India	IN	HUMAN_OBSERVATION	2023
75.567075	13.533022	India	IN	HUMAN_OBSERVATION	2023
77.15196	10.266118	India	IN	HUMAN_OBSERVATION	2023
76.871475	11.337397	India	IN	HUMAN_OBSERVATION	2023
77.154601	9.593865	India	IN	HUMAN_OBSERVATION	2023
76.460205	15.335692	India	IN	HUMAN_OBSERVATION	2023
76.838036	10.187233	India	IN	HUMAN_OBSERVATION	2023
77.305046	8.737036	India	IN	HUMAN_OBSERVATION	2023
76.450104	10.299441	India	IN	HUMAN_OBSERVATION	2023
76.461379	10.295583	India	IN	HUMAN_OBSERVATION	2023
77.497795	8.727103	India	IN	HUMAN_OBSERVATION	2023
77.201218	10.311526	India	IN	HUMAN_OBSERVATION	2023
77.374639	12.282378	India	IN	HUMAN_OBSERVATION	2023
77.481285	12.902272	India	IN	HUMAN_OBSERVATION	2023
76.754822	11.213815	India	IN	HUMAN_OBSERVATION	2023
77.497323	8.728168	India	IN	HUMAN_OBSERVATION	2023
76.866331	11.414299	India	IN	HUMAN_OBSERVATION	2023
76.896523	11.472337	India	IN	HUMAN_OBSERVATION	2023
75.84754	12.256756	India	IN	HUMAN_OBSERVATION	2023
76.100231	12.020088	India	IN	HUMAN_OBSERVATION	2023
77.897942	11.372972	India	IN	HUMAN_OBSERVATION	2023
76.600558	10.593448	India	IN	HUMAN_OBSERVATION	2023
77.767363	12.675878	India	IN	HUMAN_OBSERVATION	2023
77.638769	12.508209	India	IN	HUMAN_OBSERVATION	2023
77.633364	12.514652	India	IN	HUMAN_OBSERVATION	2023
77.638043	12.49672	India	IN	HUMAN_OBSERVATION	2023
77.277938	8.93411	India	IN	HUMAN_OBSERVATION	2023
76.687063	10.129813	India	IN	HUMAN_OBSERVATION	2023
75.134713	13.567293	India	IN	HUMAN_OBSERVATION	2023
75.364126	12.416176	India	IN	HUMAN_OBSERVATION	2023
75.134881	13.567517	India	IN	HUMAN_OBSERVATION	2023
75.134803	13.567395	India	IN	HUMAN_OBSERVATION	2023
77.819574	12.295692	India	IN	HUMAN_OBSERVATION	2023
77.161122	10.456694	India	IN	HUMAN_OBSERVATION	2023
77.206024	10.306797	India	IN	HUMAN_OBSERVATION	2023
77.395959	10.184144	India	IN	HUMAN_OBSERVATION	2023
78.45388	13.636332	India	IN	HUMAN_OBSERVATION	2023
76.368656	11.671601	India	IN	HUMAN_OBSERVATION	2023
76.657818	11.648299	India	IN	HUMAN_OBSERVATION	2023
77.560608	12.79755	India	IN	HUMAN_OBSERVATION	2023
77.491793	10.235769	India	IN	HUMAN_OBSERVATION	2023
77.913192	12.677877	India	IN	HUMAN_OBSERVATION	2023
77.913277	12.677898	India	IN	HUMAN_OBSERVATION	2023
77.91263	12.677502	India	IN	HUMAN_OBSERVATION	2023
76.170551	11.530678	India	IN	HUMAN_OBSERVATION	2023
76.735944	10.981669	India	IN	HUMAN_OBSERVATION	2023
76.921549	9.244628	India	IN	HUMAN_OBSERVATION	2023
77.618256	12.774112	India	IN	HUMAN_OBSERVATION	2023
77.091241	8.967355	India	IN	HUMAN_OBSERVATION	2023
77.145149	8.966557	India	IN	HUMAN_OBSERVATION	2023
76.277764	11.998682	India	IN	HUMAN_OBSERVATION	2023
77.665329	12.685622	India	IN	HUMAN_OBSERVATION	2023
78.756867	16.375653	India	IN	HUMAN_OBSERVATION	2023
76.57	10.285277	India	IN	HUMAN_OBSERVATION	2023
77.9132	12.6779	India	IN	HUMAN_OBSERVATION	2023
76.641212	11.703512	India	IN	HUMAN_OBSERVATION	2023
77.171322	9.598842	India	IN	HUMAN_OBSERVATION	2023
76.161022	11.563338	India	IN	HUMAN_OBSERVATION	2023
75.088489	13.517452	India	IN	HUMAN_OBSERVATION	2023
76.566162	11.068124	India	IN	HUMAN_OBSERVATION	2023
76.708368	11.301339	India	IN	HUMAN_OBSERVATION	2023
77.22062	10.353212	India	IN	HUMAN_OBSERVATION	2023
76.642038	11.703302	India	IN	HUMAN_OBSERVATION	2023
76.441062	10.290082	India	IN	HUMAN_OBSERVATION	2023
76.441067	10.290072	India	IN	HUMAN_OBSERVATION	2023
77.915302	12.678575	India	IN	HUMAN_OBSERVATION	2023
77.916618	12.67961	India	IN	HUMAN_OBSERVATION	2023
75.50338	13.119164	India	IN	HUMAN_OBSERVATION	2023
78.052575	11.664175	India	IN	HUMAN_OBSERVATION	2023
74.83471	14.615511	India	IN	HUMAN_OBSERVATION	2023
77.139222	11.55267	India	IN	HUMAN_OBSERVATION	2023
78.288078	9.79428	India	IN	HUMAN_OBSERVATION	2023
76.570378	10.287046	India	IN	HUMAN_OBSERVATION	2023
76.567653	10.290152	India	IN	HUMAN_OBSERVATION	2023
76.591728	10.302761	India	IN	HUMAN_OBSERVATION	2023
77.929282	12.477418	India	IN	HUMAN_OBSERVATION	2023
77.497351	12.903675	India	IN	HUMAN_OBSERVATION	2023
77.497763	12.90376	India	IN	HUMAN_OBSERVATION	2023
77.191523	13.368038	India	IN	HUMAN_OBSERVATION	2023
77.577526	12.801004	India	IN	HUMAN_OBSERVATION	2023
76.002465	10.593078	India	IN	HUMAN_OBSERVATION	2023
76.874633	10.354802	India	IN	HUMAN_OBSERVATION	2023
77.028625	10.039239	India	IN	HUMAN_OBSERVATION	2023
76.573203	10.605503	India	IN	HUMAN_OBSERVATION	2023
77.682487	13.369375	India	IN	HUMAN_OBSERVATION	2023
76.498674	10.289012	India	IN	HUMAN_OBSERVATION	2023
77.587447	12.84512	India	IN	HUMAN_OBSERVATION	2023
76.689024	10.939094	India	IN	HUMAN_OBSERVATION	2023
77.587295	12.844963	India	IN	HUMAN_OBSERVATION	2023
75.717508	15.224899	India	IN	HUMAN_OBSERVATION	2023
76.580995	11.303006	India	IN	HUMAN_OBSERVATION	2023
77.486338	10.263733	India	IN	HUMAN_OBSERVATION	2023
76.656349	12.42436	India	IN	HUMAN_OBSERVATION	2023
76.603553	11.467978	India	IN	HUMAN_OBSERVATION	2023
76.570453	10.286589	India	IN	HUMAN_OBSERVATION	2023
78.419316	13.650025	India	IN	HUMAN_OBSERVATION	2023
78.394576	13.651505	India	IN	HUMAN_OBSERVATION	2023
77.153197	8.55875	India	IN	HUMAN_OBSERVATION	2023
76.757083	12.176675	India	IN	HUMAN_OBSERVATION	2023
