decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
76.991813	10.349153	India	IN	HUMAN_OBSERVATION	2023
76.766923	10.402903	India	IN	HUMAN_OBSERVATION	2023
76.886284	10.356106	India	IN	HUMAN_OBSERVATION	2023
76.820558	10.344097	India	IN	HUMAN_OBSERVATION	2023
76.88335	10.39924	India	IN	HUMAN_OBSERVATION	2023
76.92856	10.348773	India	IN	HUMAN_OBSERVATION	2023
76.971501	10.336248	India	IN	HUMAN_OBSERVATION	2023
76.841655	10.353658	India	IN	HUMAN_OBSERVATION	2023
76.830922	10.311919	India	IN	HUMAN_OBSERVATION	2023
76.893294	10.378592	India	IN	HUMAN_OBSERVATION	2022
76.951012	10.342572	India	IN	HUMAN_OBSERVATION	2022
76.993005	10.357412	India	IN	HUMAN_OBSERVATION	2022
76.840326	10.327089	India	IN	HUMAN_OBSERVATION	2022
76.992377	10.286805	India	IN	HUMAN_OBSERVATION	2022
76.822326	10.336381	India	IN	HUMAN_OBSERVATION	2022
76.991375	10.300917	India	IN	HUMAN_OBSERVATION	2022
76.826073	10.302303	India	IN	HUMAN_OBSERVATION	2022
76.820631	10.293023	India	IN	HUMAN_OBSERVATION	2022
76.947948	10.342415	India	IN	HUMAN_OBSERVATION	2022
76.841801	10.296803	India	IN	HUMAN_OBSERVATION	2021
76.829358	10.373668	India	IN	HUMAN_OBSERVATION	2021
76.889827	10.39119	India	IN	HUMAN_OBSERVATION	2021
76.859155	10.360732	India	IN	HUMAN_OBSERVATION	2021
76.982134	10.291989	India	IN	HUMAN_OBSERVATION	2021
76.839914	10.299395	India	IN	HUMAN_OBSERVATION	2021
76.91075	10.333239	India	IN	HUMAN_OBSERVATION	2021
76.947986	10.276019	India	IN	HUMAN_OBSERVATION	2020
76.877639	10.358298	India	IN	HUMAN_OBSERVATION	2019
76.976923	10.330249	India	IN	HUMAN_OBSERVATION	2019
76.836768	10.313099	India	IN	HUMAN_OBSERVATION	2019
76.911816	10.340776	India	IN	HUMAN_OBSERVATION	2019
76.839835	10.280626	India	IN	HUMAN_OBSERVATION	2018
76.810976	10.374627	India	IN	HUMAN_OBSERVATION	2018
76.959948	10.330195	India	IN	HUMAN_OBSERVATION	2018
76.970846	10.344792	India	IN	HUMAN_OBSERVATION	2018
76.95643	10.328394	India	IN	HUMAN_OBSERVATION	2018
76.965573	10.340272	India	IN	HUMAN_OBSERVATION	2018
76.96674	10.340504	India	IN	HUMAN_OBSERVATION	2018
76.935856	10.350124	India	IN	HUMAN_OBSERVATION	2018
76.936044	10.350523	India	IN	HUMAN_OBSERVATION	2018
76.969254	10.342675	India	IN	HUMAN_OBSERVATION	2018
76.972021	10.351352	India	IN	HUMAN_OBSERVATION	2018
76.972847	10.347276	India	IN	HUMAN_OBSERVATION	2018
76.993003	10.368235	India	IN	HUMAN_OBSERVATION	2018
76.963381	10.336051	India	IN	HUMAN_OBSERVATION	2018
76.968155	10.340738	India	IN	HUMAN_OBSERVATION	2018
76.957617	10.330656	India	IN	HUMAN_OBSERVATION	2018
76.972854	10.349713	India	IN	HUMAN_OBSERVATION	2018
76.959419	10.332321	India	IN	HUMAN_OBSERVATION	2018
76.866037	10.280213	India	IN	HUMAN_OBSERVATION	2018
76.853026	10.367366	India	IN	HUMAN_OBSERVATION	2018
76.827066	10.395577	India	IN	HUMAN_OBSERVATION	2018
76.965285	10.338832	India	IN	HUMAN_OBSERVATION	2018
76.964651	10.340587	India	IN	HUMAN_OBSERVATION	2018
76.971858	10.353411	India	IN	HUMAN_OBSERVATION	2018
76.972585	10.351262	India	IN	HUMAN_OBSERVATION	2018
76.963147	10.33593	India	IN	HUMAN_OBSERVATION	2018
76.964455	10.33842	India	IN	HUMAN_OBSERVATION	2018
76.934814	10.381044	India	IN	HUMAN_OBSERVATION	2018
76.833067	10.309208	India	IN	HUMAN_OBSERVATION	2018
76.968999	10.337015	India	IN	HUMAN_OBSERVATION	2018
76.966229	10.343814	India	IN	HUMAN_OBSERVATION	2018
76.969908	10.344886	India	IN	HUMAN_OBSERVATION	2018
76.977027	10.364322	India	IN	HUMAN_OBSERVATION	2018
76.993791	10.393769	India	IN	HUMAN_OBSERVATION	2018
76.959977	10.330207	India	IN	HUMAN_OBSERVATION	2018
76.961878	10.334163	India	IN	HUMAN_OBSERVATION	2018
76.972723	10.353487	India	IN	HUMAN_OBSERVATION	2018
76.972603	10.359606	India	IN	HUMAN_OBSERVATION	2018
76.961867	10.334302	India	IN	HUMAN_OBSERVATION	2018
76.959979	10.330175	India	IN	HUMAN_OBSERVATION	2018
76.982336	10.404341	India	IN	HUMAN_OBSERVATION	2018
76.969018	10.341094	India	IN	HUMAN_OBSERVATION	2018
76.958691	10.330452	India	IN	HUMAN_OBSERVATION	2018
76.952582	10.352292	India	IN	HUMAN_OBSERVATION	2018
76.966131	10.339227	India	IN	HUMAN_OBSERVATION	2018
76.958087	10.331281	India	IN	HUMAN_OBSERVATION	2018
76.972805	10.346897	India	IN	HUMAN_OBSERVATION	2018
76.969721	10.344685	India	IN	HUMAN_OBSERVATION	2018
76.969415	10.344399	India	IN	HUMAN_OBSERVATION	2018
76.979645	10.36151	India	IN	HUMAN_OBSERVATION	2018
76.959133	10.332227	India	IN	HUMAN_OBSERVATION	2018
76.972515	10.353705	India	IN	HUMAN_OBSERVATION	2018
76.969426	10.343651	India	IN	HUMAN_OBSERVATION	2018
76.985542	10.345942	India	IN	HUMAN_OBSERVATION	2018
76.9597	10.329642	India	IN	HUMAN_OBSERVATION	2018
76.968641	10.341015	India	IN	HUMAN_OBSERVATION	2018
76.96277	10.33725	India	IN	HUMAN_OBSERVATION	2018
76.960054	10.332941	India	IN	HUMAN_OBSERVATION	2018
76.961329	10.33376	India	IN	HUMAN_OBSERVATION	2018
76.959931	10.330143	India	IN	HUMAN_OBSERVATION	2018
76.99348	10.393546	India	IN	HUMAN_OBSERVATION	2017
76.994351	10.392366	India	IN	HUMAN_OBSERVATION	2017
76.965869	10.338759	India	IN	HUMAN_OBSERVATION	2017
76.895123	10.356961	India	IN	HUMAN_OBSERVATION	2017
76.994084	10.369574	India	IN	HUMAN_OBSERVATION	2017
76.992251	10.374995	India	IN	HUMAN_OBSERVATION	2017
76.927971	10.324369	India	IN	HUMAN_OBSERVATION	2017
76.96856	10.341027	India	IN	HUMAN_OBSERVATION	2017
76.989633	10.392064	India	IN	HUMAN_OBSERVATION	2017
76.916026	10.316641	India	IN	HUMAN_OBSERVATION	2017
76.973275	10.346383	India	IN	HUMAN_OBSERVATION	2017
76.96541	10.339	India	IN	HUMAN_OBSERVATION	2017
76.991977	10.39454	India	IN	HUMAN_OBSERVATION	2017
76.968273	10.340745	India	IN	HUMAN_OBSERVATION	2017
77.030263	10.424114	India	IN	HUMAN_OBSERVATION	2017
76.901281	10.347654	India	IN	HUMAN_OBSERVATION	2017
76.972941	10.345118	India	IN	HUMAN_OBSERVATION	2017
76.973428	10.344444	India	IN	HUMAN_OBSERVATION	2017
76.888655	10.358258	India	IN	HUMAN_OBSERVATION	2017
76.969083	10.343134	India	IN	HUMAN_OBSERVATION	2017
76.993548	10.374064	India	IN	HUMAN_OBSERVATION	2017
76.972052	10.353448	India	IN	HUMAN_OBSERVATION	2017
76.972139	10.352863	India	IN	HUMAN_OBSERVATION	2017
76.936508	10.359418	India	IN	HUMAN_OBSERVATION	2017
76.99155	10.394553	India	IN	HUMAN_OBSERVATION	2017
76.994345	10.369092	India	IN	HUMAN_OBSERVATION	2017
76.97117	10.351831	India	IN	HUMAN_OBSERVATION	2017
76.936476	10.359435	India	IN	HUMAN_OBSERVATION	2017
76.972609	10.347964	India	IN	HUMAN_OBSERVATION	2017
76.959964	10.330255	India	IN	HUMAN_OBSERVATION	2017
76.982689	10.294374	India	IN	HUMAN_OBSERVATION	2017
76.992119	10.38123	India	IN	HUMAN_OBSERVATION	2017
76.993635	10.374133	India	IN	HUMAN_OBSERVATION	2017
76.970047	10.345049	India	IN	HUMAN_OBSERVATION	2017
76.959648	10.32996	India	IN	HUMAN_OBSERVATION	2017
76.959969	10.33026	India	IN	HUMAN_OBSERVATION	2017
76.889639	10.359601	India	IN	HUMAN_OBSERVATION	2017
76.833032	10.313772	India	IN	HUMAN_OBSERVATION	2017
76.965724	10.338582	India	IN	HUMAN_OBSERVATION	2017
76.972669	10.345008	India	IN	HUMAN_OBSERVATION	2017
76.882824	10.321115	India	IN	HUMAN_OBSERVATION	2017
76.803798	10.31843	India	IN	HUMAN_OBSERVATION	2017
76.889332	10.331134	India	IN	HUMAN_OBSERVATION	2017
76.993709	10.370785	India	IN	HUMAN_OBSERVATION	2017
76.963706	10.338462	India	IN	HUMAN_OBSERVATION	2017
76.850968	10.334634	India	IN	HUMAN_OBSERVATION	2017
76.963848	10.338853	India	IN	HUMAN_OBSERVATION	2017
76.959968	10.330261	India	IN	HUMAN_OBSERVATION	2017
76.892131	10.35665	India	IN	HUMAN_OBSERVATION	2017
76.892784	10.357764	India	IN	HUMAN_OBSERVATION	2017
76.972951	10.348904	India	IN	HUMAN_OBSERVATION	2017
76.96934	10.34363	India	IN	HUMAN_OBSERVATION	2017
76.96629	10.352788	India	IN	HUMAN_OBSERVATION	2017
76.942476	10.363167	India	IN	HUMAN_OBSERVATION	2017
76.963635	10.351453	India	IN	HUMAN_OBSERVATION	2017
76.969312	10.342748	India	IN	HUMAN_OBSERVATION	2017
76.964614	10.341755	India	IN	HUMAN_OBSERVATION	2017
76.964832	10.338384	India	IN	HUMAN_OBSERVATION	2017
76.972899	10.346145	India	IN	HUMAN_OBSERVATION	2017
76.964758	10.339043	India	IN	HUMAN_OBSERVATION	2017
76.972944	10.349222	India	IN	HUMAN_OBSERVATION	2017
76.959979	10.330243	India	IN	HUMAN_OBSERVATION	2017
76.963907	10.338778	India	IN	HUMAN_OBSERVATION	2017
76.973487	10.352867	India	IN	HUMAN_OBSERVATION	2017
76.969222	10.343959	India	IN	HUMAN_OBSERVATION	2017
76.960382	10.333007	India	IN	HUMAN_OBSERVATION	2017
76.960064	10.330296	India	IN	HUMAN_OBSERVATION	2017
76.964465	10.33825	India	IN	HUMAN_OBSERVATION	2017
76.972636	10.348063	India	IN	HUMAN_OBSERVATION	2017
76.959964	10.330243	India	IN	HUMAN_OBSERVATION	2017
76.954139	10.351775	India	IN	HUMAN_OBSERVATION	2017
76.971537	10.34487	India	IN	HUMAN_OBSERVATION	2017
76.962726	10.336863	India	IN	HUMAN_OBSERVATION	2017
76.960595	10.333316	India	IN	HUMAN_OBSERVATION	2017
76.966083	10.339375	India	IN	HUMAN_OBSERVATION	2017
76.960145	10.330352	India	IN	HUMAN_OBSERVATION	2017
76.87611	10.391409	India	IN	HUMAN_OBSERVATION	2017
76.981341	10.364544	India	IN	HUMAN_OBSERVATION	2017
76.970646	10.343327	India	IN	HUMAN_OBSERVATION	2017
76.961691	10.334117	India	IN	HUMAN_OBSERVATION	2017
76.960219	10.330497	India	IN	HUMAN_OBSERVATION	2017
76.965512	10.34227	India	IN	HUMAN_OBSERVATION	2017
76.874742	10.392008	India	IN	HUMAN_OBSERVATION	2017
76.936126	10.351432	India	IN	HUMAN_OBSERVATION	2017
76.966312	10.339322	India	IN	HUMAN_OBSERVATION	2017
76.900582	10.348254	India	IN	HUMAN_OBSERVATION	2017
76.890963	10.359773	India	IN	HUMAN_OBSERVATION	2017
76.963566	10.336482	India	IN	HUMAN_OBSERVATION	2017
76.958534	10.330154	India	IN	HUMAN_OBSERVATION	2017
76.966049	10.338718	India	IN	HUMAN_OBSERVATION	2017
76.993739	10.373665	India	IN	HUMAN_OBSERVATION	2017
76.964936	10.338872	India	IN	HUMAN_OBSERVATION	2017
76.877391	10.40081	India	IN	HUMAN_OBSERVATION	2017
76.966107	10.339166	India	IN	HUMAN_OBSERVATION	2017
76.95995	10.33027	India	IN	HUMAN_OBSERVATION	2017
76.889441	10.357197	India	IN	HUMAN_OBSERVATION	2017
76.968774	10.340785	India	IN	HUMAN_OBSERVATION	2017
76.959833	10.330511	India	IN	HUMAN_OBSERVATION	2017
76.968494	10.340956	India	IN	HUMAN_OBSERVATION	2017
76.962738	10.335146	India	IN	HUMAN_OBSERVATION	2017
76.88806	10.355318	India	IN	HUMAN_OBSERVATION	2017
76.966137	10.339622	India	IN	HUMAN_OBSERVATION	2017
76.961696	10.334063	India	IN	HUMAN_OBSERVATION	2017
