decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
80.481303	7.229764	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.174185	7.093812	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.321856	7.013574	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.703327	7.913561	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.636526	7.870579	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.567479	6.41849	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.887318	8.101627	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.487471	7.219641	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.708106	7.815433	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.43644	5.991406	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.446328	9.251931	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.440512	8.353575	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.614022	7.502061	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.848175	6.716012	Sri Lanka	LK	HUMAN_OBSERVATION	2024
80.962664	6.972584	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.431156	7.028179	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.744156	7.343386	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.750102	7.326692	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.153883	6.933735	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.408754	8.303174	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.721405	7.978764	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.504136	6.79649	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.523481	6.835039	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.760368	7.816508	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.806116	6.901996	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.806489	6.846608	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.533571	6.410902	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.573119	6.568856	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.520175	7.222525	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.993352	6.924569	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.869174	7.205273	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.023723	6.974738	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.583337	6.982616	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.079703	6.909515	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.84403	6.467206	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.9347	6.466034	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.173358	8.401345	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.551996	7.291316	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.735551	8.101363	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.768624	7.849305	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.608093	7.844788	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.077087	6.959964	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.172731	7.826896	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.711199	7.992222	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.536577	7.361138	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.635574	7.92317	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.624426	7.875547	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.158056	6.888792	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.434497	8.380651	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.462729	5.974598	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.737468	7.894641	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.117428	8.158904	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.905364	6.49504	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.391823	8.363395	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.495021	7.391943	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.139777	8.594084	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.126409	6.602022	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.771789	7.783738	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.639726	7.847008	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.741119	7.839295	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.770449	7.228826	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.640248	7.927529	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.515249	7.396866	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.657529	7.995277	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.980614	8.10966	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.983292	8.172639	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.670274	7.867355	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.077661	7.333255	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.495308	6.880513	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.103633	8.220905	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.72302	7.250393	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.85248	6.826015	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.760176	7.284023	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.688977	7.964057	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.640193	7.369044	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.267019	7.435047	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.733021	7.807171	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.958305	6.442693	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.046803	6.966151	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.01626	7.935964	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.535403	6.556744	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.661796	7.388917	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.674294	7.916031	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.487713	6.839155	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.625844	7.816095	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.722125	7.97311	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.725887	7.976139	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.747223	7.897061	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.097483	8.436982	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.949955	6.777481	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.863509	6.779897	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.642195	7.886886	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.977076	6.409964	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.428423	7.264564	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.194407	7.854522	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.043527	7.909464	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.142611	7.884271	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.168612	7.862669	Sri Lanka	LK	HUMAN_OBSERVATION	2023
81.137832	7.985781	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.734644	7.872125	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.703692	7.842353	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.741983	7.805799	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.702653	7.933951	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.649317	7.816308	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.733219	7.965422	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.615188	7.852295	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.786765	7.823374	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.889358	6.58416	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.921289	6.503309	Sri Lanka	LK	HUMAN_OBSERVATION	2023
80.764614	7.928719	Sri Lanka	LK	HUMAN_OBSERVATION	2022
81.15876	7.952334	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.717904	7.890134	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.670287	7.833883	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.303601	6.36004	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.792393	7.927713	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.798237	7.836424	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.657165	6.848956	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.731558	7.978546	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.643749	7.986668	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.467803	7.171726	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.603498	7.977687	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.741228	7.959345	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.168576	6.976862	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.729684	7.905391	Sri Lanka	LK	HUMAN_OBSERVATION	2022
81.016064	6.915352	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.436432	7.279825	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.84713	6.799851	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.631185	7.803764	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.358116	7.58916	Sri Lanka	LK	HUMAN_OBSERVATION	2022
81.099366	6.649619	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.60501	7.938646	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.773996	7.893831	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.768821	7.963229	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.510866	5.960684	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.643769	7.320388	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.380553	6.444362	Sri Lanka	LK	HUMAN_OBSERVATION	2022
81.172629	7.805275	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.833219	8.075634	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.691215	7.34183	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.706931	7.973716	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.108968	6.941765	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.722266	7.945036	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.681538	7.801303	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.193898	6.569803	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.921174	7.864607	Sri Lanka	LK	HUMAN_OBSERVATION	2022
81.152971	6.989992	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.481704	7.302379	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.97482	6.984023	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.266953	7.371077	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.580022	6.907259	Sri Lanka	LK	HUMAN_OBSERVATION	2022
81.012259	6.962594	Sri Lanka	LK	HUMAN_OBSERVATION	2022
81.119974	6.867819	Sri Lanka	LK	HUMAN_OBSERVATION	2022
80.614975	8.098977	Sri Lanka	LK	HUMAN_OBSERVATION	2021
80.789156	8.081287	Sri Lanka	LK	HUMAN_OBSERVATION	2021
81.208762	6.537129	Sri Lanka	LK	HUMAN_OBSERVATION	2021
80.467893	7.045224	Sri Lanka	LK	HUMAN_OBSERVATION	2021
80.784877	7.95208	Sri Lanka	LK	HUMAN_OBSERVATION	2021
80.761734	7.952966	Sri Lanka	LK	HUMAN_OBSERVATION	2021
81.034169	6.803766	Sri Lanka	LK	HUMAN_OBSERVATION	2021
80.62682	7.206715	Sri Lanka	LK	HUMAN_OBSERVATION	2021
80.795433	6.791954	Sri Lanka	LK	HUMAN_OBSERVATION	2021
80.63669	7.933968	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.406173	6.85694	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.664629	7.851873	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.715299	7.913289	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.722388	7.883256	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.665952	8.073319	Sri Lanka	LK	HUMAN_OBSERVATION	2020
81.14888	6.846589	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.455971	6.41186	Sri Lanka	LK	HUMAN_OBSERVATION	2020
81.00647	7.962664	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.406128	6.995352	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.527467	8.349323	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.594826	6.31593	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.556735	7.415437	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.875593	7.807676	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.510111	7.389597	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.41301	8.347057	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.149467	8.304509	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.9263	7.704604	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.623474	7.082689	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.892552	6.450023	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.773324	7.955451	Sri Lanka	LK	HUMAN_OBSERVATION	2020
81.114637	7.837796	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.370503	6.188701	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.24941	7.223823	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.51709	8.385815	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.75459	7.931017	Sri Lanka	LK	HUMAN_OBSERVATION	2020
80.732964	7.843431	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.756288	7.83666	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.726761	7.894322	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.631309	7.842126	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.697628	7.951985	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.954415	7.684804	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.723117	7.321377	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.529389	8.229086	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.601336	7.908584	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.791649	7.282956	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.705134	7.918569	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.711268	7.370961	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.6534	7.279119	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.762915	7.902096	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.562311	6.548167	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.500236	6.495709	Sri Lanka	LK	HUMAN_OBSERVATION	2019
81.199628	6.824329	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.799097	7.879263	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.806402	7.988591	Sri Lanka	LK	HUMAN_OBSERVATION	2019
81.198239	7.861086	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.758467	7.297641	Sri Lanka	LK	HUMAN_OBSERVATION	2019
81.174373	7.800049	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.543989	7.845213	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.518321	7.256794	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.516816	6.574905	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.613183	7.920064	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.14838	8.503576	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.105945	8.447333	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.485751	8.353496	Sri Lanka	LK	HUMAN_OBSERVATION	2019
80.446166	8.303561	Sri Lanka	LK	HUMAN_OBSERVATION	2019
