decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
102.959641	30.576518	China	CN	HUMAN_OBSERVATION	2024
103.540248	29.440313	China	CN	HUMAN_OBSERVATION	2023
103.35504	29.580991	China	CN	HUMAN_OBSERVATION	2023
102.856941	29.682108	China	CN	HUMAN_OBSERVATION	2023
102.639751	30.125736	China	CN	HUMAN_OBSERVATION	2023
102.886888	29.664656	China	CN	HUMAN_OBSERVATION	2023
103.741102	31.190244	China	CN	HUMAN_OBSERVATION	2023
103.308999	29.439964	China	CN	HUMAN_OBSERVATION	2022
103.275719	29.563305	China	CN	HUMAN_OBSERVATION	2021
102.97648	29.609194	China	CN	HUMAN_OBSERVATION	2021
103.26444	29.476764	China	CN	HUMAN_OBSERVATION	2021
103.269001	29.439156	China	CN	HUMAN_OBSERVATION	2020
102.709991	30.189351	China	CN	HUMAN_OBSERVATION	2020
101.869829	29.426109	China	CN	HUMAN_OBSERVATION	2020
103.329982	29.518886	China	CN	HUMAN_OBSERVATION	2020
102.524297	30.159571	China	CN	HUMAN_OBSERVATION	2019
102.491942	30.084168	China	CN	HUMAN_OBSERVATION	2019
102.469904	30.130016	China	CN	HUMAN_OBSERVATION	2019
103.376994	29.518403	China	CN	HUMAN_OBSERVATION	2019
103.350197	29.573188	China	CN	HUMAN_OBSERVATION	2019
102.442302	30.299457	China	CN	HUMAN_OBSERVATION	2018
103.343353	29.586956	China	CN	HUMAN_OBSERVATION	2018
102.177773	29.617493	China	CN	HUMAN_OBSERVATION	2018
102.485062	30.126017	China	CN	HUMAN_OBSERVATION	2018
102.978957	30.357859	China	CN	HUMAN_OBSERVATION	2018
103.349931	29.457803	China	CN	HUMAN_OBSERVATION	2017
102.075816	29.452516	China	CN	HUMAN_OBSERVATION	2017
103.345184	29.521369	China	CN	HUMAN_OBSERVATION	2017
103.469424	29.425743	China	CN	HUMAN_OBSERVATION	2017
102.475354	30.084285	China	CN	HUMAN_OBSERVATION	2016
103.306101	29.478389	China	CN	HUMAN_OBSERVATION	2014
103.244468	29.546706	China	CN	HUMAN_OBSERVATION	2013
103.315151	29.545246	China	CN	HUMAN_OBSERVATION	2013
103.391987	29.494912	China	CN	HUMAN_OBSERVATION	2013
102.447578	30.161278	China	CN	HUMAN_OBSERVATION	2012
102.440057	30.165471	China	CN	HUMAN_OBSERVATION	2012
102.426281	30.180469	China	CN	HUMAN_OBSERVATION	2012
103.398169	29.510511	China	CN	HUMAN_OBSERVATION	2012
103.42112	29.641313	China	CN	HUMAN_OBSERVATION	2011
102.817869	29.687021	China	CN	HUMAN_OBSERVATION	2011
103.294929	29.509662	China	CN	HUMAN_OBSERVATION	2010
102.040101	29.526477	China	CN	HUMAN_OBSERVATION	2009
103.243615	29.499309	China	CN	HUMAN_OBSERVATION	2009
103.265145	29.52082	China	CN	HUMAN_OBSERVATION	2008
103.63013	29.590049	China	CN	HUMAN_OBSERVATION	2006
103.253412	29.599121	China	CN	HUMAN_OBSERVATION	2006
103.331909	29.510613	China	CN	HUMAN_OBSERVATION	2002
103.357487	29.505612	China	CN	HUMAN_OBSERVATION	2002
103.338089	29.526865	China	CN	HUMAN_OBSERVATION	2001
103.299558	29.475127	China	CN	HUMAN_OBSERVATION	1999
103.219533	29.42455	China	CN	HUMAN_OBSERVATION	1998
103.392849	29.465396	China	CN	HUMAN_OBSERVATION	1986
102.13333	29.43333	China	CN	PRESERVED_SPECIMEN	1936
103.333336	29.083334	China	CN	PRESERVED_SPECIMEN	1932
102.4933	29.47583	China	CN	MATERIAL_CITATION	NA
103.6833	31.16667	China	CN	MATERIAL_CITATION	NA
102.9081	28.665	China	CN	MATERIAL_CITATION	NA
