decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
12.859207	-1.69408	Gabon	GA	HUMAN_OBSERVATION	2023
13.01378	-1.732489	Gabon	GA	HUMAN_OBSERVATION	2023
11.671859	-0.131776	Gabon	GA	HUMAN_OBSERVATION	2023
11.550769	-0.474386	Gabon	GA	HUMAN_OBSERVATION	2023
11.576563	-0.562821	Gabon	GA	HUMAN_OBSERVATION	2023
11.422931	-0.439628	Gabon	GA	HUMAN_OBSERVATION	2023
13.096744	-1.938665	Gabon	GA	HUMAN_OBSERVATION	2023
13.105143	-1.87622	Gabon	GA	HUMAN_OBSERVATION	2023
13.158881	-1.860406	Gabon	GA	HUMAN_OBSERVATION	2023
13.078316	-1.975174	Gabon	GA	HUMAN_OBSERVATION	2023
12.981324	-1.692017	Gabon	GA	HUMAN_OBSERVATION	2023
12.981423	-1.679524	Gabon	GA	HUMAN_OBSERVATION	2023
13.164432	-1.729271	Gabon	GA	HUMAN_OBSERVATION	2023
11.496771	-0.362953	Gabon	GA	HUMAN_OBSERVATION	2022
11.404672	-0.399119	Gabon	GA	HUMAN_OBSERVATION	2022
11.40273	-0.511325	Gabon	GA	HUMAN_OBSERVATION	2022
11.713586	-0.126435	Gabon	GA	HUMAN_OBSERVATION	2022
12.858573	-1.745872	Gabon	GA	HUMAN_OBSERVATION	2022
11.452778	-0.359867	Gabon	GA	HUMAN_OBSERVATION	2022
11.732386	-0.14012	Gabon	GA	HUMAN_OBSERVATION	2022
11.637498	-0.063539	Gabon	GA	HUMAN_OBSERVATION	2022
11.705513	-0.068692	Gabon	GA	HUMAN_OBSERVATION	2022
11.647414	-0.140677	Gabon	GA	HUMAN_OBSERVATION	2022
11.780939	-0.153244	Gabon	GA	HUMAN_OBSERVATION	2022
11.537053	-0.295227	Gabon	GA	HUMAN_OBSERVATION	2022
11.407514	-0.394275	Gabon	GA	HUMAN_OBSERVATION	2022
11.441844	-0.326888	Gabon	GA	HUMAN_OBSERVATION	2022
11.4144	-0.32839	Gabon	GA	HUMAN_OBSERVATION	2022
11.518964	-0.408929	Gabon	GA	HUMAN_OBSERVATION	2022
12.970108	-1.679031	Gabon	GA	HUMAN_OBSERVATION	2022
12.865415	-1.727071	Gabon	GA	HUMAN_OBSERVATION	2022
12.903516	-1.713311	Gabon	GA	HUMAN_OBSERVATION	2022
12.912801	-1.704322	Gabon	GA	HUMAN_OBSERVATION	2022
12.987206	-1.688973	Gabon	GA	HUMAN_OBSERVATION	2022
12.903169	-1.667736	Gabon	GA	HUMAN_OBSERVATION	2022
12.886452	-1.630852	Gabon	GA	HUMAN_OBSERVATION	2022
12.955312	-1.792491	Gabon	GA	HUMAN_OBSERVATION	2022
12.826349	-1.738351	Gabon	GA	HUMAN_OBSERVATION	2022
13.182227	-1.653505	Gabon	GA	HUMAN_OBSERVATION	2022
12.897592	-1.613677	Gabon	GA	HUMAN_OBSERVATION	2022
12.840914	-1.771072	Gabon	GA	HUMAN_OBSERVATION	2022
12.967371	-1.733002	Gabon	GA	HUMAN_OBSERVATION	2022
12.941235	-1.779867	Gabon	GA	HUMAN_OBSERVATION	2022
13.04995	-1.623335	Gabon	GA	HUMAN_OBSERVATION	2021
12.038756	-0.175324	Gabon	GA	HUMAN_OBSERVATION	2021
12.883653	-1.658284	Gabon	GA	HUMAN_OBSERVATION	2021
12.89793	-1.782002	Gabon	GA	HUMAN_OBSERVATION	2021
12.08914	-0.399428	Gabon	GA	HUMAN_OBSERVATION	2021
12.068593	-0.361199	Gabon	GA	HUMAN_OBSERVATION	2021
12.096162	-0.068797	Gabon	GA	HUMAN_OBSERVATION	2021
12.59185	-0.79592	Gabon	GA	HUMAN_OBSERVATION	2021
12.631961	-0.935134	Gabon	GA	HUMAN_OBSERVATION	2021
12.775318	-0.864479	Gabon	GA	HUMAN_OBSERVATION	2021
11.271531	0.318859	Gabon	GA	HUMAN_OBSERVATION	2021
11.895299	0.154716	Gabon	GA	HUMAN_OBSERVATION	2021
11.833843	-0.398054	Gabon	GA	HUMAN_OBSERVATION	2021
12.996004	-1.614798	Gabon	GA	HUMAN_OBSERVATION	2021
13.077388	-1.70439	Gabon	GA	HUMAN_OBSERVATION	2021
12.8247	-1.603857	Gabon	GA	HUMAN_OBSERVATION	2021
12.852194	-1.777401	Gabon	GA	HUMAN_OBSERVATION	2021
12.802932	-1.602448	Gabon	GA	HUMAN_OBSERVATION	2021
12.145714	-0.230576	Gabon	GA	HUMAN_OBSERVATION	2020
13.115211	-1.781525	Gabon	GA	HUMAN_OBSERVATION	2020
13.006601	-1.783735	Gabon	GA	HUMAN_OBSERVATION	2020
12.946334	-1.725857	Gabon	GA	HUMAN_OBSERVATION	2020
12.825825	-1.736875	Gabon	GA	HUMAN_OBSERVATION	2020
12.857836	-1.617885	Gabon	GA	HUMAN_OBSERVATION	2020
12.962934	-1.671364	Gabon	GA	HUMAN_OBSERVATION	2020
12.818788	-1.609629	Gabon	GA	HUMAN_OBSERVATION	2020
12.987593	-1.674513	Gabon	GA	HUMAN_OBSERVATION	2020
12.862218	-1.720613	Gabon	GA	HUMAN_OBSERVATION	2020
12.940172	-1.654318	Gabon	GA	HUMAN_OBSERVATION	2020
12.972151	-1.639258	Gabon	GA	HUMAN_OBSERVATION	2020
11.851058	-0.272284	Gabon	GA	HUMAN_OBSERVATION	2020
12.851892	-1.630281	Gabon	GA	HUMAN_OBSERVATION	2020
12.833307	-1.607344	Gabon	GA	HUMAN_OBSERVATION	2019
11.575388	-0.246253	Gabon	GA	HUMAN_OBSERVATION	2019
11.572772	-0.391926	Gabon	GA	HUMAN_OBSERVATION	2019
11.506613	-0.387993	Gabon	GA	HUMAN_OBSERVATION	2019
11.556715	-0.299012	Gabon	GA	HUMAN_OBSERVATION	2019
11.488779	-0.555869	Gabon	GA	HUMAN_OBSERVATION	2019
11.428882	-0.565414	Gabon	GA	HUMAN_OBSERVATION	2019
11.451036	-0.440755	Gabon	GA	HUMAN_OBSERVATION	2019
12.975375	-1.619727	Gabon	GA	HUMAN_OBSERVATION	2019
12.907999	-1.657556	Gabon	GA	HUMAN_OBSERVATION	2018
11.444054	-0.473888	Gabon	GA	HUMAN_OBSERVATION	2018
12.970268	-1.719233	Gabon	GA	HUMAN_OBSERVATION	2018
12.800539	-1.611019	Gabon	GA	HUMAN_OBSERVATION	2018
12.987417	-1.657459	Gabon	GA	HUMAN_OBSERVATION	2018
10.591308	-0.608456	Gabon	GA	HUMAN_OBSERVATION	2014
12.974816	-1.609891	Gabon	GA	HUMAN_OBSERVATION	2010
11.612948	-0.342562	Gabon	GA	HUMAN_OBSERVATION	2010
11.91667	0.78333	Gabon	GA	PRESERVED_SPECIMEN	1992
10.0833	1.5167	Equatorial Guinea	GQ	PRESERVED_SPECIMEN	1898
10.47405	1.5549	Equatorial Guinea	GQ	PRESERVED_SPECIMEN	NA
10.76483	-0.17883	Gabon	GA	PRESERVED_SPECIMEN	NA
10.28333	1.333	Equatorial Guinea	GQ	HUMAN_OBSERVATION	NA
