decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
118.331989	5.534846	Malaysia	MY	HUMAN_OBSERVATION	2024
118.331105	5.435566	Malaysia	MY	HUMAN_OBSERVATION	2024
118.093514	5.255221	Malaysia	MY	HUMAN_OBSERVATION	2024
115.674191	5.34712	Malaysia	MY	HUMAN_OBSERVATION	2023
117.661846	4.860493	Malaysia	MY	HUMAN_OBSERVATION	2023
117.666865	4.864714	Malaysia	MY	HUMAN_OBSERVATION	2023
117.547705	3.34495	Indonesia	ID	HUMAN_OBSERVATION	2023
115.591931	5.286656	Malaysia	MY	HUMAN_OBSERVATION	2023
118.258083	5.482322	Malaysia	MY	HUMAN_OBSERVATION	2023
118.243321	5.446751	Malaysia	MY	HUMAN_OBSERVATION	2023
118.253534	5.460619	Malaysia	MY	HUMAN_OBSERVATION	2023
115.721333	5.490945	Malaysia	MY	HUMAN_OBSERVATION	2023
115.606549	5.588056	Malaysia	MY	HUMAN_OBSERVATION	2023
115.616244	5.46842	Malaysia	MY	HUMAN_OBSERVATION	2023
115.636672	5.539596	Malaysia	MY	HUMAN_OBSERVATION	2023
118.208455	5.790523	Malaysia	MY	HUMAN_OBSERVATION	2023
118.301039	5.654877	Malaysia	MY	HUMAN_OBSERVATION	2023
118.370288	5.497386	Malaysia	MY	HUMAN_OBSERVATION	2023
118.368563	5.473596	Malaysia	MY	HUMAN_OBSERVATION	2023
118.228299	5.470422	Malaysia	MY	HUMAN_OBSERVATION	2023
118.243113	5.553165	Malaysia	MY	HUMAN_OBSERVATION	2023
118.352598	5.446688	Malaysia	MY	HUMAN_OBSERVATION	2023
118.271741	5.43417	Malaysia	MY	HUMAN_OBSERVATION	2023
118.36959	5.535547	Malaysia	MY	HUMAN_OBSERVATION	2023
118.386283	5.475018	Malaysia	MY	HUMAN_OBSERVATION	2023
118.348835	5.594648	Malaysia	MY	HUMAN_OBSERVATION	2023
118.108183	5.424943	Malaysia	MY	HUMAN_OBSERVATION	2023
118.164793	5.567989	Malaysia	MY	HUMAN_OBSERVATION	2023
118.373082	5.529826	Malaysia	MY	HUMAN_OBSERVATION	2023
116.699346	5.584614	Malaysia	MY	HUMAN_OBSERVATION	2023
118.186654	5.663472	Malaysia	MY	HUMAN_OBSERVATION	2023
118.194465	5.646976	Malaysia	MY	HUMAN_OBSERVATION	2023
118.191356	5.757628	Malaysia	MY	HUMAN_OBSERVATION	2023
118.310297	5.507132	Malaysia	MY	HUMAN_OBSERVATION	2023
118.211385	5.520262	Malaysia	MY	HUMAN_OBSERVATION	2023
118.230779	5.495293	Malaysia	MY	HUMAN_OBSERVATION	2023
118.264807	5.457059	Malaysia	MY	HUMAN_OBSERVATION	2023
118.290119	5.520492	Malaysia	MY	HUMAN_OBSERVATION	2023
118.36412	5.562492	Malaysia	MY	HUMAN_OBSERVATION	2023
118.214533	5.402907	Malaysia	MY	HUMAN_OBSERVATION	2023
118.25397	5.553921	Malaysia	MY	HUMAN_OBSERVATION	2023
118.201001	5.477512	Malaysia	MY	HUMAN_OBSERVATION	2023
117.91152	5.562838	Malaysia	MY	HUMAN_OBSERVATION	2023
118.215042	5.485974	Malaysia	MY	HUMAN_OBSERVATION	2023
118.318659	5.610209	Malaysia	MY	HUMAN_OBSERVATION	2023
118.266502	5.564524	Malaysia	MY	HUMAN_OBSERVATION	2023
118.268426	5.416012	Malaysia	MY	HUMAN_OBSERVATION	2023
118.355661	5.472706	Malaysia	MY	HUMAN_OBSERVATION	2023
118.237979	5.454753	Malaysia	MY	HUMAN_OBSERVATION	2023
118.126341	5.45138	Malaysia	MY	HUMAN_OBSERVATION	2023
118.176366	5.441435	Malaysia	MY	HUMAN_OBSERVATION	2023
118.160551	5.401134	Malaysia	MY	HUMAN_OBSERVATION	2023
118.177504	5.482264	Malaysia	MY	HUMAN_OBSERVATION	2023
118.118836	5.469366	Malaysia	MY	HUMAN_OBSERVATION	2023
118.017933	5.53151	Malaysia	MY	HUMAN_OBSERVATION	2023
118.208291	5.479342	Malaysia	MY	HUMAN_OBSERVATION	2023
118.238189	5.439573	Malaysia	MY	HUMAN_OBSERVATION	2023
117.94784	5.927451	Malaysia	MY	HUMAN_OBSERVATION	2023
118.317567	5.52546	Malaysia	MY	HUMAN_OBSERVATION	2023
115.628318	5.511044	Malaysia	MY	HUMAN_OBSERVATION	2023
118.211907	5.412931	Malaysia	MY	HUMAN_OBSERVATION	2023
118.245907	5.459901	Malaysia	MY	HUMAN_OBSERVATION	2023
118.378707	5.406293	Malaysia	MY	HUMAN_OBSERVATION	2023
118.398492	5.523631	Malaysia	MY	HUMAN_OBSERVATION	2023
118.270301	5.52235	Malaysia	MY	HUMAN_OBSERVATION	2023
118.215228	5.487385	Malaysia	MY	HUMAN_OBSERVATION	2023
118.279537	5.482259	Malaysia	MY	HUMAN_OBSERVATION	2023
118.292453	5.522987	Malaysia	MY	HUMAN_OBSERVATION	2023
118.326778	5.440707	Malaysia	MY	HUMAN_OBSERVATION	2023
118.329693	5.488964	Malaysia	MY	HUMAN_OBSERVATION	2023
118.193622	5.500394	Malaysia	MY	HUMAN_OBSERVATION	2023
116.58585	6.553101	Malaysia	MY	HUMAN_OBSERVATION	2023
118.205229	5.55073	Malaysia	MY	HUMAN_OBSERVATION	2023
118.213967	5.51695	Malaysia	MY	HUMAN_OBSERVATION	2023
118.24219	5.516455	Malaysia	MY	HUMAN_OBSERVATION	2023
118.294996	5.629726	Malaysia	MY	HUMAN_OBSERVATION	2023
118.286172	5.58645	Malaysia	MY	HUMAN_OBSERVATION	2023
118.269069	5.596775	Malaysia	MY	HUMAN_OBSERVATION	2023
118.398312	5.582243	Malaysia	MY	HUMAN_OBSERVATION	2023
117.969576	5.808297	Malaysia	MY	HUMAN_OBSERVATION	2023
118.263644	5.449653	Malaysia	MY	HUMAN_OBSERVATION	2023
118.352021	5.51938	Malaysia	MY	HUMAN_OBSERVATION	2023
118.353912	5.466433	Malaysia	MY	HUMAN_OBSERVATION	2023
118.381729	5.454047	Malaysia	MY	HUMAN_OBSERVATION	2023
118.280575	5.496453	Malaysia	MY	HUMAN_OBSERVATION	2023
118.389768	5.533878	Malaysia	MY	HUMAN_OBSERVATION	2023
118.217794	5.522962	Malaysia	MY	HUMAN_OBSERVATION	2023
118.38882	5.448195	Malaysia	MY	HUMAN_OBSERVATION	2023
118.337678	5.480434	Malaysia	MY	HUMAN_OBSERVATION	2023
117.98359	5.583854	Malaysia	MY	HUMAN_OBSERVATION	2023
118.198728	5.302843	Malaysia	MY	HUMAN_OBSERVATION	2023
114.825935	4.864722	Brunei Darussalam	BN	HUMAN_OBSERVATION	2023
114.97421	4.963355	Brunei Darussalam	BN	HUMAN_OBSERVATION	2023
117.768252	5.800061	Malaysia	MY	HUMAN_OBSERVATION	2023
116.789611	5.597016	Malaysia	MY	HUMAN_OBSERVATION	2023
116.756809	5.519827	Malaysia	MY	HUMAN_OBSERVATION	2023
116.655414	5.557836	Malaysia	MY	HUMAN_OBSERVATION	2023
116.634081	5.563458	Malaysia	MY	HUMAN_OBSERVATION	2023
118.027216	5.935093	Malaysia	MY	HUMAN_OBSERVATION	2023
117.932311	5.993008	Malaysia	MY	HUMAN_OBSERVATION	2023
117.840035	5.808742	Malaysia	MY	HUMAN_OBSERVATION	2023
118.338526	5.539967	Malaysia	MY	HUMAN_OBSERVATION	2023
116.623097	5.999816	Malaysia	MY	HUMAN_OBSERVATION	2023
118.178779	5.205695	Malaysia	MY	HUMAN_OBSERVATION	2023
118.222326	5.480748	Malaysia	MY	HUMAN_OBSERVATION	2023
118.001594	5.99447	Malaysia	MY	HUMAN_OBSERVATION	2023
118.239253	5.455707	Malaysia	MY	HUMAN_OBSERVATION	2023
118.34548	5.40345	Malaysia	MY	HUMAN_OBSERVATION	2023
118.378464	5.540804	Malaysia	MY	HUMAN_OBSERVATION	2023
118.308925	5.594054	Malaysia	MY	HUMAN_OBSERVATION	2023
117.944956	5.81337	Malaysia	MY	HUMAN_OBSERVATION	2023
118.39286	5.457312	Malaysia	MY	HUMAN_OBSERVATION	2023
118.311642	5.504309	Malaysia	MY	HUMAN_OBSERVATION	2023
118.356622	5.507243	Malaysia	MY	HUMAN_OBSERVATION	2023
118.281786	5.584154	Malaysia	MY	HUMAN_OBSERVATION	2023
118.200929	5.448444	Malaysia	MY	HUMAN_OBSERVATION	2023
117.946925	5.921813	Malaysia	MY	HUMAN_OBSERVATION	2023
118.301583	5.497251	Malaysia	MY	HUMAN_OBSERVATION	2023
118.331652	5.565986	Malaysia	MY	HUMAN_OBSERVATION	2023
118.207709	5.465724	Malaysia	MY	HUMAN_OBSERVATION	2023
118.360392	5.40582	Malaysia	MY	HUMAN_OBSERVATION	2023
118.38422	5.455039	Malaysia	MY	HUMAN_OBSERVATION	2023
117.997646	5.871169	Malaysia	MY	HUMAN_OBSERVATION	2023
117.979916	5.897394	Malaysia	MY	HUMAN_OBSERVATION	2023
118.313939	5.426495	Malaysia	MY	HUMAN_OBSERVATION	2023
118.196811	5.5186	Malaysia	MY	HUMAN_OBSERVATION	2023
117.830238	5.592053	Malaysia	MY	HUMAN_OBSERVATION	2023
118.273915	5.597176	Malaysia	MY	HUMAN_OBSERVATION	2022
118.299012	5.4191	Malaysia	MY	HUMAN_OBSERVATION	2022
115.737749	5.309208	Malaysia	MY	HUMAN_OBSERVATION	2022
118.034848	5.543225	Malaysia	MY	HUMAN_OBSERVATION	2022
118.132029	5.585237	Malaysia	MY	HUMAN_OBSERVATION	2022
118.141459	5.402847	Malaysia	MY	HUMAN_OBSERVATION	2022
117.977699	5.590095	Malaysia	MY	HUMAN_OBSERVATION	2022
118.317978	5.444079	Malaysia	MY	HUMAN_OBSERVATION	2022
118.200493	5.589731	Malaysia	MY	HUMAN_OBSERVATION	2022
117.734485	5.889453	Malaysia	MY	HUMAN_OBSERVATION	2022
117.894138	5.551597	Malaysia	MY	HUMAN_OBSERVATION	2022
117.88965	5.571704	Malaysia	MY	HUMAN_OBSERVATION	2022
117.923215	5.417208	Malaysia	MY	HUMAN_OBSERVATION	2022
117.836806	5.458565	Malaysia	MY	HUMAN_OBSERVATION	2022
118.278175	5.524013	Malaysia	MY	HUMAN_OBSERVATION	2022
118.296448	5.41802	Malaysia	MY	HUMAN_OBSERVATION	2022
118.310137	5.419787	Malaysia	MY	HUMAN_OBSERVATION	2022
117.825045	5.897905	Malaysia	MY	HUMAN_OBSERVATION	2022
118.361473	5.705572	Malaysia	MY	HUMAN_OBSERVATION	2022
118.314691	5.791571	Malaysia	MY	HUMAN_OBSERVATION	2022
118.398857	5.761833	Malaysia	MY	HUMAN_OBSERVATION	2022
118.3717	5.776762	Malaysia	MY	HUMAN_OBSERVATION	2022
118.288447	5.425874	Malaysia	MY	HUMAN_OBSERVATION	2022
117.980785	5.890262	Malaysia	MY	HUMAN_OBSERVATION	2022
118.201256	5.487019	Malaysia	MY	HUMAN_OBSERVATION	2022
118.267424	5.512882	Malaysia	MY	HUMAN_OBSERVATION	2022
118.293184	5.557959	Malaysia	MY	HUMAN_OBSERVATION	2022
118.369292	5.453211	Malaysia	MY	HUMAN_OBSERVATION	2022
117.886713	5.117438	Malaysia	MY	HUMAN_OBSERVATION	2022
118.394777	5.467253	Malaysia	MY	HUMAN_OBSERVATION	2022
118.283259	5.488603	Malaysia	MY	HUMAN_OBSERVATION	2022
118.301237	5.531137	Malaysia	MY	HUMAN_OBSERVATION	2022
118.115801	5.494387	Malaysia	MY	HUMAN_OBSERVATION	2022
118.39465	5.54496	Malaysia	MY	HUMAN_OBSERVATION	2022
118.375318	5.444121	Malaysia	MY	HUMAN_OBSERVATION	2022
118.366166	5.503798	Malaysia	MY	HUMAN_OBSERVATION	2022
117.930826	5.594496	Malaysia	MY	HUMAN_OBSERVATION	2022
118.694482	5.31424	Malaysia	MY	HUMAN_OBSERVATION	2022
117.905031	5.379226	Malaysia	MY	HUMAN_OBSERVATION	2022
118.290255	5.576482	Malaysia	MY	HUMAN_OBSERVATION	2022
117.991986	5.456402	Malaysia	MY	HUMAN_OBSERVATION	2021
117.732074	5.894061	Malaysia	MY	HUMAN_OBSERVATION	2021
117.961576	5.884991	Malaysia	MY	HUMAN_OBSERVATION	2021
117.887848	5.435007	Malaysia	MY	HUMAN_OBSERVATION	2020
116.410193	6.347563	Malaysia	MY	HUMAN_OBSERVATION	2020
118.304492	5.495889	Malaysia	MY	HUMAN_OBSERVATION	2020
118.339318	5.457093	Malaysia	MY	HUMAN_OBSERVATION	2020
118.273472	5.599429	Malaysia	MY	HUMAN_OBSERVATION	2020
118.278353	5.438808	Malaysia	MY	HUMAN_OBSERVATION	2020
118.251142	5.447919	Malaysia	MY	HUMAN_OBSERVATION	2020
118.319451	5.55083	Malaysia	MY	HUMAN_OBSERVATION	2020
118.397339	5.488013	Malaysia	MY	HUMAN_OBSERVATION	2020
118.227797	5.475623	Malaysia	MY	HUMAN_OBSERVATION	2020
118.198267	5.4468	Malaysia	MY	HUMAN_OBSERVATION	2020
118.339398	5.521517	Malaysia	MY	HUMAN_OBSERVATION	2020
118.387259	5.435774	Malaysia	MY	HUMAN_OBSERVATION	2020
116.135348	5.875126	Malaysia	MY	HUMAN_OBSERVATION	2020
117.177627	4.996265	Malaysia	MY	HUMAN_OBSERVATION	2020
118.277134	5.516593	Malaysia	MY	HUMAN_OBSERVATION	2020
118.3201	5.401487	Malaysia	MY	HUMAN_OBSERVATION	2019
118.301696	5.498085	Malaysia	MY	HUMAN_OBSERVATION	2019
118.35178	5.589348	Malaysia	MY	HUMAN_OBSERVATION	2019
118.073428	5.468754	Malaysia	MY	HUMAN_OBSERVATION	2019
118.218028	5.447473	Malaysia	MY	HUMAN_OBSERVATION	2019
118.338081	5.405972	Malaysia	MY	HUMAN_OBSERVATION	2019
118.363327	5.403673	Malaysia	MY	HUMAN_OBSERVATION	2019
118.320943	5.593071	Malaysia	MY	HUMAN_OBSERVATION	2019
118.105468	5.844229	Malaysia	MY	HUMAN_OBSERVATION	2019
117.836238	5.919675	Malaysia	MY	HUMAN_OBSERVATION	2019
117.656824	5.471796	Malaysia	MY	HUMAN_OBSERVATION	2019
118.320952	5.549217	Malaysia	MY	HUMAN_OBSERVATION	2019
