decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
31.921974	-2.361158	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
30.397265	0.565507	Uganda	UG	HUMAN_OBSERVATION	2024
30.484929	0.466217	Uganda	UG	HUMAN_OBSERVATION	2024
12.880679	-1.731629	Gabon	GA	HUMAN_OBSERVATION	2024
29.247325	-2.482237	Rwanda	RW	HUMAN_OBSERVATION	2024
-15.185946	11.077635	Guinea-Bissau	GW	HUMAN_OBSERVATION	2024
14.873277	0.20595	Congo	CG	HUMAN_OBSERVATION	2023
30.1477	-0.026585	Uganda	UG	HUMAN_OBSERVATION	2023
30.116693	-0.101252	Uganda	UG	HUMAN_OBSERVATION	2023
30.839306	1.391695	Uganda	UG	HUMAN_OBSERVATION	2023
30.854826	1.214398	Uganda	UG	HUMAN_OBSERVATION	2023
30.884931	1.39362	Uganda	UG	HUMAN_OBSERVATION	2023
30.914858	1.399678	Uganda	UG	HUMAN_OBSERVATION	2023
30.992125	1.335574	Uganda	UG	HUMAN_OBSERVATION	2023
30.816624	1.265541	Uganda	UG	HUMAN_OBSERVATION	2023
30.259075	0.46929	Uganda	UG	HUMAN_OBSERVATION	2023
31.474098	1.739216	Uganda	UG	HUMAN_OBSERVATION	2023
-11.804544	10.210354	Guinea	GN	HUMAN_OBSERVATION	2023
30.577749	0.501767	Uganda	UG	HUMAN_OBSERVATION	2023
30.383333	0.435	Uganda	UG	HUMAN_OBSERVATION	2023
30.354822	0.554089	Uganda	UG	HUMAN_OBSERVATION	2023
30.128244	-0.447306	Uganda	UG	HUMAN_OBSERVATION	2023
28.889635	-2.570435	Rwanda	RW	HUMAN_OBSERVATION	2023
30.059248	-0.493511	Uganda	UG	HUMAN_OBSERVATION	2023
30.520915	0.433817	Uganda	UG	HUMAN_OBSERVATION	2023
30.487258	0.578193	Uganda	UG	HUMAN_OBSERVATION	2023
-7.210443	5.914913	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-7.06937	5.238738	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-7.056073	5.265571	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-11.426221	10.065746	Guinea	GN	HUMAN_OBSERVATION	2023
-11.720831	11.103264	Guinea	GN	HUMAN_OBSERVATION	2023
29.234078	-2.494199	Rwanda	RW	HUMAN_OBSERVATION	2023
30.24047	0.465061	Uganda	UG	HUMAN_OBSERVATION	2023
30.321705	0.551945	Uganda	UG	HUMAN_OBSERVATION	2023
30.562619	0.411942	Uganda	UG	HUMAN_OBSERVATION	2023
31.716686	1.677284	Uganda	UG	HUMAN_OBSERVATION	2023
30.417912	0.471222	Uganda	UG	HUMAN_OBSERVATION	2023
30.227054	0.583417	Uganda	UG	HUMAN_OBSERVATION	2023
30.38622	0.580028	Uganda	UG	HUMAN_OBSERVATION	2023
