decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
37.358893	-6.946426	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
38.597222	-3.281564	Kenya	KE	HUMAN_OBSERVATION	2024
38.260902	-7.783065	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
34.985026	-15.718659	Malawi	MW	HUMAN_OBSERVATION	2023
38.633572	-3.450187	Kenya	KE	HUMAN_OBSERVATION	2023
38.710634	-3.367521	Kenya	KE	HUMAN_OBSERVATION	2023
36.054458	-8.204337	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.054553	-8.204345	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.952103	-3.274902	Kenya	KE	HUMAN_OBSERVATION	2023
35.653758	-15.977901	Malawi	MW	HUMAN_OBSERVATION	2023
36.885644	-7.841064	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.884717	-7.839563	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.053572	-8.364992	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.31027	-15.367557	Malawi	MW	HUMAN_OBSERVATION	2023
36.072316	-8.247815	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
36.071541	-8.220801	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.327687	-14.861794	Malawi	MW	HUMAN_OBSERVATION	2023
35.279564	-15.008301	Malawi	MW	HUMAN_OBSERVATION	2023
35.295361	-14.995636	Malawi	MW	HUMAN_OBSERVATION	2023
40.904675	-2.155644	Kenya	KE	HUMAN_OBSERVATION	2023
40.893658	-2.161741	Kenya	KE	HUMAN_OBSERVATION	2023
38.615678	-3.350315	Kenya	KE	HUMAN_OBSERVATION	2023
37.304193	-2.669067	Kenya	KE	HUMAN_OBSERVATION	2023
38.143959	-2.963278	Kenya	KE	HUMAN_OBSERVATION	2023
39.427186	-4.242335	Kenya	KE	HUMAN_OBSERVATION	2023
35.310368	-14.855642	Malawi	MW	HUMAN_OBSERVATION	2023
34.748786	-15.862183	Malawi	MW	HUMAN_OBSERVATION	2023
38.823872	-3.211061	Kenya	KE	HUMAN_OBSERVATION	2023
38.344942	-2.966981	Kenya	KE	HUMAN_OBSERVATION	2023
39.978852	-3.295434	Kenya	KE	HUMAN_OBSERVATION	2023
38.795795	-3.360953	Kenya	KE	HUMAN_OBSERVATION	2023
39.925209	-3.388549	Kenya	KE	HUMAN_OBSERVATION	2023
39.866667	-3.333333	Kenya	KE	HUMAN_OBSERVATION	2023
37.282158	-2.666938	Kenya	KE	HUMAN_OBSERVATION	2023
37.280023	-2.666235	Kenya	KE	HUMAN_OBSERVATION	2023
37.259831	-2.680133	Kenya	KE	HUMAN_OBSERVATION	2023
38.645441	-3.360819	Kenya	KE	HUMAN_OBSERVATION	2023
31.294591	-12.457421	Zambia	ZM	HUMAN_OBSERVATION	2023
35.31309	-15.390934	Malawi	MW	HUMAN_OBSERVATION	2023
39.569439	-4.319875	Kenya	KE	HUMAN_OBSERVATION	2023
39.573403	-4.320933	Kenya	KE	HUMAN_OBSERVATION	2023
35.287611	-14.845239	Malawi	MW	HUMAN_OBSERVATION	2023
37.37249	-3.52404	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.131578	-7.348558	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
30.76606	-7.477572	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.250204	-14.922771	Malawi	MW	HUMAN_OBSERVATION	2023
37.285075	-2.790097	Kenya	KE	HUMAN_OBSERVATION	2023
31.765996	-13.08907	Zambia	ZM	HUMAN_OBSERVATION	2023
31.782735	-13.08526	Zambia	ZM	HUMAN_OBSERVATION	2023
37.638516	-8.735119	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
38.024964	-2.973134	Kenya	KE	HUMAN_OBSERVATION	2023
37.295164	-2.686938	Kenya	KE	HUMAN_OBSERVATION	2023
39.3956	-4.257396	Kenya	KE	HUMAN_OBSERVATION	2023
39.407343	-4.241534	Kenya	KE	HUMAN_OBSERVATION	2023
37.371338	-2.735897	Kenya	KE	HUMAN_OBSERVATION	2023
30.242139	-12.572217	Zambia	ZM	HUMAN_OBSERVATION	2023
30.189868	-12.525323	Zambia	ZM	HUMAN_OBSERVATION	2023
32.433326	-11.875101	Zambia	ZM	HUMAN_OBSERVATION	2023
32.132609	-12.574335	Zambia	ZM	HUMAN_OBSERVATION	2023
31.843158	-13.058629	Zambia	ZM	HUMAN_OBSERVATION	2023
31.793181	-13.074623	Zambia	ZM	HUMAN_OBSERVATION	2023
31.756203	-13.138236	Zambia	ZM	HUMAN_OBSERVATION	2023
31.786066	-13.098226	Zambia	ZM	HUMAN_OBSERVATION	2023
31.716126	-13.164027	Zambia	ZM	HUMAN_OBSERVATION	2023
31.716108	-13.148382	Zambia	ZM	HUMAN_OBSERVATION	2023
31.906165	-12.966017	Zambia	ZM	HUMAN_OBSERVATION	2023
31.921289	-12.923645	Zambia	ZM	HUMAN_OBSERVATION	2023
31.754729	-13.109758	Zambia	ZM	HUMAN_OBSERVATION	2023
37.260621	-2.65267	Kenya	KE	HUMAN_OBSERVATION	2023
37.163964	-7.347772	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
38.140136	-6.635673	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.178502	-7.311033	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.145263	-7.311507	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.159498	-7.307595	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
38.049671	-4.169702	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.225453	-7.209003	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.234643	-7.15933	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.396691	-7.079866	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.410424	-7.104396	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
31.946671	-13.002756	Zambia	ZM	HUMAN_OBSERVATION	2023
31.728807	-13.149043	Zambia	ZM	HUMAN_OBSERVATION	2023
31.738354	-13.163222	Zambia	ZM	HUMAN_OBSERVATION	2023
31.73559	-13.096947	Zambia	ZM	HUMAN_OBSERVATION	2023
33.632526	-11.030106	Malawi	MW	HUMAN_OBSERVATION	2023
33.483191	-11.007559	Malawi	MW	HUMAN_OBSERVATION	2023
33.720133	-11.109451	Malawi	MW	HUMAN_OBSERVATION	2023
39.989259	-3.30127	Kenya	KE	HUMAN_OBSERVATION	2023
39.563717	-4.350847	Kenya	KE	HUMAN_OBSERVATION	2023
31.997445	-12.854358	Zambia	ZM	HUMAN_OBSERVATION	2023
31.555967	-13.420958	Zambia	ZM	HUMAN_OBSERVATION	2023
38.816231	-6.320877	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
34.05571	-11.464118	Malawi	MW	HUMAN_OBSERVATION	2023
34.71597	-15.856913	Malawi	MW	HUMAN_OBSERVATION	2023
35.256493	-15.007463	Malawi	MW	HUMAN_OBSERVATION	2023
35.304703	-15.364975	Malawi	MW	HUMAN_OBSERVATION	2023
36.069417	-8.279725	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
35.279934	-14.732379	Malawi	MW	HUMAN_OBSERVATION	2023
39.985	-3.298	Kenya	KE	HUMAN_OBSERVATION	2023
38.645298	-3.360703	Kenya	KE	HUMAN_OBSERVATION	2023
38.190008	-7.708963	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
37.381598	-2.720448	Kenya	KE	HUMAN_OBSERVATION	2023
37.346861	-2.711365	Kenya	KE	HUMAN_OBSERVATION	2023
38.595181	-3.363016	Kenya	KE	HUMAN_OBSERVATION	2023
39.56912	-4.335837	Kenya	KE	HUMAN_OBSERVATION	2023
34.052939	-11.458947	Malawi	MW	HUMAN_OBSERVATION	2023
31.789247	-13.080157	Zambia	ZM	HUMAN_OBSERVATION	2023
35.312706	-14.835978	Malawi	MW	HUMAN_OBSERVATION	2023
34.053006	-11.458908	Malawi	MW	HUMAN_OBSERVATION	2023
33.702278	-10.568138	Malawi	MW	HUMAN_OBSERVATION	2022
38.640651	-3.355556	Kenya	KE	HUMAN_OBSERVATION	2022
39.011848	-3.323278	Kenya	KE	HUMAN_OBSERVATION	2022
39.435023	-4.219504	Kenya	KE	HUMAN_OBSERVATION	2022
38.76347	-3.673891	Kenya	KE	HUMAN_OBSERVATION	2022
37.846652	-2.549514	Kenya	KE	HUMAN_OBSERVATION	2022
37.291044	-2.640345	Kenya	KE	HUMAN_OBSERVATION	2022
37.340133	-2.713165	Kenya	KE	HUMAN_OBSERVATION	2022
38.337401	-2.249087	Kenya	KE	HUMAN_OBSERVATION	2022
39.566793	-4.331672	Kenya	KE	HUMAN_OBSERVATION	2022
29.733626	-6.136976	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
34.873829	-14.058113	Malawi	MW	HUMAN_OBSERVATION	2022
34.825034	-14.038861	Malawi	MW	HUMAN_OBSERVATION	2022
34.824495	-14.039102	Malawi	MW	HUMAN_OBSERVATION	2022
35.251239	-15.019924	Malawi	MW	HUMAN_OBSERVATION	2022
35.293735	-14.970914	Malawi	MW	HUMAN_OBSERVATION	2022
35.325971	-15.37297	Malawi	MW	HUMAN_OBSERVATION	2022
35.253998	-15.034366	Malawi	MW	HUMAN_OBSERVATION	2022
34.796734	-2.262478	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
36.044769	-4.077973	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
35.346625	-14.844135	Malawi	MW	HUMAN_OBSERVATION	2022
38.251275	-3.512193	Kenya	KE	HUMAN_OBSERVATION	2022
39.979351	-3.31307	Kenya	KE	HUMAN_OBSERVATION	2022
38.682883	-3.369488	Kenya	KE	HUMAN_OBSERVATION	2022
36.177842	-7.666078	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
32.010388	-12.861663	Zambia	ZM	HUMAN_OBSERVATION	2022
31.898927	-12.90877	Zambia	ZM	HUMAN_OBSERVATION	2022
37.40002	-2.732965	Kenya	KE	HUMAN_OBSERVATION	2022
36.125	-0.375	Kenya	KE	HUMAN_OBSERVATION	2022
35.308203	-15.364481	Malawi	MW	HUMAN_OBSERVATION	2022
39.564894	-4.344314	Kenya	KE	HUMAN_OBSERVATION	2022
35.065206	-7.828163	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
31.709375	-13.186297	Zambia	ZM	HUMAN_OBSERVATION	2022
31.769113	-13.078302	Zambia	ZM	HUMAN_OBSERVATION	2022
31.715212	-13.101042	Zambia	ZM	HUMAN_OBSERVATION	2022
31.723022	-13.099401	Zambia	ZM	HUMAN_OBSERVATION	2022
31.578228	-13.398132	Zambia	ZM	HUMAN_OBSERVATION	2022
37.238359	-2.67222	Kenya	KE	HUMAN_OBSERVATION	2022
39.441483	-4.197807	Kenya	KE	HUMAN_OBSERVATION	2022
37.101086	-7.357172	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
31.764644	-13.088008	Zambia	ZM	HUMAN_OBSERVATION	2022
31.790782	-13.108541	Zambia	ZM	HUMAN_OBSERVATION	2022
31.726866	-13.11354	Zambia	ZM	HUMAN_OBSERVATION	2022
31.79497	-13.101769	Zambia	ZM	HUMAN_OBSERVATION	2022
37.340708	-2.70878	Kenya	KE	HUMAN_OBSERVATION	2022
35.244272	-15.029547	Malawi	MW	HUMAN_OBSERVATION	2022
39.995525	-3.299669	Kenya	KE	HUMAN_OBSERVATION	2022
33.648413	-11.137146	Malawi	MW	HUMAN_OBSERVATION	2022
39.996781	-3.301271	Kenya	KE	HUMAN_OBSERVATION	2022
39.996319	-3.300407	Kenya	KE	HUMAN_OBSERVATION	2022
35.34834	-14.836165	Malawi	MW	HUMAN_OBSERVATION	2022
38.789934	-3.055598	Kenya	KE	HUMAN_OBSERVATION	2022
38.620339	-3.33869	Kenya	KE	HUMAN_OBSERVATION	2022
34.741775	-15.837188	Malawi	MW	HUMAN_OBSERVATION	2022
35.65741	-14.145	Mozambique	MZ	HUMAN_OBSERVATION	2022
37.376795	-2.718303	Kenya	KE	HUMAN_OBSERVATION	2022
34.590851	-13.666405	Malawi	MW	HUMAN_OBSERVATION	2022
34.850388	-7.785927	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
34.845404	-7.789433	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
35.277494	-14.981289	Malawi	MW	HUMAN_OBSERVATION	2022
37.001896	-3.015757	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
38.0347	-2.985589	Kenya	KE	HUMAN_OBSERVATION	2022
38.242535	-3.547072	Kenya	KE	HUMAN_OBSERVATION	2022
38.217247	-3.547858	Kenya	KE	HUMAN_OBSERVATION	2022
37.410424	-8.929001	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
38.453669	-2.984036	Kenya	KE	HUMAN_OBSERVATION	2021
39.451335	-4.214677	Kenya	KE	HUMAN_OBSERVATION	2021
37.056398	-7.438242	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2021
34.713064	-15.84157	Malawi	MW	HUMAN_OBSERVATION	2021
37.278294	-2.67324	Kenya	KE	HUMAN_OBSERVATION	2021
39.846475	0.272585	Kenya	KE	HUMAN_OBSERVATION	2021
39.414761	-4.236412	Kenya	KE	HUMAN_OBSERVATION	2021
35.317671	-15.000883	Malawi	MW	HUMAN_OBSERVATION	2021
39.429012	-4.243899	Kenya	KE	HUMAN_OBSERVATION	2021
33.640776	-11.138456	Malawi	MW	HUMAN_OBSERVATION	2021
37.341693	-2.711863	Kenya	KE	HUMAN_OBSERVATION	2021
35.351263	-14.791783	Malawi	MW	HUMAN_OBSERVATION	2021
39.996657	-3.301519	Kenya	KE	HUMAN_OBSERVATION	2021
37.327447	-2.709989	Kenya	KE	HUMAN_OBSERVATION	2021
37.319304	-2.700808	Kenya	KE	HUMAN_OBSERVATION	2021
37.557872	-2.889478	Kenya	KE	HUMAN_OBSERVATION	2021
37.368543	-2.737957	Kenya	KE	HUMAN_OBSERVATION	2021
