decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
40.184162	9.028024	Ethiopia	ET	HUMAN_OBSERVATION	2024
40.184158	9.028023	Ethiopia	ET	HUMAN_OBSERVATION	2024
40.184818	9.028676	Ethiopia	ET	HUMAN_OBSERVATION	2024
40.174664	9.115023	Ethiopia	ET	HUMAN_OBSERVATION	2024
40.188974	9.035631	Ethiopia	ET	HUMAN_OBSERVATION	2024
40.181427	9.025263	Ethiopia	ET	HUMAN_OBSERVATION	2024
40.181319	9.025152	Ethiopia	ET	HUMAN_OBSERVATION	2024
43.9886	9.73061	Somalia	SO	HUMAN_OBSERVATION	2024
41.896849	19.574458	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
41.895414	19.573475	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
42.132997	18.962981	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
42.206	18.906118	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
41.605111	19.812989	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
42.132828	18.962986	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
42.272826	18.619071	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
43.083099	17.365347	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
43.034214	17.499365	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
43.034215	17.499365	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
43.034216	17.499365	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
42.875681	18.028131	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
40.138945	8.969671	Ethiopia	ET	HUMAN_OBSERVATION	2023
42.041698	17.84659	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
42.036983	17.85093	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
42.036224	17.850591	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
40.19575	9.056957	Ethiopia	ET	HUMAN_OBSERVATION	2023
39.760786	22.742328	Saudi Arabia	SA	HUMAN_OBSERVATION	2023
41.450933	20.006456	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
41.804811	19.815175	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
42.408662	18.198495	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
42.397672	18.194705	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
37.936668	11.92018	Ethiopia	ET	HUMAN_OBSERVATION	2022
40.259211	21.304135	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
42.355032	18.295649	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
42.187666	18.951938	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
41.444422	19.929561	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
41.442408	19.932342	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
42.334263	18.310858	Saudi Arabia	SA	HUMAN_OBSERVATION	2022
42.496191	18.199717	Saudi Arabia	SA	HUMAN_OBSERVATION	2021
42.335665	18.312402	Saudi Arabia	SA	HUMAN_OBSERVATION	2021
42.170789	18.963788	Saudi Arabia	SA	HUMAN_OBSERVATION	2021
41.088689	11.82281	Ethiopia	ET	HUMAN_OBSERVATION	2020
41.029284	11.814398	Ethiopia	ET	HUMAN_OBSERVATION	2020
42.620188	9.25191	Ethiopia	ET	HUMAN_OBSERVATION	2020
40.19	9.07	Ethiopia	ET	HUMAN_OBSERVATION	2020
40.185821	9.031281	Ethiopia	ET	HUMAN_OBSERVATION	2020
43.982428	9.763832	Somalia	SO	HUMAN_OBSERVATION	2020
