decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-13.327007	13.112004	Senegal	SN	HUMAN_OBSERVATION	2024
-13.274951	13.212814	Senegal	SN	HUMAN_OBSERVATION	2024
-13.232731	13.326702	Senegal	SN	HUMAN_OBSERVATION	2024
-13.375445	13.296022	Senegal	SN	HUMAN_OBSERVATION	2024
-13.20527	13.275819	Senegal	SN	HUMAN_OBSERVATION	2024
-13.277719	13.342576	Senegal	SN	HUMAN_OBSERVATION	2024
-13.350741	13.313448	Senegal	SN	HUMAN_OBSERVATION	2024
-13.206525	13.235095	Senegal	SN	HUMAN_OBSERVATION	2024
-16.443298	13.365869	Gambia	GM	HUMAN_OBSERVATION	2024
-13.349801	13.377627	Senegal	SN	HUMAN_OBSERVATION	2023
-13.22137	13.026691	Senegal	SN	HUMAN_OBSERVATION	2023
-13.217364	13.030084	Senegal	SN	HUMAN_OBSERVATION	2023
-16.553	13.2793	Gambia	GM	HUMAN_OBSERVATION	2023
-15.789	13.4934	Gambia	GM	HUMAN_OBSERVATION	2023
-13.298853	13.004454	Senegal	SN	HUMAN_OBSERVATION	2023
-13.231112	13.044081	Senegal	SN	HUMAN_OBSERVATION	2023
-16.553184	13.278838	Gambia	GM	HUMAN_OBSERVATION	2023
-16.553738	13.277535	Gambia	GM	HUMAN_OBSERVATION	2023
-14.851756	13.557935	Gambia	GM	HUMAN_OBSERVATION	2023
-14.648586	13.484837	Gambia	GM	HUMAN_OBSERVATION	2023
-16.554569	13.27767	Gambia	GM	HUMAN_OBSERVATION	2023
-14.851498	13.558072	Gambia	GM	HUMAN_OBSERVATION	2023
-15.848671	13.436751	Gambia	GM	HUMAN_OBSERVATION	2023
-14.8216	13.5631	Gambia	GM	HUMAN_OBSERVATION	2023
-14.80185	13.552267	Gambia	GM	HUMAN_OBSERVATION	2023
-14.997972	13.672766	Gambia	GM	HUMAN_OBSERVATION	2023
-15.81766	13.374881	Gambia	GM	HUMAN_OBSERVATION	2023
-15.817694	13.374972	Gambia	GM	HUMAN_OBSERVATION	2023
-15.827787	13.390501	Gambia	GM	HUMAN_OBSERVATION	2023
-16.6088	13.310685	Gambia	GM	HUMAN_OBSERVATION	2023
-15.825262	13.389237	Gambia	GM	HUMAN_OBSERVATION	2023
-14.950676	13.642651	Gambia	GM	HUMAN_OBSERVATION	2023
-13.384208	13.337243	Senegal	SN	HUMAN_OBSERVATION	2023
-13.387156	12.885292	Senegal	SN	HUMAN_OBSERVATION	2023
-16.553213	13.281595	Gambia	GM	HUMAN_OBSERVATION	2023
-14.939005	13.641611	Gambia	GM	HUMAN_OBSERVATION	2023
-14.965455	13.6211	Gambia	GM	HUMAN_OBSERVATION	2023
-16.765915	13.351505	Gambia	GM	HUMAN_OBSERVATION	2023
-14.873216	13.542118	Gambia	GM	HUMAN_OBSERVATION	2023
