decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
21.928667	-34.003138	South Africa	ZA	HUMAN_OBSERVATION	2024
18.407999	-34.007647	South Africa	ZA	HUMAN_OBSERVATION	2024
24.49187	-32.24844	South Africa	ZA	HUMAN_OBSERVATION	2024
18.44644	-34.270914	South Africa	ZA	HUMAN_OBSERVATION	2024
30.126992	-22.884244	South Africa	ZA	HUMAN_OBSERVATION	2024
19.053492	-33.304517	South Africa	ZA	HUMAN_OBSERVATION	2024
31.883518	-24.384952	South Africa	ZA	HUMAN_OBSERVATION	2024
15.097385	-22.785822	Namibia	NA	HUMAN_OBSERVATION	2024
19.51407	-34.1665	South Africa	ZA	HUMAN_OBSERVATION	2024
17.805626	-29.734525	South Africa	ZA	HUMAN_OBSERVATION	2024
31.685633	-24.93637	South Africa	ZA	HUMAN_OBSERVATION	2024
31.589262	-24.397763	South Africa	ZA	HUMAN_OBSERVATION	2024
17.012228	-20.482494	Namibia	NA	HUMAN_OBSERVATION	2024
23.462618	-18.369592	Botswana	BW	HUMAN_OBSERVATION	2024
32.41168	-28.382826	South Africa	ZA	HUMAN_OBSERVATION	2024
18.926485	-34.351727	South Africa	ZA	HUMAN_OBSERVATION	2024
18.926483	-34.351735	South Africa	ZA	HUMAN_OBSERVATION	2024
17.510408	-27.89611	Namibia	NA	HUMAN_OBSERVATION	2024
23.596722	-33.948192	South Africa	ZA	HUMAN_OBSERVATION	2024
27.077674	-25.242056	South Africa	ZA	HUMAN_OBSERVATION	2024
27.055536	-25.323591	South Africa	ZA	HUMAN_OBSERVATION	2024
28.313889	-24.807778	South Africa	ZA	HUMAN_OBSERVATION	2024
18.39198	-34.26867	South Africa	ZA	HUMAN_OBSERVATION	2024
26.38953	-33.544531	South Africa	ZA	HUMAN_OBSERVATION	2024
25.864845	-17.912473	Zambia	ZM	HUMAN_OBSERVATION	2024
19.852345	-33.367252	South Africa	ZA	HUMAN_OBSERVATION	2024
29.209404	-29.74591	South Africa	ZA	HUMAN_OBSERVATION	2024
31.721078	-24.957253	South Africa	ZA	HUMAN_OBSERVATION	2024
32.123132	-28.079813	South Africa	ZA	HUMAN_OBSERVATION	2024
18.384394	-34.250795	South Africa	ZA	HUMAN_OBSERVATION	2024
19.490063	-34.299851	South Africa	ZA	HUMAN_OBSERVATION	2024
31.307146	-22.425857	South Africa	ZA	HUMAN_OBSERVATION	2024
20.428991	-34.492557	South Africa	ZA	HUMAN_OBSERVATION	2024
29.446443	-29.656853	South Africa	ZA	HUMAN_OBSERVATION	2024
28.993694	-28.516542	South Africa	ZA	HUMAN_OBSERVATION	2024
22.03085	-33.473127	South Africa	ZA	HUMAN_OBSERVATION	2024
31.572672	-25.213713	South Africa	ZA	HUMAN_OBSERVATION	2023
31.304406	-25.097254	South Africa	ZA	HUMAN_OBSERVATION	2023
17.36864	-22.049839	Namibia	NA	HUMAN_OBSERVATION	2023
25.828278	-17.927962	Zimbabwe	ZW	HUMAN_OBSERVATION	2023
29.96964	-21.4509	Zimbabwe	ZW	HUMAN_OBSERVATION	2023
18.92699	-34.34819	South Africa	ZA	HUMAN_OBSERVATION	2023
18.924632	-34.346711	South Africa	ZA	HUMAN_OBSERVATION	2023
18.926627	-34.348216	South Africa	ZA	HUMAN_OBSERVATION	2023
18.924197	-34.346347	South Africa	ZA	HUMAN_OBSERVATION	2023
22.966389	-33.888333	South Africa	ZA	HUMAN_OBSERVATION	2023
20.534859	-34.379017	South Africa	ZA	HUMAN_OBSERVATION	2023
18.412628	-34.00959	South Africa	ZA	HUMAN_OBSERVATION	2023
29.249534	-28.474958	South Africa	ZA	HUMAN_OBSERVATION	2023
18.381093	-34.250471	South Africa	ZA	HUMAN_OBSERVATION	2023
24.659152	-31.788714	South Africa	ZA	HUMAN_OBSERVATION	2023
29.635838	-29.37847	South Africa	ZA	HUMAN_OBSERVATION	2023
19.003302	-33.994092	South Africa	ZA	HUMAN_OBSERVATION	2023
25.923464	-17.847029	Zimbabwe	ZW	HUMAN_OBSERVATION	2023
24.55559	-18.680325	Botswana	BW	HUMAN_OBSERVATION	2023
18.481625	-34.350015	South Africa	ZA	HUMAN_OBSERVATION	2023
29.432998	-29.647804	South Africa	ZA	HUMAN_OBSERVATION	2023
19.069073	-33.051157	South Africa	ZA	HUMAN_OBSERVATION	2023
24.152075	-33.907343	South Africa	ZA	HUMAN_OBSERVATION	2023
22.966318	-33.888301	South Africa	ZA	HUMAN_OBSERVATION	2023
15.662003	-21.783064	Namibia	NA	HUMAN_OBSERVATION	2023
29.23102	-28.945825	South Africa	ZA	HUMAN_OBSERVATION	2023
