decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-13.229858	13.332251	Senegal	SN	HUMAN_OBSERVATION	2024
-13.226224	13.173139	Senegal	SN	HUMAN_OBSERVATION	2024
-13.38843	13.333786	Senegal	SN	HUMAN_OBSERVATION	2024
-13.212443	13.257068	Senegal	SN	HUMAN_OBSERVATION	2024
-13.378041	13.251981	Senegal	SN	HUMAN_OBSERVATION	2024
-14.670911	13.434625	Gambia	GM	HUMAN_OBSERVATION	2024
-16.675845	12.887595	Senegal	SN	HUMAN_OBSERVATION	2024
-15.170985	11.242386	Guinea-Bissau	GW	HUMAN_OBSERVATION	2024
-16.7145	13.296245	Gambia	GM	HUMAN_OBSERVATION	2023
-13.247175	13.317481	Senegal	SN	HUMAN_OBSERVATION	2023
-15.9287	13.527579	Gambia	GM	HUMAN_OBSERVATION	2023
-14.609955	13.40876	Gambia	GM	HUMAN_OBSERVATION	2023
-14.62317	13.404607	Gambia	GM	HUMAN_OBSERVATION	2023
-16.607198	13.230169	Gambia	GM	HUMAN_OBSERVATION	2023
-16.649094	13.393126	Gambia	GM	HUMAN_OBSERVATION	2023
-8.801	5.342445	Liberia	LR	HUMAN_OBSERVATION	2023
-7.10936	5.44362	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-13.295383	13.021706	Senegal	SN	HUMAN_OBSERVATION	2023
-14.950676	13.642651	Gambia	GM	HUMAN_OBSERVATION	2023
-13.372869	13.347956	Senegal	SN	HUMAN_OBSERVATION	2023
-7.384829	5.407121	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-7.220842	5.893645	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-7.251904	5.872953	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2023
-14.87145	13.776193	Gambia	GM	HUMAN_OBSERVATION	2023
-13.204718	13.086305	Senegal	SN	HUMAN_OBSERVATION	2022
-11.215094	7.463352	Sierra Leone	SL	HUMAN_OBSERVATION	2022
-16.757193	13.299649	Gambia	GM	HUMAN_OBSERVATION	2022
-16.751628	13.212559	Gambia	GM	HUMAN_OBSERVATION	2022
-15.852177	13.554962	Gambia	GM	HUMAN_OBSERVATION	2022
-15.848782	13.511883	Gambia	GM	HUMAN_OBSERVATION	2022
-7.318748	5.930288	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2022
-7.269033	5.978386	Côte d’Ivoire	CI	HUMAN_OBSERVATION	2022
-16.674166	13.338701	Gambia	GM	HUMAN_OBSERVATION	2022
-16.634236	13.380897	Gambia	GM	HUMAN_OBSERVATION	2022
-11.34676	7.542908	Sierra Leone	SL	HUMAN_OBSERVATION	2022
-14.742822	13.565042	Gambia	GM	HUMAN_OBSERVATION	2022
-16.34324	13.348156	Gambia	GM	HUMAN_OBSERVATION	2022
-14.709148	13.521509	Gambia	GM	HUMAN_OBSERVATION	2021
-14.762278	13.545459	Gambia	GM	HUMAN_OBSERVATION	2021
-14.640691	13.418584	Gambia	GM	HUMAN_OBSERVATION	2020
-16.76139	13.2362	Gambia	GM	HUMAN_OBSERVATION	2020
-16.758041	13.325377	Gambia	GM	HUMAN_OBSERVATION	2020
-14.851357	13.65006	Gambia	GM	HUMAN_OBSERVATION	2020
-13.24686	13.281282	Senegal	SN	HUMAN_OBSERVATION	2020
-13.256108	13.293742	Senegal	SN	HUMAN_OBSERVATION	2019
-14.641329	13.532663	Gambia	GM	HUMAN_OBSERVATION	2019
-14.70337	13.485377	Gambia	GM	HUMAN_OBSERVATION	2019
-10.836731	7.562191	Sierra Leone	SL	HUMAN_OBSERVATION	2018
-16.536827	13.270355	Gambia	GM	HUMAN_OBSERVATION	2018
-13.337402	13.347533	Senegal	SN	HUMAN_OBSERVATION	2018
-15.000821	11.345315	Guinea-Bissau	GW	HUMAN_OBSERVATION	2018
