decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
39.434475	-6.262984	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.416079	-6.23918	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.409978	-6.309435	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.481736	-6.29105	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.478652	-6.202793	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2024
39.509311	-6.325867	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.448445	-6.219296	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.546071	-6.38791	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.529819	-6.319141	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.50322	-6.381402	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.405689	-6.247611	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.551262	-6.377118	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.478056	-6.25902	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.411792	-6.20619	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.468768	-6.223465	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.492078	-6.257136	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.482434	-6.255079	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.404581	-6.342613	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.453504	-6.243117	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.410699	-6.363268	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.264771	-6.115366	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.552453	-6.392982	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.458018	-6.318755	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.548944	-6.345286	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.412586	-6.32281	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.578509	-6.394149	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.485089	-6.257916	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2023
39.486924	-6.274359	Tanzania, United Republic of	TZ	HUMAN_OBSERVATION	2022
