decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
30.595184	0.298809	Uganda	UG	HUMAN_OBSERVATION	2023
30.569377	0.535111	Uganda	UG	HUMAN_OBSERVATION	2023
30.413446	0.399191	Uganda	UG	HUMAN_OBSERVATION	2023
30.272892	0.48928	Uganda	UG	HUMAN_OBSERVATION	2023
30.421358	0.235568	Uganda	UG	HUMAN_OBSERVATION	2023
30.517933	0.267239	Uganda	UG	HUMAN_OBSERVATION	2023
30.531548	0.387062	Uganda	UG	HUMAN_OBSERVATION	2023
30.478185	0.402876	Uganda	UG	HUMAN_OBSERVATION	2023
30.451643	0.516967	Uganda	UG	HUMAN_OBSERVATION	2023
30.445801	0.50717	Uganda	UG	HUMAN_OBSERVATION	2023
30.426737	0.54263	Uganda	UG	HUMAN_OBSERVATION	2023
30.541334	0.522836	Uganda	UG	HUMAN_OBSERVATION	2023
30.444881	0.517745	Uganda	UG	HUMAN_OBSERVATION	2023
30.53037	0.534839	Uganda	UG	HUMAN_OBSERVATION	2023
30.581248	0.213337	Uganda	UG	HUMAN_OBSERVATION	2023
30.508959	0.521224	Uganda	UG	HUMAN_OBSERVATION	2023
30.490154	0.552212	Uganda	UG	HUMAN_OBSERVATION	2023
30.216509	0.514468	Uganda	UG	HUMAN_OBSERVATION	2022
30.440428	0.53859	Uganda	UG	HUMAN_OBSERVATION	2022
30.545093	0.438863	Uganda	UG	HUMAN_OBSERVATION	2022
30.38803	0.45168	Uganda	UG	HUMAN_OBSERVATION	2022
30.296515	0.535176	Uganda	UG	HUMAN_OBSERVATION	2022
30.301072	0.582274	Uganda	UG	HUMAN_OBSERVATION	2022
30.342845	0.573313	Uganda	UG	HUMAN_OBSERVATION	2022
30.252077	0.436072	Uganda	UG	HUMAN_OBSERVATION	2022
30.285328	0.58388	Uganda	UG	HUMAN_OBSERVATION	2022
30.308221	0.422064	Uganda	UG	HUMAN_OBSERVATION	2022
30.237845	0.476119	Uganda	UG	HUMAN_OBSERVATION	2022
30.215883	0.465985	Uganda	UG	HUMAN_OBSERVATION	2022
30.382778	0.424684	Uganda	UG	HUMAN_OBSERVATION	2022
30.335633	0.468908	Uganda	UG	HUMAN_OBSERVATION	2022
30.36294	0.413918	Uganda	UG	HUMAN_OBSERVATION	2022
30.2283	0.564623	Uganda	UG	HUMAN_OBSERVATION	2022
30.236996	0.429292	Uganda	UG	HUMAN_OBSERVATION	2022
30.350562	0.547153	Uganda	UG	HUMAN_OBSERVATION	2022
30.250305	0.420755	Uganda	UG	HUMAN_OBSERVATION	2022
30.334114	0.439265	Uganda	UG	HUMAN_OBSERVATION	2022
30.270336	0.536533	Uganda	UG	HUMAN_OBSERVATION	2022
30.374029	0.45838	Uganda	UG	HUMAN_OBSERVATION	2022
30.424667	0.584688	Uganda	UG	HUMAN_OBSERVATION	2022
30.460873	0.500643	Uganda	UG	HUMAN_OBSERVATION	2022
30.403078	0.456534	Uganda	UG	HUMAN_OBSERVATION	2022
30.414562	0.424929	Uganda	UG	HUMAN_OBSERVATION	2022
30.509714	0.525276	Uganda	UG	HUMAN_OBSERVATION	2022
30.372102	0.466306	Uganda	UG	HUMAN_OBSERVATION	2022
30.285456	0.489425	Uganda	UG	HUMAN_OBSERVATION	2022
30.588294	0.522986	Uganda	UG	HUMAN_OBSERVATION	2022
30.395613	0.438496	Uganda	UG	HUMAN_OBSERVATION	2021
30.217686	0.745524	Uganda	UG	HUMAN_OBSERVATION	2021
30.261944	0.732865	Uganda	UG	HUMAN_OBSERVATION	2021
30.325993	0.458038	Uganda	UG	HUMAN_OBSERVATION	2021
30.462829	0.517388	Uganda	UG	HUMAN_OBSERVATION	2021
30.438868	0.469753	Uganda	UG	HUMAN_OBSERVATION	2021
30.404709	0.230136	Uganda	UG	HUMAN_OBSERVATION	2021
30.559589	0.383283	Uganda	UG	HUMAN_OBSERVATION	2021
30.452385	0.313435	Uganda	UG	HUMAN_OBSERVATION	2021
30.404839	0.3906	Uganda	UG	HUMAN_OBSERVATION	2021
30.308305	0.441056	Uganda	UG	HUMAN_OBSERVATION	2021
30.379514	0.509028	Uganda	UG	HUMAN_OBSERVATION	2020
30.415799	0.200135	Uganda	UG	HUMAN_OBSERVATION	2020
30.465609	0.578883	Uganda	UG	HUMAN_OBSERVATION	2020
30.536289	0.29499	Uganda	UG	HUMAN_OBSERVATION	2019
30.456361	0.4544	Uganda	UG	HUMAN_OBSERVATION	2019
30.511812	0.590973	Uganda	UG	HUMAN_OBSERVATION	2019
30.404303	0.367915	Uganda	UG	HUMAN_OBSERVATION	2019
30.451497	0.56283	Uganda	UG	HUMAN_OBSERVATION	2019
30.56828	0.460825	Uganda	UG	HUMAN_OBSERVATION	2019
30.426248	0.585545	Uganda	UG	HUMAN_OBSERVATION	2019
30.433785	0.421268	Uganda	UG	HUMAN_OBSERVATION	2019
30.549907	0.257674	Uganda	UG	HUMAN_OBSERVATION	2019
30.269267	0.547581	Uganda	UG	HUMAN_OBSERVATION	2019
30.441831	0.522416	Uganda	UG	HUMAN_OBSERVATION	2019
30.200703	0.515685	Uganda	UG	HUMAN_OBSERVATION	2019
30.258743	0.599624	Uganda	UG	HUMAN_OBSERVATION	2019
30.219781	0.755005	Uganda	UG	HUMAN_OBSERVATION	2018
30.518568	0.216683	Uganda	UG	HUMAN_OBSERVATION	2018
30.453883	0.448082	Uganda	UG	HUMAN_OBSERVATION	2018
30.246513	0.789693	Uganda	UG	HUMAN_OBSERVATION	2018
30.490337	0.550371	Uganda	UG	HUMAN_OBSERVATION	2018
30.204274	0.576801	Uganda	UG	HUMAN_OBSERVATION	2017
30.220051	0.440601	Uganda	UG	HUMAN_OBSERVATION	2017
30.202651	0.568898	Uganda	UG	HUMAN_OBSERVATION	2017
30.496247	0.23865	Uganda	UG	HUMAN_OBSERVATION	2017
30.594125	0.485982	Uganda	UG	HUMAN_OBSERVATION	2017
30.510037	0.568944	Uganda	UG	HUMAN_OBSERVATION	2017
30.518969	0.485805	Uganda	UG	HUMAN_OBSERVATION	2017
30.33221	0.726068	Uganda	UG	HUMAN_OBSERVATION	2017
30.295065	0.779425	Uganda	UG	HUMAN_OBSERVATION	2016
30.549534	0.554709	Uganda	UG	HUMAN_OBSERVATION	2016
30.455711	0.580693	Uganda	UG	HUMAN_OBSERVATION	2016
30.448106	0.536885	Uganda	UG	HUMAN_OBSERVATION	2016
30.466253	0.446698	Uganda	UG	HUMAN_OBSERVATION	2016
30.366911	0.59738	Uganda	UG	HUMAN_OBSERVATION	2016
30.468385	0.447248	Uganda	UG	HUMAN_OBSERVATION	2016
30.373388	0.551881	Uganda	UG	HUMAN_OBSERVATION	2016
30.399587	0.695762	Uganda	UG	HUMAN_OBSERVATION	2016
